RA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
RA10,45,1955,3081,9650,4857,3927,2059,885,229,26695,29,391,419,6277,2112,1443,1096,749,214,12743,29,158,304,3801,1535,2922,5040,5048,3036,21871,90,417,494,1485,915,499,307,107,29,4344,110,923,1989,10060,4484,3097,1705,959,234,23557,141,562,986,7669,6610,7022,5503,2906,668,32065,83,509,1597,7184,2658,2235,2191,984,185,17625,0,10,21,192,222,796,2316,1768,525,5861,0,15,86,637,356,566,529,265,68,2526,6,54,252,1513,606,507,344,160,56,3501,57,381,10503,20832,1466,295,155,38,3,33732,23,157,168,825,620,652,1330,1128,460,5365,323,2624,5266,16463,9372,7929,4801,1862,424,49074,6,47,106,1076,1151,1913,2416,1237,348,8295,247,1750,2405,10429,2068,1281,549,121,25,18878,7,27,86,361,599,421,229,88,39,1847,208,1820,3506,16778,6632,5432,3594,902,162,39038,11,73,68,1550,752,859,1378,471,264,5426,15,218,454,1323,988,1067,529,142,21,4759,25,211,322,2000,1778,2329,2239,1568,469,10946
RA11,25,261,214,308,93,56,39,15,0,1004,3,64,33,365,248,225,269,204,42,1461,4,26,22,277,111,257,593,424,205,1920,9,42,37,125,42,15,42,0,5,313,4,19,44,278,42,32,15,3,0,440,0,0,11,108,133,132,93,65,6,556,18,95,74,316,179,185,79,27,5,972,0,0,0,13,29,137,342,229,45,790,0,0,4,44,16,46,58,23,12,200,0,19,63,250,70,31,15,3,3,450,8,52,239,1587,60,8,8,0,0,1950,3,15,29,129,118,244,762,630,166,2098,29,246,416,1994,1763,2010,1790,781,142,9181,0,0,0,13,21,39,38,24,3,147,13,62,42,439,54,25,18,4,0,655,0,10,15,97,200,135,72,5,5,550,44,334,377,1148,378,117,60,13,4,2478,0,8,10,73,41,61,149,65,23,434,0,4,12,106,24,9,14,3,5,177,3,45,63,225,295,569,797,588,152,2734
RA12,0,0,0,10,8,4,0,0,0,22,0,6,5,81,19,21,43,25,5,208,0,8,5,42,20,81,245,215,135,754,0,13,4,14,4,0,5,0,0,44,0,0,10,45,14,4,5,0,0,69,0,0,0,9,8,11,12,6,5,52,6,16,42,198,51,52,12,0,3,390,0,0,0,3,3,6,45,31,8,91,0,0,0,4,0,0,6,0,0,14,0,0,0,11,0,0,0,0,0,11,0,3,4,130,8,3,0,0,0,153,0,0,0,25,21,40,141,107,25,365,10,63,104,369,274,368,384,122,24,1714,0,0,0,0,0,7,12,0,0,20,3,10,24,86,34,8,10,0,0,174,0,11,5,20,20,24,7,0,0,88,19,119,98,337,113,41,14,3,0,743,0,0,0,11,7,3,13,13,4,52,0,3,25,31,17,18,10,0,0,112,0,5,8,29,34,94,124,82,26,399
RA13,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,3,0,0,23,0,0,0,0,0,6,4,0,7,16,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,5,23,5,0,0,0,0,34,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,12,0,0,0,3,0,0,0,4,0,14,0,0,3,22,10,23,12,6,0,90,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,8,0,3,0,23,9,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,6,0,6,4,0,0,11
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,8,0,0,0,0,0,13,0,0,0,5,0,3,0,4,0,12,0,0,3,8,0,7,5,0,0,16,0,0,4,6,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,11,0,0,4,18,7,5,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,0,0,5,0,6,3,5,0,22,0,6,0,40,22,20,18,3,0,105,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,9,10,3,0,0,0,0,26,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,17
RA20,31,1210,1525,4758,2414,1688,797,277,77,12775,34,294,304,3735,1077,873,769,523,224,7836,14,175,324,2932,1435,4241,7867,7376,4365,28719,58,292,399,938,443,202,153,37,6,2539,49,350,767,3546,1094,429,175,86,12,6511,58,195,361,2660,1927,1962,1451,671,135,9430,128,1368,3442,11829,3443,2994,2696,1018,193,27098,0,15,42,243,346,1141,2849,2080,572,7289,0,65,376,2057,713,1077,877,416,145,5736,20,214,1048,3369,1020,481,263,105,48,6565,19,152,2856,6699,408,121,67,15,4,10340,22,114,184,678,522,628,1801,1442,594,5978,482,3873,5385,16403,6734,5112,2657,1061,230,41930,8,67,141,1524,1369,1934,2579,1150,305,9079,243,1847,2496,10472,1526,627,312,80,13,17625,5,31,64,236,345,159,45,14,6,904,151,1416,3012,10971,4254,2705,1498,353,64,24418,5,39,71,1098,674,1078,1612,655,356,5576,14,213,397,1132,751,692,287,67,5,3559,15,181,347,1914,1502,2064,2045,1436,431,9930
RA21,0,29,36,165,74,54,19,4,0,387,4,43,52,305,177,191,201,138,54,1165,0,15,17,155,103,344,969,711,338,2656,4,16,15,55,39,12,17,3,0,159,3,13,23,111,13,16,0,0,0,181,0,6,8,56,38,33,21,11,4,176,7,84,113,632,178,145,87,26,4,1270,0,0,6,26,27,165,436,209,44,911,0,8,9,77,26,41,31,19,5,209,3,5,43,264,100,51,31,17,6,513,6,28,83,421,18,3,0,0,0,558,6,12,18,134,164,294,1045,886,225,2774,27,277,428,1611,1297,1322,1018,388,73,6439,0,0,0,19,30,56,75,29,11,217,9,63,60,336,61,14,5,0,0,546,0,7,9,43,100,47,22,0,0,235,28,281,303,1043,251,92,53,10,5,2064,0,0,3,73,46,48,116,51,23,365,0,9,34,123,23,22,7,0,0,210,0,30,42,228,242,514,718,473,116,2366
RA22,0,0,0,14,11,10,3,0,0,40,0,7,7,32,10,19,33,21,8,138,0,0,3,28,17,58,201,165,108,587,0,0,0,7,3,0,4,0,0,22,0,0,4,24,0,3,0,0,0,29,0,0,0,3,0,4,0,0,0,17,11,37,149,781,148,53,12,0,0,1189,0,0,0,0,3,24,51,21,6,105,0,0,0,9,3,11,17,5,0,42,0,0,10,68,30,11,3,3,0,125,0,4,12,112,9,0,0,0,0,128,0,0,5,29,14,60,226,125,28,499,3,54,61,242,227,271,223,70,11,1162,0,0,0,0,3,8,5,3,0,15,0,19,12,43,9,10,0,0,0,98,0,0,3,4,13,11,6,0,0,36,12,69,71,307,86,15,10,0,0,565,0,0,0,10,4,6,24,14,0,53,0,3,11,71,8,6,5,0,0,101,0,4,3,27,27,83,99,80,16,337
