RA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
RA10,90,418,763,4909,2655,2426,4687,3982,1432,21357,27,285,537,1509,1374,3438,6840,9846,4450,28310,357,2333,3668,15062,6249,9550,7743,1542,509,47022,2384,14640,15763,116856,21385,11881,7830,3677,1209,195621,125,731,4463,16885,5758,3585,3225,1296,354,36413,73,1000,1659,13799,3733,3185,2144,885,324,26793,91,3820,6081,19696,9314,7498,4253,1868,605,53226,67,802,855,11583,3707,2726,2113,1482,518,23854,53,293,588,6234,2620,5676,10099,10347,6626,42534,173,812,1033,5384,3253,1727,806,349,121,13646,208,1709,3988,22485,10433,6821,3755,1913,550,51879,278,1075,1896,14434,12851,14492,10622,5155,1441,62235,135,995,3010,13981,5640,5091,5184,2109,465,36621,9,15,44,350,428,1649,4611,3560,1164,11832,5,33,203,1314,697,1223,1105,574,242,5386,13,102,521,2751,1233,1006,730,313,123,6792,101,710,18245,38462,2152,732,325,74,5,60801,53,294,350,1726,1135,1194,2573,2251,1018,10584,646,4970,10277,31770,18148,15510,9616,3988,1075,96009,12,89,222,2346,2357,3927,4772,2490,802,17013
RA11,7,78,117,746,532,1016,1968,1427,463,6356,0,11,18,49,53,151,310,261,112,957,8,69,54,276,135,192,144,40,10,931,136,654,666,6349,870,589,494,267,116,10137,18,66,75,476,181,132,151,62,40,1209,0,29,27,303,112,67,51,31,5,630,55,530,461,643,170,111,78,20,4,2073,4,131,76,646,427,443,505,349,95,2678,6,45,49,439,196,464,948,678,378,3201,15,73,82,465,216,110,101,18,9,1092,6,35,73,621,111,84,35,8,4,969,4,8,18,193,216,240,161,91,18,946,38,167,124,649,399,392,229,64,19,2083,0,3,3,41,56,259,641,401,83,1477,0,0,14,80,34,98,109,37,10,382,0,38,116,510,132,65,37,16,8,924,16,129,465,3049,84,31,19,5,0,3787,4,26,62,320,289,525,1560,1192,368,4345,64,520,829,3949,3522,4188,3668,1585,350,18680,0,0,0,26,43,72,65,37,5,246
RA12,4,5,15,119,96,197,350,238,83,1105,0,0,0,0,6,21,32,40,7,111,0,13,3,47,26,26,18,6,3,136,33,137,171,1757,368,273,123,46,14,2924,0,10,22,105,31,21,30,3,0,226,0,0,0,31,17,8,4,0,0,61,0,0,0,11,7,8,0,0,0,41,0,7,20,132,39,62,80,41,11,393,0,10,6,63,43,135,428,430,289,1409,0,14,6,51,24,11,11,0,3,122,0,0,5,108,15,12,3,0,0,149,0,0,5,12,19,14,21,11,3,86,8,26,66,383,114,94,25,3,13,728,0,0,0,9,6,18,76,43,10,164,0,0,6,16,0,4,9,0,0,29,0,0,0,22,0,0,0,0,3,29,4,5,22,244,10,5,6,0,0,296,0,0,13,74,48,97,290,201,53,776,16,133,186,762,584,763,690,220,43,3396,0,0,0,0,0,13,16,3,0,37
RA13,0,0,4,7,9,8,20,10,0,58,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,0,4,0,0,9,8,7,9,112,6,9,4,3,0,161,0,3,4,13,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,4,4,3,0,0,40,0,0,0,6,0,4,8,0,4,23,0,0,0,3,0,0,0,0,0,7,0,0,5,24,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,10,0,0,5,37,12,4,0,0,0,52,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,17,0,0,0,6,0,4,10,6,0,30,0,6,8,59,25,48,32,8,3,198,0,0,0,0,0,0,0,0,0,0
RA14,0,0,0,3,0,0,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,29,3,4,0,0,0,40,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,22,0,0,0,0,0,0,5,0,0,5,0,0,0,16,3,21,12,0,0,57,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,3,14,0,3,4,3,0,30,0,0,0,3,0,0,0,3,0,10,0,3,6,19,3,8,0,0,0,32,0,0,7,55,4,7,0,0,0,78,0,0,3,28,5,3,0,0,0,32,0,0,7,11,7,5,0,0,0,28,0,0,3,8,0,0,0,0,0,10,0,0,0,17,7,5,0,4,0,29,0,0,0,17,0,6,9,0,0,31,3,0,4,8,0,0,0,0,0,14,0,0,3,11,3,0,0,0,0,21,0,0,0,5,4,3,5,0,0,20,0,0,11,37,8,6,3,0,0,67,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,17,0,0,0,13,0,8,8,5,0,37,0,7,10,60,38,48,34,3,0,194,0,0,0,0,3,0,0,0,0,4
RA20,80,307,702,3796,2170,2062,4690,4052,1698,19559,28,437,894,2207,2554,6451,10827,15426,6321,45144,223,1620,2361,9695,3168,3740,2956,644,200,24618,2164,14226,25480,157887,21311,12433,8854,3665,1155,247175,101,600,3035,9830,2765,1222,1323,480,127,19496,91,1486,2279,11855,2846,1571,840,352,98,21413,58,2278,2997,9857,4526,3116,1599,671,182,25285,56,593,590,6928,1915,1718,1590,1083,525,15002,29,352,644,4798,2498,8172,16217,16200,9959,58854,120,578,841,3876,1866,656,439,135,65,8565,96,679,1586,8423,2519,981,411,171,33,14894,111,385,720,4910,3939,4033,2796,1182,299,18370,268,2740,6671,24567,7609,7053,6247,2188,497,57842,0,27,79,503,674,2282,5857,4233,1359,15017,12,127,746,4089,1472,2235,1824,886,395,11783,28,448,1999,6635,1933,989,564,230,100,12928,46,333,4999,12401,638,267,134,27,0,18843,32,231,358,1331,972,1196,3552,2973,1374,12013,967,7486,10662,32849,13231,10259,5516,2130,586,83681,11,111,276,3152,2832,4097,5065,2339,722,18599
RA21,10,43,69,527,384,625,1743,1082,379,4862,5,6,7,51,72,192,395,340,140,1209,10,39,55,215,71,78,63,10,5,550,78,528,964,5842,779,498,379,179,58,9311,12,43,72,399,166,60,88,40,20,899,0,55,67,179,54,28,25,6,0,427,0,55,67,335,136,86,31,11,0,725,7,94,90,571,322,341,390,260,106,2169,3,22,27,237,181,644,1657,1300,711,4785,8,40,42,237,135,67,51,14,7,589,5,26,32,274,44,30,3,3,3,428,0,10,11,86,56,57,36,15,5,285,13,165,219,1213,420,374,192,53,12,2654,0,0,11,52,57,304,753,383,90,1651,0,12,29,153,64,105,67,25,3,458,0,17,79,564,178,97,70,30,11,1046,6,41,187,770,31,7,0,0,0,1050,9,25,51,287,336,575,2102,1624,497,5505,44,565,827,3290,2616,2751,2033,758,154,13039,0,0,5,46,45,97,131,51,16,392
RA22,0,3,10,100,47,101,347,223,70,903,0,3,0,6,8,51,91,75,27,264,0,13,25,80,0,21,6,4,0,146,15,113,115,1050,136,81,59,36,7,1604,0,20,16,111,45,21,12,5,0,234,0,6,3,38,6,7,0,0,0,61,0,10,7,23,17,9,3,0,0,68,0,13,11,67,17,40,56,38,14,257,0,3,5,52,18,117,343,354,224,1128,0,6,0,44,17,9,7,0,8,88,0,3,8,75,6,8,5,0,0,106,0,0,0,5,0,5,0,5,0,22,10,70,242,1347,278,108,27,10,0,2092,0,0,0,0,5,47,76,33,12,172,0,0,0,24,4,23,23,8,0,91,0,5,17,132,38,20,7,3,0,238,0,6,30,207,6,0,0,0,0,253,0,0,3,65,37,111,398,252,74,934,15,102,132,551,468,558,439,146,31,2439,0,0,0,4,6,11,5,3,0,23
