RA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,425,3399,3718,18055,3564,2094,993,224,50,32518,8,52,176,759,1298,936,533,222,96,4079,368,3602,7311,40255,16424,15155,10311,2619,723,96764,21,135,166,3791,1704,1983,2927,1150,829,12711,26,448,934,2567,2110,2084,1083,322,50,9636,33,385,644,3748,3227,4495,4439,3210,1144,21322,270,1919,1801,3993,1974,1631,1506,528,142,13755,235,2151,3312,13803,9117,6400,4753,2319,717,42801,110,885,1766,10768,5191,5137,3601,1630,600,29687,112,451,736,7658,1731,1093,1299,275,39,13400,159,1041,2216,17372,4175,2189,1072,226,42,28493,53,364,399,4093,3378,3182,1856,1161,227,14700,982,3477,3347,10511,3994,3217,2102,926,183,28743,284,2142,6727,28585,21110,20203,11701,3535,1574,95853,15,119,189,1487,1100,1164,937,665,234,5912,11,153,728,2236,1340,891,408,126,29,5927,1529,11338,14882,81712,36599,33762,28228,18700,7719,234469,13901,30916,32481,88439,31163,27150,22808,17754,11031,275646,360961,753924,742255,1810763,770453,680882,527733,303911,129555,6080428
RA11,23,109,67,709,69,45,36,9,0,1071,4,22,46,197,412,325,173,24,11,1205,80,618,698,3329,1273,1027,684,140,29,7882,3,12,17,194,113,168,292,126,78,992,0,5,26,143,34,27,23,4,5,267,8,79,118,449,561,1171,1585,1160,332,5466,14,91,61,141,179,154,133,45,10,823,26,289,472,1547,1224,868,855,435,94,5810,15,130,87,667,228,159,138,68,14,1503,7,31,44,548,59,51,30,5,0,768,27,226,265,1117,565,283,107,17,4,2622,21,28,8,85,61,60,34,15,8,318,73,368,356,1341,681,837,976,346,63,5035,17,165,153,971,331,153,79,11,10,1897,0,22,37,164,214,295,351,273,90,1443,12,50,83,353,282,217,156,42,9,1197,179,885,998,5402,2665,2980,3217,2370,778,19467,4372,11705,10960,22802,12556,14066,13719,9783,4792,104763,84183,195156,169133,343357,193954,217090,205673,117502,43690,1569737
RA12,6,20,41,142,42,16,12,3,0,272,0,17,12,36,53,58,15,4,0,206,34,220,192,887,316,245,150,34,5,2086,0,0,0,25,17,14,36,27,3,114,0,16,49,74,50,33,15,3,0,238,0,10,12,65,76,170,233,185,56,809,0,5,6,15,15,19,8,6,0,79,18,79,90,289,196,150,118,48,7,1002,3,26,10,97,29,20,17,11,6,214,7,6,12,284,0,0,0,0,0,315,4,40,34,212,92,64,19,6,0,465,0,0,5,33,33,28,14,5,0,122,6,57,65,243,116,158,198,73,15,940,0,6,11,90,52,27,5,6,0,196,0,3,4,20,19,37,55,37,8,187,0,8,14,73,48,51,22,9,0,231,9,106,123,882,396,514,576,395,133,3146,1613,4413,3555,8042,4727,5844,5163,3189,1432,37977,20270,47682,37941,79185,46727,57348,50662,27916,9969,377693
RA13,0,4,4,16,0,0,0,0,0,26,0,0,0,10,3,4,0,3,0,22,4,11,9,65,23,14,6,4,0,129,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,3,5,0,4,12,0,0,26,0,0,0,0,0,0,0,0,0,0,5,4,5,23,7,17,5,3,0,68,0,0,0,4,0,0,0,0,0,7,4,0,0,11,0,0,0,0,0,12,0,0,3,14,6,4,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,6,3,5,3,9,6,3,0,35,0,0,0,3,0,3,5,0,0,16,0,0,0,0,0,0,3,0,0,13,0,0,0,6,9,0,0,0,0,21,0,4,11,97,23,28,43,39,14,255,254,618,480,1068,560,653,511,302,81,4524,1755,3489,2678,6215,3277,3834,2856,1577,532,26219
RA14,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,4,4,0,0,34,69,154,134,287,143,175,132,63,16,1176,419,895,721,1636,862,980,743,345,96,6708
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,10,0,0,0,0,0,14,0,0,0,6,3,3,0,0,0,16,0,6,8,32,6,6,3,3,0,50,0,0,0,7,4,0,3,0,0,14,0,0,0,0,0,0,3,0,0,4,0,0,0,3,9,9,7,0,0,35,0,0,0,4,0,0,3,0,0,10,0,0,9,19,10,13,11,0,0,55,0,0,0,7,0,0,0,0,0,12,0,0,0,38,0,0,0,0,0,43,0,0,0,10,6,6,0,0,0,12,0,0,0,0,0,0,3,0,0,10,7,6,6,27,15,0,4,0,0,64,0,0,3,16,11,5,3,0,0,34,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,14,28,117,37,26,24,13,3,260,172,340,422,1386,559,435,176,54,13,3545,460,798,1357,4044,1678,1648,1055,277,49,11371
RA20,456,3557,3902,17608,2416,1094,614,144,32,29816,4,52,121,548,762,383,139,28,10,2057,280,2834,6122,26859,10485,7830,4658,1176,292,60546,8,66,147,2692,1605,2445,3553,1575,1195,13290,22,442,882,2224,1573,1328,576,161,28,7232,27,346,697,3680,2743,4093,4180,3135,1206,20114,201,1890,2604,6087,2584,1927,1444,430,118,17282,144,1341,2561,9117,5865,3837,2758,1346,416,27383,231,2470,5959,28382,10353,8448,6214,2784,974,65815,82,336,590,5882,1038,704,676,109,21,9431,170,1483,2753,9732,2302,970,411,114,24,17960,50,348,508,4632,4376,4193,2219,1270,262,17850,632,2445,2584,7782,2822,2089,1503,551,104,20514,274,2146,6723,29589,19850,18066,10213,2996,1274,91127,3,78,156,910,650,711,621,430,171,3725,17,137,641,2501,1003,565,253,77,7,5207,1229,9174,15172,69281,29724,26188,22158,14723,6421,194083,10821,23624,25049,71384,25379,21053,18019,13871,8022,217215,297219,611067,617549,1559910,638502,537352,412451,240882,103485,5018415
RA21,14,126,107,563,87,23,15,8,3,949,0,12,21,108,235,109,55,3,3,546,60,479,580,2838,923,722,470,93,9,6176,0,5,13,166,106,116,223,99,76,807,3,10,53,168,42,35,23,9,0,340,4,55,84,462,485,1057,1446,1007,281,4878,9,54,41,154,141,98,66,5,0,569,27,189,293,936,667,522,349,164,29,3189,20,105,133,966,290,203,176,75,21,1971,9,21,55,855,33,24,11,3,0,1013,30,342,515,935,342,153,52,6,0,2382,0,12,5,125,125,112,65,33,7,489,49,225,251,765,441,451,569,164,24,2948,22,118,124,822,270,137,53,13,6,1574,0,33,19,112,141,221,260,153,45,987,0,29,59,253,152,102,68,18,8,684,116,697,882,3536,1876,2138,2250,1645,606,13753,3171,8514,7402,17414,10257,11472,10907,7367,3540,80051,65279,151601,129482,275724,155025,168040,155222,83421,31168,1214965
RA22,0,31,18,77,14,15,0,0,0,161,0,3,6,18,33,28,19,4,0,104,18,145,140,790,272,165,113,26,4,1678,0,0,0,17,5,10,38,21,3,96,0,3,14,94,18,7,8,0,0,143,0,5,8,68,59,186,195,176,45,735,0,8,11,29,13,15,8,0,0,94,7,45,68,192,140,110,80,30,3,667,4,21,7,127,28,18,19,23,0,249,12,5,12,226,9,0,0,0,0,263,9,56,92,382,100,60,17,4,0,706,0,7,13,54,85,83,47,34,5,322,4,28,18,103,70,87,105,42,0,457,5,56,52,376,129,159,65,13,0,857,0,0,3,19,19,29,40,24,9,138,0,7,5,50,35,29,25,5,0,148,21,112,127,836,392,419,447,277,103,2725,746,2252,1948,4550,2729,3416,3214,2105,1001,21953,12865,29799,25163,54427,31621,39414,36710,20029,7657,257682
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,4,3,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,5,0,0,24,0,31,15,45,35,60,55,35,24,305,123,369,210,602,335,657,566,311,133,3305
