RA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
RA10,513,432,828,529,136,2095,140493,37645,6310,6443,2019,1608,1472,3264,1437,222,1851,62265,264,36,32,4,0,5,19,7,0,72,438,162352,13915,9816,2642,2123,1904,4110,1970,353,4018,203196,158,15,11,4,0,9,5,0,0,778,984,257917,18671,11822,2929,2383,2167,4430,2214,435,6379,309331,83188,1332,878,136,129,133,215,163,52,1603,87834,88730,1903,1514,287,259,246,651,516,76,1588,95767,37595,5204,6693,1693,1159,1160,2730,1185,141,1435,58989,334,20,19,3,3,4,7,5,0,59,463,126662,7124,8231,1982,1423,1410,3388,1708,218,3083,155220,197,9,10,0,0,0,0,0,0,1047,1267,210048,8462,9113,2116,1553,1545,3605,1874,271,5737,244321,49397,859,444,80,87,56,99,85,16,1536,52647,42923,723,472,82,90,62,227,140,14,1069,45801,28830,2759,2168,507,367,319,719,299,15,1106,37091,265,3,8,0,0,0,7,0,0,118,402,72020,3489,2642,594,452,380,951,440,35,2288,83292,239,5,7,0,0,0
RA11,36,32,50,26,13,102,4900,382,128,154,44,44,47,146,64,0,35,1060,18,6,0,0,0,0,0,0,0,3,32,4298,613,400,73,85,77,198,91,14,150,5993,23,0,0,0,0,0,0,3,0,91,117,26273,1631,856,141,143,128,254,149,26,1017,30623,26569,426,256,40,28,41,61,41,9,1012,28476,4037,124,73,9,12,17,32,16,4,93,4419,438,81,105,22,20,25,116,39,3,34,889,20,0,4,0,0,0,0,0,0,3,31,4495,208,179,36,34,38,148,60,7,132,5339,46,5,0,0,0,0,0,0,0,105,162,31109,638,430,75,61,80,214,97,16,1246,33980,16886,244,121,16,20,18,16,19,4,780,18125,2609,35,13,11,6,4,10,3,0,115,2801,381,35,30,8,7,7,25,9,0,35,531,21,0,0,0,0,0,0,0,0,7,30,3008,69,46,17,7,7,36,15,0,151,3356,61,0,0,0,0,0
RA12,15,11,21,13,8,22,973,83,34,36,12,14,23,66,38,0,13,317,4,0,0,0,0,3,6,0,0,0,10,788,161,86,20,29,37,89,52,3,34,1297,12,0,0,0,0,0,0,0,0,29,36,4462,310,163,31,44,51,100,59,11,247,5470,4569,77,43,7,5,6,9,3,0,208,4920,740,20,13,3,8,3,10,4,0,33,836,116,16,24,4,7,4,21,3,0,6,199,3,0,0,0,0,0,0,0,0,0,8,856,33,39,9,6,8,32,14,0,43,1046,9,0,0,0,0,0,0,0,0,18,37,5441,110,80,18,14,16,39,12,5,269,5999,2676,29,5,5,5,0,0,0,0,138,2861,549,3,3,0,0,0,4,0,0,21,581,144,6,0,0,0,0,0,0,0,13,174,4,0,0,0,0,0,0,0,0,7,7,697,9,7,0,0,0,9,0,0,37,760,22,0,0,0,0,0
RA13,0,0,0,0,0,5,57,7,0,5,0,0,3,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,34,13,5,0,0,7,6,0,0,4,78,0,0,0,0,0,0,0,0,0,0,0,164,24,13,0,0,11,9,5,0,12,232,148,3,0,0,0,0,0,0,0,9,158,40,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,3,3,192,5,4,0,0,0,0,0,0,14,221,84,0,0,0,0,0,0,0,0,3,88,29,0,0,0,0,0,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
RA14,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,44,5,0,0,0,0,0,0,0,3,53,33,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,43,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,45,11,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,51,3,3,0,0,0,0,0,0,5,67,0,0,0,0,0,0,0,0,0,0,0,241,12,8,0,0,4,3,0,3,7,286,131,4,3,3,0,3,0,0,0,3,150,30,0,0,0,0,0,0,0,0,6,37,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,3,6,50,0,0,0,0,0,0,0,0,0,0,6,174,7,3,3,0,3,0,0,0,7,206,38,0,3,0,0,0,0,0,0,0,39,11,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
RA20,491,438,697,538,106,1445,97660,22267,4804,5463,1357,1207,1203,2941,1387,177,1209,42015,198,35,23,7,5,9,15,13,0,50,345,104412,12699,9050,1935,1695,1648,3647,1937,286,2700,140016,111,13,16,4,9,0,0,5,0,250,400,178742,17497,10955,2186,1968,1882,3922,2126,353,4372,224017,71680,1141,742,120,116,111,180,100,45,1468,75701,68780,1666,1363,304,246,257,738,489,76,1405,75334,25025,3458,4594,1113,906,917,2563,1151,115,1019,40865,287,7,26,4,4,3,15,7,0,82,427,94095,5136,5982,1427,1155,1183,3319,1642,195,2504,116624,156,7,8,0,0,0,4,3,0,300,479,165929,6278,6721,1551,1273,1294,3507,1743,235,4268,192803,42173,600,331,63,40,42,85,56,21,1394,44805,40740,578,431,72,54,66,178,100,25,1115,43353,25042,1692,1297,298,247,175,617,260,27,989,30648,274,4,10,0,0,0,3,0,0,107,399,66060,2272,1734,381,295,242,799,364,49,2207,74402,181,6,0,0,0,0
RA21,36,31,43,25,3,92,3591,322,182,178,26,33,48,111,45,9,35,985,15,3,0,0,0,0,0,0,0,5,27,3056,611,374,61,71,81,155,66,7,131,4604,25,6,0,0,0,0,0,0,0,98,128,18795,1502,695,102,98,132,197,86,28,848,22489,20478,271,168,35,29,23,31,18,9,778,21834,3282,83,50,16,5,13,27,31,4,118,3633,403,92,110,15,21,30,86,33,0,43,832,32,0,0,0,0,0,0,0,0,10,42,3714,169,162,33,25,40,118,65,4,168,4500,30,0,0,0,0,0,0,0,0,82,123,24226,443,327,63,54,60,147,79,14,1031,26456,11939,111,73,10,13,0,18,9,0,616,12798,2571,17,11,0,0,0,8,3,0,116,2734,547,39,37,8,3,10,14,9,0,28,703,22,0,0,0,0,0,0,0,0,12,31,3140,60,57,7,6,8,24,14,3,148,3472,51,0,0,0,0,0
RA22,7,12,16,11,0,26,772,125,60,84,15,13,32,42,19,6,33,422,3,0,0,0,0,0,0,0,0,0,14,685,142,139,24,26,39,57,33,6,59,1208,5,0,0,0,0,0,0,0,0,12,15,3535,285,219,27,34,47,71,37,5,163,4431,3815,77,35,0,0,7,6,0,0,173,4122,597,19,22,4,0,0,8,7,0,31,683,142,27,29,4,3,3,16,12,0,12,251,4,0,0,0,0,0,0,0,0,0,7,744,44,51,4,3,6,25,15,0,45,948,4,0,0,0,0,0,0,0,0,4,12,4570,121,85,12,4,11,32,22,0,225,5085,2258,16,16,0,4,0,0,0,0,125,2429,495,3,0,0,0,0,0,0,0,32,536,145,0,9,0,0,0,3,3,0,12,169,3,0,0,0,0,0,0,0,0,6,7,640,8,4,0,0,3,8,3,0,47,710,7,0,0,0,0,0
