RA_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
RA10,1853796,..,..,..,..,1853796,..,3311,49,3360,11,3376,..,95339,16113,111460,831,112288,..,1029,45,1073,8,1084,..,51592,16138,67726,457,68182,..,86656,35317,121973,1151,123125,..,5193,1757,6955,35,6987,..,143439,53210,196650,1643,198296,..,8026,1047,9075,61,9128,..,9409,346,9759,136,9892,..,6887,186,7072,102,7169,..,31252,4508,35761,238,36007,..,19050,1023,20069,175,20244,..,12221,637,12859,120,12977,..,37915,1104,39018,302,39321,..,33241,1434,34684,303,34984,..,23225,1664,24885,211,25101,..,6051,140,6189,44,6236,..,23798,1194,24987,269,25261,..,7550,225,7770,78,7850,..,163052,7420,170470,1502,171967,..,24514,2832,27346,193,27532,..,5855,846,6696,80,6776,..,3991,1571,5562,39,5598,..,20384,8117,28499,194,28696,..,11862,1816,13678,77,13750,..,8526,416,8946,102,9050,..,11444,1757,13200,91,13288,..,5085,452,5535,26,5561,..,12175,1629,13803,160,13964,..,7209,940,8149,58,8204,..,6980,938,7918,80,7998,..,8801,1770,10568,75,10643,..,11542
RA11,674679,..,..,..,..,674679,..,784,18,797,6,804,..,1621,173,1795,20,1813,..,1091,31,1120,25,1142,..,650,292,942,15,956,..,1421,744,2167,38,2206,..,77,35,110,6,110,..,2143,1070,3215,53,3262,..,434,51,479,7,483,..,1132,45,1173,12,1185,..,1684,64,1748,22,1769,..,1050,98,1144,16,1163,..,441,23,463,6,467,..,350,21,373,0,372,..,839,39,872,4,883,..,2046,201,2246,25,2270,..,2533,331,2868,38,2910,..,392,25,419,5,420,..,644,34,675,4,681,..,156,5,162,0,164,..,7389,680,8075,90,8166,..,1835,141,1973,18,1993,..,470,68,538,10,548,..,102,30,132,5,134,..,298,130,432,0,432,..,173,10,182,6,187,..,1064,113,1177,24,1201,..,263,26,294,8,300,..,325,24,344,0,348,..,538,38,581,10,586,..,282,27,308,3,309,..,209,18,228,9,239,..,237,38,276,0,279,..,770
RA12,162534,..,..,..,..,162534,..,221,7,229,3,233,..,156,4,161,0,161,..,252,7,262,3,263,..,112,64,176,0,180,..,215,211,423,8,436,..,16,6,22,0,22,..,346,278,625,8,634,..,31,9,36,0,36,..,137,3,142,5,145,..,264,5,269,7,275,..,108,16,121,7,126,..,49,3,53,0,55,..,400,158,556,0,555,..,127,14,141,0,136,..,141,0,143,0,143,..,618,128,747,10,758,..,57,3,63,0,63,..,109,6,121,0,122,..,20,0,20,0,20,..,1521,318,1837,17,1853,..,935,106,1037,15,1050,..,56,7,62,0,62,..,6,0,11,0,11,..,35,22,55,0,57,..,17,4,22,0,22,..,160,17,177,0,177,..,24,0,27,0,27,..,39,0,38,0,41,..,60,12,69,0,70,..,41,5,46,0,46,..,156,26,185,8,188,..,27,9,35,0,35,..,260
RA13,10658,..,..,..,..,10658,..,23,3,29,0,29,..,13,5,16,0,17,..,19,0,19,0,19,..,7,0,17,0,17,..,15,10,26,0,24,..,4,0,4,0,4,..,28,9,41,0,39,..,7,5,15,0,15,..,10,0,7,0,7,..,15,0,14,0,14,..,4,5,3,0,3,..,3,0,3,0,3,..,23,0,23,0,23,..,3,0,3,0,3,..,9,0,9,0,9,..,26,9,34,3,31,..,6,0,6,0,6,..,18,0,18,0,18,..,0,0,0,0,0,..,86,9,94,3,98,..,7,0,14,3,14,..,3,0,3,0,3,..,0,0,3,0,3,..,3,3,13,0,13,..,0,0,0,0,0,..,16,5,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,13,4,15,0,15,..,17
RA14,2754,..,..,..,..,2754,..,4,0,4,0,4,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,6,0,8,0,8,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,15,0,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,25,0,30,0,30,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0
RA15,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA19,3530,..,..,..,..,3530,..,0,0,0,0,0,..,43,4,48,3,54,..,3,0,6,0,6,..,25,3,27,0,27,..,34,16,50,0,50,..,0,0,0,0,0,..,57,26,80,0,80,..,7,0,7,0,7,..,37,0,39,4,41,..,14,0,14,0,14,..,20,4,24,0,24,..,0,0,0,0,0,..,3,0,3,0,3,..,20,0,20,0,20,..,4,0,4,0,4,..,8,0,8,0,8,..,3,0,3,0,3,..,4,0,4,0,4,..,4,0,4,0,4,..,42,4,47,0,47,..,12,0,11,0,11,..,5,0,7,0,7,..,0,0,0,0,0,..,8,0,12,0,8,..,9,0,9,0,12,..,3,0,3,0,3,..,10,4,10,0,10,..,4,0,8,0,8,..,9,0,9,0,9,..,5,0,7,0,7,..,7,0,7,0,7,..,3,0,3,4,5,..,6
RA20,1521678,..,..,..,..,1521678,..,2313,34,2341,7,2347,..,38195,5693,43893,348,44240,..,259,22,282,4,289,..,29465,7944,37406,295,37700,..,73185,24470,97658,982,98634,..,5472,1627,7102,33,7138,..,108117,34046,142163,1306,143472,..,7322,1084,8407,53,8460,..,7547,267,7812,125,7932,..,5915,167,6082,102,6184,..,41773,7135,48906,319,49226,..,7113,269,7386,61,7441,..,11729,609,12339,125,12468,..,32516,1011,33532,262,33788,..,10312,652,10965,151,11112,..,49200,4089,53289,639,53932,..,23500,940,24442,220,24661,..,19395,977,20369,256,20625,..,5840,160,6003,64,6066,..,159611,8713,168323,1771,170091,..,34163,4331,38498,288,38783,..,4223,496,4726,63,4787,..,5552,2242,7796,49,7844,..,5939,1481,7419,83,7499,..,11994,1996,13988,113,14103,..,10717,562,11282,135,11415,..,9708,1574,11284,100,11380,..,4908,550,5453,42,5494,..,3718,337,4056,36,4091,..,6453,1122,7565,70,7636,..,5321,671,5992,56,6049,..,6772,1378,8156,74,8228,..,8569
RA21,522816,..,..,..,..,522816,..,434,5,436,3,438,..,1262,234,1494,26,1524,..,151,5,157,4,157,..,386,114,498,16,511,..,1642,830,2478,27,2499,..,97,60,157,0,157,..,2121,1007,3125,44,3170,..,411,61,472,6,472,..,626,36,658,3,663,..,1043,26,1068,6,1078,..,1069,134,1202,22,1222,..,229,8,237,3,244,..,303,24,327,4,329,..,835,23,855,3,855,..,572,56,626,6,632,..,2141,223,2365,26,2390,..,657,35,692,10,705,..,508,35,534,5,548,..,136,7,141,4,145,..,5374,403,5777,62,5843,..,2610,254,2865,36,2907,..,328,28,357,7,359,..,95,30,123,0,123,..,128,34,164,0,164,..,311,29,342,3,346,..,1076,84,1162,18,1181,..,163,33,194,0,194,..,283,19,307,3,310,..,176,16,193,5,204,..,178,15,186,5,190,..,227,27,257,3,256,..,251,46,292,3,297,..,790
RA22,109458,..,..,..,..,109458,..,129,3,130,0,130,..,103,14,122,6,128,..,49,5,50,3,56,..,102,68,172,5,173,..,394,507,899,20,921,..,27,16,40,0,40,..,526,588,1113,22,1137,..,46,6,55,0,56,..,105,10,116,0,117,..,183,8,189,8,193,..,256,29,285,3,290,..,36,4,39,0,39,..,49,6,51,0,51,..,101,0,106,3,111,..,131,10,133,0,136,..,408,51,461,3,465,..,81,0,83,0,83,..,59,0,63,0,63,..,11,0,11,0,17,..,879,65,944,10,951,..,720,50,772,9,781,..,39,3,43,0,42,..,52,19,69,0,69,..,23,5,32,0,32,..,6,0,10,0,10,..,189,23,217,6,221,..,36,11,42,0,42,..,42,7,45,0,45,..,26,5,30,0,30,..,21,0,29,5,29,..,68,18,83,3,92,..,22,6,23,0,23,..,206
