RA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
RA10,..,10934,4168,15101,70,15170,..,304564,118671,423239,3168,426404,..,16672,2459,19127,123,19246,..,19674,711,20382,260,20643,..,14905,414,15323,194,15517,..,64261,11441,75696,461,76164,..,35450,2798,38249,328,38579,..,23087,1732,24815,223,25042,..,74424,3117,77541,537,78081,..,59744,3160,62903,539,63441,..,42341,3746,46085,407,46489,..,12092,433,12521,86,12604,..,41684,3003,44682,482,45169,..,14944,631,15579,130,15712,..,303774,18614,322383,2729,325117,..,50496,6965,57465,412,57868,..,14372,2024,16392,136,16528,..,8062,4178,12242,84,12325,..,42396,18480,60872,378,61247,..,23137,4410,27542,135,27675,..,16926,926,17850,192,18042,..,22240,3718,25961,195,26157,..,11380,1104,12492,79,12571,..,25013,3490,28505,310,28818,..,16529,2465,18993,125,19119,..,14810,1574,16381,162,16543,..,18392,3683,22071,136,22207,..,27037,762,27797,230,28026,..,27925,3151,31078,303,31384,..,46069,1539,47605,312,47921,..,8411,757,9166,88,9253,..,109446,6213,115651,930,116587,..,59036,7522,66558,594,67154,..,34626
RA11,..,176,61,242,0,243,..,4772,2135,6913,104,7014,..,940,103,1044,10,1054,..,2429,80,2507,30,2539,..,3753,122,3874,44,3917,..,1974,210,2186,34,2221,..,836,63,895,10,906,..,650,70,718,3,718,..,1591,81,1670,14,1680,..,3834,486,4321,47,4374,..,4754,664,5420,67,5489,..,773,42,813,13,822,..,1105,80,1188,13,1201,..,289,17,305,4,313,..,13841,1494,15330,174,15498,..,3639,297,3939,36,3972,..,1174,157,1334,10,1347,..,237,68,310,4,309,..,648,248,898,9,905,..,331,21,357,5,357,..,2167,215,2383,30,2412,..,503,63,563,7,576,..,749,50,800,8,809,..,1179,79,1260,20,1274,..,733,68,798,10,810,..,295,20,317,12,333,..,511,63,580,3,581,..,2041,62,2109,28,2136,..,684,29,714,9,718,..,2768,102,2876,26,2899,..,706,93,806,13,817,..,6208,295,6497,65,6567,..,3701,279,3976,46,4028,..,690
RA12,..,27,13,36,0,36,..,824,524,1345,16,1361,..,80,13,89,0,94,..,284,12,296,4,299,..,631,15,654,10,663,..,215,25,241,9,252,..,94,10,111,0,108,..,705,333,1041,6,1044,..,207,36,245,0,247,..,274,12,287,0,283,..,1112,265,1379,17,1395,..,112,9,121,0,121,..,188,14,207,0,210,..,36,3,39,0,39,..,2738,683,3423,32,3451,..,1830,292,2118,25,2142,..,129,15,137,0,137,..,27,0,27,0,27,..,83,38,120,6,123,..,37,6,41,0,41,..,334,40,370,4,375,..,31,3,38,3,41,..,97,10,98,4,101,..,116,28,140,0,142,..,106,8,119,0,114,..,348,46,392,13,404,..,56,15,69,0,73,..,600,25,627,9,631,..,137,15,150,3,153,..,705,28,730,0,734,..,343,96,439,12,451,..,1784,167,1949,25,1973,..,513,52,566,0,565,..,117
RA13,..,4,0,4,0,4,..,65,18,90,0,86,..,15,5,18,0,18,..,21,0,17,0,21,..,35,0,33,0,33,..,12,5,14,0,14,..,3,0,3,0,3,..,56,3,57,0,57,..,10,0,10,0,10,..,13,0,13,0,13,..,47,6,56,4,61,..,5,0,5,0,5,..,29,0,29,0,29,..,0,0,0,0,0,..,164,11,175,4,177,..,20,3,20,3,25,..,3,0,5,0,5,..,3,4,7,0,7,..,11,10,22,0,22,..,3,0,3,0,3,..,27,9,32,0,32,..,0,0,0,0,0,..,4,0,4,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,4,0,4,0,4,..,18,10,33,0,33,..,41,0,46,0,43,..,17,0,21,0,21,..,39,3,47,0,47,..,26,11,44,0,43,..,125,20,147,0,147,..,48,4,54,0,54,..,6
RA14,..,0,0,0,0,0,..,11,3,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,17,0,20,0,20,..,11,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,40,0,41,0,41,..,0,0,0,0,0,..,3,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,7,20,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,11,0,11,0,11,..,6,5,4,0,4,..,0
RA15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
RA19,..,8,0,7,0,7,..,153,55,210,0,213,..,10,0,12,0,12,..,68,3,71,4,72,..,22,0,22,0,22,..,35,4,37,0,37,..,4,0,4,0,4,..,4,0,4,0,4,..,30,0,30,0,30,..,14,0,14,0,14,..,15,0,12,0,12,..,3,3,8,0,8,..,10,0,10,0,10,..,7,0,7,0,7,..,79,7,88,0,88,..,24,4,28,0,25,..,9,6,12,0,12,..,0,0,0,0,0,..,12,7,20,0,24,..,12,0,12,0,12,..,5,0,5,0,5,..,17,6,20,0,20,..,14,0,15,0,15,..,18,0,18,0,18,..,8,5,16,0,15,..,10,0,13,0,13,..,6,0,6,4,12,..,14,0,14,0,14,..,30,3,31,0,31,..,14,0,14,0,14,..,28,0,28,0,30,..,83,3,84,0,84,..,62,5,67,0,67,..,13
RA20,..,11496,3809,15303,77,15378,..,232080,76204,308287,2520,310806,..,15487,2534,18020,120,18140,..,16002,581,16584,220,16804,..,12951,340,13293,192,13483,..,85820,17640,103460,654,104114,..,13658,804,14461,125,14585,..,21685,1534,23220,235,23451,..,61862,2722,64584,509,65088,..,18832,1420,20255,229,20480,..,89814,8579,98395,1199,99597,..,45175,2412,47592,396,47988,..,33908,2554,36458,494,36955,..,11504,439,11940,119,12063,..,296430,20473,316902,3304,320204,..,72711,11471,84177,573,84753,..,10084,1196,11279,123,11399,..,11229,5733,16966,110,17076,..,12786,3389,16170,143,16318,..,23784,4689,28474,214,28690,..,21061,1180,22237,242,22485,..,18533,3226,21769,175,21939,..,11323,1450,12773,80,12846,..,7878,735,8609,88,8692,..,14707,2796,17501,130,17634,..,11367,1089,12457,126,12587,..,14047,2994,17040,130,17171,..,20273,542,20812,176,20990,..,15621,1212,16833,195,17033,..,25548,708,26255,172,26433,..,9511,1107,10614,91,10709,..,70951,3564,74519,641,75159,..,36430,4130,40556,372,40931,..,30449
RA21,..,195,96,296,0,295,..,4643,2091,6734,87,6821,..,840,134,973,9,985,..,1370,61,1432,13,1446,..,2448,62,2510,25,2536,..,2107,291,2396,44,2439,..,441,26,476,3,474,..,562,54,623,4,622,..,1517,76,1588,9,1599,..,1051,131,1182,10,1197,..,3935,476,4413,55,4470,..,1260,69,1324,20,1344,..,922,68,986,9,999,..,263,7,269,0,273,..,9945,913,10859,120,10972,..,5230,612,5834,87,5921,..,742,75,811,9,818,..,231,87,318,0,318,..,308,75,376,0,380,..,564,69,636,5,635,..,2209,175,2377,33,2413,..,290,67,354,3,356,..,652,60,710,15,721,..,412,31,442,11,456,..,432,46,483,6,486,..,405,36,441,3,444,..,510,84,594,3,590,..,1989,65,2058,21,2078,..,594,54,647,13,660,..,1957,66,2026,20,2046,..,984,216,1201,16,1215,..,5521,409,5929,68,6001,..,1709,133,1841,24,1868,..,714
RA22,..,54,32,80,0,80,..,1164,1027,2193,29,2225,..,112,10,124,4,128,..,241,18,262,6,267,..,446,12,453,10,463,..,496,76,567,8,578,..,66,4,67,0,68,..,86,7,95,6,91,..,189,8,198,3,200,..,256,12,263,6,268,..,767,98,864,6,866,..,149,3,153,0,153,..,109,5,117,5,121,..,29,0,29,0,28,..,1643,139,1779,18,1799,..,1419,174,1589,12,1609,..,114,12,127,0,130,..,94,61,162,0,162,..,71,18,90,0,90,..,20,0,25,0,25,..,386,38,429,7,434,..,60,14,69,0,69,..,77,15,91,0,91,..,51,6,62,0,62,..,65,0,69,3,76,..,105,24,132,3,137,..,39,11,48,0,48,..,499,18,515,8,519,..,131,38,170,4,172,..,521,22,540,5,548,..,708,308,1015,16,1027,..,1856,388,2242,25,2266,..,310,28,336,0,336,..,154
