RA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA10,965,1350,6314,9633,14368,26153,42230,39178,22489,162689,258,1242,6274,6805,8987,12989,12925,10767,6897,67140,14414,22004,56898,46769,35556,32177,31484,30315,24586,294201,145491,397822,924956,883892,769528,679918,526912,303503,129405,4761424
RA11,572,471,1750,2405,3400,7610,14376,12802,8101,51490,75,157,617,648,690,822,874,727,417,5022,5907,6281,13967,13211,13141,13764,14786,12684,7687,101428,42118,77615,169795,173392,193842,216990,205586,117449,43679,1240462
RA12,167,119,442,641,1200,2692,5065,4142,2257,16717,22,22,117,96,182,202,285,271,148,1359,1949,1858,4453,4442,4742,5591,5275,3851,1996,34150,9777,17058,39679,39432,46684,57328,50645,27913,9963,298475
RA13,9,11,41,58,93,210,347,295,122,1170,3,5,11,4,9,18,33,31,9,120,239,234,559,528,564,641,511,350,113,3748,759,1280,3344,2874,3274,3834,2851,1576,528,20328
RA14,17,10,18,9,41,87,111,70,29,386,0,3,0,3,0,10,18,3,0,41,75,77,163,137,149,167,139,70,18,993,242,349,880,752,865,980,743,345,96,5252
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
RA20,1319,1795,7024,10131,12814,20078,37982,47619,27357,166115,319,1448,6404,7445,8580,10442,10308,9803,6062,60803,10795,16951,45301,35359,27626,23880,23577,21650,15648,220783,106072,337025,809724,748723,637851,536762,411954,240678,103412,3932196
RA21,628,536,1837,2155,2817,5185,11073,13852,8204,46291,69,192,612,672,822,811,725,644,383,4927,4066,3804,8856,9168,10034,11014,11938,10014,6215,75108,27951,60028,135382,140208,154945,167970,155178,83383,31149,956187
RA22,160,140,483,559,760,1548,2996,3703,2272,12630,22,74,237,212,250,254,201,203,101,1544,1053,1017,2313,2394,2658,3312,3497,2629,1545,20423,5747,11577,27446,26919,31597,39382,36692,20019,7651,207032
RA23,0,5,3,5,7,37,55,64,58,230,0,6,0,0,0,5,0,0,0,14,12,7,9,38,28,51,45,44,28,270,42,89,258,342,335,657,566,311,133,2738
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
RA29,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
RA30,835,735,2852,4029,5640,8536,18011,24453,13201,78297,159,490,2245,2475,2792,2870,2384,1684,1105,16205,8405,12384,29220,23972,20471,17304,16609,15303,11433,155099,90529,223622,481837,468769,436441,367101,294624,165198,62030,2590146
RA31,380,375,1027,1561,2505,4491,11751,15600,7146,44843,70,178,568,552,574,622,620,484,245,3910,3480,3660,8697,8637,9396,9341,8743,7304,3973,63236,26838,50987,110528,114475,127425,137723,123787,68170,22368,782299
RA32,211,222,697,1064,1578,3091,6525,8091,3654,25137,47,78,355,382,491,524,471,401,218,2964,3586,4842,10610,9122,9245,8544,6816,4568,2033,59375,19530,39732,87909,86859,92095,91435,71798,36004,11253,536610
RA33,74,31,108,127,239,478,853,799,265,2979,6,13,31,19,35,54,58,49,14,288,429,664,1622,1279,1330,1356,930,493,188,8295,2051,4347,10553,8842,9245,9574,6663,3097,817,55202
RA34,98,48,114,142,211,494,801,619,209,2725,8,7,29,18,27,36,76,56,21,283,336,491,1091,858,951,1014,569,364,133,5809,2050,3641,7768,6358,6583,6652,4162,1908,574,39690
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,48,32,8,0,0,0,135,0,16,48,64,45,5,3,0,0,183
RA39,10,14,39,43,34,74,138,58,9,406,3,5,12,3,6,8,13,5,4,61,129,283,766,729,628,515,342,81,15,3486,418,928,2647,2073,1929,2468,2124,441,44,13081
RA40,286,385,1587,2353,2538,4106,9059,12720,8847,41879,62,252,1224,1819,2276,2201,1888,1728,1340,12785,2347,3403,8106,7084,6333,6184,6414,6175,4323,50376,30075,88329,189381,179451,168480,161473,135684,79248,35588,1067708
RA41,33,37,153,240,271,537,1560,2176,1330,6331,12,10,44,54,60,67,74,77,40,424,478,457,952,1029,1389,1517,1615,1280,681,9389,3863,7934,16227,18397,22847,26759,25743,14280,4814,140871
RA42,64,70,292,341,460,1035,2668,3361,1848,10138,19,30,120,148,186,165,129,151,72,1005,726,724,1653,1684,1920,2212,2246,1890,884,13927,4593,9556,21847,21477,25332,29908,27383,15358,5587,161049
