RA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA10,9892,46275,64522,49575,44744,43842,37862,21214,6470,324410,5446,48270,89974,65593,59842,53992,33161,14851,4647,375768,2574,42998,117495,85627,73983,64401,33604,11733,2926,435343,799,25888,101212,74212,60609,47994,21249,6501,1683,340146,369,12229,88296,72711,58965,43443,16974,5448,1592,300031,180,5147,62842,62580,50200,34725,11626,3405,936,231638,156,4415,99222,137763,103150,62040,17445,4699,1237,430119,69,657,17312,37367,29511,16280,4910,1522,485,108111,128,787,20857,68145,71689,39006,12084,4220,1334,218256,18790,25953,63075,51750,40406,34102,30634,29344,28093,322152,343353,398901,926013,884749,770453,680882,527733,303911,129555,4965542
RA11,3845,10988,15766,13374,13941,16467,16878,9290,2662,103208,2273,12042,21269,17567,18913,20011,13339,5796,1642,112846,1042,8541,23404,20392,22114,22280,12785,4286,948,115799,331,4513,16561,15331,16360,14951,7213,2063,473,77794,124,2091,13252,13761,14713,12589,5273,1935,622,64357,45,910,8738,11008,12229,9396,3142,884,213,46568,36,836,10923,19497,21732,14966,4069,1053,254,73364,11,104,1649,3667,4236,3155,1069,345,87,14330,76,174,1749,5204,7459,5897,2678,972,269,24465,7851,6937,14882,14141,14248,14433,14625,12511,8464,108100,91384,77742,169880,173480,193954,217090,205673,117502,43690,1290387
RA12,908,2230,3465,3148,3540,4246,3710,1947,520,23714,592,2631,4919,4178,4737,5364,3109,1212,332,27059,295,2071,5278,4566,5190,5781,2924,913,173,27202,85,1074,3419,3300,3637,3549,1584,426,79,17157,46,504,2847,2885,3069,2915,1225,462,134,14084,26,261,1961,2109,2468,2245,780,214,55,10123,16,237,2428,3471,4081,3055,946,211,52,14498,4,33,364,657,742,597,225,91,20,2728,30,57,378,898,1209,1119,595,274,76,4638,2617,2014,4676,4642,5042,5783,5355,3850,2102,36079,20853,17083,39722,39460,46727,57348,50662,27916,9969,309744
RA13,56,123,226,178,204,222,162,73,24,1266,49,148,353,245,255,291,166,75,22,1602,41,148,353,266,304,333,157,46,8,1650,16,94,327,208,226,220,99,20,3,1211,8,54,261,196,202,190,65,19,4,1006,3,39,176,131,181,136,53,10,6,733,4,35,251,270,259,210,51,12,0,1090,0,3,36,58,66,62,18,3,0,241,0,4,46,64,111,105,46,16,4,407,305,258,593,555,603,691,519,372,133,4028,1397,1280,3344,2872,3277,3834,2856,1577,532,20979
RA14,17,35,68,39,59,62,37,21,9,332,9,34,80,51,73,84,44,11,8,389,8,34,85,71,70,76,25,14,3,393,4,23,73,50,72,62,26,6,0,322,0,14,57,56,41,46,23,5,0,236,0,4,40,47,26,31,14,0,0,163,0,3,49,62,67,60,12,3,0,267,0,0,10,17,10,8,8,0,0,53,0,0,19,14,22,31,30,6,0,123,88,86,171,135,153,162,139,68,25,1028,375,349,880,757,862,980,743,345,96,5389
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
RA20,5043,35139,57245,43870,38457,35103,31277,17637,5739,269514,3308,38564,85944,61484,53391,44647,27184,11656,3857,330026,1575,32848,108707,76852,64204,52104,25226,8571,2332,372423,451,17236,92619,65846,51817,39023,16179,4876,1316,289363,235,7706,79283,65277,51101,35677,12652,4133,1302,257361,104,3049,50932,53305,40868,27029,8501,2419,692,186884,104,2397,73197,108485,80419,47648,12636,3350,965,329204,59,454,11777,27788,22576,12754,3520,1045,346,80312,121,685,11901,45042,49910,27139,8602,2873,990,147271,14606,21137,52081,40595,32841,26532,24060,21828,18328,251999,279732,337815,810489,749421,638502,537352,412451,240882,103485,4110133
RA21,2148,8227,11678,10435,11323,12872,13421,6687,1751,78541,1341,9212,16988,13845,14930,15424,10343,4124,1106,87309,664,6730,19393,16260,17748,17440,9130,2776,627,90764,169,3281,14246,13029,13465,12088,5141,1432,315,63170,77,1509,11856,12156,12385,10290,3827,1180,399,53676,30,601,6943,9113,9595,7185,2331,573,159,36530,35,503,8197,14641,16230,11320,3047,715,183,54876,10,75,1192,3047,3479,2481,779,229,69,11364,44,130,1303,4372,5903,4604,1960,776,243,19334,5770,4608,10389,10567,11463,11813,12190,9752,6662,83205,69327,60154,135443,140280,155025,168040,155222,83421,31168,998085
RA22,474,1622,2727,2393,2673,3249,2902,1503,447,17984,277,1869,3597,2993,3429,3789,2314,863,288,19421,153,1330,4059,3366,3727,4039,2008,569,142,19392,37,653,2596,2343,2660,2624,1090,335,74,12411,16,295,2053,1985,2204,2210,787,301,96,9948,4,115,1055,1353,1530,1454,486,148,35,6179,5,64,1170,2023,2327,2037,677,180,45,8535,0,6,149,321,471,399,189,66,15,1617,12,33,256,535,818,772,383,175,62,3030,1535,1122,2444,2523,2856,3356,3560,2558,1624,21577,13564,11605,27484,26949,31621,39414,36710,20029,7657,215019
