RA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
RA10,3112,172540,9991,185652,19105,348446,20028,387584,6515,161807,8574,176894,4804,187632,12301,204734,7308,420957,29526,457790,7753,405368,24776,437893,11024,347171,18934,377132,17515,298205,15771,331485,24910,213996,11843,250755,28194,103126,8827,140144,21534,22237,5853,49627,151770,2681484,166434,2999688,1624,164139,9547,175304,8817,338887,18635,366339,3757,155001,7697,166458,3190,180814,10164,194165,6329,435657,26239,468223,8088,416852,21909,446850,13025,363794,16501,393317,21243,314200,13952,349400,30448,234559,11969,276985,41636,111375,10755,163766,41825,26945,11162,79928,179991,2742218,158533,3080740,4741,336680,19542,360961,27925,687333,38663,753924,10274,316806,16274,343353,7994,368445,22463,398901,13637,856615,55765,926013,15841,822221,46685,884749,24057,710961,35436,770453,38752,612404,29717,680882,55362,448557,23814,527733,69826,214499,19583,303911,63357,49178,17011,129555,331757,5423702,324966,6080428
RA11,861,39493,2918,43269,6968,86004,7065,100031,2435,41527,3396,47353,1682,34486,3640,39801,2542,73032,7815,83388,2478,74265,7296,84041,3777,82906,7092,93780,6273,91934,6722,104933,9052,86378,5780,101208,9230,43327,3650,56209,6629,8944,1590,17163,51921,662296,56967,771183,476,37694,2751,40919,3368,85032,6732,95127,1493,39573,2965,44035,1096,34238,2614,37943,2132,78471,5887,86487,2531,81061,5843,89437,4181,90275,5712,100169,6281,100085,5788,112156,8571,90475,5412,104463,11746,45496,4049,61289,13270,10488,2771,26529,55153,692871,50533,798556,1333,77184,5664,84183,10331,171035,13798,195156,3935,81098,6360,91384,2773,68720,6253,77742,4669,151502,13702,169880,5008,155329,13139,173480,7957,173183,12810,193954,12558,192019,12512,217090,17626,176851,11192,205673,20978,88819,7705,117502,19899,19432,4362,43690,107077,1355165,107495,1569737
RA12,161,9260,989,10407,1281,20770,2562,24609,429,9245,1071,10749,338,7624,1073,9039,513,16860,2425,19797,541,16501,2310,19355,960,19756,2456,23173,1641,24457,2676,28776,2359,21765,2256,26378,2142,10417,1246,13810,1435,2081,484,4001,11801,158751,19550,190095,89,8807,959,9862,595,20048,2427,23076,242,8903,961,10109,208,7031,802,8043,377,17615,1935,19923,480,17609,2010,20101,976,20435,2144,23554,1609,24598,2364,28570,1953,20484,1848,24282,2575,10335,1190,14104,2876,2414,684,5970,11986,158278,17331,187593,249,18073,1948,20270,1877,40820,4989,47682,675,18152,2028,20853,549,14656,1875,17083,889,34473,4355,39722,1019,34112,4328,39460,1937,40190,4597,46727,3252,49060,5034,57348,4312,42246,4108,50662,4725,20758,2436,27916,4307,4495,1171,9969,23786,317026,36880,377693
RA13,6,738,146,889,65,1389,342,1798,24,566,126,705,16,524,114,655,20,1334,293,1651,37,1138,257,1423,39,1319,279,1641,101,1605,311,2023,142,1211,244,1599,126,528,140,798,82,113,33,226,655,10469,2291,13413,8,719,143,870,28,1357,307,1691,11,555,128,695,4,498,125,623,21,1406,263,1691,28,1160,267,1450,51,1326,267,1639,94,1439,278,1814,104,955,195,1256,129,522,128,783,147,116,44,307,618,10049,2140,12807,12,1458,284,1755,92,2737,655,3489,31,1118,250,1397,17,1020,243,1280,43,2744,562,3344,57,2297,522,2872,90,2646,544,3277,198,3049,588,3834,249,2169,438,2856,255,1055,267,1577,231,228,73,532,1278,20517,4431,26219
RA14,0,185,44,235,9,367,89,469,8,147,42,197,0,133,35,173,0,322,64,392,6,303,55,362,9,348,59,424,27,410,85,516,34,324,68,427,21,132,28,182,14,19,4,43,138,2699,579,3413,0,154,34,187,11,332,85,426,0,142,34,177,0,132,41,177,5,397,89,492,6,318,68,392,10,362,75,443,20,373,71,464,30,247,42,317,29,102,25,160,29,20,5,57,140,2575,575,3293,0,338,79,419,20,702,176,895,10,294,72,375,0,264,79,349,5,724,152,880,14,619,128,757,22,709,131,862,42,777,157,980,65,570,113,743,51,235,58,345,47,42,13,96,279,5275,1154,6708
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,6,157,87,258,24,200,167,382,8,156,91,253,12,267,136,411,25,723,414,1164,34,586,480,1108,42,531,433,1010,73,569,308,949,39,476,130,648,20,115,35,166,8,10,6,19,300,3791,2285,6375,3,113,90,203,9,218,182,412,9,180,91,279,13,274,135,418,26,667,333,1022,27,434,286,749,41,428,197,666,51,500,149,698,31,312,64,404,12,76,20,104,15,5,8,32,232,3220,1546,4997,11,276,181,460,35,413,344,798,20,337,174,532,17,542,267,829,52,1392,749,2187,65,1025,761,1859,83,960,629,1678,129,1069,460,1648,71,787,195,1055,35,192,53,277,15,14,14,49,537,7010,3831,11371
RA20,2450,142656,7618,152724,16596,281824,15270,313687,5514,131380,6433,143327,3925,159326,9825,173076,6247,370871,24610,401730,6576,344958,19381,370910,9256,286809,14759,310828,13465,234786,11531,259787,18892,165804,8441,193133,23317,80314,5936,109567,18548,18050,3104,39708,124794,2216777,126909,2468475,1382,135677,7439,144500,8006,274894,14480,297380,3447,126949,6011,136403,2965,153794,7974,164738,6277,380986,21491,408756,7398,353871,17245,378513,11547,302889,13246,327678,17156,249720,10690,277565,24858,185396,9056,219311,36233,88199,6887,131316,37258,21089,5430,63780,156538,2273459,119941,2549938,3837,278331,15055,297219,24601,556716,29745,611067,8959,258331,12438,279732,6893,313118,17806,337815,12532,751860,46101,810489,13972,698825,36619,749421,20803,589697,28001,638502,30624,484503,22224,537352,43751,351202,17496,412451,59555,168510,12827,240882,55809,39140,8535,103485,281328,4490240,246846,5018415
RA21,622,30538,2038,33197,5524,67711,5236,78469,1931,31636,2247,35816,1356,27471,2140,30968,2145,59280,5179,66600,2051,60235,5219,67502,2966,66718,5399,75083,4603,70982,5188,80773,6439,65099,4753,76286,6852,30508,2888,40249,4892,6049,1285,12227,39384,516212,41586,597176,399,29725,1958,32076,2689,65673,4767,73131,1211,30148,2151,33511,899,26530,1763,29195,1787,62777,4273,68845,2206,65977,4591,72772,3454,71982,4514,79943,5114,77408,4745,87260,6745,67900,4289,78929,8427,31756,2989,43175,9587,7269,2082,18943,42522,537139,38120,617778,1026,60259,3997,65279,8215,133379,10007,151601,3146,61785,4395,69327,2257,53998,3907,60154,3935,122059,9451,135443,4254,126208,9815,140280,6418,138701,9913,155025,9714,148389,9935,168040,13181,133004,9040,155222,15280,62261,5880,83421,14485,13320,3366,31168,81902,1053349,79701,1214965
RA22,105,5873,498,6476,985,12950,1335,15272,354,6131,580,7067,262,5302,524,6091,381,12083,1130,13592,410,11512,1177,13103,671,13400,1261,15335,1168,17012,1504,19679,1687,15792,1412,18886,1603,7469,788,9866,1123,1543,343,3012,8754,109078,10549,128377,55,5849,485,6392,486,12842,1206,14525,200,5782,517,6494,153,4898,458,5514,330,12464,1092,13888,409,12296,1133,13842,758,14374,1156,16286,1228,17213,1300,19735,1509,15130,1184,17819,1939,7441,785,10169,2242,1831,569,4639,9312,110116,9882,129306,161,11719,983,12865,1474,25788,2539,29799,556,11910,1093,13564,416,10203,983,11605,710,24550,2219,27484,824,23808,2317,26949,1426,27778,2414,31621,2391,34220,2803,39414,3200,30917,2596,36710,3543,14912,1572,20029,3366,3378,907,7657,18065,219188,20429,257682
