RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
RA10,415,451,978,1583,2415,3658,5337,6074,4197,25107,408,375,630,1292,3545,8405,12776,11147,4992,43563,8553,45468,53378,43690,41796,35590,22351,12880,8479,272192,94,144,348,785,1819,3189,5130,6276,4603,22390,15654,18780,29151,33166,38114,45136,39556,24543,16395,260505,452674,253500,330339,307807,240901,174238,101543,39956,11493,1912457,40019,26534,33778,30507,26189,22523,17238,12664,10637,220110,541648,360626,468223,446850,393317,349400,276985,163766,79928,3080740,875,2836,9657,21355,48434,93332,124784,97467,45661,444406,68021,58538,67350,64428,55517,48968,41386,23647,8717,436585,994,1331,3468,7828,16917,31466,44403,34515,13388,154309,56,79,118,197,583,1734,5714,15844,20146,44470,1546,3582,7983,19251,36846,65333,79088,52374,17335,283334,1645,1641,2631,5645,15380,37744,62524,57697,30645,215542,1077,972,1835,3099,4958,8087,12251,12650,7519,52445,943,800,1307,2562,6572,15619,24428,21733,9150,83103,18698,69481,83689,72295,70579,60612,38212,20617,11668,445863,251,304,660,1508,3737,7738,12753,13978,8255,49185,40568,34883,47120,56298,66776,80530,70891,42304,24465,463828,911942,539791,674714,624036,483440,345340,193405,76039,20369,3869074
RA11,84,150,261,411,805,1328,2357,2626,1726,9756,154,136,221,587,1769,4323,6809,5217,1936,21146,3721,14377,15699,14982,16019,15468,9956,4684,2922,97838,32,57,120,271,688,1323,2165,2433,1722,8805,4708,4824,6815,8450,10833,13993,12620,7226,4414,73874,105572,50317,51473,50958,52558,49524,35545,14400,3810,414157,13837,8215,7716,8063,8416,8529,7642,5247,3103,70774,136047,81979,86487,89437,100169,112156,104463,61289,26529,798556,297,991,3112,7429,17799,40248,57895,41713,17297,186779,22722,16323,17550,18318,18627,20738,20254,11046,3605,149185,253,360,803,1930,5032,11613,19725,14585,5064,59352,19,21,48,59,181,589,2191,5649,6215,14973,503,1075,1929,3862,8871,17425,25708,17578,5208,82153,506,527,819,1464,4562,13159,25095,22765,11301,80215,277,316,505,796,1550,2836,5070,5436,2936,19718,375,278,468,1094,3139,8383,13665,10466,3699,41563,8149,22641,24507,24393,26781,26636,18226,8301,4116,163760,80,101,238,526,1291,3013,5401,5642,3079,19375,12185,9112,10938,13681,18510,25178,23594,12986,6703,132884,211491,109130,106061,102878,105624,97295,69450,28072,6864,836865
RA12,31,33,65,97,181,361,566,591,361,2281,49,19,48,137,465,1217,1534,1132,390,4989,631,2535,2969,2957,3323,3620,2109,922,513,19574,10,4,13,59,178,352,446,492,294,1846,967,811,1208,1578,2253,3086,2499,1384,888,14666,24882,11297,12066,11399,12132,12335,8122,3464,930,96621,4281,2299,2298,2422,2680,3036,2426,1532,830,21795,32932,18152,19923,20101,23554,28570,24282,14104,5970,187593,74,242,664,1530,4354,10447,14028,9396,3777,44518,5718,3881,3994,3978,4465,5703,5122,2623,825,36307,62,65,182,435,1073,2836,4474,3047,980,13164,10,0,15,21,40,156,439,1104,1249,3032,135,252,480,911,2335,4919,6690,4153,1186,21060,117,112,174,401,1191,3571,6161,5152,2324,19207,75,70,96,191,368,749,1285,1204,608,4644,101,63,107,250,832,2367,3379,2389,763,10251,1484,3978,4590,4768,5622,6298,3959,1691,762,33155,18,13,32,100,337,796,1240,1198,576,4311,2458,1649,2034,2608,4010,5949,4937,2548,1353,27546,50153,24459,25011,23237,24967,25045,16747,7020,1660,198301
RA13,0,0,0,8,18,22,37,35,24,143,0,3,5,10,29,72,85,51,29,279,35,147,186,161,170,175,78,32,22,1002,0,0,0,6,13,23,27,29,13,113,44,47,66,89,98,145,99,52,58,698,1796,761,995,774,808,745,385,183,47,6491,513,268,285,291,299,311,231,148,44,2397,2555,1317,1691,1450,1639,1814,1256,783,307,12807,8,16,43,97,256,640,638,458,189,2345,442,263,329,277,311,362,293,129,44,2458,7,10,9,30,75,179,218,167,49,737,0,0,0,0,4,13,25,79,52,175,4,18,42,88,188,379,387,269,54,1435,5,7,14,28,110,272,359,273,127,1188,8,9,3,5,23,56,69,74,37,286,6,9,5,17,46,153,210,112,43,603,75,213,269,264,276,325,164,66,26,1675,0,4,3,5,29,56,71,61,31,251,125,81,108,163,195,297,212,118,80,1362,3555,1637,2071,1591,1666,1574,898,367,86,13440
RA14,0,0,6,0,0,11,15,13,4,40,0,0,0,0,3,12,27,7,3,60,7,22,54,45,43,32,23,4,0,227,0,0,0,0,3,9,13,3,4,36,17,12,23,23,25,35,12,15,3,157,437,224,294,216,225,217,107,44,21,1772,131,85,91,78,78,83,51,29,11,625,619,352,492,392,443,464,317,160,57,3293,0,0,10,19,43,131,172,93,30,504,78,41,66,52,79,86,76,34,3,522,0,0,0,9,15,37,51,26,3,150,0,0,0,0,0,8,4,14,10,36,0,0,12,23,73,109,107,64,9,395,5,0,4,10,32,76,105,58,19,311,0,0,6,0,9,23,24,24,7,89,0,0,0,0,10,26,52,22,7,118,17,34,63,73,72,61,40,13,0,383,0,0,3,4,7,13,21,14,0,74,30,16,26,32,58,74,43,28,9,317,917,466,560,451,445,449,247,90,33,3659
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,3,6,4,7,3,3,36,0,0,4,10,23,35,22,6,5,102,24,165,170,141,142,135,35,8,6,830,0,0,5,0,3,4,6,5,0,30,13,45,59,76,79,105,48,15,3,434,269,275,449,236,215,229,119,27,7,1823,285,220,335,292,212,157,68,19,7,1605,616,703,1022,749,666,698,404,104,32,4997,3,3,33,57,120,272,240,78,11,813,57,106,139,113,111,131,95,26,4,776,0,0,6,19,29,86,82,34,3,260,0,0,0,0,3,3,6,6,6,27,0,6,8,33,51,109,116,36,7,365,3,5,8,10,44,95,152,49,8,387,0,0,0,8,17,19,21,9,3,85,0,6,12,25,33,90,79,20,8,268,40,261,298,290,305,277,91,14,3,1585,0,0,4,0,8,27,25,11,0,79,37,75,101,147,154,215,125,28,8,894,583,558,974,607,499,488,303,73,4,4089
RA20,347,386,864,1301,1970,2878,4101,4596,3421,19869,333,265,554,1032,2760,5771,9123,8093,3910,31839,7537,41268,55171,42420,38343,31132,19785,11917,8842,256421,106,156,320,691,1609,2572,4244,5165,4259,19117,13145,16949,28017,29570,33313,36110,31351,20937,13883,223288,370975,208721,278575,254893,196239,136489,79174,31341,9139,1565549,31347,21170,28005,24177,21306,17323,13485,9115,6176,172111,441877,301141,408756,378513,327678,277565,219311,131316,63780,2549938,592,2405,8428,17449,38731,71627,95240,77058,37954,349485,53818,51392,68839,62966,52085,42571,36128,21373,8151,397327,846,1090,2995,6347,13881,24970,35774,27841,11457,125205,67,67,116,152,407,1128,4111,12095,16248,34396,1327,2914,7052,17037,30719,49906,60316,41322,15110,225708,1550,1277,2304,4515,12327,28709,47355,44706,25331,168078,938,793,1628,2580,4004,6292,9237,9701,6044,41220,759,607,1153,2050,5053,10893,17403,15757,7215,60904,15833,61844,85705,69965,63768,51664,32802,18794,12209,412582,300,294,601,1354,3369,6250,10478,11573,7481,41699,33671,31134,44596,49927,57382,64044,55020,35092,20768,391629,746364,445703,574790,518210,393443,270704,150788,59756,16359,3176116
RA21,106,112,198,317,576,998,1552,1655,1051,6559,119,100,194,459,1330,3130,4863,3506,1370,15076,2904,11157,13819,12940,13156,12532,8073,3495,2216,80291,38,43,107,227,596,1073,1714,1755,1117,6679,3829,4157,6128,7116,9056,11140,9968,5412,3611,60411,82319,38549,39646,40783,41554,38255,26293,9801,2626,319826,10034,5763,5578,6096,6517,6734,5995,3946,2390,53058,105205,62701,68845,72772,79943,87260,78929,43175,18943,617778,229,736,2647,5997,14251,29956,42351,29216,11783,137171,17296,13285,15541,16159,15500,16349,15390,8215,2597,120337,213,276,642,1636,3942,8889,14499,10467,3558,44117,15,34,41,46,117,451,1455,3418,3990,9575,383,855,1634,3184,7092,13472,19524,12647,3902,62695,467,389,659,1205,3662,10364,19484,16578,8006,60805,258,225,362,580,1087,2018,3389,3418,1823,13162,278,205,389,832,2313,5937,9493,7169,2602,29217,6218,17385,21214,20776,21821,20904,14258,6170,3137,131879,101,109,195,413,1108,2393,4197,4100,2057,14659,9616,7645,9606,11428,15164,19669,18020,9677,5312,106131,165654,84154,83304,82537,84334,75879,52139,19367,4763,652140
RA22,8,19,38,53,114,243,355,385,239,1456,27,26,33,89,294,742,1104,751,282,3344,473,1748,2337,2213,2601,2629,1729,677,384,14802,4,9,30,53,118,271,372,376,251,1482,670,650,996,1175,1726,2243,1978,1082,688,11211,16325,7542,8350,7940,8529,8803,6095,2431,762,66777,2288,1318,1330,1407,1552,1718,1585,1030,691,12919,20917,12008,13888,13842,16286,19735,17819,10169,4639,129306,35,137,515,1112,2979,6954,9861,6675,2754,31029,3218,2543,2916,2835,3118,3759,3527,1884,574,24366,45,58,115,289,743,2027,3288,2382,780,9717,10,13,5,11,37,90,280,696,795,1931,76,171,327,662,1488,3271,4630,2970,931,14532,75,81,117,229,824,2478,4505,3754,1757,13818,44,41,70,97,229,513,792,758,422,2961,61,43,65,179,519,1460,2338,1714,516,6885,991,2795,3639,3509,4304,4647,3224,1239,518,24871,8,11,39,91,261,608,951,920,483,3368,1633,1285,1570,1939,2968,4168,3780,1962,1012,20320,32476,16529,17590,16216,17194,17918,12669,4907,1337,136829
