RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA10,82819,57283,71400,63795,55088,46216,33375,23147,16573,449700,1114886,742255,926013,884749,770453,680882,527733,303911,129555,6080428
RA11,28449,18309,17749,17726,18266,17942,15280,9828,4968,148514,279344,169133,169880,173480,193954,217090,205673,117502,43690,1569737
RA12,8811,5086,5200,5275,5766,6450,5261,3066,1412,46323,67954,37941,39722,39460,46727,57348,50662,27916,9969,377693
RA13,1072,546,616,581,625,695,510,306,82,5030,5243,2678,3344,2872,3277,3834,2856,1577,532,26219
RA14,281,164,167,141,150,176,131,60,12,1279,1318,721,880,757,862,980,743,345,96,6708
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
RA20,64399,45248,59734,50668,44235,35321,25533,16771,9817,351726,908288,617549,810489,749421,638502,537352,412451,240882,103485,5018415
RA21,20642,12461,12316,12939,14031,14014,12230,7608,3877,110120,216880,129482,135443,140280,155025,168040,155222,83421,31168,1214965
RA22,4732,2842,2782,2898,3227,3726,3335,2032,1110,26690,42662,25163,27484,26949,31621,39414,36710,20029,7657,257682
RA23,52,27,17,47,34,72,54,35,24,364,487,210,258,342,335,657,566,311,133,3305
RA25,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
RA29,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
RA30,48785,34848,39579,35611,32710,25631,18484,11618,7064,254330,625491,428336,482124,468983,436674,367325,294820,165311,62072,3331137
RA31,17817,11881,12502,12469,13221,12035,9283,5656,2534,97400,181894,111081,110592,114549,127493,137784,123830,68209,22375,997806
RA32,15014,11294,13050,11740,11732,10155,7047,3788,1424,85244,129422,81418,87970,86925,92148,91486,71853,36024,11258,688508
RA33,1844,1285,1780,1436,1538,1427,881,440,133,10761,14431,8102,10558,8851,9252,9574,6674,3097,817,71351
RA34,1713,942,1181,957,1025,1065,565,290,91,7825,11642,6797,7783,6369,6589,6658,4165,1912,574,52481
RA35,0,14,37,47,34,8,0,0,0,133,0,16,49,64,45,5,3,0,0,183
RA39,255,435,800,739,648,553,354,67,9,3862,1437,1495,2649,2077,1929,2468,2124,444,44,14670
RA40,14724,10702,11557,11036,10853,9596,7031,4641,2686,82837,229884,164303,189595,179592,168590,161563,135765,79299,35608,1344200
RA41,2230,1496,1389,1521,1866,1930,1683,971,394,13474,28520,17660,16241,18405,22857,26765,25754,14290,4816,175307
RA42,3351,2093,2378,2430,2538,2677,2225,1458,659,19811,33836,20443,21873,21495,25351,29912,27394,15370,5592,201259
RA43,747,428,524,536,639,637,518,302,136,4473,7929,4020,5027,5028,5550,6454,5567,2957,1066,43592
RA44,349,217,280,198,266,256,180,97,51,1897,2559,1508,1938,1601,1819,1932,1511,678,229,13768
RA45,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
RA49,84,79,166,178,144,138,77,11,0,882,409,394,627,534,478,513,359,64,11,3377
RA50,27121,19227,24819,23211,21225,16855,11539,7423,4671,156093,396337,252219,300403,303100,270009,236044,187175,101828,40566,2087667
