RA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA10,1114886,742255,926013,884749,770453,680882,527733,303911,129555,6080428
RA11,279344,169133,169880,173480,193954,217090,205673,117502,43690,1569737
RA12,67954,37941,39722,39460,46727,57348,50662,27916,9969,377693
RA13,5243,2678,3344,2872,3277,3834,2856,1577,532,26219
RA14,1318,721,880,757,862,980,743,345,96,6708
RA15,0,0,0,0,0,0,0,0,0,0
RA19,1260,1357,2187,1859,1678,1648,1055,277,49,11371
RA20,908288,617549,810489,749421,638502,537352,412451,240882,103485,5018415
RA21,216880,129482,135443,140280,155025,168040,155222,83421,31168,1214965
RA22,42662,25163,27484,26949,31621,39414,36710,20029,7657,257682
RA23,487,210,258,342,335,657,566,311,133,3305
RA25,0,0,6,16,3,14,4,0,0,38
RA29,1143,1131,1819,1736,1393,1074,613,152,29,9089
RA30,625491,428336,482124,468983,436674,367325,294820,165311,62072,3331137
RA31,181894,111081,110592,114549,127493,137784,123830,68209,22375,997806
RA32,129422,81418,87970,86925,92148,91486,71853,36024,11258,688508
RA33,14431,8102,10558,8851,9252,9574,6674,3097,817,71351
RA34,11642,6797,7783,6369,6589,6658,4165,1912,574,52481
RA35,0,16,49,64,45,5,3,0,0,183
RA39,1437,1495,2649,2077,1929,2468,2124,444,44,14670
RA40,229884,164303,189595,179592,168590,161563,135765,79299,35608,1344200
RA41,28520,17660,16241,18405,22857,26765,25754,14290,4816,175307
RA42,33836,20443,21873,21495,25351,29912,27394,15370,5592,201259
RA43,7929,4020,5027,5028,5550,6454,5567,2957,1066,43592
RA44,2559,1508,1938,1601,1819,1932,1511,678,229,13768
RA45,0,0,0,3,5,0,0,0,0,12
RA49,409,394,627,534,478,513,359,64,11,3377
RA50,396337,252219,300403,303100,270009,236044,187175,101828,40566,2087667
RA51,43044,24058,24852,29343,32047,32193,27697,13733,4482,231450
RA52,34282,19297,20730,21911,24378,26343,21921,11411,3958,184237
RA53,19447,8681,13402,13702,11917,10505,6236,2719,815,87426
RA54,11890,6952,11339,9719,8486,7161,3574,1286,258,60672
RA55,0,42,116,170,109,62,18,0,0,514
RA59,772,820,1512,1543,1313,1144,758,155,30,8055
RA61,58514,40211,54006,43338,41917,41632,36485,21148,8238,345491
RA62,32473,19879,21114,21225,25727,31591,28526,14657,4537,199732
RA63,1123,633,1052,876,1052,1563,1385,583,160,8423
RA64,396,147,255,312,293,406,436,226,54,2533
RA65,0,0,4,4,7,0,0,0,0,19
RA69,129,215,228,198,203,199,163,31,3,1377
RA72,28294,16701,25950,22108,18400,14637,9374,3608,833,139902
RA73,9822,5519,8596,7064,6102,5457,3171,1067,253,47048
RA74,10331,7462,7666,6054,4860,3540,1634,433,76,42054
RA75,0,15,23,22,19,17,0,0,0,99
RA79,446,276,661,573,591,579,318,49,7,3500
RA80,82732,60383,77542,69181,56029,45239,35590,19328,7175,453198
RA81,161,78,92,105,95,94,52,12,4,690
RA85,0,0,0,0,0,0,0,0,0,0
RA89,50,148,108,104,77,78,34,10,4,605
RA91,65,42,32,35,47,37,27,16,0,310
RA94,759,363,544,605,616,729,561,239,67,4473
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,0,4,0,0,3,0,0,0,11
