RA_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
RA10,91342,48885,11424,14223,210129,7378,183753,2009846,79545,2822769,6195,11517,1706,88,5671,2711,696,1068,18720,514,10602,102389,4282,149939,305744,138994,102210,38243,180376,157480,37855,65039,192469,39397,222601,827477,57383,1728447,8127,2906,2348,5353,4399,4820,1401,1828,5846,1645,6303,17422,225671,264393,443529,368561,153315,44410,281792,213900,51373,82162,427160,48933,423260,2957129,366883,4965542,30008,31999,11487,4223,26717,15653,4285,5607,39292,4402,39771,331711,15411,493933,37792,30543,12513,3256,24050,18248,4406,7453,42146,4454,39005,212705,11127,366674,189398,91174,56889,20851,109586,91425,23595,42091,134507,23569,134517,476855,28477,1018977,59805,52330,20655,3147,36192,27260,5840,10009,60212,5433,53522,454761,20565,700179,63833,80291,24359,1765,43821,28725,6012,8575,80070,4645,74365,741029,29763,1075513,32296,51349,14489,546,23017,14809,3152,3436,43515,2174,46637,464982,16281,661758,15563,24735,8291,441,10085,9120,1660,1707,15491,1231,21619,232598,7975,326362,14829,6136,4630,10180,8313,8655,2415,3287,11931,3022,13829,42488,237279,322152,443529,368561,153315,44410,281792,213900,51373,82162,427160,48933,423260,2957129,366883,4965542,102130,40243,32267,35476,61986,58625,18981,27782
RA11,23044,16205,3721,6904,71793,2806,47112,434941,24458,681916,2465,3651,547,33,1335,844,199,586,6963,155,2851,17295,1214,31739,130090,54915,41804,13312,55728,60859,14997,32852,75021,15772,69195,168644,21786,491834,3410,1335,984,1294,1546,1803,533,856,1828,567,1539,4491,72615,84907,186475,126465,59100,14955,81652,79708,19442,41192,155609,19299,120696,625369,120067,1290387,9157,8403,3201,915,4698,3837,982,1957,11306,1057,8392,48989,3746,87604,15797,11375,4950,1068,6570,6589,1631,3589,16038,1636,11719,53580,3976,106710,89046,41950,26578,8133,38051,39851,10253,23477,58415,10384,48033,132875,11495,355255,27771,21941,8982,1319,11744,11095,2491,5233,26035,2393,17756,120520,7582,216051,24907,24767,8507,603,11307,9658,2045,3746,26642,1742,19332,156855,8622,257945,9476,11535,3439,117,4413,3556,768,1019,10520,591,8987,76083,3696,119928,3356,3399,1452,89,1650,1585,336,472,2438,266,2797,24619,1316,38793,6957,3094,1986,2707,3210,3535,946,1690,4201,1228,3678,11854,79642,108100,186475,126465,59100,14955,81652,79708,19442,41192,155609,19299,120696,625369,120067,1290387,37572,17010,11975,12114,17001,20065,6519,12544
RA12,6668,4770,974,1942,14236,739,9932,104564,5706,163180,624,831,106,11,371,207,58,170,1412,39,573,3817,276,6975,29325,13176,8535,2759,13462,13745,3436,7801,15735,3393,14257,38413,5164,109934,827,390,203,139,418,381,109,237,288,116,330,1349,26368,29648,44442,30592,13099,3021,20925,19093,4573,10148,31662,4294,25088,148149,37514,309744,2401,2162,784,227,1325,1020,278,571,2334,254,1868,12524,920,21810,4122,2938,1214,259,1841,1754,401,969,3545,413,2604,12571,1013,25558,21613,10679,5998,1742,9704,9747,2472,5833,12571,2382,10459,32483,2939,85106,6377,5218,1829,207,2937,2482,549,1149,5123,472,3568,29621,1763,50773,5568,5695,1807,97,2855,2200,420,869,5002,343,3794,36437,1947,58442,1829,2335,690,23,1002,749,143,206,1843,100,1597,16014,778,24614,671,662,307,27,359,288,66,102,402,63,429,4752,247,7363,1857,903,464,433,906,860,242,445,853,260,761,3747,27913,36079,44442,30592,13099,3021,20925,19093,4573,10148,31662,4294,25088,148149,37514,309744,8816,4083,2630,2481,4172,4671,1518,3106
RA13,546,360,61,137,784,48,539,7340,378,11196,27,54,6,0,33,18,0,15,69,3,26,257,15,438,1385,766,428,157,828,778,201,430,721,192,657,2187,240,5798,41,41,6,6,27,28,14,21,31,3,15,105,3324,3553,2334,2013,733,175,1429,1185,279,597,1605,251,1238,9886,3959,20979,159,153,60,8,100,77,22,45,137,16,108,901,66,1540,204,162,73,12,130,92,21,61,164,19,118,721,60,1390,1098,671,334,96,644,605,153,338,607,135,484,1954,172,4820,288,336,86,21,184,141,27,56,235,35,163,1716,103,2869,307,377,83,10,191,109,24,40,243,17,181,2589,116,3864,118,171,39,4,75,55,4,18,120,5,97,1229,58,1824,46,63,17,0,40,21,9,12,39,7,37,425,17,649,126,78,48,25,63,83,28,38,55,11,53,345,3367,4028,2334,2013,733,175,1429,1185,279,597,1605,251,1238,9886,3959,20979,471,225,149,141,278,307,92,195
RA14,152,87,21,18,202,11,145,1720,81,2593,17,16,0,0,7,3,0,0,12,0,9,83,0,122,305,192,81,37,231,205,64,97,159,53,134,895,75,1762,10,9,0,0,10,5,0,6,0,7,4,38,849,915,500,444,150,36,395,302,89,120,367,74,282,2742,1002,5389,47,50,7,14,32,33,16,11,27,9,22,269,15,431,38,42,9,7,44,25,3,10,26,11,19,267,14,415,222,139,60,12,150,134,41,64,119,37,99,624,38,1239,68,59,33,4,63,42,14,18,65,8,42,431,39,720,58,75,15,0,61,35,4,3,74,9,58,648,25,950,34,39,12,0,22,11,8,7,34,0,22,289,8,433,27,20,5,0,11,8,4,3,10,0,9,115,3,174,17,16,3,0,15,11,0,4,10,7,10,100,863,1028,500,444,150,36,395,302,89,120,367,74,282,2742,1002,5389,96,53,32,36,71,69,30,45
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,58,60,19,36,348,5,196,1673,78,2511,41,73,17,4,30,17,0,17,194,4,62,337,18,647,636,429,200,16,262,292,57,208,992,71,586,1451,103,3630,18,9,0,0,12,7,0,9,13,6,12,47,3226,3319,812,722,260,24,363,382,84,264,1546,79,856,3507,3425,10112,53,54,22,0,31,36,5,18,126,3,69,418,41,733,87,125,25,0,45,40,12,27,265,6,126,379,82,915,431,288,138,16,181,194,45,156,729,48,427,883,207,2527,100,110,30,0,39,42,7,28,178,7,93,643,35,1081,81,93,21,0,36,32,10,16,128,6,91,639,27,1010,27,31,10,0,13,8,4,3,41,3,34,285,15,429,6,13,0,0,4,9,3,0,18,0,12,145,3,191,24,21,4,3,10,15,7,7,59,4,18,110,3007,3230,812,722,260,24,363,382,84,264,1546,79,856,3507,3425,10112,165,107,46,13,78,81,21,79
RA20,78928,40817,9817,11546,209033,6793,164507,1747059,70687,2493667,4974,11999,1386,80,4890,2213,618,864,18855,438,10356,94360,3939,139985,234150,114878,80754,31361,137524,120541,29014,46651,165133,33095,179398,574211,42604,1277995,5471,2243,1590,2313,3031,2962,829,1076,3723,1079,3699,14126,170097,198479,348892,343511,124366,34331,224377,166530,40279,60143,396748,41406,357959,2429751,287327,4110133,24400,29057,9183,3331,22073,12554,3435,4167,35942,3730,34160,278917,12897,416124,30489,29925,10468,2740,19740,14502,3749,5427,40655,3985,34963,199975,10277,337153,147689,82022,46022,16929,85478,70797,17940,30219,123527,19823,113475,392778,23668,842500,48690,50217,17751,2614,29882,22084,4883,7650,57878,4708,47064,384192,17619,599541,50395,80306,19799,1269,35490,22488,4782,6556,78649,4029,65241,622538,24767,919145,23821,46834,11023,387,17553,10876,2376,2439,37564,1719,36826,355796,12494,516089,11306,19431,6141,298,7450,6103,1219,1174,12015,933,15413,158505,5918,227582,12098,5718,3976,6755,6715,7124,1906,2515,10520,2482,10818,37060,179675,251999,348892,343511,124366,34331,224377,166530,40279,60143,396748,41406,357959,2429751,287327,4110133,83915,36209,26968,28918,50466,47891,15075,20987
RA21,19335,13590,2739,5132,60787,2296,39873,348957,18827,553266,1707,2866,371,15,956,604,173,404,5111,134,2152,12023,815,22509,92319,42169,30116,8543,40859,44846,9675,22730,58453,11697,53215,122110,15096,358137,2573,1096,665,759,1165,1298,318,671,1309,426,1278,3398,54733,64181,136942,103032,43910,9556,62316,60343,12901,28936,125665,14562,96518,486483,89475,998085,7212,7196,2433,550,3595,3074,727,1450,9637,891,7063,39808,2946,71134,11758,9680,3780,614,5312,4902,1081,2659,13482,1329,9553,42689,3141,84949,64429,33252,19415,5166,28340,29790,6606,16143,45975,7717,37453,97280,8428,263233,20556,17372,6873,769,9100,8596,1666,3621,21170,1794,14440,91306,5585,165846,18369,21196,6224,311,8836,7308,1429,2589,22095,1291,15852,126747,6573,207607,6597,9011,2527,89,3221,2594,497,735,7831,394,6686,58676,2734,91399,2543,2767,1078,85,1306,1233,198,368,1909,222,2182,19696,977,30700,5478,2570,1580,1971,2607,2838,698,1374,3560,928,3294,10289,59084,83205,136942,103032,43910,9556,62316,60343,12901,28936,125665,14562,96518,486483,89475,998085,27540,13532,8867,7839,12909,15353,4446,9105
RA22,4331,3146,587,1149,10700,544,7044,72619,3705,112800,414,585,75,4,221,152,34,124,945,23,417,2515,179,4614,20877,9307,6596,1753,9598,10116,2217,5397,11930,2682,11001,28147,2962,79917,657,311,177,87,308,332,83,158,305,108,221,1079,15118,17683,30994,21151,9676,1928,14459,13742,2920,6834,23882,3360,18688,104356,21957,215019,1493,1397,491,131,801,661,143,344,1674,175,1272,8473,648,14661,2644,2064,852,144,1254,1180,245,649,2645,278,1923,8979,655,17907,15583,7405,4581,1126,6971,7079,1536,3950,9651,1845,8097,23802,2058,62359,4613,3788,1418,165,2094,1875,384,816,3990,401,2781,21624,1222,37405,3737,4026,1278,76,1856,1539,300,541,3785,299,2705,26166,1370,41752,1179,1411,481,13,568,445,96,121,1091,76,973,9554,398,14713,427,345,174,13,228,233,32,62,283,39,274,2979,150,4646,1311,715,399,267,692,721,182,361,757,239,657,2779,15459,21577,30994,21151,9676,1928,14459,13742,2920,6834,23882,3360,18688,104356,21957,215019,6393,3046,2034,1620,3103,3530,1034,2135
