RA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA10,61054,21736,129555,951185,1309967,591527,425004,1390487,297368,4965542
RA11,21080,6295,43690,234635,354115,176818,128220,298095,98501,1290387
RA12,4806,1594,9969,52570,77498,39807,32495,74270,33106,309744
RA13,255,97,532,3563,4511,2121,1899,5165,3717,20979
RA14,49,18,96,798,1125,513,411,1592,959,5389
RA15,0,0,0,0,0,0,0,0,0,0
RA19,23,19,49,1561,1512,614,402,2643,3376,10112
RA20,52752,12142,103485,839619,1112381,463402,318517,1148698,227518,4110133
RA21,15104,4758,31168,185620,276165,136979,101687,224208,73416,998085
RA22,3693,1195,7657,37231,54782,28541,23283,51890,19284,215019
RA23,62,27,133,438,676,405,401,620,276,2817
RA25,0,0,0,0,3,0,0,8,27,38
RA29,12,17,29,1148,1118,391,326,1694,3270,7946
RA30,30855,8904,62072,572897,776293,327008,215607,654771,159068,2705645
RA31,11092,3142,22375,147413,215595,106001,84226,196556,66128,815909
RA32,5470,1734,11258,103385,144975,64720,50351,133731,61923,559083
RA33,377,153,817,10625,13244,5713,5274,13759,8303,56924
RA34,287,90,574,8471,9202,3396,3209,10712,5846,40838
RA35,0,0,0,6,6,3,0,34,135,183
RA39,24,11,44,2216,2411,933,689,3525,3463,13234
RA40,18716,3021,35608,234669,322068,138910,88995,280784,48891,1114313
RA41,2411,472,4816,27841,42129,22372,16066,29182,9185,146780
RA42,2794,728,5592,29280,43977,22228,17061,40589,14286,167427
RA43,515,132,1066,6393,9829,4992,3798,7453,3206,35664
RA44,101,52,229,2056,2853,1413,975,2426,1494,11208
RA45,0,0,0,0,0,0,0,4,5,12
RA49,4,0,11,491,536,178,137,868,763,2975
RA50,19119,5565,40566,362296,464926,190854,142289,432311,98651,1691327
RA51,1938,650,4482,34907,50497,24696,20462,40520,17322,188402
RA52,1729,602,3958,27404,39156,18368,15443,33730,15851,149948
RA53,326,151,815,12916,17522,6952,5769,14319,10504,67980
RA54,107,56,258,8920,10451,4160,3157,11468,10633,48779
RA55,0,0,0,33,21,10,15,214,222,516
RA59,10,23,30,870,963,339,278,1476,3362,7285
RA61,4159,835,8238,59431,83286,35504,22579,71152,15013,286973
RA62,2255,615,4537,29256,45001,23312,18205,39963,11522,167262
RA63,78,27,160,1153,1786,916,846,1832,757,7302
RA64,31,4,54,389,565,327,218,450,199,2138
RA65,0,0,0,0,0,0,0,13,8,19
RA69,0,0,3,216,217,80,47,353,324,1248
RA72,410,134,833,22796,30785,11465,7491,27078,11999,111611
RA73,131,42,253,8098,9105,3484,2432,9270,4837,37223
RA74,40,0,76,7596,8367,3964,2270,5781,3742,31720
RA75,0,0,0,9,14,6,4,47,25,94
RA79,4,0,7,480,399,152,120,687,1217,3052
RA80,2986,742,7175,85371,122633,46895,24554,73607,17411,370469
RA81,0,0,4,133,172,84,37,64,46,528
RA85,0,0,0,0,0,0,0,0,0,0
RA89,0,0,4,123,123,39,17,138,126,560
RA91,0,0,0,44,40,13,28,40,80,246
RA94,25,4,67,578,921,419,289,774,728,3713
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,6,3,0,0,0,8,11
