RA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
RA10,7416,159700,9777,176894,9962,180844,13930,204734,24481,399344,33964,457790,38701,371183,28009,437893,47244,309324,20571,377132,46955,267703,16827,331485,28223,209482,13050,250755,14516,114989,10641,140144,4513,37795,7318,49627,222005,2050356,154083,2426449,8225,149477,8756,166458,12010,170766,11392,194165,35958,402667,29598,468223,59230,363353,24267,446850,74752,300908,17660,393317,72509,262084,14802,349400,41320,222052,13615,276985,16997,133057,13712,163766,3469,61881,14578,79928,324469,2066240,148383,2539094,15643,309175,18529,343353,21976,351609,25321,398901,60438,802013,63562,926013,97935,734537,52276,884749,121992,610227,38234,770453,119466,529786,31630,680882,69542,431525,26663,527733,31513,248047,24350,303911,7980,99670,21899,129555,546479,4116602,302464,4965542
RA11,2169,40880,4299,47353,2123,33725,3957,39801,5548,69358,8480,83388,8722,67574,7751,84041,12577,73766,7441,93780,15657,82222,7054,104933,12029,82735,6440,101208,6215,45261,4733,56209,1659,13237,2264,17163,66698,508764,52424,627879,2470,37826,3734,44035,2836,32234,2875,37943,9499,70594,6391,86487,15240,68032,6164,89437,21425,72774,5968,100169,26010,80041,6108,112156,17170,81049,6252,104463,7137,48436,5721,61289,1275,21121,4131,26529,103068,512103,47343,662510,4640,78708,8040,91384,4959,65959,6822,77742,15049,139959,14874,169880,23957,135605,13921,173480,34005,146543,13408,193954,41667,162263,13161,217090,29202,163783,12690,205673,13349,93697,10457,117502,2934,34358,6395,43690,169759,1020867,99762,1290387
RA12,521,8811,1424,10749,461,7439,1141,9039,1351,15882,2564,19797,1893,14998,2464,19355,3021,17593,2561,23173,4157,21807,2806,28776,2748,21102,2536,26378,1359,10902,1550,13810,359,3010,631,4001,15870,121536,17678,155078,626,8225,1252,10109,618,6571,852,8043,2199,15695,2028,19923,3358,14657,2091,20101,4939,16384,2229,23554,6349,19748,2474,28570,3859,18268,2156,24282,1464,10963,1680,14104,296,4696,978,5970,23703,115212,15744,154662,1147,17040,2669,20853,1076,14012,1999,17083,3555,31573,4595,39722,5250,29656,4557,39460,7959,33973,4793,46727,10506,41553,5282,57348,6604,39368,4695,50662,2820,21862,3231,27916,651,7702,1611,9969,39571,236745,33423,309744
RA13,21,535,157,705,44,489,119,655,89,1266,305,1651,122,1044,256,1423,186,1167,282,1641,245,1452,328,2023,135,1202,266,1599,57,582,159,798,16,173,35,226,908,7912,1906,10727,37,516,145,695,47,450,125,623,152,1268,271,1691,223,956,270,1450,276,1080,280,1639,383,1141,290,1814,165,879,204,1256,75,548,160,783,16,229,65,307,1384,7061,1801,10253,58,1051,295,1397,91,942,250,1280,245,2527,575,3344,343,1997,532,2872,468,2251,563,3277,624,2596,612,3834,301,2087,469,2856,132,1132,315,1577,33,404,98,532,2293,14972,3708,20979
RA14,3,146,45,197,3,128,33,173,15,297,80,392,22,276,59,362,34,318,73,424,56,371,83,516,29,324,76,427,15,128,33,182,8,33,3,43,198,2029,488,2713,3,127,40,177,6,125,44,177,39,356,95,492,38,279,70,392,74,299,73,443,67,319,79,464,44,233,47,317,15,110,30,160,0,46,10,57,287,1898,490,2676,15,275,90,375,11,260,80,349,54,656,170,880,62,559,133,757,107,616,147,862,127,691,158,980,72,556,123,743,37,241,64,345,8,77,15,96,485,3926,983,5389
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,11,151,97,253,20,255,135,411,51,689,423,1164,72,541,491,1108,67,500,442,1010,84,544,317,949,54,465,138,648,15,122,40,166,0,11,4,19,372,3273,2085,5734,17,172,90,279,18,265,132,418,76,616,339,1022,70,392,285,749,93,365,210,666,95,464,147,698,41,301,59,404,8,77,22,104,0,19,12,32,417,2663,1300,4381,28,326,184,532,34,518,274,829,124,1303,757,2187,143,933,782,1859,156,872,646,1678,181,1005,463,1648,92,760,194,1055,19,193,58,277,3,25,16,49,787,5945,3382,10112
RA20,6044,129862,7419,143327,8964,152958,11158,173076,23714,349202,28818,401730,35783,312993,22129,370910,45122,249650,16058,310828,43549,204085,12152,259787,26012,157766,9354,193133,13278,88811,7471,109567,4231,31200,4274,39708,206695,1676532,118845,2002066,6880,122670,6857,136403,11475,144134,9126,164738,35388,348978,24391,408756,54276,305367,18867,378513,73148,240485,14042,327678,69738,196583,11241,277565,39763,168998,10550,219311,15808,106109,9405,131316,3001,52795,7989,63780,309476,1686121,112463,2108061,12924,252532,14271,279732,20436,297098,20284,337815,59098,698184,53208,810489,90066,618359,41000,749421,118267,490136,30104,638502,113288,400665,23395,537352,65776,326766,19907,412451,29082,194923,16879,240882,7229,83992,12265,103485,516171,3362655,231302,4110133
RA21,1648,31164,3010,35816,1868,26748,2349,30968,4758,56262,5585,66600,7519,54493,5498,67502,10760,58705,5616,75083,13115,62220,5440,80773,9867,61090,5334,76286,4622,31886,3742,40249,1104,9326,1800,12227,55263,391886,38359,485507,2004,28727,2778,33511,2408,24864,1920,29195,8031,56242,4577,68845,13121,54886,4767,72772,18843,56391,4712,79943,22233,60080,4949,87260,14233,59742,4957,78929,5392,33506,4276,43175,810,15096,3033,18943,87066,389530,35977,512571,3652,59888,5787,69327,4279,51613,4273,60154,12786,112503,10157,135443,20637,109376,10259,140280,29605,115093,10330,155025,35348,122297,10388,168040,24096,120831,10290,155222,10019,65388,8017,83421,1916,24425,4828,31168,142331,781416,74336,998085
RA22,360,5903,803,7067,350,5184,563,6091,987,11329,1278,13592,1406,10447,1253,13103,2141,11847,1350,15335,3006,15059,1614,19679,2297,15014,1583,18886,1039,7749,1074,9866,276,2283,460,3012,11852,84807,9972,106628,426,5378,695,6494,477,4516,513,5514,1587,11111,1187,13888,2419,10212,1217,13842,3678,11374,1232,16286,4751,13592,1393,19735,3021,13405,1391,17819,1158,7867,1139,10169,196,3688,757,4639,17715,81145,9527,108390,784,11277,1494,13564,828,9701,1075,11605,2576,22441,2468,27484,3816,20653,2468,26949,5819,23222,2583,31621,7756,28658,3008,39414,5314,28419,2977,36710,2203,15617,2206,20029,468,5973,1219,7657,29564,165950,19500,215019
