RA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,..,23385,36169,8947,6728,7934,5711,2185,618,91677,..,8988,32498,27275,29215,48249,60783,51773,28035,286822,5808,9241,8499,4568,3748,4171,3789,2103,1289,43222,518017,340243,441665,425235,376882,334369,262565,148948,56592,2904520,..,12975,285337,524616,455826,397610,309159,155364,33526,2174411,..,40692,183993,97442,67238,43784,20129,6153,818,460260,..,4413,25496,53541,72215,47089,22217,15333,10327,250633,1054020,..,..,..,..,..,..,..,..,1054020,..,319633,..,..,..,..,..,..,..,319633,..,185599,140591,42354,27210,14068,2695,113,0,412638,..,30197,28961,11269,12260,23040,25053,17187,9927,157891,..,20143,30673,11268,7769,5974,2819,871,262,79763,..,50544,88219,24615,17190,17950,12658,4770,1148,217103,..,17957,68392,62388,65477,90368,96360,73874,37951,512762,12009,16820,16867,9961,8189,7792,6449,3257,1727,83070,1066028,698978,868528,837458,733376,647680,497536,276925,95688,5722185
RA11,..,3793,4004,1473,2142,3346,2542,997,249,18538,..,2309,5120,4273,8250,17993,23052,20270,10324,91598,1898,2895,1802,1088,1288,1986,1800,923,444,14119,127501,74551,79961,83219,93777,104303,96243,55117,18769,733446,..,2194,49609,87112,99123,114004,114847,59880,11434,538199,..,15473,39863,25726,24018,20373,11583,3466,470,140975,..,2328,10750,16344,18684,10247,5348,4035,2834,70567,257875,..,..,..,..,..,..,..,..,257875,..,55901,..,..,..,..,..,..,..,55901,..,48400,20399,8351,6533,4139,834,24,0,88683,..,6015,3633,1686,2618,4872,5722,3741,2171,30451,..,4965,4851,2106,1883,1570,964,366,92,16796,..,7241,9400,3678,4689,6773,5582,2114,459,39929,..,4631,11641,11086,18762,34502,40007,30412,14286,165327,3850,5428,4064,2873,2988,3643,3402,1622,642,28509,261725,152569,154214,158967,179301,200116,188283,105649,32392,1433216
RA12,..,561,701,251,460,720,541,175,49,3463,..,673,1182,903,1870,4136,5010,4566,2314,20655,531,695,480,255,316,573,512,284,118,3760,29622,15974,17737,17917,21167,25608,21841,12424,4123,166412,..,555,11070,18843,23263,29376,27252,13688,2444,126501,..,3719,9341,5725,5492,5073,2729,699,84,32865,..,605,2587,3465,3506,2134,1256,971,710,15244,60132,..,..,..,..,..,..,..,..,60132,..,11333,..,..,..,..,..,..,..,11333,..,10288,4194,1863,1534,1013,210,4,0,19101,..,1612,761,398,657,1158,1200,810,421,7010,..,924,820,393,415,349,188,64,17,3174,..,1231,1764,643,989,1524,1203,436,93,7880,..,1491,3024,2572,4893,9327,10135,7365,3257,42067,1060,1377,1155,746,785,1097,1022,505,170,7921,61197,33142,34722,34649,41532,51050,45193,24542,7193,333225
RA13,..,34,42,19,23,44,25,10,5,198,..,71,116,70,111,228,242,227,111,1175,54,53,42,27,34,50,39,13,3,320,2094,1010,1387,1167,1343,1494,1029,624,200,10340,..,36,876,1247,1481,1697,1275,610,124,7341,..,264,738,394,377,305,135,45,11,2257,..,48,211,196,185,143,91,62,35,964,4183,..,..,..,..,..,..,..,..,4183,..,605,..,..,..,..,..,..,..,605,..,575,236,118,98,66,7,0,0,1096,..,123,58,27,54,94,79,47,20,502,..,66,70,27,29,31,14,6,0,237,..,97,122,43,49,96,80,29,5,519,..,149,285,194,302,625,585,420,171,2736,104,108,104,57,87,89,75,38,13,669,4287,2069,2699,2302,2661,3148,2333,1253,374,21122
RA14,..,9,14,7,12,8,5,0,0,53,..,20,45,25,45,75,66,63,15,356,9,12,9,8,18,14,11,5,0,80,498,272,391,318,355,370,266,133,42,2644,..,6,196,229,270,346,280,127,32,1489,..,70,181,143,144,108,37,3,0,686,..,18,66,69,64,47,28,12,15,319,1071,..,..,..,..,..,..,..,..,1071,..,109,..,..,..,..,..,..,..,109,..,169,78,32,24,12,0,0,0,322,..,67,28,22,23,20,33,12,7,217,..,25,16,10,4,3,3,0,0,64,..,21,31,19,27,22,12,3,0,135,..,36,82,69,120,194,181,114,23,819,15,33,27,22,35,31,25,10,0,191,1087,560,708,611,706,784,605,286,75,5424
RA15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,201,263,361,219,210,192,132,34,4,1620,201,263,361,219,210,192,132,34,4,1620,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,441,527,812,576,498,423,308,89,14,3696,441,527,812,576,498,423,308,89,14,3696
RA20,..,23603,35186,7396,4684,5414,3848,1456,390,81966,..,9481,35889,28763,27464,40739,50407,43363,23862,259970,3895,7099,6991,3589,2830,3308,2756,1661,878,33012,423995,283076,386625,361540,314037,264573,205682,118892,44993,2403416,..,8044,235043,442754,374673,313151,241054,124361,27447,1766522,..,31274,172757,90154,58951,35276,15398,4434,627,408872,..,2616,17940,42890,62078,38874,17024,11643,7689,200763,863866,..,..,..,..,..,..,..,..,863866,..,276672,..,..,..,..,..,..,..,276672,..,138488,112227,30834,20997,10285,1901,71,0,314809,..,25914,27564,9265,9299,16689,17076,10975,6347,123123,..,15373,23602,6914,4314,3101,1443,455,137,55349,..,50837,87534,20519,12255,12015,8254,3142,724,195272,..,18200,72120,61026,59899,74436,78071,60281,32270,456300,7884,12638,13952,7848,6222,6024,4704,2627,1198,63095,871751,580059,762744,712193,608695,509848,384926,217995,76437,4724650
RA21,..,2916,3162,936,1305,1981,1502,556,105,12458,..,1688,4735,4110,7026,14664,18275,14594,7402,72500,1215,1869,1351,760,884,1297,1283,526,212,9397,99106,57824,64201,67980,74947,80544,71544,38242,12571,566951,..,1361,37736,72945,81143,90897,86864,42379,7743,421073,..,10480,35877,21924,19833,14841,7697,2139,247,113034,..,1234,7197,11865,14671,8036,3819,2625,1785,51238,201752,..,..,..,..,..,..,..,..,201752,..,49016,..,..,..,..,..,..,..,49016,..,37326,16934,6102,4482,2377,498,12,0,67728,..,4026,2801,1146,1711,3223,3398,2125,1175,19600,..,3132,3163,1156,1004,758,467,149,53,9877,..,5753,7481,2525,2959,3983,3216,1176,227,27322,..,3364,10672,10128,16014,27723,31187,22051,10270,131407,2459,3530,3080,1887,2059,2492,2449,1041,344,19336,204211,119232,124938,129683,143869,154338,139599,73693,21837,1111388
RA22,..,509,696,277,320,468,350,151,21,2795,..,411,1030,751,1478,3160,3826,3412,1931,15995,241,345,277,153,226,355,328,166,66,2154,19307,10670,12619,12595,14942,17972,15951,9015,3142,116216,..,322,7506,13000,15741,20811,20046,10062,1877,89372,..,2319,6628,4105,3865,3407,1902,531,69,22821,..,296,1489,2300,2654,1477,730,579,412,9944,38778,..,..,..,..,..,..,..,..,38778,..,8259,..,..,..,..,..,..,..,8259,..,6949,3078,1172,978,592,101,0,0,12862,..,943,612,242,391,661,722,455,247,4272,..,651,705,357,247,194,113,37,11,2318,..,1123,1724,761,788,979,796,322,49,6534,..,868,2402,1996,3578,6786,7632,5343,2721,31326,514,709,663,418,500,695,673,315,85,4575,39287,22439,24810,24358,28740,35606,32708,17645,5465,231053
