RA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
RA10,152904,592,92,13,5,4,22,12830,166458,168310,7251,2601,507,117,14,35,15338,194165,162960,24940,14316,4425,1180,275,128,16810,225039,112488,51494,44085,14554,4269,1112,545,14644,243185,59941,48290,77317,27861,8151,2374,1374,12616,237915,37299,34254,78066,33421,10521,3176,2074,10117,208932,32585,30610,76493,35877,11485,3511,2301,9112,201969,29474,28991,71600,35525,11736,3623,2332,8067,191353,26056,26874,66971,34845,11770,3650,2362,7742,180269,22616,25143,60555,34585,12527,3888,2464,7353,169130,17581,20710,52397,31671,11987,3664,2484,7230,147721,13308,14325,47495,29342,11342,3484,2404,7558,129260,8507,8486,32809,22465,9540,3199,2412,7427,94851,5209,5200,20374,16307,8164,3264,3008,7388,68920,5695,6216,18974,15991,9323,4373,4876,14481,79928,854944,333376,664143,337392,122106,39611,28810,158708,2539094
RA11,38945,362,48,6,5,0,7,4657,44035,29277,3365,1387,322,39,7,16,3531,37943,22437,7116,5710,2143,578,156,66,3348,41554,13547,8584,11759,5419,1691,485,305,3159,44936,7990,6587,14978,8375,2961,874,583,3118,45466,6066,5432,14974,9198,3470,1096,825,2908,43968,6326,5710,16628,10643,4228,1303,884,3122,48838,7121,5779,17741,11097,4369,1349,826,3035,51322,7367,5843,18329,12216,4851,1405,892,3251,54150,7391,5658,19504,13982,5837,1552,785,3293,58005,6225,4941,18329,13740,5520,1436,735,3381,54303,4922,4155,17434,12475,5302,1494,789,3589,50165,3242,2568,11357,9222,4432,1416,898,3264,36405,1850,1406,6105,6184,3823,1511,1149,2868,24889,1888,1631,5443,5722,4041,1932,1821,4051,26529,164601,69156,179713,120737,51148,16010,10571,50579,662510
RA12,8510,108,19,3,0,0,0,1465,10109,5677,874,421,91,20,6,10,949,8043,4638,1655,1487,615,181,41,13,1019,9657,2601,1794,2567,1494,523,145,73,1076,10266,1414,1237,2993,2115,856,265,183,1038,10092,1184,981,3018,2260,974,310,235,1044,10012,1265,1085,3402,2550,1112,361,289,1119,11183,1447,1173,3752,2951,1206,407,268,1167,12376,1709,1293,4286,3238,1387,431,265,1329,13919,1617,1205,4513,3585,1628,494,291,1307,14652,1333,1037,3910,3105,1599,478,263,1191,12904,948,776,3521,2826,1440,444,251,1169,11382,604,482,2220,2085,1153,399,273,965,8186,390,259,1242,1386,1029,426,340,858,5919,334,318,1025,1223,1021,510,521,1019,5970,33681,14282,38377,29522,14111,4707,3278,16710,154662
RA13,520,12,0,0,0,0,0,161,695,388,62,25,5,6,0,0,135,623,343,127,127,64,23,3,0,130,820,210,146,181,128,47,13,11,142,873,92,76,210,149,69,21,11,148,771,75,52,157,151,62,30,15,131,674,72,51,208,178,101,28,26,128,799,73,61,211,190,102,34,28,160,848,79,62,234,204,97,26,24,152,879,73,61,252,229,97,44,34,151,932,46,35,188,160,92,22,13,116,678,29,32,160,144,69,25,14,105,574,26,11,96,100,68,29,16,98,452,19,3,46,91,52,21,23,67,328,20,16,45,49,56,22,37,61,307,2060,809,2147,1837,929,325,263,1882,10253
RA14,126,7,0,0,0,0,0,45,177,105,15,5,0,0,0,0,50,177,104,38,32,16,0,0,0,43,230,61,43,53,29,14,9,0,48,257,34,32,42,31,16,6,7,38,208,27,12,32,42,18,11,9,35,185,33,19,36,39,19,9,18,37,206,24,27,45,42,27,15,20,40,234,23,18,57,51,30,8,9,41,235,26,15,62,50,27,8,8,39,227,14,13,51,38,20,14,0,30,172,18,6,36,33,14,6,12,21,146,8,6,20,18,9,6,3,15,99,4,3,9,12,3,10,6,13,61,3,0,7,20,10,5,10,7,57,605,250,484,414,203,106,105,515,2676
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,171,8,0,0,0,0,0,93,279,219,27,21,4,0,0,0,147,418,277,43,21,14,6,0,0,170,533,184,51,46,17,12,5,0,175,495,104,37,45,27,5,4,9,153,392,87,19,48,16,12,9,9,149,357,59,39,54,24,20,10,9,121,332,68,33,59,44,14,10,10,91,333,65,34,87,44,22,4,0,96,359,46,28,110,57,24,7,3,64,339,24,29,61,44,17,5,7,53,236,14,10,60,42,11,12,3,18,163,3,4,22,15,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
RA20,125336,331,38,5,6,4,20,10671,136403,145631,4507,1535,258,36,9,31,12731,164738,147721,19419,9925,2967,732,180,92,14476,195513,103867,46234,36767,10148,2683,781,392,12359,213242,54757,42353,68303,21206,5540,1599,1037,10246,205052,33542,29051,67004,25477,6937,2117,1530,7807,173465,28978,25973,64026,27982,7987,2491,1858,7176,166473,26060,23640,62933,29102,8537,2433,1777,6721,161202,21591,20499,55266,28463,8842,2364,1625,5936,144583,17850,18001,49775,28220,9405,2519,1673,5537,132980,13632,15028,43133,25498,8925,2487,1584,5447,115726,9809,10562,39402,24762,9011,2583,1690,5763,103585,5961,6225,26863,18901,7879,2552,1895,5169,75444,3727,3964,16853,14048,7176,2687,2470,4947,55874,4226,5000,16302,14208,8129,3696,4121,8087,63780,742685,270792,558124,271251,91840,28500,21795,123072,2108061
RA21,29771,210,21,0,0,0,9,3496,33511,23840,1934,738,156,22,0,10,2492,29195,19556,5369,3968,1295,324,74,37,2569,33199,11593,7234,9038,4019,1050,286,134,2286,35644,6951,5490,12551,6657,2072,541,319,2474,37056,5303,4449,12568,7396,2557,720,468,2260,35719,5651,4714,13260,8346,2931,876,606,2412,38802,5795,4643,14104,9096,3433,962,639,2470,41144,5863,4267,14599,9906,3826,1076,684,2671,42900,5604,4109,14574,10913,4529,1174,675,2785,44362,4346,3419,14259,10617,4436,1236,633,2774,41718,3196,2651,12289,9826,4317,1327,728,2878,37213,1958,1480,7340,6781,3554,1253,911,2532,25806,1114,824,3639,4289,2844,1313,1123,2223,17369,1101,1046,3448,3894,3080,1547,1682,3154,18943,131645,51846,136393,93197,38973,12395,8647,39480,512571
RA22,5618,40,7,0,0,0,4,822,6494,4205,476,187,39,3,0,0,594,5514,3811,1116,856,332,87,12,8,606,6823,2139,1348,1695,889,263,78,40,604,7066,1206,967,2211,1345,481,153,87,603,7044,963,819,2174,1429,556,153,131,579,6796,1059,743,2457,1707,688,215,148,627,7651,1107,836,2875,2009,757,217,169,663,8632,1185,807,3090,2266,930,308,156,714,9450,1203,808,3294,2565,1106,308,175,821,10284,1011,704,3006,2406,1076,290,163,788,9442,746,545,2688,2155,1023,298,157,757,8380,381,323,1629,1522,871,322,198,647,5900,282,181,855,1047,714,359,259,571,4264,240,238,772,909,843,401,435,800,4639,25154,9954,27811,20620,9401,3121,2129,10201,108390
