RA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
RA10,1257659,3793332,104683,224010,177364,460785,282050,684797,109670,209665,162712,325817,194821,402960,122936,255192,9382,23632,599520,1217265,1398,2038,1989,2925,84,182,7203,15473,10675,20612,4483,9314,2154391,5725320,186725,..,2341115,5725320
RA11,505949,1293041,38944,63984,13419,25677,52369,89660,19443,30485,2859,4575,2319,3731,354,616,1067,2169,26060,41573,1806,2868,3558,5305,154,282,1410,3111,6931,11569,2162,4023,593454,1439860,81549,..,675003,1439860
RA12,129209,314372,4735,7539,1122,2005,5859,9545,3917,6650,162,336,24,42,4,13,90,168,4202,7205,453,742,466,731,104,175,412,902,1437,2547,780,1620,141486,335295,28147,..,169635,335295
RA13,7962,19763,206,331,9,21,212,356,216,306,0,0,0,0,0,0,0,4,215,313,51,105,16,37,133,236,32,78,239,462,208,448,8835,21336,2285,..,11118,21336
RA14,1960,4881,60,100,27,52,88,153,25,33,0,0,0,3,0,0,11,24,31,52,13,20,3,14,74,123,3,5,95,158,124,264,2304,5516,810,..,3113,5516
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA20,1239669,3574350,168006,342655,129071,317939,297078,660588,88150,158828,52956,86863,62873,103229,74451,128599,996,2157,279422,479679,431,561,1543,1981,26,50,3787,7489,5787,10079,1892,3817,1823843,4728515,199672,..,2023512,4728515
RA21,422464,1047414,26560,40499,3416,6604,29978,47103,6642,9511,288,459,194,295,9,30,155,292,7299,10582,1036,1486,1544,2311,106,191,816,1577,3503,5571,787,1606,464018,1112273,74011,..,538028,1112273
RA22,91948,216972,4875,7496,298,545,5173,8046,2295,3469,53,95,15,38,6,22,22,49,2398,3675,465,729,461,815,42,87,176,381,1148,2008,298,613,100973,231305,23880,..,124854,231305
RA23,1346,2820,22,28,0,9,23,35,5,0,0,0,0,0,0,0,0,0,7,6,10,13,4,6,0,3,10,15,19,37,6,14,1402,2911,463,..,1867,2911
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA30,836298,2410477,56239,100866,110410,244448,166648,345319,50108,84663,52675,92369,46656,84362,48736,86768,2195,4436,200365,352600,2402,3430,2190,3130,77,171,480,1044,5151,7780,2568,4830,1211031,3121006,100673,..,1311709,3121006
RA31,322731,830883,20549,33582,8052,13974,28601,47557,10881,17512,769,1173,1061,1793,437,743,310,607,13458,21827,2242,3565,1264,1989,311,683,274,602,4093,6846,1227,2358,370113,909480,40584,..,410694,909480
RA32,205179,531786,12462,20732,7999,14196,20457,34926,10435,17812,4998,8740,2029,3661,1012,1803,71,166,18540,32184,1525,2765,654,1130,291,591,404,859,2875,5349,1317,2408,248367,606654,38265,..,286631,606654
RA33,20402,53377,1260,2177,292,521,1549,2697,694,1220,20,33,0,0,0,0,11,18,728,1274,348,663,130,205,246,351,52,109,774,1325,357,772,23812,59445,8318,..,32126,59445
RA34,13307,37228,901,2343,386,916,1293,3256,413,794,18,32,0,0,0,0,18,38,443,861,385,743,79,179,88,165,63,115,619,1198,473,1113,16134,43666,4559,..,20685,43666
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,..,3,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA40,387490,1023322,63575,117310,23734,51169,87309,168475,29801,49956,4352,7025,5604,9336,3677,6185,284,601,43710,73101,545,832,330,445,4,12,441,940,1322,2227,1223,2408,521065,1269538,38720,..,559782,1269538
RA41,63623,153897,2998,4580,235,453,3232,5032,409,554,70,92,18,35,3,8,6,31,504,722,234,391,210,324,12,25,67,150,526,883,214,438,68092,160972,14527,..,82620,160972
RA42,68420,159363,8870,16042,183,362,9056,16404,2169,3005,39,52,18,25,0,5,21,54,2247,3135,287,528,133,233,44,95,142,333,611,1187,284,518,80613,180610,21332,..,101950,180610
RA43,15155,35209,807,1361,109,229,909,1588,458,607,0,13,0,0,0,0,19,32,473,647,83,177,64,132,12,33,38,91,199,434,70,129,16814,38008,6545,..,23360,38008
RA44,4314,11021,129,212,6,5,134,217,75,123,0,0,0,0,0,0,11,21,85,141,69,130,18,47,5,19,17,41,111,227,83,154,4730,11763,2691,..,7430,11763
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA50,596877,1628379,79280,148499,30978,62508,110254,211009,18896,30483,14370,22805,16121,26200,9300,16017,792,1628,59476,97132,924,1302,974,1370,80,168,401,844,2383,3680,779,1507,769764,1941708,71626,..,841392,1941708
RA51,75597,190629,4875,7760,772,1465,5649,9225,665,1022,104,160,30,50,32,62,64,138,904,1439,443,686,439,696,75,142,75,158,1030,1679,248,473,83418,203448,16268,..,99690,203448
RA52,60728,147357,4725,7782,707,1382,5432,9166,534,799,20,20,0,3,0,0,39,74,595,900,356,522,340,498,71,134,79,132,842,1286,276,491,67865,159196,15706,..,83572,159196
RA53,23350,62520,2463,4908,696,1448,3163,6359,585,934,170,266,114,195,139,203,11,14,1016,1621,383,723,62,101,42,66,74,177,555,1070,297,602,28374,72171,8438,..,36816,72171
RA54,12482,36039,844,1603,110,201,959,1798,361,634,9,7,0,0,0,0,9,15,372,653,828,1607,49,104,72,174,107,313,1054,2198,430,884,15302,41554,6071,..,21371,41554
