RA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA10,1907,12990,95367,478432,481068,142281,31641,13976,1257659,806,7989,42037,43741,7063,1066,267,1724,104683,661,10293,40310,88838,29898,4234,813,2317,177364,1473,18277,82346,132574,36960,5305,1075,4039,282050,2749,24533,59162,18290,2053,425,244,2219,109670,2718,24406,109570,22371,1014,127,126,2373,162712,4047,42375,115378,29156,1084,151,92,2543,194821,3384,35353,65311,16490,666,51,47,1638,122936,163,1445,3832,1881,1105,518,199,241,9382,13061,128107,353254,88188,5930,1268,714,9014,599520,513,2941,4464,1869,406,131,55,297,10675,268,1009,1332,729,446,176,80,442,4483,17213,163324,536758,701786,524815,149157,33566,27766,2154391
RA11,1545,8596,52340,216028,174852,36052,9085,7450,505949,186,3799,21468,11160,1050,123,59,1101,38944,36,1240,4705,6066,969,131,44,237,13419,223,5037,26170,17224,2019,256,104,1340,52369,247,4021,11229,2970,319,52,61,551,19443,20,365,1907,480,19,4,3,56,2859,16,255,1348,618,39,0,4,43,2319,5,13,185,142,0,0,0,4,354,35,277,307,200,154,50,23,23,1067,321,4938,14979,4412,534,111,92,676,26060,586,2170,2248,891,335,89,56,556,6931,90,465,545,428,223,52,50,309,2162,2762,21199,96279,238975,177955,36565,9386,10330,593454
RA12,675,3333,17052,58526,37479,7525,2027,2597,129209,44,762,2444,1038,193,38,23,192,4735,5,161,483,366,69,12,7,26,1122,49,922,2925,1402,262,52,27,214,5859,54,759,2203,636,81,12,10,160,3917,0,31,79,42,8,3,0,3,162,0,3,13,4,0,0,0,0,24,0,0,0,3,0,0,0,0,4,0,18,26,11,14,8,4,5,90,58,817,2320,697,112,26,14,161,4202,167,435,343,223,106,31,24,116,1437,37,121,142,190,115,45,42,85,780,985,5617,22787,61039,38076,7679,2132,3169,141486
RA13,30,213,1038,3334,2442,528,175,194,7962,0,63,92,24,11,3,0,6,206,0,0,8,0,4,0,0,0,9,0,63,100,27,16,3,0,6,212,7,79,102,18,3,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,79,101,18,3,0,0,0,215,16,66,65,45,15,6,5,19,239,3,28,59,48,27,19,8,10,208,61,455,1366,3476,2495,556,187,234,8835
RA14,11,105,282,778,532,109,51,100,1960,0,14,39,5,0,0,0,4,60,0,8,0,4,4,5,0,0,27,0,15,44,16,10,5,0,4,88,3,10,6,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,11,3,18,3,5,0,0,0,0,31,10,36,24,14,3,0,0,5,95,5,19,25,28,23,11,9,15,124,28,187,383,842,568,116,56,122,2304
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1110,7152,95372,568333,455447,83900,13800,14556,1239669,364,12690,83994,56007,10931,1079,247,2691,168006,198,3690,36319,64965,19888,2293,350,1364,129071,569,16380,120310,120969,30824,3372,602,4057,297078,973,19516,47540,16494,1890,204,120,1410,88150,861,15980,30375,4703,276,48,34,674,52956,1015,20381,35504,4975,247,24,26,695,62873,1306,24175,40426,7295,260,23,40,937,74451,26,289,293,174,123,53,22,27,996,4180,80336,154134,33629,2799,353,250,3744,279422,215,1863,2300,949,245,54,22,140,5787,62,367,519,464,253,45,35,141,1892,6131,106103,372633,724348,489564,87724,14713,22629,1823843
RA21,716,5208,45698,209023,132176,19377,4016,6250,422464,156,4404,15251,5108,634,69,33,904,26560,18,263,1063,1597,356,48,17,64,3416,170,4664,16309,6706,995,112,51,966,29978,53,1600,3767,932,70,9,10,194,6642,5,81,127,57,4,5,0,0,288,0,45,123,20,3,0,0,0,194,0,0,4,3,3,0,0,0,9,3,50,50,23,16,5,0,11,155,64,1777,4070,1042,103,22,14,210,7299,267,1137,1206,445,159,19,20,241,3503,29,114,153,211,153,24,39,57,787,1252,12903,67437,217430,133578,19561,4137,7715,464018
RA22,231,1578,11811,48512,23764,3510,797,1748,91948,29,831,2675,1055,109,9,8,156,4875,0,20,98,140,28,6,0,17,298,27,846,2773,1190,135,12,10,170,5173,14,580,1364,230,21,7,10,81,2295,0,8,24,5,0,0,0,6,53,0,11,3,0,0,0,0,0,15,0,3,4,0,0,0,0,0,6,0,9,9,3,4,0,0,0,22,21,610,1408,242,25,6,9,90,2398,114,436,255,146,79,18,17,82,1148,9,51,74,79,25,10,8,38,298,402,3523,16319,50170,24028,3560,843,2125,100973
