RA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA10,1503932,1568364,3072298,157982,163182,321163,716255,740282,1456540,15180,15125,30308,19749,20204,39954,4535,4553,9088,6812,6450,13259,1366,1426,2795,1969,1779,3746,7228,7350,14579,73,67,135,773169,797231,1570395,199936,204875,404807,21201,18649,39850,1152288,1183935,2336219,157811,153136,310950,2814037,2905432,5719471
RA11,393742,406042,799791,74348,81202,155555,148416,161405,309823,9858,10694,20557,11527,12479,24007,1328,1388,2711,2089,2127,4217,691,747,1438,1163,1203,2363,4696,5008,9706,51,52,105,179817,195103,374926,14771,15908,30675,5644,5045,10688,274588,297259,571848,59579,54331,113914,727915,757636,1485549
RA12,104175,101609,205786,20478,21975,42443,22810,23690,46499,2582,2635,5219,2679,2838,5514,499,509,1006,456,458,912,144,156,299,256,246,495,822,895,1715,0,4,5,30250,31423,61674,3146,3228,6377,1069,963,2032,54938,57586,112533,20571,18540,39109,179689,177738,357426
RA13,6938,6441,13382,1316,1376,2691,1227,1279,2498,148,117,260,185,193,383,38,30,66,44,37,78,8,8,15,14,9,21,10,16,25,0,0,0,1662,1685,3346,262,247,509,67,56,124,3307,3362,6671,2281,2135,4416,12525,11939,24462
RA14,1814,1711,3528,254,261,512,347,346,692,40,41,79,43,52,96,17,22,39,10,7,17,7,4,10,4,4,10,0,4,4,0,0,0,468,475,948,47,49,98,22,23,43,792,808,1598,576,589,1164,3182,3104,6289
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,761,424,1186,221,160,382,1929,1707,3632,110,138,249,225,214,438,30,35,62,37,47,83,14,16,31,19,16,38,33,33,65,0,0,0,2400,2195,4597,373,438,814,56,35,95,3046,2835,5882,2307,1536,3835,6115,4793,10906
RA20,1240376,1306287,2546660,107762,112100,219870,24131,25064,49194,597972,617244,1215213,15382,16487,31869,7504,7844,15345,9211,9105,18309,3362,3581,6946,2566,2504,5065,3201,3378,6576,26,23,49,663350,685222,1348572,170095,174390,344485,15170,13165,28336,956377,984880,1941257,119005,114277,233277,2315755,2405442,4721195
RA21,315855,324076,639928,52087,56211,108293,7062,7830,14891,122066,131817,253885,4327,4534,8861,1496,1623,3115,1654,1619,3270,806,904,1717,1040,1050,2087,568,573,1138,7,4,7,139019,149952,288978,10006,10969,20979,3535,3286,6819,204653,220418,425068,43472,41213,84685,563977,585705,1149685
RA22,70331,69737,140068,12966,13732,26698,2084,2242,4326,18495,19506,37999,980,1121,2096,932,1034,1960,435,445,875,181,203,382,279,283,566,110,105,215,0,0,0,23502,24930,48427,2995,2988,5983,747,613,1359,40210,42261,82472,11359,10919,22277,121898,122913,244817
