RA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
RA10,12670,58252,236968,264176,217428,141792,29342,2440,148,963214,33313,50316,70825,53422,45898,45377,24547,5098,435,329238,12552,19836,30343,24259,21325,20197,7049,997,102,136658,1044,3316,8578,6344,4111,2750,840,255,71,27321,59587,131710,346719,348205,288764,210114,61775,8794,751,1456427,2847,7524,13972,10790,9749,8003,1270,61,3,54224,7501,6600,5203,2450,2232,3063,1343,175,15,28586,10342,14127,19175,13245,11985,11069,2614,239,18,82805,69931,145836,365894,361443,300751,221182,64392,9034,770,1539232,99363,47373,63634,53591,59010,95517,174492,121048,41737,755772,7593,11524,28258,22858,17374,14780,11874,10063,7115,131440,176894,204734,457790,437893,377132,331485,250755,140144,49627,2426449,5785,50540,193441,169880,154848,90153,14686,727,38,680100,41306,57231,97908,114988,99304,78495,25265,2959,178,517643,15200,20443,38049,29419,20889,18565,5692,649,61,148957,928,2507,6126,4216,2896,2014,662,225,75,19646,63222,130720,335524,318500,277933,189217,46304,4566,354,1366340,1579,4257,8495,6841,5883,3767,362,23,7,31218,7357,5828,6801,5924,4744,4262,927,61,12,35910,8933,10084,15299,12764,10629,8032,1289,83,21,67132
RA11,8362,18238,48522,51530,55027,43784,10571,1372,119,237522,12741,8022,11825,10591,12113,16241,10394,2292,208,84432,1575,1270,2423,2407,2859,3744,1490,210,39,16015,598,822,1581,1264,1252,1046,413,221,62,7268,23277,28352,64353,65789,71256,64806,22865,4099,426,345236,1113,1728,2420,1933,2065,1975,295,10,3,11541,1723,847,831,572,629,987,448,44,14,6098,2839,2577,3248,2501,2695,2958,745,56,19,17635,26118,30928,67603,68291,73949,67773,23609,4156,448,362871,18120,5920,9922,10090,13719,30921,71759,47754,14607,222810,3114,2946,5863,5662,6120,6240,5839,4298,2114,42198,47353,39801,83388,84041,93780,104933,101208,56209,17163,627879,3466,11914,28867,30785,39087,26824,4705,408,26,146093,17063,12508,26365,31304,31545,31936,10740,1282,87,162830,2027,1809,5849,3751,3209,4030,1304,153,21,22144,570,613,1225,933,928,773,332,178,53,5613,23124,26843,62296,66781,74774,63562,17080,2019,196,336677,646,881,1216,1010,1119,887,79,4,5,5847,1905,931,1291,1217,1187,1407,279,27,11,8248,2550,1809,2510,2227,2309,2292,359,32,7,14097
RA12,2151,4617,11986,12088,13567,13105,4699,944,108,63263,2365,1336,2064,1724,2300,3587,2620,758,131,16889,207,158,417,397,527,771,358,95,20,2951,183,205,407,370,359,406,186,123,41,2279,4907,6319,14876,14577,16749,17869,7861,1921,288,85374,240,369,567,427,525,557,68,3,0,2761,245,160,168,112,150,245,113,5,3,1205,491,526,733,544,673,807,179,13,3,3964,5397,6854,15611,15118,17422,18676,8044,1931,295,89344,4333,1247,2173,2239,3513,7521,15973,10472,3089,50560,1025,938,2013,2002,2239,2577,2362,1406,615,15169,10749,9039,19797,19355,23173,28776,26378,13810,4001,155078,879,2799,6522,6870,9208,7382,1898,298,17,35873,3343,2172,5765,6648,6798,7888,3019,512,62,36207,260,250,1125,631,564,816,311,64,9,4028,183,141,294,246,284,266,159,101,15,1699,4661,5363,13709,14394,16862,16354,5387,973,109,77802,145,167,288,254,329,264,33,0,0,1483,274,157,278,226,235,288,65,6,0,1527,424,325,563,481,564,551,95,6,3,3006
RA13,151,339,991,876,974,1042,413,82,15,4878,78,57,106,86,112,159,146,47,16,805,6,15,36,31,35,48,27,11,0,212,13,15,35,26,21,18,12,9,6,164,249,426,1179,1022,1143,1271,602,145,31,6055,20,26,44,23,28,28,7,0,0,177,21,4,12,7,4,18,0,0,0,69,36,30,54,29,34,47,8,0,0,249,284,453,1232,1056,1181,1317,612,149,31,6305,293,85,127,120,194,392,737,507,168,2613,126,120,303,253,269,315,251,150,34,1810,705,655,1651,1423,1641,2023,1599,798,226,10727,53,205,533,492,630,547,159,44,0,2666,150,122,405,392,416,406,160,28,3,2084,14,16,96,35,34,41,20,6,0,262,14,14,29,20,14,19,4,9,0,120,233,354,1069,936,1094,1016,346,92,5,5142,18,16,26,14,19,7,0,0,0,102,15,12,13,15,13,14,0,0,0,83,29,29,40,30,35,23,4,0,0,188
RA14,41,63,196,190,202,219,93,21,5,1032,15,18,31,28,36,54,37,15,0,227,0,3,8,4,3,13,8,0,0,42,3,4,6,6,9,6,7,0,0,48,55,86,248,232,252,292,141,37,8,1351,5,0,7,6,12,6,0,0,0,40,3,4,5,0,6,4,0,0,0,31,7,8,16,10,13,12,5,0,0,73,64,92,262,244,263,307,143,37,8,1423,93,39,62,68,84,132,217,105,31,832,43,36,71,57,64,81,72,30,7,457,197,173,392,362,424,516,427,182,43,2713,24,51,155,124,176,155,49,11,3,741,20,26,80,84,69,76,35,11,0,397,0,0,24,10,6,11,4,0,0,61,0,3,10,4,12,7,8,0,0,34,48,81,269,226,258,244,96,24,3,1240,0,3,6,6,4,5,0,0,0,23,0,6,3,0,9,9,0,0,0,27,3,9,8,10,7,15,0,0,0,50
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,23,70,243,184,129,102,17,4,0,762,22,48,133,69,54,61,26,0,0,410,10,10,51,33,34,14,6,0,0,152,4,11,23,14,7,10,6,5,0,66,57,128,435,295,228,187,52,6,0,1388,13,36,75,70,57,33,6,0,0,285,9,15,25,13,17,23,3,0,0,106,24,49,97,83,79,56,12,0,0,392,78,181,530,377,303,237,61,4,0,1775,83,92,218,241,274,401,459,127,13,1917,90,136,412,483,435,312,131,39,8,2040,253,411,1164,1108,1010,949,648,166,19,5734,9,48,170,97,85,52,9,0,0,470,48,50,160,75,75,78,24,0,0,506,6,21,43,23,19,22,3,0,0,136,0,0,6,9,6,0,0,0,0,20,66,122,369,195,189,156,34,0,0,1128,9,16,28,37,24,12,0,0,0,135,19,19,28,24,14,19,4,0,0,124,27,37,57,62,40,30,6,0,0,252
RA20,10122,55774,240177,252848,203694,131869,26778,2115,118,923492,34717,53632,66802,44690,37268,37434,22257,4616,339,301759,4933,6565,9979,7880,6787,7181,3016,516,64,46925,820,2919,7756,5483,3447,2176,715,226,67,23607,50593,118888,324717,310903,251197,178659,52770,7477,588,1295783,1961,6520,12017,8837,8072,6041,946,48,11,44459,10345,6780,4566,2214,1917,2590,1056,137,16,29627,12306,13300,16580,11051,9994,8631,1999,184,26,74089,62896,132187,341298,321955,261193,187293,54771,7662,615,1369871,74851,31871,37050,31188,36014,61948,129838,94961,35029,532741,5585,9027,23379,17765,13619,10545,8529,6940,4064,99458,143327,173076,401730,370910,310828,259787,193133,109567,39708,2002066,2944,38903,174905,142178,129448,73527,11089,508,20,573532,45762,66311,102334,116675,100043,75348,23476,2444,113,532508,6724,9014,22435,16437,8606,8477,2911,361,32,74996,756,2303,5187,3541,2604,1627,540,200,81,16846,56190,116530,304864,278833,240704,158976,38027,3523,249,1197891,1165,3820,7955,5719,4801,2983,284,17,0,26744,10484,6380,6682,6163,4848,3746,777,69,4,39148,11650,10200,14641,11879,9643,6727,1055,86,12,65896
RA21,5565,15006,41714,44035,46716,36944,9011,1240,117,200349,9667,6325,8458,7590,8669,11998,8471,1751,172,63112,1404,947,1753,1823,2130,3178,1323,209,32,12791,492,613,1247,1044,1113,895,462,211,52,6123,17122,22891,53171,54494,58629,53013,19262,3409,377,282367,663,1180,1813,1300,1459,1372,207,9,0,7996,1488,605,597,372,416,667,276,36,3,4463,2151,1786,2403,1668,1873,2042,490,44,3,12458,19272,24671,55578,56160,60503,55061,19757,3453,377,294829,14459,4290,6805,7099,9788,20917,51747,33498,10238,158842,2084,2007,4214,4252,4792,4802,4789,3292,1612,31837,35816,30968,66600,67502,75083,80773,76286,40249,12227,485507,1905,8706,23070,22434,28843,19674,3435,330,30,108432,13009,10802,21639,28093,27889,27133,8581,945,71,138155,1906,1496,5165,3283,2674,3661,1207,143,21,19544,499,490,926,751,843,662,372,159,53,4760,17324,21499,50797,54560,60245,51133,13591,1585,175,270894,330,551,883,688,821,670,63,7,5,4010,1565,644,895,862,901,961,176,24,11,6037,1895,1193,1771,1545,1717,1630,239,30,15,10046
RA22,1192,3059,8233,8100,9016,8752,2774,533,52,41700,1779,1009,1688,1514,1709,2706,1876,485,76,12842,204,169,343,319,412,702,308,70,21,2543,101,124,345,267,274,254,139,79,16,1608,3277,4363,10609,10195,11409,12417,5094,1170,166,58696,142,262,350,262,337,359,58,0,3,1767,197,116,154,101,104,187,77,6,0,945,340,382,505,364,440,546,131,6,5,2716,3615,4743,11113,10554,11851,12966,5228,1172,173,61408,2915,808,1320,1391,2227,5206,12167,7748,2424,36217,536,540,1159,1158,1263,1508,1496,938,421,9003,7067,6091,13592,13103,15335,19679,18886,9866,3012,106628,417,1801,4359,4055,5652,4555,1081,139,14,22071,2316,1699,4303,5130,5432,5973,2065,283,19,27231,303,225,887,522,531,787,250,37,9,3566,102,115,206,221,227,188,101,62,16,1240,3141,3840,9761,9933,11841,11504,3502,530,56,54105,71,100,167,142,170,134,12,0,0,790,193,95,181,177,164,251,50,7,0,1109,264,198,346,313,336,377,62,7,0,1903
