RA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,72155,140804,350826,331262,288566,197245,47596,4645,373,1433472,87453,43477,91221,94415,89102,138856,216763,146088,65292,972675,6850,9881,26176,21177,15649,13298,12628,13027,14260,132949,166458,194165,468223,446850,393317,349400,276985,163766,79928,2539094,18462,108789,430409,434057,372281,231940,44026,3167,183,1643308,74620,107545,168738,168412,145198,123868,49820,8060,613,846879,27755,40275,68397,53674,42216,38756,12738,1642,158,285617,1975,5822,14706,10559,7011,4762,1500,485,155,46964,122811,262430,682248,666705,566701,399334,108079,13356,1109,2822769,4423,11786,22468,17635,15630,11766,1637,86,15,85436,14852,12434,12001,8371,6978,7325,2264,233,24,64497,19276,24216,34475,26003,22613,19093,3900,317,35,149939,142087,286642,716719,692704,589315,418427,111979,13675,1145,2972703,186819,90850,154855,148006,148116,234374,391252,267144,107027,1728447,14448,21402,54438,44032,33025,28076,24499,23095,21377,264393,343353,398901,926013,884749,770453,680882,527733,303911,129555,4965542
RA11,25673,28654,64810,69009,77077,65854,17438,2056,202,350776,15622,6744,15987,14883,17660,40635,81152,53921,22417,269020,2735,2544,5699,5548,5425,5665,5871,5309,3906,42710,44035,37943,86487,89437,100169,112156,104463,61289,26529,662510,11830,30152,77386,82314,94118,70610,15277,1785,146,383614,29803,20530,38185,41895,43660,48176,21136,3571,298,247262,3601,3076,8272,6160,6069,7769,2783,361,64,38155,1172,1432,2807,2200,2185,1816,748,398,116,12880,46403,55201,126654,132567,146026,128369,39946,6122,623,681916,1762,2606,3631,2946,3184,2858,378,16,5,17390,3628,1778,2127,1790,1815,2393,729,68,19,14347,5392,4389,5759,4732,4999,5251,1105,87,26,31739,51795,59583,132410,137303,151024,133628,41051,6208,650,713647,33744,12671,25907,24968,31373,71556,152912,101679,37020,491834,5847,5496,11560,11206,11547,11907,11712,9612,6020,84907,91384,77742,169880,173480,193954,217090,205673,117502,43690,1290387
RA12,5088,5683,14272,14874,17423,16898,5485,977,111,80815,4097,1579,3779,3293,4044,9316,16775,11533,4955,59370,919,778,1871,1935,2086,2358,2025,1596,903,14477,10109,8043,19923,20101,23554,28570,24282,14104,5970,154662,3031,7418,18504,18954,22776,20483,6600,1243,127,99133,5704,3511,7826,8374,9104,11473,5636,1272,195,53091,466,406,1541,1028,1085,1590,669,157,29,6972,364,352,707,616,641,676,344,225,57,3979,9574,11683,28581,28975,33611,34226,13249,2890,401,163180,390,533,852,681,855,824,105,3,0,4242,525,319,448,342,382,529,175,12,3,2734,916,856,1300,1022,1230,1356,278,17,5,6975,10480,12541,29880,29994,34843,35579,13528,2908,402,170158,8429,2829,5953,5535,7558,16836,32743,22004,8048,109934,1943,1714,3882,3932,4321,4932,4387,3001,1522,29648,20853,17083,39722,39460,46727,57348,50662,27916,9969,309744
RA13,263,383,1105,967,1129,1042,350,92,5,5330,309,116,320,219,242,480,702,555,245,3184,124,121,263,267,278,291,206,140,56,1736,695,623,1691,1450,1639,1814,1256,783,307,10253,210,539,1527,1366,1601,1593,569,132,15,7548,230,178,513,475,521,562,308,72,20,2892,21,34,132,67,70,86,44,17,0,470,28,27,65,44,39,42,23,14,7,281,480,781,2238,1960,2237,2285,946,237,38,11196,37,44,70,40,50,41,11,0,0,280,29,13,26,22,21,39,0,0,0,156,68,57,92,62,70,73,10,0,0,438,549,837,2336,2020,2305,2358,961,235,38,11634,602,198,445,339,435,871,1436,1053,412,5798,248,244,562,519,542,601,453,284,88,3553,1397,1280,3344,2872,3277,3834,2856,1577,532,20979
RA14,51,88,277,233,268,257,96,20,3,1289,96,50,128,86,106,134,179,110,39,926,32,42,81,74,70,77,45,28,9,457,177,177,492,392,443,464,317,160,57,2676,63,110,357,315,384,374,141,33,6,1774,31,46,106,112,102,124,70,22,0,624,0,5,31,16,8,26,9,6,3,106,4,4,20,14,13,8,9,4,0,80,104,168,510,457,510,532,232,62,9,2593,9,5,15,14,13,11,0,0,0,61,3,9,13,5,11,12,0,0,0,61,9,16,22,13,26,23,5,0,0,122,113,185,538,475,537,562,242,60,9,2717,190,90,191,152,195,264,392,216,73,1762,74,76,156,133,133,157,116,62,15,915,375,349,880,757,862,980,743,345,96,5389
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,95,154,428,259,226,183,41,0,0,1382,105,130,265,203,242,371,298,88,19,1722,87,134,331,282,204,147,61,21,7,1273,279,418,1022,749,666,698,404,104,32,4381,31,112,408,278,214,148,25,4,0,1229,66,97,287,141,133,136,50,0,0,910,17,24,91,51,49,39,5,0,0,284,6,10,23,15,18,9,6,5,0,87,123,245,809,492,412,338,86,6,0,2511,22,50,98,111,85,47,8,0,0,419,26,41,48,35,32,36,7,0,0,224,46,86,148,147,116,80,18,4,0,647,169,336,963,640,530,423,103,8,0,3161,186,224,484,446,514,772,759,216,33,3630,175,266,745,770,637,460,190,58,18,3319,532,829,2187,1859,1678,1648,1055,277,49,10112
RA20,67840,126730,319506,290714,250343,165708,39085,3606,256,1263782,63391,30299,68021,71275,64880,101940,170599,118957,55904,745254,5174,7707,21230,16518,12447,9914,9633,8761,7622,99018,136403,164738,408756,378513,327678,277565,219311,131316,63780,2108061,13062,94677,415079,395021,333145,205399,37867,2628,135,1497030,80478,119939,169136,161361,137317,112778,45739,7064,451,834270,11660,15575,32413,24318,15392,15654,5924,881,101,121928,1574,5223,12946,9027,6051,3803,1261,420,145,40448,106781,235412,629582,589735,491899,337637,90795,10993,833,2493667,3126,10336,19975,14561,12875,9027,1229,66,18,71207,20831,13163,11248,8377,6762,6336,1831,204,26,68775,23958,23499,31227,22935,19638,15360,3061,270,40,139985,130733,258916,660802,612668,511539,353001,93853,11270,871,2633656,138242,62164,105070,102464,100893,163883,300435,213918,90930,1277995,10752,16734,44615,34292,26073,20460,18164,15703,11681,198479,279732,337815,810489,749421,638502,537352,412451,240882,103485,4110133
RA21,19218,22693,52571,56108,61964,52758,13837,1612,182,280939,12339,4777,12142,12354,13643,29900,60522,37638,15982,199297,1950,1723,4131,4310,4338,4603,4578,3928,2777,32342,33511,29195,68845,72772,79943,87260,78929,43175,18943,512571,7468,23710,64785,66469,75560,56622,12446,1572,144,308778,22674,17129,30095,35684,36553,39131,17050,2698,246,201265,3311,2444,6916,5102,4800,6839,2526,356,47,32338,993,1105,2167,1793,1955,1559,833,369,104,10880,34443,44387,103969,109049,118875,104146,32857,4989,547,553266,990,1728,2694,1981,2274,2039,274,16,5,12003,3055,1250,1486,1236,1319,1632,459,59,14,10504,4045,2981,4176,3220,3590,3668,732,77,16,22509,38486,47366,108145,112263,122464,107818,33589,5065,565,575772,26798,9066,18947,19449,23435,50814,112264,71139,26220,358137,4038,3724,8349,8564,9128,9405,9363,7220,4387,64181,69327,60154,135443,140280,155025,168040,155222,83421,31168,998085
RA22,3402,4040,10102,10242,12176,11880,3565,536,52,56007,2601,997,2691,2487,2954,6556,12955,8598,3862,43700,494,474,1095,1108,1152,1304,1295,1034,722,8679,6494,5514,13888,13842,16286,19735,17819,10169,4639,108390,1613,4856,12594,12155,14667,13305,3856,678,66,63778,4093,2713,5991,6645,7140,8684,3942,772,96,40075,508,399,1229,841,940,1488,558,112,34,6110,204,230,554,481,500,441,242,146,30,2840,6414,8208,20364,20119,23250,23916,8600,1701,225,112800,212,357,514,403,507,493,71,0,3,2557,389,217,337,271,266,430,128,12,3,2058,599,579,846,677,774,927,197,12,0,4614,7017,8777,21219,20799,24025,24843,8796,1710,227,117419,5514,1811,4015,3882,5176,11760,25127,16346,6288,79917,1031,1009,2259,2267,2415,2809,2785,1970,1145,17683,13564,11605,27484,26949,31621,39414,36710,20029,7657,215019
