RA_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
RA10,48874,6367,3056,316,58608,928,220,1150,59755,3374,118,63247,63305,13465,4109,508,81391,823,199,1019,82402,3299,131,85834,27849,5070,6489,339,39742,365,59,425,40162,1395,48,41606,1087,228,135,1130,2581,38,6,41,2631,173,300,3100,141111,25132,13787,2291,182323,2154,479,2635,184949,8243,597,193790,2064,344,151,48,2605,359,34,395,2995,196,6,3202,2818,596,223,66,3698,314,85,398,4095,296,18,4409,4882,945,371,107,6303,675,120,792,7095,492,21,7604,145991,26075,14151,2401,188621,2827,600,3420,192045,8736,615,201396,47503,12619,6777,1866,68758,2902,691,3596,72358,20511,388,93256,405,126,58,633,1221,17,3,21,1240,132,1311,2695,193899,38815,20990,4898,258602,5743,1297,7040,265642,29379,2316,297342,71971,9387,3863,436,85661,1390,260,1648,87306,5186,140,92635,69290,14612,4034,564,88505,1009,191,1206,89712,4365,176,94247,10638,2512,3549,172,16869,180,30,214,17082,880,30,17990,755,155,109,1148,2162,31,5,40,2201,202,302,2708,152657,26663,11557,2317,193193,2614,491,3109
RA11,8504,1286,247,62,10104,112,34,140,10248,589,18,10856,19852,3243,511,169,23774,118,38,162,23938,704,30,24666,5738,833,782,78,7424,55,18,79,7503,180,11,7689,344,47,22,264,677,7,0,7,679,28,60,769,34443,5413,1555,574,41982,288,95,385,42369,1501,117,43983,150,33,6,5,203,49,0,47,247,23,4,272,488,94,25,17,613,44,15,59,673,53,4,724,641,125,26,20,813,86,13,106,922,69,6,996,35079,5538,1588,593,42796,379,111,485,43287,1570,122,44984,10290,2198,596,377,13465,422,126,543,14012,1833,51,15893,76,15,5,68,162,3,3,9,167,16,239,424,45448,7747,2190,1041,56427,805,233,1039,57471,3419,414,61297,15294,2150,353,115,17918,168,59,227,18146,874,34,19049,22362,3675,591,229,26861,169,64,234,27091,1019,45,28159,1803,355,391,36,2585,21,0,25,2608,144,6,2761,233,40,7,277,559,8,0,10,564,39,52,653,39690,6228,1345,659,47924,367,128,496
RA12,2088,205,43,21,2358,18,3,22,2385,91,7,2474,4869,535,75,47,5531,25,3,36,5561,137,14,5708,1291,113,102,6,1514,5,0,5,1520,31,0,1552,92,6,15,65,171,0,0,0,171,11,7,185,8338,855,238,141,9569,50,16,66,9631,260,26,9924,38,0,4,0,44,13,0,13,54,5,0,58,97,18,9,3,123,10,0,12,135,6,0,147,132,19,6,5,168,21,0,25,186,15,0,207,8470,877,242,151,9736,71,20,86,9822,274,31,10127,2659,410,113,128,3309,75,37,115,3424,467,3,3896,24,0,0,11,37,0,0,0,39,4,49,95,11153,1283,352,292,13081,145,56,202,13283,749,86,14115,3951,350,67,32,4397,35,18,56,4450,156,7,4617,5595,527,88,63,6270,56,24,72,6339,187,8,6539,348,67,41,10,461,3,0,5,464,21,0,488,89,3,5,85,181,0,0,0,181,6,16,204,9979,944,199,188,11305,91,42,134
RA13,196,16,8,0,218,0,0,0,217,10,0,223,394,21,6,3,423,0,0,0,423,8,0,432,98,15,5,0,114,0,0,0,114,7,0,123,12,0,0,6,18,0,0,0,18,0,0,18,697,48,22,10,775,0,0,0,777,20,0,794,0,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,6,6,0,0,8,6,0,0,0,8,0,0,6,9,0,0,11,700,48,22,10,780,3,0,7,783,22,0,809,214,28,9,14,258,15,0,14,272,22,4,299,0,0,0,0,0,0,0,0,0,0,5,8,913,79,32,22,1038,17,3,19,1062,42,4,1109,314,13,6,6,335,0,0,0,337,10,0,343,395,25,10,0,426,0,0,0,426,11,0,440,18,4,6,0,28,0,0,0,28,0,0,28,12,0,0,6,19,0,0,0,19,0,0,19,731,46,22,12,810,0,0,0
RA14,57,5,3,0,65,0,0,0,65,7,0,67,49,4,0,0,49,0,0,0,49,4,0,57,17,0,0,0,20,0,0,0,20,0,0,20,4,0,0,0,6,0,0,0,6,0,0,6,126,13,6,0,140,0,0,0,140,10,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,6,0,0,6,125,12,6,0,139,0,0,0,146,10,0,151,42,8,0,4,49,0,3,4,62,20,0,82,0,0,0,0,0,0,0,0,0,0,11,11,168,17,10,7,193,0,4,7,204,27,11,237,84,0,0,0,86,0,0,0,86,3,0,89,58,10,0,0,66,0,0,0,66,3,0,70,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,6,0,0,155,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,39690,5070,848,236,45847,771,225,995,46838,2140,90,49073,67991,11137,1387,467,80983,702,216,918,81897,2088,157,84145,23026,2916,2511,194,28645,234,51,286,28930,558,39,29534,1132,161,35,947,2274,27,15,38,2309,118,214,2643,131844,19282,4781,1843,157743,1727,506,2233,159982,4905,502,165391,1935,359,40,48,2389,214,30,236,2629,182,11,2819,3270,627,89,100,4083,239,86,334,4416,185,22,4615,5200,988,132,151,6474,454,119,572,7045,370,26,7439,137046,20265,4914,1989,164219,2179,627,2807,167024,5273,531,172827,50288,10976,1958,1639,64866,2144,494,2640,67506,8859,356,76716,420,116,12,634,1192,18,0,21,1206,84,984,2274,187761,31361,6889,4264,230274,4341,1122,5462,235733,14211,1868,251815,58959,7515,1021,284,67779,1060,334,1399,69179,3294,126,72595,76870,11975,1297,544,90681,943,240,1183,91869,2831,128,94823,5833,934,797,78,7645,81,27,106,7754,311,19,8083,780,126,26,977,1906,33,10,44,1950,131,183,2266,142443,20547,3135,1889,168017,2126,607,2734
RA21,5563,860,182,36,6640,75,32,105,6746,390,8,7144,17997,2462,349,136,20957,100,44,140,21094,505,22,21628,5299,699,592,78,6666,41,5,45,6710,145,11,6866,275,22,11,186,492,0,0,5,494,22,31,550,29139,4047,1131,437,34752,217,83,301,35049,1060,77,36187,115,26,0,0,145,24,0,25,169,16,5,186,410,89,14,16,526,24,6,33,558,22,0,578,527,108,14,20,674,44,11,51,725,34,3,766,29663,4159,1146,458,35423,262,94,352,35773,1097,82,36957,9237,1488,447,277,11455,299,65,363,11815,1256,31,13106,75,3,6,44,126,0,0,0,132,13,162,302,38973,5652,1601,773,47000,565,152,714,47713,2365,278,50360,10442,1542,261,76,12327,126,45,177,12502,643,19,13165,21378,2821,428,166,24795,146,64,212,25010,697,24,25731,1583,242,265,33,2127,10,0,14,2134,68,8,2207,258,33,7,248,543,10,0,10,551,29,42,622,33665,4641,965,523,39788,299,108,412
RA22,1070,149,31,3,1256,19,3,20,1275,76,0,1358,3418,404,64,38,3927,28,11,35,3959,90,4,4059,867,118,102,22,1106,0,0,3,1111,25,0,1140,44,8,3,50,110,0,3,3,113,9,9,126,5404,685,193,109,6395,43,19,55,6454,209,15,6676,16,6,0,0,24,8,0,8,26,3,0,34,42,9,4,0,61,0,6,12,68,8,0,73,66,13,4,0,79,11,6,14,98,12,0,110,5464,698,197,112,6473,50,21,75,6548,217,15,6785,1915,283,62,96,2354,76,18,94,2452,298,10,2765,30,5,0,11,45,0,0,0,45,3,32,85,7406,993,255,220,8880,125,43,176,9051,522,54,9631,1952,252,46,13,2255,23,8,31,2288,129,6,2419,3831,517,81,43,4478,29,13,35,4516,141,9,4659,269,52,41,7,371,0,0,0,374,12,0,387,46,13,0,72,135,0,0,0,136,14,0,151,6097,828,169,143,7240,55,20,73
