RA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
RA10,1281,2866,2517,2066,2978,1489,856,14050,456,910,777,674,844,398,269,4324,205,371,274,227,301,185,117,1680,118,137,75,68,74,48,30,560,2061,4284,3641,3037,4204,2123,1268,20614,142,213,191,144,204,95,57,1047,48,89,85,48,60,25,22,373,186,296,278,194,266,121,79,1416,2244,4581,3916,3232,4469,2240,1346,22036,901,1741,1340,1109,1380,719,402,7595,73,108,73,55,42,14,9,379,3224,6430,5330,4402,5890,2976,1757,30004,4561,11238,9562,7595,10848,5629,3193,52622,6547,12149,8590,6132,7850,3475,1861,46599,2247,2642,1819,1277,1625,846,564,11020,364,509,357,235,267,155,98,1982,13721,26537,20332,15232,20591,10101,5717,112227,455,867,598,496,631,295,188,3525,843,1234,790,560,641,271,157,4504,1302,2104,1391,1058,1272,567,339,8028,15025,28641,21721,16290,21857,10667,6064,120259,19867,21142,12301,8416,9638,4386,2645,78395,387,482,332,213,166,71,39,1685,35276,50265,34358,24918,31658,15118,8742,200339,5839,14111,12083,9658,13826,7112,4047,66669
RA11,491,1013,976,840,1103,260,93,4775,143,415,371,313,341,59,20,1653,50,64,56,35,51,14,11,290,22,53,28,23,35,4,0,171,705,1551,1434,1208,1529,338,126,6891,41,90,84,51,71,6,3,352,14,55,35,25,31,3,0,170,64,142,113,80,101,15,6,517,765,1690,1548,1287,1633,349,133,7407,327,652,507,449,411,71,34,2451,25,41,39,35,21,0,0,156,1120,2382,2091,1763,2069,424,163,10018,1373,3385,3083,2413,3245,758,252,14498,3250,5884,4008,2832,2864,542,145,19522,658,591,388,266,241,62,20,2218,174,251,153,97,93,24,5,796,5451,10104,7638,5608,6439,1382,418,37038,190,355,247,171,159,24,8,1156,425,587,315,210,182,25,3,1742,607,940,564,378,347,50,17,2897,6055,11039,8196,5985,6786,1433,438,39937,7091,6453,3562,2327,2060,316,140,21938,206,223,156,109,66,5,6,770,13348,17713,11913,8426,8910,1754,578,62650,1862,4399,4058,3254,4349,1016,343,19278
RA12,101,232,241,193,248,36,8,1063,30,60,76,56,55,4,3,280,4,15,13,5,17,0,0,59,5,14,10,4,3,0,0,45,141,319,343,260,325,41,9,1441,15,24,19,10,13,0,0,79,4,14,6,7,6,0,0,33,19,36,25,13,15,0,0,113,162,360,372,275,337,46,9,1557,97,169,140,112,106,14,6,642,5,20,16,14,9,0,0,61,266,547,525,399,447,55,17,2256,273,778,654,493,573,100,27,2901,697,1308,857,565,606,72,14,4124,112,108,63,48,57,9,0,404,46,66,56,34,31,3,0,234,1133,2263,1633,1142,1263,182,42,7663,38,115,83,52,38,8,0,336,107,155,63,42,35,3,5,411,145,270,148,97,75,11,5,748,1275,2534,1783,1240,1338,195,45,8410,1865,1564,865,554,469,62,6,5383,69,68,39,32,14,6,0,233,3214,4171,2686,1823,1826,256,53,14018,380,1014,897,684,819,129,32,3965
RA13,3,12,5,11,11,4,0,51,0,7,3,3,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,18,18,16,19,4,0,76,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,3,17,21,12,26,4,0,87,13,20,9,11,0,0,0,58,0,0,0,0,0,0,0,7,22,42,35,24,25,4,0,149,15,60,34,29,22,9,0,163,44,76,40,27,17,0,0,206,5,9,6,4,4,0,0,21,5,5,5,3,3,0,0,20,70,151,78,60,44,4,0,408,5,3,4,3,0,0,0,13,0,8,8,6,5,0,0,33,4,12,10,9,5,0,0,43,72,158,88,72,50,4,0,455,178,140,63,32,28,0,0,448,6,13,3,4,0,0,0,36,259,311,160,115,89,8,0,940,22,74,42,39,32,10,0,211
RA14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,11,3,12,3,10,8,0,0,32,0,0,0,0,0,0,0,3,3,10,6,11,4,0,0,45,8,20,17,15,6,0,0,66,10,8,10,7,3,0,0,40,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,5,20,34,33,24,14,0,0,115,0,10,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,9,21,35,35,24,15,0,0,126,65,62,28,24,10,0,0,188,0,8,0,0,4,0,0,17,85,108,64,42,30,0,0,328,8,20,23,15,7,0,0,65
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,1180,2633,2189,1807,2847,1661,997,13322,332,694,620,527,723,410,214,3524,63,108,88,84,126,85,43,589,72,98,64,55,55,36,27,416,1647,3537,2969,2471,3754,2192,1280,17853,91,170,134,125,127,85,40,787,29,101,67,58,61,27,22,372,125,271,201,190,191,109,63,1159,1770,3809,3170,2664,3946,2304,1343,19009,533,1033,814,650,940,562,358,4893,74,67,60,48,36,8,14,308,2374,4909,4042,3367,4924,2876,1717,24208,3541,8740,7598,6052,9388,5530,3088,43948,5631,11506,8246,6036,8078,4089,2214,45803,1132,1150,728,537,732,381,225,4890,294,455,286,212,300,140,71,1765,10602,21850,16872,12840,18502,10144,5590,96403,382,791,537,419,565,311,187,3193,774,1460,735,521,644,311,162,4603,1156,2255,1278,936,1207,620,355,7804,11753,24107,18146,13780,19711,10761,5942,104202,12488,13956,8007,5788,6969,3708,2335,53252,368,463,249,192,133,68,47,1517,24610,38525,26410,19751,26815,14534,8324,158974,4721,11374,9796,7861,12232,7193,4085,57273
RA21,296,705,652,580,823,244,94,3392,104,241,222,179,232,43,23,1044,34,51,38,22,32,7,6,185,29,55,21,22,25,6,0,156,450,1052,932,799,1112,305,120,4785,16,59,52,44,51,12,8,244,20,29,27,25,18,0,3,119,36,87,76,71,61,17,8,356,493,1138,1014,869,1177,322,132,5145,208,421,295,265,292,94,40,1622,19,29,40,38,17,5,0,137,715,1589,1346,1171,1482,421,178,6900,681,2077,2031,1619,2200,650,252,9510,2251,4562,3111,2243,2501,630,209,15507,431,446,241,160,196,45,30,1557,89,159,109,60,82,17,10,517,3454,7236,5491,4083,4980,1350,500,27088,97,203,156,116,152,30,8,773,240,365,222,147,138,30,16,1156,337,572,374,264,291,69,20,1928,3792,7808,5864,4347,5268,1417,521,29017,4589,4465,2490,1631,1550,351,136,15220,92,136,96,57,34,7,3,431,8470,12415,8461,6033,6851,1775,659,44664,974,2780,2689,2200,3026,904,347,12908
RA22,75,144,119,116,163,29,10,662,21,43,49,42,47,5,0,211,3,6,10,5,6,0,0,24,0,4,0,3,6,0,0,15,100,192,183,163,224,33,15,911,7,18,20,6,15,0,0,60,0,9,0,5,0,0,0,15,13,28,22,7,15,0,0,84,112,223,204,175,236,37,14,993,53,116,72,63,48,14,4,363,9,8,8,3,3,0,0,39,171,342,285,235,289,51,18,1386,139,381,362,307,420,74,22,1707,455,825,568,411,435,108,16,2823,88,83,46,34,48,6,0,299,16,36,35,31,16,7,7,143,697,1326,1009,778,919,195,42,4968,28,41,32,14,15,3,0,135,41,81,40,28,27,7,0,236,73,122,76,48,47,3,0,371,771,1445,1086,834,967,196,46,5338,995,1025,522,379,274,56,17,3259,25,29,28,18,15,0,0,120,1783,2502,1630,1228,1260,256,58,8717,210,526,485,422,587,103,32,2365
