RA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
RA10,7005,13051,9362,6807,8694,3874,2132,50928,2455,3006,2094,1507,1931,1029,685,12701,482,649,438,304,340,202,123,2545,15781,30814,23967,18277,24792,12223,6990,132842,601,1081,793,639,838,388,240,4571,890,1318,879,606,699,296,178,4875,1489,2404,1665,1252,1535,686,421,9446,17271,33216,25638,19527,26326,12907,7409,142293,20771,22884,13642,9524,11015,5109,3045,85990,465,589,410,275,205,81,50,2067,38503,56693,39688,29322,37553,18095,10500,230344
RA11,3393,6299,4379,3142,3199,605,167,21180,705,657,447,301,301,77,30,2510,198,302,185,121,126,28,5,963,6155,11651,9071,6816,7973,1720,542,43930,232,448,326,225,234,37,9,1507,439,641,351,232,213,29,9,1915,666,1079,677,460,447,70,19,3418,6825,12736,9749,7276,8419,1784,568,47351,7418,7099,4069,2778,2470,387,173,24391,229,263,191,138,89,9,6,923,14470,20099,14004,10191,10977,2181,743,72664
RA12,723,1367,934,625,656,75,21,4406,116,124,76,57,71,13,0,454,52,79,64,39,40,5,0,281,1277,2586,1976,1404,1588,223,55,9108,53,137,99,58,49,11,0,408,108,172,74,51,37,3,5,448,160,308,172,111,87,16,5,857,1438,2894,2149,1510,1679,238,55,9962,1961,1734,1004,663,572,74,14,6028,74,86,61,44,21,6,0,290,3476,4715,3207,2218,2274,315,74,16279
RA13,44,80,42,32,26,0,0,234,5,9,6,4,4,0,0,21,5,4,4,3,6,0,0,24,73,168,94,75,67,6,0,486,5,0,11,5,0,0,0,21,0,8,8,6,5,0,0,33,4,13,14,15,14,0,0,54,79,179,111,85,77,6,0,536,191,163,75,43,31,0,0,510,11,10,11,5,5,0,0,34,279,354,192,133,112,10,0,1084
RA14,11,9,10,8,3,0,0,43,0,5,0,0,0,0,0,4,0,3,0,0,0,0,0,5,21,35,32,19,14,0,0,121,0,9,3,0,0,0,0,9,0,0,0,0,0,0,0,6,0,9,5,0,0,0,0,16,20,36,33,24,17,0,0,137,66,69,30,33,17,0,0,213,0,11,3,0,4,0,0,19,89,124,75,53,36,0,0,370
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,5966,12201,8875,6558,8800,4504,2420,49326,1193,1259,820,622,861,461,270,5482,369,558,356,270,356,178,96,2182,12247,25387,19840,15309,22258,12336,6871,114255,480,964,672,545,694,394,235,3986,806,1561,806,582,701,335,182,4975,1278,2525,1479,1124,1396,732,417,8958,13530,27910,21313,16441,23655,13069,7291,123213,13024,14984,8823,6438,7914,4265,2697,58139,437,535,307,239,171,79,55,1827,26985,43433,30450,23118,31741,17414,10042,183181
RA21,2356,4801,3329,2424,2730,680,235,16553,463,497,278,183,235,55,35,1739,114,215,131,76,104,27,9,672,3904,8289,6422,4884,6086,1653,623,31872,116,259,209,168,201,48,14,1012,259,397,246,169,156,35,15,1277,370,653,451,331,356,86,31,2282,4281,8947,6877,5217,6449,1740,653,34160,4794,4887,2788,1897,1844,445,183,16838,109,163,135,99,50,10,0,569,9193,14000,9801,7208,8336,2193,834,51564
RA22,477,872,614,456,486,108,17,3027,90,79,61,33,48,10,0,324,16,40,42,35,27,9,7,159,795,1516,1191,946,1144,228,57,5879,35,60,50,22,28,3,0,195,44,92,49,34,27,6,0,252,82,149,94,52,58,9,0,454,880,1666,1292,1004,1201,233,58,6329,1045,1134,590,442,321,68,20,3623,33,40,35,23,19,4,0,149,1957,2844,1910,1461,1549,304,77,10104
RA23,5,9,8,8,5,0,0,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,18,8,9,10,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,14,18,11,9,12,0,0,58,8,11,7,3,3,0,0,28,0,0,0,0,0,0,0,0,14,28,18,13,14,4,0,93
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,5475,10728,7677,5354,6538,1974,879,38627,1610,2047,1411,926,1201,419,181,7802,388,535,352,252,219,80,40,1868,11915,24004,18642,13787,18586,6256,2845,96042,581,1187,797,553,586,155,73,3931,928,1493,764,500,539,130,52,4409,1507,2677,1563,1050,1124,289,127,8333,13426,26682,20207,14842,19712,6545,2972,104372,12139,12897,7556,5379,5438,1614,876,45895,386,433,268,178,108,45,14,1434,25952,40010,28033,20399,25256,8203,3860,151704
RA31,1963,3958,2788,1990,2166,273,87,13228,361,420,263,200,208,33,7,1489,139,208,122,93,97,12,3,680,3658,7467,5734,4453,5277,787,259,27640,220,436,306,233,217,23,4,1441,370,596,352,221,177,23,3,1744,591,1030,659,458,390,52,7,3186,4251,8495,6389,4912,5667,836,268,30827,5218,5207,3093,2114,1773,237,85,17736,111,164,104,91,41,4,0,517,9584,13864,9586,7122,7491,1077,358,49078
RA32,1329,2649,1870,1254,1397,209,75,8776,183,234,138,102,109,15,6,791,67,149,94,72,72,12,0,464,2572,5475,4215,3126,3731,553,216,19883,162,348,225,205,160,23,3,1129,254,392,253,148,122,24,9,1197,421,740,483,353,280,44,14,2325,2993,6208,4699,3476,4004,596,231,22207,3287,3254,1871,1249,1032,178,73,10947,94,151,79,63,25,4,0,416,6379,9617,6654,4787,5063,783,296,33568
