RA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA10,3538,11006,9231,9092,8272,6502,3345,785,51769,10590,30500,41883,19535,9147,3167,522,41,115386,14680,65996,65795,63540,67253,50171,27118,8108,362663,12972,31899,28085,26148,20115,13203,7239,2287,141948,1502,4896,4977,4963,4087,2372,1111,314,24219,4315,19645,15497,12798,10661,7357,3806,1317,75391,1254,9000,8147,7990,8639,9090,4012,1103,49234,18038,78207,84178,62474,43940,28327,11390,2719,329274,8502,31201,27770,25372,19776,14669,6182,1504,134972,6693,18070,14354,8737,5449,3174,1215,306,57998,4776,12779,12899,8914,5655,3243,1683,346,50293,560,485,284,223,258,258,167,130,2371,1471,4467,5197,4791,3750,2426,1228,429,23747,23751,37714,32456,24985,20806,16880,14153,8886,179626,112628,355858,350754,279562,227806,160843,83167,28273,1598891,4839,12987,12496,9725,7423,4465,1749,437,54111,2507,10928,14291,7074,4024,1527,311,23,40693,1874,11317,10049,6365,6037,3430,2162,1103,42337,2049,6432,5150,3449,2047,959,336,81,20513,1136,2935,2730,2085,1536,793,293,60,11578,16005,56863,44175,36621,32653,21986,9826,3468,221596,8125,36147,33815,31331,27739,24932,10709,3037,175825,24608,104665
RA11,267,968,1153,1447,1542,1893,854,186,8318,703,1830,2067,1441,1215,811,170,18,8254,4885,15620,15435,17908,21372,19609,10325,2473,107630,3763,8333,8076,8212,8975,7209,3248,897,48715,957,2672,3234,3685,3560,2675,1267,319,18371,680,3019,3175,3224,3460,2703,1124,304,17694,272,1857,2489,2908,3612,4945,1823,429,18331,1649,5916,7463,8096,8097,7159,3184,635,42185,1167,3894,4551,5216,4816,4423,1748,393,26205,735,1694,1705,1447,1231,1161,443,98,8514,1285,3243,3225,2913,2276,1591,719,157,15404,139,117,66,39,41,47,19,10,481,313,736,906,1051,1108,950,426,141,5636,8558,9528,9111,9127,8868,8671,6667,3074,63600,25372,59423,62662,66731,70161,63842,32019,9129,389347,325,1276,1480,1523,1409,1086,388,84,7575,82,475,525,613,726,487,129,9,3049,350,989,978,1038,1043,781,465,271,5918,184,579,601,585,459,269,88,9,2776,835,1620,1561,1667,1317,642,207,47,7892,3840,12231,11272,11524,13831,10732,4571,1334,69337,1889,8079,9440,9337,10114,9865,3969,981,53671,4112,13335
RA12,36,182,212,243,270,337,143,17,1437,77,289,273,185,186,133,21,4,1171,1455,4018,3852,4186,5062,4093,1781,372,24807,632,1549,1342,1417,1797,1342,619,152,8840,436,1104,1363,1677,1719,1287,587,106,8273,107,455,419,442,580,479,173,46,2695,80,393,386,519,649,805,276,48,3156,281,1053,1200,1341,1378,1099,400,77,6827,171,657,653,804,779,774,259,50,4135,64,219,155,170,229,193,78,11,1108,235,581,565,580,501,340,134,34,2974,20,12,11,14,9,17,3,0,88,71,153,193,249,264,214,85,24,1254,2591,2836,2830,3010,3442,3257,2080,867,20919,6241,13506,13446,14816,16864,14370,6634,1803,87680,46,236,252,277,242,175,61,16,1300,20,100,102,90,160,104,34,4,611,95,236,189,244,197,186,84,41,1272,29,94,100,98,83,52,27,0,483,300,684,666,568,522,226,71,9,3057,681,2366,2113,2344,3210,2389,978,288,14367,463,1959,2163,2234,2232,1982,730,176,11937,819,2664
RA13,0,17,13,20,19,4,8,0,76,0,12,6,0,0,0,0,0,22,87,337,251,228,272,171,55,19,1416,24,80,54,61,61,51,30,0,371,48,110,117,173,155,85,35,8,734,14,34,15,18,21,7,6,0,120,6,31,30,22,17,17,0,0,135,16,78,72,56,66,20,5,0,322,13,40,48,33,29,21,8,0,189,4,6,3,3,10,10,5,0,38,9,42,28,19,19,16,0,0,135,0,0,0,0,0,0,0,0,4,0,4,10,16,11,14,3,0,60,269,324,286,317,365,318,190,47,2112,501,1132,937,963,1054,730,340,84,5731,5,15,11,13,7,4,0,0,55,4,6,4,9,7,3,0,0,34,8,28,10,8,12,11,3,0,78,0,4,3,0,0,0,0,0,16,28,74,56,48,41,9,5,0,256,42,184,122,136,180,111,47,0,827,35,184,175,199,140,66,24,0,826,40,197
RA14,0,6,3,0,3,3,0,0,15,6,4,4,0,0,0,0,0,15,14,56,43,46,69,45,16,6,288,6,15,18,18,19,18,3,0,105,9,20,21,25,35,9,3,0,121,3,5,12,9,3,3,3,0,40,0,10,13,10,12,8,0,0,52,4,12,15,13,19,6,0,0,63,4,27,18,12,8,13,0,0,87,0,4,0,0,0,4,0,0,9,0,7,17,9,4,9,4,0,46,0,0,0,0,0,0,0,0,3,0,3,3,6,0,0,0,0,22,84,84,66,83,90,87,34,5,539,136,260,231,227,268,201,79,11,1412,0,5,4,3,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,3,5,3,0,0,0,0,10,0,0,0,0,0,4,0,0,5,6,14,14,10,9,0,0,0,56,10,53,26,30,40,33,7,0,193,15,54,45,42,38,11,3,0,214,11,42
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,26,15,8,4,7,3,0,69,10,29,20,10,9,9,0,0,90,18,115,82,73,126,100,27,0,541,7,70,28,36,48,32,4,0,230,6,9,13,14,17,8,9,0,72,4,33,14,26,7,11,0,0,91,4,11,10,11,15,20,4,0,63,13,64,54,50,43,34,11,0,263,10,47,43,32,38,29,0,0,201,16,28,19,10,8,9,3,0,95,7,31,23,15,14,10,0,0,104,0,0,0,0,0,0,0,0,4,4,15,13,5,16,5,0,0,64,236,432,507,464,325,150,42,9,2166,346,894,838,763,667,419,99,17,4042,0,23,4,9,12,0,0,0,54,3,8,5,3,4,5,0,0,29,5,15,6,7,9,3,0,0,55,7,12,3,4,0,0,0,0,30,6,17,11,8,7,7,0,0,51,14,69,59,54,62,34,14,0,298,5,35,19,35,31,26,9,0,157,27,102
RA20,4644,10570,8544,8123,7104,5389,2747,581,47705,7325,28759,36851,16576,7725,2916,387,40,100568,13987,58722,55565,51803,49591,36458,19812,6021,291954,10930,33189,24822,20361,14621,9089,5109,1550,119668,1415,4675,4698,4069,2979,1657,771,220,20486,3854,18075,13796,10624,8442,5526,2440,856,63616,1416,8510,7539,6956,7532,7345,3672,909,43884,14431,61063,66063,48268,32133,19856,7918,1989,251734,7909,26504,22795,19262,14480,10827,4385,1045,107213,6795,18637,13687,7674,4215,2394,1012,270,54683,3944,13507,12961,7130,4656,2274,1130,292,45884,465,444,288,163,159,138,88,20,1767,1353,4804,5794,4651,3291,2109,992,327,23322,18284,30571,24649,19350,15273,12394,10400,5792,136711,96761,318038,298060,225003,172195,118365,60859,19913,1309201,6519,14148,12919,9176,5762,3147,1021,307,52988,1954,11658,13143,5845,3117,1087,182,18,36999,1894,10418,9453,5708,4063,2406,1637,907,36481,1796,6990,4997,3251,1737,673,236,64,19744,1291,3086,2747,1957,1288,512,167,52,11100,14823,57619,42619,32134,25502,17330,8086,3033,201148,6379,32381,30407,27922,24905,21140,9413,2316,154865,15990,76735
RA21,291,820,1009,1206,1128,1320,564,101,6440,528,1636,2047,1270,926,575,107,5,7098,3852,12053,12388,14181,15736,13840,6483,1514,80044,2877,8418,7122,6336,5892,4308,1925,549,37420,865,2431,3048,3290,2997,1954,791,218,15598,551,2554,2519,2417,2583,2048,741,177,13604,326,1870,2311,2232,2817,3952,1861,309,15685,1063,4592,6101,6412,5993,4988,1793,310,31248,1210,3129,3134,3538,3257,3081,1141,211,18706,807,1627,1553,1183,927,859,305,57,7320,806,2331,2396,2088,1614,1030,432,83,10783,64,87,49,39,27,28,13,8,319,201,706,954,1103,955,745,344,92,5102,5452,5765,5859,6617,6786,6906,5294,2460,45141,18907,48026,50496,51920,51645,45632,21791,6098,294499,379,1129,1449,1402,1017,627,191,35,6235,72,335,479,438,471,280,69,7,2155,307,847,877,912,773,454,252,145,4564,166,537,605,527,395,212,67,10,2516,695,1501,1584,1420,1052,404,124,33,6818,3290,11431,10163,9760,10814,8192,3426,1009,58088,1587,6989,7830,7492,7609,8240,3432,687,43865,2053,8476
RA22,36,140,145,160,183,205,73,10,952,67,230,231,134,122,93,20,3,912,838,2399,2204,2491,3188,2867,1247,274,15516,440,1276,1081,1040,1299,1007,443,108,6684,384,914,1148,1239,1282,739,281,59,6039,72,379,359,383,485,353,135,25,2179,34,315,359,387,537,726,313,48,2713,211,822,904,982,937,822,283,40,5004,171,524,487,543,565,483,150,29,2949,73,224,168,144,117,137,59,9,935,190,468,447,434,443,274,122,11,2397,11,27,19,11,5,6,3,0,84,39,104,182,184,203,148,76,23,961,1419,1447,1503,1670,2053,2092,1442,611,12240,3977,9275,9229,9805,11434,9950,4639,1265,59567,36,192,223,186,160,109,15,10,931,12,63,72,66,72,48,4,5,334,50,139,128,165,134,93,69,34,808,21,76,74,58,42,24,8,0,306,193,465,488,389,320,121,38,5,2016,516,2020,1685,1770,2403,1820,701,237,11144,301,1400,1389,1417,1483,1558,728,135,8405,464,1662
