RA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
RA10,114180,87738,59667,33443,12361,3804,440475,19273,62042,59979,50649,37617,21174,7035,1577,259339,10479,28863,21910,14267,8292,4419,1937,677,90836,10144,21316,18996,15370,9362,5605,2297,590,83678,510,406,276,303,399,368,294,308,2870,1608,5092,5957,5177,3433,2246,978,425,24917,19959,32777,28039,21101,18364,17907,18228,17090,173465,123124,392770,372046,291253,218593,143264,68501,32673,1642232,8376,23993,21725,18819,15689,10973,5094,1218,105880,13095,41430,56179,26605,13174,4696,826,66,156079,16552,77317,75847,69903,73291,53606,29278,9208,404998,15026,38330,33232,29597,22166,14158,7572,2374,162454,2643,7839,7708,7047,5625,3172,1402,374,35798,20318,76507,59673,49420,43317,29345,13631,4784,296989,9380,45140,41962,39322,36380,34023,14716,4141,225062,42650,182869,198361,150215,103609,61771,23752,6523,769749,27772,93243,87748,76018,57390,35844,13214,3080,394312,17170,46937,36260,23006,13735,7595,3151,984,148836,14919,34093,31892,24289,15015,8851,3978,939,133968,1068,896,561,532,663,623,466,439,5243,3082,9555,11151,9969,7183,4672,2202,849,48659,43706,70494,60494,46086,39169,34787,32381,25973,353088,235755,748635,722798,570818
RA11,15702,17202,16338,11341,4294,1080,83401,4120,11012,12245,13021,12360,7741,2166,359,63020,1053,2983,3193,2756,2403,1678,718,193,14970,3398,6500,5625,4918,3531,2439,908,213,27536,176,109,47,58,74,51,53,20,580,244,597,814,957,803,575,249,81,4318,6823,7048,7029,7290,7797,8570,8111,5549,58227,27429,66834,70515,72501,72202,56246,26314,10223,402265,595,2247,2635,2975,2953,2988,1244,270,15896,787,2308,2593,2059,1939,1297,299,21,11300,5236,16612,16411,18950,22424,20386,10792,2742,113549,3943,8909,8681,8802,9427,7480,3333,912,51496,1794,4292,4794,5350,4877,3321,1478,363,26266,4527,15255,14439,14757,17288,13433,5696,1635,87030,2157,9937,11922,12245,13724,14807,5793,1411,72002,5758,19246,23163,25295,24429,18499,7479,1709,125582,5284,14909,16797,18236,17177,12157,3910,754,89221,1787,4677,4900,4204,3634,2835,1160,291,23483,4683,9743,8853,7829,5813,4025,1622,365,42939,309,223,117,95,113,100,75,32,1062,558,1332,1720,2014,1909,1525,681,217,9950,15378,16580,16139,16422,16668,17236,14777,8622,121823,52803,126260,133175,139235
RA12,3192,3534,3508,2139,670,142,16670,740,2113,2253,2475,2703,1405,341,53,12081,111,424,398,391,428,299,110,42,2203,631,1342,1100,1026,835,471,176,30,5615,13,28,7,10,23,13,9,3,103,32,138,144,191,179,117,42,5,852,2168,2199,2354,2602,2940,2794,2262,1327,18654,6143,14578,15038,16094,17250,12353,5585,2144,89186,81,418,467,520,509,510,201,38,2739,98,385,376,274,350,241,56,6,1780,1547,4258,4034,4431,5264,4277,1866,410,26076,661,1643,1438,1520,1877,1398,645,156,9327,739,1788,2030,2241,2236,1511,659,122,11330,788,2825,2530,2786,3786,2862,1149,337,17058,539,2355,2547,2754,2884,2790,1003,220,15094,1098,3718,4392,4869,4892,3237,1071,220,23495,908,2768,2902,3283,3480,2180,595,102,16215,174,639,551,561,651,496,183,56,3305,871,1931,1666,1600,1337,810,310,67,8586,33,38,19,21,28,27,12,3,188,104,292,336,445,440,333,128,25,2102,4756,5033,5187,5616,6383,6056,4345,2188,39570,12388,28086,28482,30917
RA13,183,211,176,70,19,5,895,50,148,132,110,114,47,12,0,617,6,19,21,12,12,4,0,0,78,26,77,67,46,27,21,11,0,279,0,0,0,0,0,0,0,0,12,8,3,11,13,4,5,0,0,44,271,283,295,295,328,250,179,75,1976,520,1221,1089,1111,1050,601,307,89,5988,5,28,23,29,28,5,8,0,127,6,15,16,8,9,6,0,0,58,89,359,265,239,288,180,55,19,1495,29,84,58,63,67,51,30,0,388,78,185,174,217,190,98,36,8,983,61,217,139,163,206,114,52,0,947,41,212,209,224,156,81,27,0,960,56,274,251,274,241,87,30,10,1215,61,187,174,138,148,66,17,0,803,12,28,25,16,22,19,3,0,120,40,124,90,67,44,35,7,0,411,6,0,0,0,0,0,0,0,14,7,13,22,28,18,16,5,0,106,535,604,580,614,689,563,371,128,4085,1014,2351,2031,2072
RA14,41,47,25,22,5,0,196,4,45,25,33,19,9,5,0,144,4,6,9,3,6,3,0,0,28,3,24,15,25,13,11,0,0,85,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,11,85,103,84,85,88,56,34,11,543,147,341,270,279,241,145,62,13,1508,0,8,7,0,9,4,3,0,34,6,4,4,0,3,4,0,0,19,14,53,42,46,69,45,18,6,297,6,18,19,23,21,23,3,0,106,22,34,35,33,41,14,4,0,179,10,59,39,37,43,36,8,0,235,17,61,50,52,48,25,3,0,266,16,55,57,56,52,26,6,0,266,10,71,48,41,27,20,9,0,224,4,10,8,3,8,4,0,0,37,7,29,28,30,15,17,4,0,134,0,0,0,0,0,0,0,0,7,0,9,6,12,5,4,3,0,33,176,184,152,166,172,146,70,16,1082,286,596,502,508
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,84,86,92,40,13,0,455,26,97,52,61,74,38,6,0,352,21,64,26,15,16,8,0,0,158,25,50,26,26,23,19,0,0,162,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,0,21,230,350,305,213,159,77,26,10,1373,375,843,611,522,498,255,66,20,3187,3,46,24,17,17,6,5,0,120,10,37,27,13,17,11,0,0,119,26,130,93,81,129,107,25,3,602,16,75,36,38,49,32,4,0,256,10,27,17,24,24,13,9,0,126,19,97,71,83,66,43,12,0,395,9,39,27,40,48,41,10,0,217,45,170,141,131,132,74,23,0,714,35,144,95,92,114,66,4,0,551,39,88,49,26,26,17,3,0,245,31,82,49,48,38,25,0,0,265,0,3,0,0,0,0,0,0,8,3,17,19,11,19,13,0,0,80,465,780,809,676,484,226,71,21,3539,718,1736,1449,1281
RA20,84680,61393,37023,18423,6405,2270,302926,15358,54981,52644,44895,32424,18239,5786,1232,225563,9149,25452,18137,10654,5880,3091,1397,490,74241,8344,20684,17805,12859,8065,4969,2137,565,75423,445,315,224,184,182,227,108,55,1751,1815,5611,6631,5354,3309,2079,836,311,25953,15636,26531,21736,16593,13625,13642,13264,10987,132012,101398,346616,318129,237939,166881,106955,50661,22606,1351182,11165,24723,21463,17300,12866,8534,3768,889,100700,9284,40422,49993,22428,10835,3996,564,55,137569,15880,69137,65020,57513,53650,38860,21451,6929,328433,12722,40181,29824,23612,16360,9753,5342,1615,139414,2709,7759,7447,6020,4268,2172,937,272,31586,18678,75698,56411,42760,33945,22858,10526,3892,264762,7795,40894,37943,34873,32443,28482,13086,3228,198743,30425,137803,150744,109665,69156,38275,14327,4262,554658,23268,81488,75437,64156,46903,29068,10171,2279,332773,15944,44085,31823,18327,10094,5487,2402,759,128921,12289,34188,30761,19992,12719,7237,3259,858,121311,913,768,508,350,343,363,199,80,3522,3171,10417,12425,10008,6600,4187,1827,636,49273,33922,57102,46384,35941,28907,26032,23659,16780,268726,198162,664655,616193,462939
RA21,11678,10853,8723,4861,1570,423,48635,3092,9548,10384,11067,10502,6588,1634,235,53049,894,2350,2521,1912,1552,1100,358,145,10830,2272,5656,4541,3630,2638,1706,727,153,21325,67,72,41,46,47,38,19,9,329,170,547,842,946,712,524,192,77,3996,4883,5047,5406,5665,6121,6737,6157,4301,44317,19933,54460,58407,56074,52411,39966,18213,7266,306720,667,1947,2463,2612,2147,1944,757,138,12672,597,1977,2528,1708,1398,856,177,10,9254,4157,12890,13268,15095,16508,14296,6734,1658,84607,3039,8952,7731,6865,6284,4517,1988,558,39944,1566,3929,4632,4714,4049,2362,916,249,22415,3845,13987,12690,12180,13403,10238,4169,1185,71696,1915,8854,10143,9730,10426,12192,5292,1002,59542,3119,13068,17776,17260,14718,9848,3361,731,79883,4302,12681,13516,14605,13759,9671,2775,449,71755,1703,3979,4073,3094,2474,1952,662,208,18145,3084,7987,6934,5714,4249,2733,1161,239,32105,135,159,92,83,78,67,30,12,645,369,1255,1791,2046,1666,1266,532,171,9096,10341,10812,11273,12282,12903,13641,11455,6759,89459,38836,102482,108901,107993
RA22,2062,2007,1665,970,277,68,9170,555,1614,1609,2001,2101,1249,257,34,9429,102,326,348,292,253,164,75,20,1561,462,1092,918,812,597,457,155,30,4516,16,30,16,9,13,8,4,0,96,38,88,138,117,129,94,30,12,637,1226,1296,1343,1459,1706,1893,1526,1024,11482,3985,10463,10481,10748,11071,8611,3896,1608,60849,67,338,365,340,344,318,90,21,1881,76,292,302,199,195,138,30,3,1246,894,2543,2336,2653,3318,2955,1311,302,16322,460,1356,1151,1096,1341,1032,451,109,6990,572,1385,1633,1630,1600,859,316,58,8056,583,2396,2041,2153,2884,2171,833,267,13324,331,1717,1739,1803,2023,2286,1044,186,11124,674,2483,2964,2984,2603,1797,560,109,14171,732,2134,2098,2553,2664,1732,407,68,12380,177,549,510,431,372,302,127,26,2500,656,1557,1360,1250,1041,726,275,45,6917,27,57,34,14,14,19,12,3,177,67,194,317,309,335,243,104,38,1598,2646,2742,2845,3131,3762,3982,2966,1640,23719,7963,19738,19708,20548
