RA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
RA10,399,995,59,39,105,38,23,28,27,1712,2896,17803,359,198,459,125,112,121,206,22274,36782,78083,6178,4165,11226,5901,4088,3387,2305,152112,1064,2108,145,119,350,177,148,105,105,4321,4209,10366,781,796,1283,477,345,302,185,18748,1790,2728,308,330,518,176,109,108,69,6133,76488,178008,23593,17239,28334,17071,12803,12024,5377,370931,95,109,166,98,54,65,94,102,32,823,13026,12503,9267,5724,4461,3641,4147,3526,826,57113,18108,16155,15801,9349,7633,6268,6619,5883,1353,87160,36704,13678,133611,14956,14570,12258,29547,24930,5021,285277,1373,921,1560,1282,990,1128,1615,1741,154,10773,3974,2855,3166,1869,1986,2136,2942,2611,376,21909,1882,2966,1464,675,818,671,1027,879,301,10676,2762,3080,2722,1277,1325,1246,2475,2202,3814,20913,201541,342360,199183,58106,74111,51391,66095,57944,20158,1070887,384,1745,34,107,238,42,7,16,16,2599,2081,14158,268,245,696,94,25,52,144,17757,25861,87740,2774,7684,18309,5368,775,1836,1961,152315,807,2744,71,255,541,158,26,69,59,4742
RA11,41,135,4,13,13,3,4,5,0,217,432,2091,58,33,66,11,10,31,26,2756,2934,5893,506,505,569,273,197,354,120,11351,76,203,17,15,22,8,8,11,5,373,681,2041,147,214,165,67,61,84,40,3510,356,555,60,134,79,13,14,33,13,1269,8668,20847,2870,3068,2028,1313,837,1752,470,41841,28,10,26,29,8,11,6,16,9,146,2806,2290,1690,1572,660,539,530,614,150,10860,3884,2812,3295,2894,1147,917,964,1185,263,17365,16429,4167,55454,7082,3902,4796,13879,12875,2016,120608,576,180,634,486,232,448,613,903,48,4123,1031,459,776,623,273,505,781,1008,105,5553,295,332,303,149,71,113,151,267,45,1721,895,492,1011,435,215,374,958,1098,777,6248,39137,42516,66848,17247,9456,9396,19024,20221,4093,227938,63,341,4,27,27,7,0,4,0,469,356,1952,39,54,95,19,0,13,26,2548,2484,9972,247,1019,1022,294,35,240,157,15475,95,424,8,33,56,17,0,13,7,653
RA12,5,18,0,0,0,0,0,0,0,21,75,208,9,0,9,4,3,0,0,312,472,691,82,59,74,39,36,59,12,1525,13,27,0,5,5,0,0,4,0,44,178,296,24,31,16,11,11,16,8,596,58,53,12,13,18,0,6,3,0,163,2491,3097,467,482,304,197,221,473,84,7810,8,4,7,4,0,0,0,11,0,38,1066,360,275,330,110,84,131,154,29,2538,1110,399,478,452,182,157,208,281,55,3326,6135,727,11421,1102,698,902,4192,3491,543,29210,272,43,126,70,36,94,179,276,19,1105,463,74,128,98,49,123,229,250,26,1442,97,51,59,20,9,21,45,52,11,358,515,82,228,73,37,93,353,427,232,2039,12969,6139,13308,2741,1532,1721,5622,5499,1014,50548,9,50,3,3,9,0,0,0,0,72,45,212,10,13,18,0,0,4,3,308,404,1489,44,119,155,41,4,54,28,2327,28,61,3,6,12,0,0,0,0,111
RA13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,12,37,9,3,4,0,0,0,0,66,0,4,0,0,0,0,0,0,0,4,7,12,3,0,0,0,0,0,0,23,5,3,0,4,0,0,0,0,0,14,198,182,17,47,17,8,10,34,0,507,0,0,0,0,0,0,0,0,0,6,94,8,17,37,0,9,7,9,0,184,115,19,24,22,18,5,17,22,5,246,514,28,591,32,25,19,269,217,24,1717,34,0,3,5,0,0,9,20,0,80,60,0,8,5,0,12,19,21,4,133,8,0,7,0,0,0,6,4,0,28,53,5,15,0,3,6,36,23,14,156,1108,297,700,149,65,50,378,342,60,3157,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,25,90,0,9,4,3,0,3,0,136,0,6,0,0,0,0,0,0,0,9
RA14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,20,9,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,42,34,0,19,7,8,4,13,3,119,0,0,0,0,0,0,0,0,0,0,13,3,5,20,0,3,0,3,0,50,15,4,3,14,4,0,0,0,0,43,116,9,106,17,12,10,41,55,12,378,9,0,0,0,5,0,4,3,0,19,7,0,6,0,4,0,5,3,0,20,0,0,0,0,0,0,0,0,0,4,7,0,11,0,3,0,4,4,4,41,232,79,132,78,30,17,64,85,18,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,25,0,4,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,12,36,5,3,9,4,4,0,0,70,0,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,37,105,12,19,10,6,17,21,7,238,0,0,0,0,0,0,0,0,0,0,9,10,7,0,0,3,4,0,4,43,5,9,16,9,7,5,3,11,0,68,26,13,124,35,12,12,55,49,8,332,0,4,0,0,0,0,0,9,0,17,0,4,5,4,0,0,8,4,0,25,5,4,0,4,0,0,0,0,0,10,5,0,7,4,5,4,12,16,16,57,103,214,175,81,38,34,99,120,26,885,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,11,11,55,0,5,7,4,0,5,0,92,0,0,0,0,0,0,0,0,0,3
RA20,328,909,39,44,102,34,28,13,19,1516,2754,17268,320,203,467,116,131,149,158,21567,27141,61614,5932,3956,9585,4946,5667,4129,2067,125040,981,2016,172,125,319,179,216,126,81,4215,4915,12585,922,1129,1635,581,413,431,218,22821,1598,2569,268,381,507,174,106,92,68,5766,64289,146460,22516,16066,26343,15219,13101,12444,4655,321087,114,76,227,106,54,59,130,75,31,865,10690,10906,10135,4462,4196,3159,4355,3401,781,52083,15399,12562,17384,9584,7305,5351,8265,6661,1358,83858,28982,10336,119984,13513,11285,10287,23534,23845,4873,246646,1000,609,1603,1044,798,939,1452,1624,148,9215,2814,1871,2689,1602,1373,1537,2254,1881,313,16338,1360,2059,1355,567,537,478,877,748,253,8242,2223,2455,2857,1155,1070,1143,2218,2127,3426,18673,164582,284308,186387,53937,65563,44206,62758,57758,18455,937935,390,1793,29,105,233,44,4,12,12,2616,2262,15103,256,289,733,86,24,63,142,18963,19442,72801,2823,8530,14923,4354,861,2506,1751,127998,833,3330,87,362,535,150,30,94,86,5508
RA21,30,135,7,8,11,5,0,0,0,195,294,1651,48,27,55,10,12,22,20,2138,2335,4763,336,313,445,169,134,190,105,8798,82,240,22,29,27,8,0,9,8,424,847,2301,192,347,205,61,58,89,38,4133,302,476,60,113,76,17,12,29,11,1102,7878,16923,2295,2305,1848,1082,751,1540,386,35005,37,16,32,23,4,10,7,19,3,157,2632,2041,1617,1010,627,448,446,626,140,9595,3519,2407,2775,2450,1051,783,861,1116,187,15153,14211,3024,44245,4786,2918,3408,10335,10816,1797,95551,387,137,471,286,163,307,396,688,41,2876,740,285,511,416,174,263,546,542,64,3544,206,237,190,97,45,41,97,165,37,1119,869,393,787,332,150,333,708,846,607,5030,34374,35039,53586,12549,7781,6958,14374,16712,3442,184819,51,340,7,24,17,0,0,3,0,451,280,1614,34,48,103,8,3,11,21,2119,2028,8564,186,705,808,177,25,148,121,12759,104,579,14,43,48,10,0,5,9,815
RA22,0,12,5,0,0,0,0,0,0,24,60,177,3,4,4,0,0,4,0,253,307,508,28,41,39,30,15,35,12,1021,12,23,0,3,3,0,0,0,0,44,156,300,20,59,20,12,8,17,3,593,47,56,12,7,3,4,0,5,4,140,1475,2300,309,363,209,123,108,328,53,5277,10,0,5,5,0,4,3,7,3,34,776,293,209,204,87,83,98,140,31,1914,837,411,388,447,161,134,152,261,53,2852,4348,605,7802,807,497,758,2236,2341,394,19789,132,35,106,56,25,62,100,172,14,706,220,57,102,82,22,64,111,156,17,834,64,33,22,20,9,9,14,45,9,230,325,84,180,70,28,69,197,296,182,1427,8768,4900,9190,2164,1119,1356,3055,3798,779,35139,3,40,0,0,0,0,0,0,0,49,39,159,3,7,18,0,0,0,0,220,321,1128,26,104,86,24,5,33,8,1741,19,85,0,6,8,0,0,0,0,118
