RA_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
RA10,4656,18339,408,5549,3591,625,95,280,230,33768,1909,6805,110,438,1191,161,16,62,78,10760,60973,221413,10755,34125,60172,19470,2759,7877,5132,422672,145,190,66,365,255,123,16,51,51,1256,8789,14709,2508,9943,16179,4435,666,2201,760,60182,13961,17115,5075,28928,28490,8951,1408,3849,1559,109334,12320,12105,14733,41995,40361,13480,3118,7559,1810,147477,1667,1136,850,2721,6302,2656,564,1538,192,17630,3020,2688,1286,5531,11664,3240,632,1755,380,30194,1161,2840,455,1370,2814,921,183,634,216,10601,1752,3752,735,3229,4646,1758,446,1517,3231,21064,139486,407468,40117,142497,195452,61474,10739,29289,15816,1042338,784,2737,93,150,344,89,30,45,40,4311,4975,31961,623,440,1150,225,140,170,348,40031,62644,165825,8952,11847,29536,11266,4869,5226,4262,304425,1871,4854,210,375,895,332,175,176,161,9064,8861,28706,1190,6342,4872,1106,440,585,419,52520,3696,9528,413,766,1705,333,126,166,145,16893,137458,399421,34347,51371,88500,36544,15555,19899,10514,793605,241,301,235,465,314,187,110,151,80,2074
RA11,983,4813,120,1639,767,147,21,101,56,8649,408,1927,31,160,259,20,0,19,17,2841,8270,40451,1580,6299,7240,1905,217,1540,639,68137,31,50,7,152,65,32,0,21,11,373,2254,4008,523,3181,3387,790,108,508,172,14932,3538,4313,1261,9573,6755,1999,252,1117,371,29177,5380,4712,7254,20640,16663,6393,1179,4451,790,67452,614,344,371,1280,2224,1168,167,866,63,7096,920,603,413,2086,3095,1055,151,731,130,9178,228,409,86,311,529,196,9,177,39,1977,656,939,277,1412,1310,743,104,798,760,6998,26277,75265,12215,47847,43485,14782,2230,10610,3237,235955,106,472,6,33,40,6,4,11,4,687,781,4045,92,90,161,28,12,51,48,5305,5422,15868,750,1516,1596,574,236,586,274,26830,172,629,23,46,78,24,8,21,12,1025,1659,6859,271,1852,934,220,78,181,99,12151,768,2483,92,291,337,35,16,49,24,4105,16939,61302,4452,9364,9263,3216,1050,3288,1113,109984,60,60,34,177,78,44,14,36,25,518
RA12,278,959,16,310,134,24,3,44,6,1780,78,297,8,30,50,3,0,6,0,476,2343,8149,317,1173,1352,341,70,534,110,14393,10,16,9,24,14,4,3,6,4,83,740,904,114,689,667,155,36,161,46,3510,906,922,226,1879,1288,332,63,330,75,6024,1666,999,1529,4513,3681,1306,340,1359,196,15595,256,78,107,345,584,251,45,257,17,1934,378,130,81,471,617,240,49,208,16,2200,81,85,25,69,106,29,4,56,14,475,341,222,100,327,341,197,34,297,209,2068,7576,14569,2589,9958,9034,2930,660,3311,737,51353,12,70,3,3,9,0,0,0,0,96,121,422,17,14,32,6,3,7,7,621,878,2181,126,180,228,74,43,109,43,3853,40,87,3,9,17,0,0,0,0,159,455,1258,43,344,154,35,16,53,16,2376,135,351,21,39,63,8,6,13,0,641,4827,11254,778,1652,1654,539,291,1009,196,22200,18,24,7,31,14,5,7,11,5,125
RA13,23,50,3,23,7,3,0,4,0,110,5,22,0,0,4,0,0,0,0,33,219,555,6,80,106,20,7,41,11,1040,3,0,0,3,0,0,0,0,0,9,81,46,6,52,37,5,4,4,0,240,88,43,10,108,107,8,7,18,0,397,123,58,65,230,211,46,35,103,12,887,30,0,5,23,26,14,4,22,0,130,41,9,0,19,22,4,7,15,0,119,5,8,0,9,8,0,0,0,0,31,30,18,6,28,21,12,0,19,23,150,671,908,106,584,551,117,81,227,50,3300,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,18,36,127,8,11,12,3,3,0,3,200,0,9,0,0,0,0,0,0,0,8,29,58,4,21,7,3,0,4,0,131,7,28,0,5,5,0,0,0,0,48,418,734,26,125,116,21,13,74,9,1543,5,0,0,3,0,0,0,0,0,8
RA14,3,10,0,3,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,7,45,143,0,23,18,0,4,16,5,247,0,0,0,0,0,0,0,0,0,0,16,5,0,16,13,0,0,7,0,56,17,16,0,30,25,0,0,4,0,98,28,16,15,40,54,15,0,23,3,186,4,4,0,8,3,4,0,9,0,32,6,0,0,6,0,3,0,3,0,25,0,0,0,0,0,0,0,0,0,3,5,10,0,6,3,0,0,5,0,40,141,241,25,131,119,28,4,61,14,763,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,14,25,41,0,4,3,0,0,0,0,73,0,0,0,0,0,0,0,0,0,3,3,19,0,3,3,0,0,0,0,30,0,3,0,0,0,0,0,0,0,8,82,173,3,37,25,9,8,24,4,363,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,5,11,0,4,3,0,0,0,0,27,0,8,0,5,3,0,0,0,0,13,30,119,12,33,31,14,10,49,0,300,0,0,0,0,0,0,0,0,0,0,3,6,0,16,10,0,0,5,0,48,8,16,5,23,15,7,0,9,0,80,20,5,20,44,29,22,7,22,0,170,0,0,0,9,9,8,0,0,0,20,4,5,0,4,6,0,0,9,0,26,0,3,0,0,0,0,0,0,0,10,0,3,0,3,7,4,0,5,7,34,82,241,31,138,118,57,27,109,19,829,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,25,23,95,5,5,18,6,7,4,0,159,0,3,0,0,0,0,0,0,0,7,3,19,0,5,3,0,6,0,0,34,4,3,0,5,3,0,0,0,0,13,64,223,25,54,38,22,25,72,7,542,0,0,0,0,0,0,0,0,0,0
RA20,5819,24304,605,7991,4427,908,128,382,343,44909,1924,7777,136,586,1258,192,26,75,108,12094,47245,181600,10763,34557,52655,18727,2517,8403,4442,360912,111,140,61,428,234,119,16,64,29,1209,7058,11123,2771,9774,12829,4000,632,2045,664,50908,11353,13906,5873,30561,22823,8661,1434,4169,1344,100122,9303,7597,14394,36919,27881,11303,3086,7878,1633,119992,1033,722,685,2191,3605,1857,369,1151,118,11739,1914,1628,996,4957,6107,2426,452,1546,338,20362,781,2110,350,1061,1387,623,131,453,192,7074,1443,2971,772,3180,3367,1624,341,1374,2932,18000,110913,346909,40605,141481,153000,55080,10048,30228,14147,902413,720,2699,65,149,335,77,30,23,31,4131,5014,32375,572,491,1198,205,152,213,298,40529,46579,134420,8751,12479,24508,9299,6532,6639,3823,253039,1811,5342,257,489,861,335,247,216,167,9729,10731,36887,1528,9126,6063,1487,542,811,562,67734,3519,10350,408,965,1761,365,133,168,176,17860,111536,328067,33275,50620,78995,33945,15617,20844,9099,681999,224,220,292,531,282,177,144,143,66,2077
RA21,1186,5774,127,1958,819,165,20,108,56,10211,401,1999,36,180,220,32,5,33,14,2923,6558,32612,1376,5199,6035,1702,183,1433,486,55586,23,50,15,136,47,25,8,20,11,334,2101,2819,550,2776,2634,666,89,478,162,12269,2816,3877,1217,8747,5370,1603,196,1154,324,25311,3788,2677,5833,15112,10881,4458,804,3979,519,48056,434,220,282,831,1263,795,98,657,30,4617,500,309,275,1262,1335,576,75,433,60,4826,146,330,61,199,244,73,19,94,29,1192,596,759,257,1099,869,612,85,708,578,5568,20998,62539,10280,38311,30687,10910,1610,9267,2431,187034,86,474,13,30,31,9,0,3,0,648,579,3266,79,76,156,22,16,33,40,4258,4361,13332,523,1012,1257,345,156,343,227,21551,188,817,33,75,74,14,9,14,19,1239,2032,8077,317,2304,1019,227,75,201,98,14343,710,2476,100,293,293,50,14,65,24,4022,14432,49541,3671,7502,7884,2781,935,2970,868,90586,64,64,51,164,50,32,15,41,11,489
RA22,239,974,21,340,115,21,4,20,9,1745,74,292,0,32,41,0,3,9,7,460,1392,5679,216,877,846,212,28,376,87,9711,12,18,5,29,10,3,7,3,3,79,535,618,103,524,463,115,18,125,44,2544,642,827,221,1640,910,247,43,284,76,4879,1026,580,1041,3145,2145,922,169,933,125,10089,130,54,42,220,292,169,24,169,3,1096,128,66,34,270,242,117,8,137,22,1023,43,51,9,47,46,10,3,46,7,248,207,174,56,229,172,141,27,215,135,1349,4812,10748,1778,7453,5381,1990,335,2348,519,35364,7,56,3,0,0,0,0,0,0,73,95,336,3,9,19,0,0,4,4,466,631,1639,54,143,126,53,19,70,21,2760,30,113,4,8,6,7,0,0,0,169,393,1275,38,396,134,32,14,39,16,2340,122,350,10,46,50,7,3,8,5,596,2870,7982,522,1241,1058,335,141,700,138,14985,17,18,3,29,10,4,8,13,6,114
