RA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
RA10,16548,90184,22290,23077,3154,214121,59604,17683,138208,52728,62961,9291,340478,3755,978,11848,4882,6600,722,28787,5741,1491,14807,11242,35920,1704,70905,12911,1621,29153,12435,21630,10999,88753,348772,78471,793605,315864,513260,63259,2113227
RA11,5447,23988,7151,10339,867,56424,9064,4938,29054,16739,28961,2856,91613,410,176,1530,885,2282,173,5458,576,267,1906,2901,14474,492,20612,714,219,2440,1968,7811,2562,15712,32820,17276,109984,72847,214018,16946,463899
RA12,1077,5295,1496,2443,252,11774,1036,780,4421,3194,5557,560,15549,65,31,325,178,579,44,1234,76,34,306,458,3281,107,4266,112,26,444,386,1808,772,3538,4572,3180,22200,15523,51489,4938,101898
RA13,77,437,108,188,30,922,33,35,240,170,235,35,743,4,3,0,6,21,0,33,0,3,25,14,124,10,176,0,3,16,16,102,58,191,219,190,1543,1075,3061,361,6454
RA14,19,113,26,48,14,258,15,3,61,43,47,5,182,0,0,7,4,10,0,24,0,0,5,8,22,3,39,4,0,4,4,17,9,43,88,42,363,255,662,78,1495
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
RA20,23764,78342,20785,17767,2600,197628,53536,23134,118755,48387,48986,7285,300084,3743,1514,13014,5446,6220,649,30586,5616,1751,13539,12324,29606,1654,64482,10234,1777,23890,11282,19168,9859,76209,297696,95319,681999,289051,424291,51989,1840348
RA21,6008,17651,5312,6677,587,43057,7735,6304,23567,14707,19680,2134,74126,432,290,1698,1123,2002,162,5712,504,279,1558,2379,10353,371,15443,487,257,1858,1672,5952,1993,12218,26457,19606,90586,62814,159479,12910,371857
RA22,1069,3342,1021,1431,137,7772,1018,920,3827,2931,4096,419,13215,36,52,229,195,349,17,882,62,52,215,382,2089,72,2867,55,36,256,320,1208,515,2385,3299,3107,14985,12297,33546,3257,70503
