RA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
RA10,59587,131710,346719,348205,288764,210114,61775,8794,751,1456427,160,312,805,843,1038,786,323,87,10,4362,15,118,536,584,493,260,44,12,0,2067,1694,2931,9741,11817,12058,8490,1785,144,8,48670,34,310,1398,1815,1589,812,133,10,0,6098,591,2452,9729,10160,8300,5043,1280,147,8,37716,381,1902,7360,9032,8135,4985,1111,115,13,33026,17083,21832,29521,24309,22072,16169,3807,360,25,135181,23169,15315,16416,10980,8851,6412,1339,115,11,82598,543,2276,7391,8267,8146,5670,1159,102,4,33567,477,1946,7582,7118,4832,2332,506,61,3,24860,394,5488,24196,27823,18841,8750,1686,151,19,87351,485,2243,6445,6453,5254,3165,1030,232,39,25348,1261,11724,40890,34528,23479,13174,4036,517,17,129623,697,3736,11724,10729,9824,7012,1686,165,7,45577,616,4251,17221,20678,18942,11890,2229,119,9,75955,4823,13338,38934,40179,40499,28725,7301,515,20,174328,5342,28200,74728,66254,63472,51457,12842,1005,31,303325,1731,2774,5180,4141,3223,2031,672,114,8,19884,1924,4326,10779,9449,8673,5681,1442,163,5,42439
RA11,23277,28352,64353,65789,71256,64806,22865,4099,426,345236,319,575,1269,1313,1661,1868,1473,551,66,9105,20,155,567,535,427,186,20,4,3,1912,768,791,1953,2065,2317,1934,480,47,3,10367,31,67,265,412,538,353,54,3,0,1709,259,527,1833,2198,2124,1669,482,40,8,9145,141,294,654,803,1016,836,250,44,0,4030,6920,4365,6444,6175,7120,6544,1658,148,8,39380,8440,4205,4875,4041,4013,3473,870,109,11,30033,110,306,794,1018,1498,1405,444,55,0,5635,122,223,434,510,485,411,120,18,0,2334,92,385,1356,1558,1629,1170,246,35,5,6474,160,424,1054,998,1187,858,340,58,3,5078,307,1046,3511,3905,3865,2896,1040,101,3,16664,251,736,2102,2614,2973,2616,621,46,0,11969,299,1093,3970,5485,6240,3929,648,34,0,21695,976,2576,8183,10951,12325,9647,2342,153,3,47154,1793,6489,17410,16831,19695,19534,4478,225,5,86457,527,463,783,817,843,624,232,36,3,4315,774,1156,2871,2536,2583,1887,545,57,3,12418
RA12,4907,6319,14876,14577,16749,17869,7861,1921,288,85374,222,389,947,1212,1583,2020,1613,514,76,8587,7,75,219,182,141,70,14,0,0,705,193,243,715,629,665,540,122,25,3,3132,5,22,74,82,101,77,13,4,0,377,49,79,290,297,330,290,117,12,0,1461,46,109,223,195,244,202,55,7,0,1094,1409,714,1280,1326,1606,1570,412,39,0,8361,1401,714,1115,925,1041,1037,314,22,0,6578,32,76,216,250,381,429,163,26,3,1578,16,42,67,72,61,72,40,0,0,373,10,84,272,273,298,211,28,8,0,1182,40,89,164,155,203,147,63,12,0,877,83,233,708,683,706,612,178,26,0,3222,62,158,465,483,628,661,147,23,0,2625,57,198,794,984,1207,860,178,13,0,4289,192,544,1964,2521,2781,2325,562,35,0,10927,357,1032,2998,3084,3735,4147,931,51,0,16337,95,93,203,137,171,162,47,13,0,926,162,244,531,430,460,394,122,19,3,2354
RA13,249,426,1179,1022,1143,1271,602,145,31,6055,29,55,136,140,255,250,124,58,5,1058,3,27,52,34,26,21,0,0,0,157,8,8,15,8,9,19,5,0,0,71,4,0,5,5,9,0,0,0,0,29,6,3,24,14,7,20,0,0,0,68,0,5,28,17,12,7,6,0,0,75,47,27,61,58,89,79,25,0,0,389,50,33,90,67,56,72,23,5,0,386,4,9,15,15,23,31,11,4,0,118,0,0,6,5,4,6,0,0,0,23,5,5,19,13,14,5,0,0,0,62,0,9,4,4,3,0,4,0,0,21,6,9,34,22,33,25,3,0,0,129,6,0,28,28,30,36,8,0,0,147,5,18,69,74,69,53,9,0,0,296,20,52,220,232,221,147,45,0,0,943,20,70,207,129,179,195,44,0,0,849,3,0,3,3,9,9,0,0,0,25,3,13,17,24,18,21,7,3,0,102
RA14,55,86,248,232,252,292,141,37,8,1351,0,15,29,22,39,44,34,5,3,199,0,0,4,3,6,0,0,0,0,13,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,0,0,0,21,0,0,4,6,3,0,0,0,0,16,3,0,11,11,13,22,9,3,0,79,8,4,19,20,17,30,10,5,0,110,0,3,4,5,4,8,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,3,9,5,6,5,0,0,0,24,3,7,10,9,13,7,4,0,0,48,0,0,52,26,36,14,0,0,0,134,8,14,61,61,59,38,19,0,0,259,5,19,50,30,39,45,13,0,0,198,0,4,4,0,4,0,0,0,0,15,0,3,3,4,6,10,0,0,0,30
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,57,128,435,295,228,187,52,6,0,1388,0,3,35,5,6,5,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,4,19,6,3,10,0,0,0,44,0,0,0,0,6,0,0,0,0,9,0,0,11,4,6,3,0,0,0,30,0,0,5,0,0,3,0,0,0,13,15,20,31,11,22,10,3,0,0,113,26,31,43,13,11,7,0,0,0,137,0,7,8,5,3,0,0,0,0,27,0,0,10,3,0,4,0,0,0,14,0,3,12,9,6,3,0,0,0,34,0,3,3,4,0,0,0,0,0,14,0,3,27,21,16,6,3,0,0,87,0,0,19,15,5,10,0,0,0,56,8,7,11,10,15,13,0,0,0,63,4,6,30,12,19,22,7,0,0,94,0,18,61,40,38,32,16,0,0,199,4,5,21,9,6,0,0,0,0,39,5,0,13,12,9,10,0,0,0,42
RA20,50593,118888,324717,310903,251197,178659,52770,7477,588,1295783,139,401,1210,1233,1290,956,323,100,10,5660,5,32,184,310,296,112,34,3,0,972,2417,3413,10729,12873,13489,9024,1784,163,7,53910,30,357,2213,2981,1881,826,120,7,0,8415,364,2286,8843,8616,7040,4378,1071,122,0,32722,337,1675,5943,7161,6871,4179,922,93,5,27186,16704,24706,28436,21276,20586,14379,3379,287,12,129772,22682,16816,16529,9541,7699,4918,1025,93,10,79318,374,2141,6848,7033,6610,4266,823,50,5,28150,578,1480,4889,4777,3247,1546,353,40,6,16903,173,2945,15350,17958,11747,5404,1122,95,5,54799,260,1617,5619,4634,3976,2404,786,136,13,19442,592,7809,33895,28970,19608,10493,3126,348,18,104858,537,3511,10963,9115,8452,5591,1490,130,7,39784,383,3443,16130,18288,16470,10717,2159,203,7,67800,3016,10270,37078,38065,35905,25176,5712,421,12,155659,2644,21840,70783,60963,54840,41712,10295,653,22,263753,2199,3248,5419,4455,3484,1974,584,82,8,21457,1228,4128,11118,9526,8265,5335,1308,123,7,41040
RA21,17122,22891,53171,54494,58629,53013,19262,3409,377,282367,392,611,1533,1634,1873,2216,1758,579,63,10671,9,51,126,109,139,90,15,0,3,548,1038,922,2136,2356,2781,2198,519,36,7,11987,24,119,374,469,492,303,48,4,0,1829,153,483,1526,1744,1834,1403,347,28,3,7521,127,225,592,640,853,691,179,25,7,3332,5286,3748,4858,4518,5669,4998,1151,84,7,30319,6353,3073,3150,2520,2679,2307,592,47,9,20727,78,263,755,930,1306,1231,338,38,0,4948,84,186,453,469,484,367,108,16,0,2166,49,305,1256,1618,1543,1010,183,13,0,5987,75,261,670,691,728,533,179,30,0,3173,170,825,2695,3308,2967,2158,729,63,3,12925,203,491,1453,1695,1984,1749,430,45,6,8050,198,865,3119,4317,4724,3421,707,37,0,17384,634,1815,6689,8656,9114,7112,1630,77,4,35729,956,5104,14807,14415,16565,15759,3483,145,5,71234,484,537,847,930,890,683,210,24,0,4597,469,969,2275,1973,1897,1453,419,46,3,9516
RA22,3277,4363,10609,10195,11409,12417,5094,1170,166,58696,139,253,835,827,1075,1232,890,287,32,5578,0,11,23,18,18,16,7,0,0,99,150,130,332,345,442,402,105,8,0,1914,0,17,58,77,68,60,20,0,0,307,28,72,186,225,237,235,57,3,0,1046,29,72,174,162,189,178,37,5,0,849,1047,587,845,891,1173,1148,264,20,0,5972,987,528,762,668,715,713,216,15,0,4604,31,59,139,160,267,281,80,8,0,1030,10,30,51,52,62,38,14,0,0,269,8,48,169,197,206,141,30,4,0,809,11,49,111,105,143,91,39,8,0,544,39,118,424,459,427,360,134,13,0,1980,36,132,340,353,400,399,93,11,0,1770,23,124,514,696,766,709,133,9,0,2966,117,377,1326,1508,1757,1423,347,17,0,6859,227,861,2649,2425,3048,3375,743,22,0,13347,46,58,130,116,140,107,36,5,0,639,65,150,395,326,352,243,86,11,0,1637
