RA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,3977,8923,21891,20063,18772,13948,3997,573,30,92178,4206,12562,35619,32249,25245,17168,5033,1148,254,133487,122811,262430,682248,666705,566701,399334,108079,13356,1109,2822769
RA11,1771,2710,5795,5203,5527,4445,1449,185,18,27110,1936,2441,5165,5104,5571,4592,1800,625,148,27381,46403,55201,126654,132567,146026,128369,39946,6122,623,681916
RA12,467,608,1180,1006,1049,1001,345,60,3,5722,542,584,1229,1165,1332,1390,605,287,60,7200,9574,11683,28581,28975,33611,34226,13249,2890,401,163180
RA13,10,22,40,46,39,53,17,5,0,236,40,35,88,87,60,73,50,21,8,442,480,781,2238,1960,2237,2285,946,237,38,11196
RA14,0,7,8,10,9,13,6,0,0,63,13,6,23,11,23,19,9,7,0,112,104,168,510,457,510,532,232,62,9,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
RA20,2412,8128,21581,18963,17243,12419,3587,511,36,84874,3458,11100,31903,28162,22730,15387,4427,952,217,118331,106781,235412,629582,589735,491899,337637,90795,10993,833,2493667
RA21,1051,2104,4565,4044,4191,3614,1177,144,11,20898,1278,1763,4005,3960,4571,3902,1529,546,129,21685,34443,44387,103969,109049,118875,104146,32857,4989,547,553266
RA22,223,389,862,718,713,700,273,36,5,3920,303,400,888,780,963,883,406,199,46,4870,6414,8208,20364,20119,23250,23916,8600,1701,225,112800
RA23,0,0,5,0,10,0,7,0,0,25,0,0,15,10,10,17,6,6,0,56,44,59,197,245,221,351,190,43,4,1350
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
RA29,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
RA30,2953,6943,15790,13846,12432,8508,2412,298,16,63203,3499,7906,18448,17431,14381,9400,2708,630,147,74545,96477,161439,372015,372797,342452,231867,59493,6708,463,1643704
RA31,1244,1950,4007,3615,3528,2859,836,101,6,18147,1326,1785,3680,3662,3911,2997,1070,340,90,18852,30019,35737,79790,85184,93203,77727,20890,2937,306,425797
RA32,935,1442,2861,2599,2403,1866,590,91,0,12785,1005,1225,2631,2447,2503,2061,793,292,60,13024,20613,27076,62586,64376,67466,55201,16387,2599,234,316533
RA33,101,114,227,167,182,131,52,11,0,985,101,124,256,223,258,196,105,55,13,1329,1726,2841,7189,6276,6421,5720,1961,478,64,32678
RA34,43,63,108,118,93,98,30,4,0,552,80,99,205,144,174,147,68,27,0,941,1097,2070,4861,4156,4336,3928,1402,267,19,22125
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29
RA39,6,7,27,20,14,6,6,0,0,95,6,23,47,49,40,28,3,0,0,194,128,325,1027,644,497,464,118,7,0,3219
RA40,959,2701,6231,5266,5205,3971,1262,176,10,25779,798,2211,4972,4602,4097,2991,954,297,73,20995,33365,63025,147899,142679,131212,101041,26142,2997,247,648608
RA41,159,293,600,559,670,552,200,36,5,3065,183,203,394,474,603,525,221,111,18,2734,4809,5906,12197,14375,17631,16612,5279,898,79,77793
RA42,207,314,655,589,639,585,203,22,0,3217,191,263,517,501,598,598,280,110,24,3077,5415,6685,15786,15717,18370,17766,5788,981,102,86611
RA43,46,75,138,128,156,104,43,5,0,699,41,45,110,103,134,124,57,29,3,648,1159,1396,3851,3981,4224,3945,1271,249,18,20087
RA44,11,22,49,39,40,36,21,0,0,214,18,18,49,33,39,51,19,11,0,235,242,395,1152,1024,1156,1100,424,77,6,5579
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RA49,0,0,9,0,3,4,0,0,0,22,0,5,3,9,8,8,0,4,0,42,32,61,211,156,128,106,26,4,0,724
RA50,2082,4445,10073,8824,7632,5650,1824,243,15,40785,2248,4806,11677,11485,9690,6643,2113,462,100,49220,56651,96750,233351,240054,213535,156854,43396,4848,347,1045782
RA51,277,421,830,810,884,687,205,16,3,4136,301,363,719,880,949,778,280,100,17,4379,7026,7483,17509,22040,24546,20324,6040,815,87,105860
RA52,277,391,696,632,614,536,179,22,0,3346,269,283,569,538,667,622,293,96,17,3345,5224,6176,14820,16200,18255,16965,5902,1057,103,84694
RA53,108,153,371,372,278,190,55,0,0,1534,116,171,399,432,341,279,99,30,9,1871,2074,2819,9502,10236,8729,6879,2115,352,31,42735
RA54,37,58,182,149,138,94,23,0,0,690,55,94,248,182,164,148,55,21,7,974,835,1886,6491,5709,5033,4053,1108,158,19,25289
RA55,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
RA59,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
RA61,240,622,1704,1300,1186,952,305,53,0,6360,176,399,1178,819,764,599,223,62,23,4249,8164,14440,41367,34233,32877,26090,7079,788,59,165093
RA62,186,329,682,598,632,533,170,12,0,3146,146,218,428,470,569,525,238,96,27,2716,4645,6579,15456,15848,18523,17770,4988,760,80,84657
RA63,5,10,35,11,15,16,4,0,0,91,3,7,22,17,23,22,10,4,0,111,123,206,755,588,631,761,265,38,4,3370
RA64,3,0,6,3,9,8,3,0,0,38,0,0,3,13,7,5,10,4,0,48,50,63,201,247,225,292,175,39,5,1288
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
RA69,0,4,0,0,12,0,0,0,0,10,0,0,8,5,3,0,0,0,0,18,12,33,79,69,63,42,9,0,0,309
RA72,164,256,783,676,524,379,115,10,0,2915,163,353,842,688,545,368,123,23,8,3114,3549,6544,19994,17350,14362,9815,2731,265,22,74631
RA73,49,65,230,218,165,168,53,5,0,949,49,58,258,183,156,108,50,6,0,873,954,1496,5696,4626,4026,3346,987,98,7,21232
RA74,14,21,72,77,60,36,18,0,0,302,34,64,94,92,76,47,16,0,0,428,443,1007,2682,2455,2005,1527,440,53,3,10616
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,7,0,5,16,10,10,9,0,0,0,56
RA79,0,0,0,0,0,0,0,0,0,11,0,0,13,12,5,7,0,0,0,39,13,34,175,126,84,53,22,0,0,500
RA80,466,945,1773,1497,1265,805,293,39,0,7084,207,569,1574,1122,749,416,128,30,14,4817,12821,26250,64862,59647,47558,28511,7395,866,80,247998
RA81,0,0,0,0,6,0,0,0,0,15,3,4,0,0,0,3,0,0,0,13,21,29,79,99,79,62,22,3,0,394
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,3,3,4,0,0,0,0,11,0,0,3,0,0,0,0,0,0,6,22,36,59,38,32,23,3,0,0,216
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,11,15,13,17,16,11,0,0,0,93
RA94,0,0,9,17,10,13,8,3,0,61,4,12,16,19,21,23,20,5,0,116,95,123,315,408,446,496,227,36,4,2152
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
