RA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA10,18745,14171,9452,5032,16779,15768,4019,7215,992,92178,10881,14396,11669,6410,25229,26313,5035,10874,22676,133487,285617,373935,296762,176179,585357,609298,148098,300553,46964,2822769
RA11,1555,4156,3223,2052,5563,5481,1561,3200,319,27110,1561,3651,2359,1585,4536,4631,1014,2719,5328,27381,38155,106128,83790,57343,134949,126365,37622,84680,12880,681916
RA12,189,802,597,393,1153,1218,365,929,80,5722,365,887,537,401,1093,1120,288,910,1595,7200,6972,22237,18358,12498,28742,29675,9653,31063,3979,163180
RA13,11,26,26,22,29,56,8,50,0,236,38,53,31,22,50,74,22,66,106,442,470,1167,1005,720,1429,1918,714,3481,281,11196
RA14,5,11,0,4,11,12,8,13,0,63,5,8,9,6,15,13,3,13,33,112,106,273,186,167,401,498,139,742,80,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
RA20,6776,14082,12474,6485,17524,15554,4049,7089,836,84874,4202,12527,10616,6577,25508,24228,4743,9956,19980,118331,121928,352046,290854,191363,537242,556015,140825,262947,40448,2493667
RA21,1398,3561,2619,1532,3882,4199,1064,2351,303,20898,1210,2715,1793,1175,3397,3902,938,2256,4307,21685,32338,86583,66723,47961,101230,107808,31380,68358,10880,553266
RA22,216,597,467,349,767,817,202,444,64,3920,307,608,404,276,770,724,159,414,1215,4870,6110,16826,13379,9868,19799,21082,6031,16861,2840,112800
RA23,0,3,0,0,0,3,4,3,0,25,0,7,4,0,3,7,8,3,15,56,59,205,173,107,136,234,84,313,36,1350
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
RA29,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
RA30,10228,8756,6674,4182,12421,11147,3122,5993,679,63203,3655,7845,6450,4198,14863,14504,3277,7528,12228,74545,129428,221314,182802,125983,351954,324287,91178,190971,25791,1643704
RA31,1153,2610,1923,1333,3776,3524,1167,2466,192,18147,956,2208,1468,1087,3090,2994,892,2473,3682,18852,24141,58131,48650,35613,84311,73762,25982,66696,8521,425797
RA32,418,1795,1404,952,2695,2593,862,1944,125,12785,563,1507,1081,675,2134,2014,519,1709,2823,13024,15190,40882,34420,25421,61741,56620,19673,55969,6614,316533
RA33,28,132,79,69,160,192,92,198,26,985,92,121,74,55,152,157,58,220,396,1329,1633,3245,2620,1846,4725,5232,2748,9615,1003,32678
RA34,23,60,36,38,116,130,26,112,9,552,52,80,59,36,85,105,19,157,355,941,1079,1998,1585,1310,3414,4030,1187,6722,802,22125
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,0,26,5,29
RA39,14,12,11,7,23,12,4,5,0,95,14,23,10,14,17,25,0,27,57,194,371,466,404,251,535,500,136,436,124,3219
RA40,784,4222,3647,2248,6323,4692,1377,2260,218,25779,746,2493,2069,1328,4835,3419,854,1711,3533,20995,26881,97470,84861,58297,155366,116460,37387,63554,8324,648608
RA41,114,479,376,259,646,614,198,349,39,3065,167,375,260,172,443,404,97,292,513,2734,3812,12688,10300,7085,14174,13754,4516,9980,1481,77793
RA42,111,469,385,262,681,669,204,397,45,3217,180,362,255,159,521,398,158,345,702,3077,4055,12684,10718,7474,15897,15030,5575,13291,1879,86611
RA43,29,109,84,74,116,150,46,83,7,699,51,90,60,41,90,73,9,80,149,648,1195,2926,2478,1689,2994,3230,1134,4005,428,20087
RA44,12,31,22,31,41,34,6,27,15,214,13,24,25,10,29,26,3,18,84,235,263,688,586,455,933,900,326,1217,218,5579
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
RA49,0,8,0,0,4,6,6,0,0,22,4,6,0,3,7,3,4,5,16,42,70,122,87,60,133,94,31,93,38,724
RA50,1228,7003,5578,3332,7958,7860,2547,4825,455,40785,1495,5900,4390,2800,8369,10288,2558,6020,7413,49220,43605,154566,125454,79209,197383,210657,66733,152204,15987,1045782
RA51,176,745,474,315,703,768,294,610,42,4136,231,595,392,266,544,683,224,657,779,4379,6223,16094,12769,8476,16259,18461,6732,18893,1953,105860
RA52,148,427,336,222,549,725,223,674,43,3346,198,473,302,180,340,523,167,523,628,3345,4524,11772,9363,6412,12145,14779,5885,18113,1708,84694
