RA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA10,410675,802049,310451,279131,383479,222548,161180,200061,53186,2822769
RA11,89152,125684,103036,91512,79264,59708,45346,75910,12304,681916
RA12,32793,22260,21455,18314,16400,11908,14083,22633,3338,163180
RA13,3240,1281,1131,1142,983,461,1156,1575,221,11196
RA14,714,352,233,351,248,92,165,368,68,2593
RA15,0,0,0,0,0,0,0,0,0,0
RA19,234,500,279,334,236,171,253,419,77,2511
RA20,340696,670043,300501,264536,319424,207485,145417,196444,49120,2493667
RA21,78685,103738,83811,69419,61997,46617,34477,64408,10114,553266
RA22,22075,16686,14809,13257,10765,9037,7749,15934,2492,112800
RA23,480,159,85,132,111,55,118,180,28,1350
RA25,0,4,0,0,0,0,0,4,0,15
RA29,174,334,250,227,143,129,177,308,49,1797
RA30,207644,394335,209395,197545,218024,144601,96105,145982,30058,1643704
RA31,47645,69550,68308,55385,50107,37218,35845,53556,8184,425797
RA32,39577,52017,48135,42034,35627,26606,28319,37987,6236,316533
RA33,6213,4017,4902,3150,3141,1768,4167,4526,786,32678
RA34,4381,2975,2785,2500,2201,1036,1984,3593,675,22125
RA35,0,10,0,0,0,0,0,17,0,29
RA39,290,488,386,429,275,208,319,732,98,3219
RA40,77609,154124,82889,85821,85586,55301,35687,60459,11128,648608
RA41,12250,11641,11907,9665,8503,6384,5137,10878,1421,77793
RA42,14376,11062,11962,10945,8366,7334,7732,13097,1725,86611
RA43,3944,2635,2978,2275,1945,1595,1619,2696,410,20087
RA44,1156,870,620,733,490,332,435,822,133,5579
RA45,0,0,0,0,0,0,0,0,0,8
RA49,66,123,106,76,64,57,66,141,27,724
RA50,123791,249280,153037,125733,130606,83179,72304,90560,17292,1045782
RA51,12587,15733,19721,12230,11257,8545,10485,13414,1888,105860
RA52,13190,12232,13825,9417,8715,6313,8756,10813,1442,84694
RA53,7741,5988,7762,4010,4635,2515,4488,4703,903,42735
RA54,3258,3489,4684,2724,2238,1051,4114,3087,643,25289
RA55,9,33,83,9,10,0,31,98,6,277
RA59,107,257,272,223,150,77,213,292,33,1614
RA61,19726,37967,21877,23144,20713,14505,8558,15693,2905,165093
RA62,11751,12414,12938,10966,8646,7033,7226,11989,1696,84657
RA63,569,347,452,423,273,200,339,689,70,3370
RA64,334,137,167,104,117,71,72,253,32,1288
RA65,0,0,0,0,0,0,0,5,0,12
RA69,24,50,48,39,27,21,37,50,11,309
RA72,9679,16185,10791,10944,10565,5211,4011,5798,1448,74631
RA73,2754,4933,2832,3704,2569,1205,918,1757,566,21232
RA74,1350,2338,1089,2086,920,507,592,1404,322,10616
RA75,0,18,9,5,0,0,4,26,0,56
RA79,54,107,49,62,46,19,31,107,22,500
RA80,44273,78028,23783,27081,36079,15170,5998,12328,5259,247998
RA81,92,92,64,35,46,13,11,36,7,394
RA85,0,0,0,0,0,0,0,0,0,0
RA89,28,51,25,30,27,21,5,19,0,216
RA91,28,21,7,10,8,0,0,10,0,93
RA94,330,278,380,319,270,132,135,260,38,2152
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,4,0,0,0,0,0,0,0,3
