RA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
RA10,58,40,33,45,8,105,17,133,116,15619,200,16368,11,56,14,13,5,29,6,197,78,4260,35,4710,8,47,15,13,0,32,8,434,142,2571,26,3294,0,12,4,10,0,61,6,398,167,2096,31,2787,24,166,53,30,12,90,40,912,293,11722,168,13526,26,183,53,42,16,319,66,1627,567,6525,74,9502,83,504,148,129,29,983,147,2887,1002,44801,581,51305,150,1047,291,305,57,2261,306,3944,1290,23211,280,33136,356,2100,484,926,214,4358,645,4785,1517,21617,222,37217,1102,3462,814,3278,786,5574,1270,5157,1656,20752,243,44099,1345,2007,580,3813,1022,5266,1010,3182,1062,7792,104,27182,3291,2516,702,5069,1445,5051,1060,2821,886,8085,108,31036,16221,4560,1423,13123,4540,10751,2240,4582,1401,10320,207,69365,18636,2664,790,11234,3872,4712,1252,2360,632,4945,102,51203,17745,1658,498,8024,2660,4258,676,1390,374,3221,119,40622,16027,900,277,4510,1497,1608,368,674,145,1517,39,27565,46361,2655,516,11741,3191,8730,615,2899
RA11,75,34,13,35,13,31,4,56,36,2890,77,3260,36,40,13,20,4,27,7,119,22,1404,15,1695,7,27,6,11,0,32,3,230,39,737,13,1105,9,6,0,20,0,46,9,171,20,673,12,951,62,131,19,65,3,80,22,439,86,4239,87,5232,35,106,11,62,10,174,24,799,113,2292,43,3668,155,401,55,201,19,396,57,1752,234,21430,345,25039,244,648,55,349,45,935,101,2198,299,10891,136,15899,421,1129,83,803,71,1741,162,2160,343,10132,123,17165,1017,1690,160,2422,186,1855,285,2033,331,9619,137,19727,961,879,89,2189,173,1495,190,1060,233,2948,42,10252,2037,933,112,2608,248,1379,154,849,209,3006,61,11595,6580,1491,247,5177,615,2519,384,1241,324,3303,62,21938,5167,784,159,3536,486,966,230,613,125,1530,26,13614,4010,425,126,2231,343,834,140,329,106,951,49,9537,2593,209,68,999,207,273,73,161,42,410,6,5039,5302,622,140,2362,412,1409,146,556
RA12,133,30,20,52,5,30,0,25,8,717,29,1055,34,18,9,14,5,21,0,33,8,341,8,485,14,16,4,12,0,21,0,49,8,147,7,271,11,3,0,12,0,19,0,42,0,135,4,220,88,55,14,68,0,61,5,128,20,1118,22,1587,35,45,3,46,3,76,11,232,22,554,18,1031,150,127,20,102,9,165,16,496,65,5165,89,6397,181,209,33,177,19,328,30,546,66,2096,38,3716,321,325,27,389,32,558,40,507,79,1827,28,4132,473,425,56,806,66,490,70,438,78,1664,43,4604,345,183,19,672,41,383,48,193,51,418,12,2367,823,219,30,741,65,357,39,138,44,459,21,2938,1914,300,60,1323,132,504,67,218,62,501,22,5112,1448,105,40,904,104,199,38,100,21,243,17,3222,1048,86,24,468,94,129,25,51,15,192,17,2153,652,45,11,210,45,57,12,25,4,66,0,1143,1179,124,30,506,75,209,22,77
RA13,30,0,0,6,0,10,0,0,3,36,0,92,7,5,0,0,0,3,0,0,0,15,0,30,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,6,0,10,11,0,0,7,0,0,0,7,0,46,0,73,0,0,0,0,0,10,0,12,0,27,0,62,9,10,0,10,0,13,0,25,3,213,6,283,17,14,0,12,0,19,0,28,0,70,0,169,37,13,3,27,4,32,0,20,0,53,0,189,37,8,6,49,0,41,0,15,9,47,6,216,30,7,4,39,0,23,0,9,0,7,0,113,65,11,0,51,6,27,0,7,0,16,0,175,148,15,3,72,16,35,3,10,0,16,0,314,129,6,0,60,0,13,3,0,3,9,0,234,66,5,4,27,3,9,5,0,0,5,0,129,58,5,0,13,5,4,0,0,0,0,0,87,112,5,0,36,5,17,3,4
RA14,6,0,0,6,0,0,0,0,0,7,0,17,3,0,0,0,0,0,0,0,4,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,11,0,23,0,0,0,0,0,0,0,0,0,11,0,10,6,0,0,0,0,0,0,0,0,55,0,68,4,0,0,0,0,3,0,4,0,20,0,39,5,10,0,3,0,9,0,3,0,18,0,47,5,3,0,4,0,7,0,5,0,15,0,48,3,0,4,10,0,4,0,0,0,0,0,26,14,5,0,7,0,3,0,0,0,0,0,40,31,4,0,10,0,8,0,0,0,5,0,62,22,0,3,9,0,6,0,0,0,0,0,42,15,0,0,10,0,0,0,0,0,0,0,30,11,0,0,0,0,0,0,0,0,0,0,22,34,0,0,6,0,0,0,5
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,89,34,38,42,9,128,10,139,74,12705,180,13441,27,65,20,26,0,43,10,296,56,3438,51,4031,3,57,8,13,0,46,10,590,93,2018,20,2863,7,7,0,11,0,51,6,531,91,1501,18,2243,36,220,22,49,6,128,38,999,166,9215,122,11009,35,260,22,95,13,384,65,1808,271,4727,70,7742,118,736,78,212,37,1150,144,3091,478,34727,501,41278,181,1385,96,488,69,2541,231,4017,603,18188,226,28020,441,2668,166,1446,176,4616,391,4254,700,16469,194,31521,1469,3749,230,4810,500,5444,621,4200,661,15118,225,37031,1753,2112,164,5129,566,4695,415,2406,414,4900,61,22624,4060,2297,216,6258,719,4346,433,1941,356,5325,96,26052,18941,3754,478,14499,1795,8050,824,3077,591,6449,156,58612,21396,2053,339,11119,1546,3130,493,1527,272,3323,98,45291,18204,1201,243,7302,1079,2871,297,909,180,2130,95,34515,14969,569,169,3887,701,1017,136,505,66,981,29,23031,32893,1721,388,9018,1550,5863,347,1879
RA21,69,42,17,29,11,35,3,43,23,2183,68,2521,23,31,12,14,4,17,4,95,21,998,26,1255,15,28,4,7,6,32,10,144,21,527,5,799,10,8,0,6,0,13,4,140,24,473,8,685,85,107,27,68,6,75,13,388,58,3169,68,4055,31,116,12,61,9,120,17,611,109,1743,27,2857,125,336,42,175,12,365,58,1306,205,14547,272,17431,214,503,54,317,49,786,96,1686,270,8119,93,12188,359,902,81,680,83,1433,131,1721,297,7260,93,13044,805,1274,138,1930,173,1491,244,1541,313,6381,113,14399,706,633,68,1899,176,1232,181,812,185,1678,25,7588,1588,744,133,2214,239,1114,169,666,150,1951,39,9004,5323,1191,196,4486,537,2071,318,879,262,1991,63,17310,4439,627,141,3147,408,697,201,403,94,873,33,11074,3271,328,94,1917,287,651,102,221,67,577,24,7535,2124,170,55,875,147,193,51,88,17,221,6,3945,3852,459,109,1907,324,1012,130,411
RA22,43,12,3,14,3,12,0,8,8,517,20,637,12,12,4,5,3,4,0,27,3,234,0,299,8,0,3,6,0,12,0,45,8,123,0,208,0,0,0,4,6,4,5,41,6,116,3,184,42,37,3,18,4,21,5,102,21,803,13,1067,9,34,5,13,0,45,7,187,21,427,8,746,68,77,30,60,6,128,8,355,48,3824,93,4685,101,144,26,111,9,208,24,462,68,1860,32,3047,164,265,27,254,21,344,46,416,69,1548,26,3180,314,328,43,526,52,353,57,324,55,1270,36,3372,196,142,14,471,44,267,31,133,32,338,8,1672,518,173,33,544,43,215,32,110,34,368,9,2081,1340,245,75,1024,112,378,72,146,48,334,8,3781,912,120,36,617,74,136,47,83,23,150,6,2204,624,59,23,348,57,92,27,47,20,97,10,1409,356,39,13,159,16,38,8,18,8,40,5,699,650,85,32,348,44,126,16,47
