RA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
RA10,327,729,24,13,40,765,1299,1565,3629,70623,45682,14752,131062,4321,3847,8173,139230,108447,2959,250632
RA11,125,283,11,11,26,305,502,588,1403,19220,17159,2889,39265,1255,1370,2626,41889,27604,1081,70570
RA12,27,70,4,0,4,78,177,185,435,3931,3299,564,7787,337,316,655,8446,6479,321,15242
RA13,0,0,0,0,0,0,15,14,38,224,174,41,442,19,15,35,473,457,31,964
RA14,0,0,0,0,0,0,8,14,22,67,43,3,112,7,4,11,122,179,14,321
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,297,705,21,24,46,746,1013,1199,2961,61397,43914,7311,112621,3677,3845,7522,120139,78311,2311,200764
RA21,86,228,7,11,16,243,377,388,1007,13702,13645,2169,29510,861,935,1792,31300,19211,722,51233
RA22,24,56,0,0,0,60,96,119,267,2539,2414,415,5366,177,204,373,5742,4003,201,9944
RA23,0,0,0,0,0,0,0,0,3,22,16,4,40,3,3,3,48,37,4,90
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,220,513,17,23,40,547,572,848,1970,48938,32315,8450,89697,3357,3170,6529,96226,51795,1522,149539
RA31,86,182,22,10,30,213,302,339,849,12025,10175,1815,24013,1164,1137,2302,26310,18243,599,45157
RA32,53,127,5,9,19,142,199,253,597,9567,6864,1084,17518,828,757,1585,19103,10604,459,30162
RA33,9,26,0,0,0,27,26,43,96,816,437,110,1367,97,57,153,1519,1161,55,2738
RA34,10,25,5,0,3,32,40,51,118,660,349,93,1102,112,37,143,1251,1110,74,2437
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,62,172,12,13,25,196,250,247,699,19260,14796,1881,35928,1289,1406,2693,38621,23423,532,62574
RA41,12,29,4,0,4,32,35,21,85,1772,1816,230,3820,127,117,249,4069,2416,58,6543
RA42,19,37,3,5,5,52,86,72,210,2061,2081,307,4451,233,215,443,4893,3497,125,8516
RA43,0,3,0,0,0,3,11,20,33,370,418,45,831,27,23,45,877,517,29,1431
RA44,4,8,3,0,3,11,16,17,36,117,97,21,230,28,14,36,268,234,24,521
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,134,283,17,21,34,315,295,466,1080,28657,20628,2654,51940,2000,2189,4186,56128,28221,829,85179
RA51,12,30,5,0,6,38,47,49,136,2689,2520,331,5540,193,209,403,5938,3111,90,9141
RA52,17,24,0,4,3,24,51,88,169,2058,1656,247,3966,157,159,318,4282,2507,152,6938
RA53,7,14,3,0,3,14,29,46,94,1000,474,103,1571,53,58,109,1680,810,65,2557
RA54,7,6,0,0,0,12,44,54,112,501,278,75,857,52,59,109,962,1192,71,2226
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,18,37,4,3,9,42,112,69,222,4938,4363,554,9859,341,412,751,10612,6056,168,16839
RA62,7,31,4,0,3,34,72,67,176,2048,2158,312,4514,221,233,456,4972,3695,130,8798
RA63,0,0,0,0,0,0,5,4,4,56,61,8,127,12,9,15,140,137,4,283
RA64,0,0,0,0,0,0,0,0,0,22,24,3,52,0,0,0,52,13,4,71
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,5,25,4,0,4,23,18,51,90,2535,909,204,3651,132,98,226,3880,1618,118,5609
RA73,3,9,0,0,5,9,27,38,74,674,262,68,1009,53,40,95,1099,953,67,2119
RA74,5,13,0,0,3,13,33,36,85,304,228,68,591,119,61,177,774,1522,58,2345
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,9,33,4,0,6,34,34,65,134,7648,3099,565,11308,245,225,470,11778,4737,115,16629
RA81,0,0,0,0,0,0,0,0,0,10,3,0,9,0,4,4,17,10,0,20
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,4,5,3,7,0,10,0,0,0,8,9,4,25
RA94,0,0,0,0,0,0,0,0,0,47,36,4,85,0,3,3,82,24,0,112
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
