SA1_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
10102100701,0,12,0,16,0,0,0,0,0,17,0,21,3,10,5,13,5,29,0,31,0,26,0,36,3,24,4,28,0,10,5,14,0,3,0,0,12,130,16,158,0,12,0,12,4,3,0,6,3,14,0,12,5,11,0,15,0,20,0,16,4,21,0,28,6,11,3,18,0,5,0,10,0,4,0,4,20,85,13,120,0,20,0,23,4,3,0,3,3,29,5,36,3,18,5,30,6,48,0,49,14,41,7,57,9,35,7,48,0,18,3,22,0,3,0,5,38,216,22,276
10102100702,0,3,0,3,0,7,0,7,0,12,3,13,3,10,0,15,0,19,4,26,3,22,0,32,5,14,4,24,0,16,0,19,0,4,0,4,19,109,11,142,0,8,0,10,0,3,0,8,0,9,0,10,3,6,0,9,0,17,4,25,9,25,0,35,3,13,0,18,0,13,0,12,0,0,0,0,21,99,9,134,0,9,0,14,0,12,0,15,0,22,3,21,7,20,0,24,5,34,9,45,17,49,0,69,9,29,0,38,0,24,4,34,0,0,0,4,40,211,22,269
10102100703,0,7,0,12,0,9,0,8,0,23,0,23,3,23,3,32,3,22,0,28,0,20,4,25,4,20,0,21,0,14,0,17,0,9,0,10,14,154,13,176,0,15,6,16,0,3,0,7,0,17,0,24,0,25,3,36,5,20,0,27,4,20,0,29,0,27,7,32,3,16,4,23,0,3,0,3,22,151,21,193,0,22,5,30,0,13,6,13,0,42,0,43,4,56,4,63,7,45,3,54,6,37,8,54,5,44,8,55,11,37,5,46,0,8,3,9,33,304,33,371
10102100704,0,3,0,3,0,5,0,9,0,16,0,15,4,16,3,23,8,16,5,27,8,20,0,29,3,25,4,31,0,35,0,31,4,13,0,15,28,152,16,195,0,4,0,11,0,0,0,0,4,14,7,19,7,20,0,28,4,23,5,34,6,30,0,39,8,40,9,53,9,39,3,53,0,19,0,21,43,183,24,248,0,14,0,11,0,12,0,14,4,32,3,40,12,34,3,49,18,41,7,66,18,48,0,66,12,65,12,82,9,70,5,86,4,25,0,33,76,329,40,449
10102100705,0,3,6,9,3,8,0,11,3,17,0,24,0,21,8,26,5,18,3,24,4,23,8,30,0,19,0,23,0,18,0,19,0,0,0,0,22,122,21,164,0,3,5,10,0,9,0,8,4,17,3,30,4,13,0,17,4,16,0,29,9,17,0,31,8,27,4,35,0,19,4,25,0,6,0,6,24,138,22,187,0,7,7,14,3,19,0,19,10,41,9,54,4,40,7,48,7,37,7,54,9,41,6,62,5,45,4,58,0,38,5,50,0,6,0,3,44,266,48,354
10102100706,0,0,0,0,0,5,0,5,0,9,0,15,0,11,3,16,0,14,3,16,5,21,4,30,6,14,0,22,5,11,0,9,0,0,0,0,17,85,12,114,0,5,0,3,0,3,0,4,0,10,0,13,9,11,0,20,0,15,0,16,3,17,3,23,0,15,4,21,0,7,0,8,0,0,0,0,17,81,13,113,0,9,0,3,0,7,0,8,0,18,0,23,9,24,9,40,5,32,5,37,9,41,10,52,6,34,7,45,3,16,0,17,0,0,0,0,32,168,26,227
10102100707,0,6,0,6,0,7,0,7,0,13,6,20,5,13,3,16,3,19,0,27,6,34,6,49,6,28,9,42,4,12,0,14,0,3,0,3,26,143,13,186,3,5,0,4,0,4,0,4,0,8,0,12,4,13,0,16,0,22,0,28,13,35,3,50,5,27,0,33,3,9,0,14,0,3,0,5,31,128,6,165,3,11,0,12,0,11,0,11,8,22,0,35,8,27,3,37,5,41,0,52,20,70,5,90,13,60,9,77,3,23,0,32,0,10,0,9,59,272,21,349
10102100708,0,12,0,15,0,8,0,8,0,15,3,19,3,26,0,26,13,43,6,59,5,38,3,52,10,49,8,67,0,19,5,22,0,4,0,5,37,204,25,263,0,11,4,8,0,9,0,10,0,19,0,23,0,23,0,29,11,39,3,55,17,47,5,64,6,38,3,44,0,14,0,14,0,5,3,7,41,194,26,265,0,19,4,21,0,17,0,14,0,38,3,45,7,46,4,56,19,85,7,116,23,82,9,113,15,85,8,112,0,29,11,37,3,7,3,15,75,401,52,526
10102100709,0,9,0,11,0,5,0,5,0,20,7,26,0,24,0,30,4,28,0,35,4,40,3,50,0,9,0,13,0,6,0,11,0,0,0,0,14,151,13,181,0,9,0,9,0,4,0,4,0,21,0,25,7,26,0,33,5,35,3,40,6,26,0,36,5,8,0,14,0,8,0,7,0,0,0,0,23,143,10,167,0,18,0,20,0,9,0,6,0,41,8,48,5,55,0,57,3,68,3,72,14,71,3,89,8,18,0,25,0,10,0,14,0,3,0,0,37,290,23,346
10102100710,0,14,0,9,0,4,0,3,0,20,0,20,8,19,3,24,4,45,5,50,14,55,3,74,8,45,0,54,0,24,3,26,0,3,0,3,25,215,16,264,0,4,0,4,0,5,0,5,0,7,3,9,4,20,0,26,4,35,0,43,14,41,3,58,9,40,3,44,5,9,0,16,0,5,0,5,32,170,8,214,0,16,0,20,0,7,0,8,0,23,3,26,6,39,3,49,7,85,6,95,27,93,11,126,12,82,5,95,3,35,3,45,0,6,0,6,61,387,29,475
10102100801,0,9,0,12,0,7,3,17,0,20,3,24,5,28,4,34,3,29,0,30,8,19,0,31,0,7,0,7,0,9,0,9,0,0,0,0,19,119,14,155,0,16,0,21,0,8,0,13,4,24,5,30,5,17,0,28,9,21,0,26,5,20,0,28,4,13,0,22,0,6,0,10,0,0,0,0,33,132,6,172,4,24,0,30,4,18,3,19,5,39,9,54,8,42,8,57,14,50,0,62,15,41,5,53,4,16,6,33,0,13,0,19,0,4,0,4,56,254,22,327
10102100802,0,15,0,12,0,22,0,20,0,32,0,31,4,30,0,39,3,38,0,44,7,22,3,38,0,27,6,34,4,16,0,23,0,0,5,3,28,207,5,241,0,10,0,9,0,13,0,11,0,24,5,30,4,32,0,36,6,24,0,35,9,34,0,40,8,22,0,25,3,19,4,26,0,4,0,4,37,181,9,218,4,21,0,22,0,35,0,34,0,58,5,63,7,62,0,73,11,64,6,75,16,54,5,77,11,52,3,63,7,36,4,47,0,5,5,11,62,384,19,464
10102100803,0,3,4,9,0,12,0,12,8,26,0,31,0,15,6,24,6,17,0,23,0,10,0,14,4,9,0,16,0,4,0,3,0,0,0,0,18,102,9,125,0,8,0,10,0,4,0,7,4,24,6,38,5,22,3,21,6,18,4,28,0,18,0,24,6,11,0,10,0,7,0,11,0,4,0,4,24,107,17,148,0,17,0,15,0,13,0,19,9,51,4,64,3,35,8,46,10,39,4,52,4,30,4,31,7,16,0,29,0,11,0,13,0,3,0,3,41,208,27,276
10102100804,0,9,0,10,0,11,0,11,0,27,5,38,10,24,0,28,0,19,0,22,3,17,5,24,4,9,0,15,0,9,0,9,0,0,0,0,21,127,12,158,0,10,0,9,0,8,0,8,5,39,3,43,5,19,3,24,4,34,0,40,4,9,0,17,8,12,3,22,0,4,0,8,0,4,0,7,20,145,13,183,0,15,0,16,0,25,3,24,8,64,4,82,11,44,8,56,4,48,3,64,5,30,3,41,7,24,4,34,0,14,0,14,0,4,0,7,40,271,27,341
10102100805,0,9,0,13,0,11,0,9,8,11,0,18,0,7,6,10,0,5,0,13,0,6,5,11,0,5,0,10,0,8,0,8,0,0,0,0,7,61,15,89,0,9,4,10,0,9,0,9,0,11,7,21,5,13,8,23,5,5,0,13,3,10,3,14,5,7,0,14,0,5,0,4,0,0,0,3,13,70,21,110,0,17,4,21,0,17,0,19,8,22,8,41,4,19,9,38,4,18,3,28,4,18,3,22,8,14,0,20,0,12,0,12,0,0,0,3,29,131,33,199
10102100806,0,5,0,5,0,12,0,12,6,21,0,25,0,29,3,29,3,13,6,19,4,11,6,20,5,22,0,30,0,12,0,12,0,0,0,0,14,126,9,146,0,9,0,9,0,9,0,9,6,27,0,33,3,27,0,31,0,15,0,18,12,21,4,33,5,25,0,27,0,7,0,7,0,0,0,0,19,148,5,176,0,16,0,16,0,22,0,22,4,46,4,62,8,52,7,62,7,31,6,40,8,35,6,48,7,45,0,54,0,16,0,16,0,0,0,0,34,277,14,325
10102100807,0,7,0,9,0,17,4,16,3,31,6,41,5,29,5,35,10,22,3,33,5,20,3,28,6,21,5,29,0,11,0,11,0,0,0,5,31,155,20,199,0,15,0,17,0,10,3,16,0,33,0,41,6,27,4,38,4,18,3,27,8,21,0,29,7,26,0,33,0,16,0,16,0,3,0,6,31,168,15,219,5,24,0,25,0,25,5,35,6,62,3,73,15,53,8,76,16,43,6,62,7,41,5,57,4,46,3,63,0,24,0,27,4,6,0,4,55,323,36,421
10102100808,0,14,0,20,0,19,0,19,4,33,6,39,0,21,5,30,0,26,0,32,6,21,0,26,0,23,0,24,0,5,0,8,0,3,0,6,15,165,11,198,0,14,0,14,0,7,0,9,4,37,6,44,5,30,3,33,0,27,4,32,8,22,0,35,4,20,0,25,3,7,0,10,0,4,0,5,34,162,16,211,0,36,0,37,0,25,0,28,9,69,3,82,6,51,6,67,7,57,6,64,15,41,4,59,5,43,0,44,3,14,4,17,3,8,3,8,48,329,26,406
10102100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
