SA1_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102100701,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,8,11,0,22,20,42,31,7,7,0,148
10102100702,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,5,0,0,0,8,3,10,20,21,37,49,15,7,0,163
10102100703,0,0,0,5,0,0,0,0,0,11,0,0,0,3,3,0,0,0,0,6,16,13,38,49,42,36,19,6,0,218
10102100704,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,32,36,43,38,23,5,0,193
10102100705,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,11,3,16,40,29,35,43,12,5,0,189
10102100706,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,5,9,15,21,24,31,3,0,0,118
10102100707,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,0,0,0,0,14,5,5,27,25,47,60,22,4,0,202
10102100708,0,0,0,0,3,0,0,0,0,10,0,0,5,6,3,0,0,0,0,12,13,13,34,42,84,69,43,0,0,303
10102100709,0,0,0,0,4,0,0,0,0,5,0,0,0,5,0,0,0,0,0,8,8,6,38,48,61,60,11,3,0,237
10102100710,0,0,0,0,5,5,0,0,0,9,0,0,0,4,5,4,5,0,0,12,9,7,15,33,70,69,28,10,3,252
10102100801,3,4,4,0,3,0,0,0,0,8,0,4,0,5,4,0,0,0,0,10,15,19,44,47,51,40,4,0,0,219
10102100802,0,0,0,6,0,0,0,0,0,14,0,0,3,0,4,0,0,0,0,8,15,31,57,71,68,48,15,4,0,300
10102100803,0,0,4,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,0,6,10,13,35,28,27,14,6,0,0,133
10102100804,0,0,3,0,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,4,10,17,46,44,37,23,6,0,0,181
10102100805,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,3,11,14,11,13,4,7,0,0,71
10102100806,0,0,4,4,0,0,0,0,0,15,0,0,4,0,5,0,0,0,0,13,5,19,50,52,29,28,11,0,0,196
10102100807,0,0,3,0,6,0,0,0,0,11,0,0,5,0,0,0,0,0,0,7,15,22,64,51,50,32,12,0,0,243
10102100808,0,0,6,0,6,0,0,0,0,8,0,0,0,4,3,0,0,0,0,9,25,19,64,44,59,34,6,0,0,247
10102100809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10102100810,0,4,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,8,10,13,17,22,33,41,5,0,0,148
10102100811,0,8,0,6,0,0,0,0,0,13,0,0,5,6,4,0,0,0,0,9,5,14,42,46,26,29,10,3,0,178
