SAL_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,4,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,4,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,5,0,0,0,0,4,0,5,0,0,0,0
SAL10002,0,4,0,4,141,7,154,0,4,0,4,142,11,155,35,0,0,38,219,6,262,102,3,0,102,92,6,197,85,6,0,97,169,7,271,22,14,0,35,308,19,356,5,16,0,16,203,5,228,0,0,0,0,78,0,81,0,0,0,0,26,0,26,246,47,0,302,1365,63,1729,0,13,0,11,152,4,174,0,0,0,3,173,5,175,58,4,0,61,164,10,239,135,4,0,140,53,7,204,104,15,0,116,209,12,334,9,48,0,57,307,12,376,0,19,0,18,184,3,210,0,3,0,3,74,0,76,0,0,0,0,27,0,25,312,100,0,414,1340,66,1818,0,12,0,14,297,13,325,0,3,0,9,309,11,336,91,8,0,100,384,17,499,237,6,0,246,147,19,403,193,17,0,210,374,22,605,30,61,0,93,613,31,733,3,35,0,38,383,16,437,0,3,0,3,153,4,159,0,0,0,0
SAL10003,0,4,0,4,102,0,110,0,4,0,4,95,3,102,51,4,0,51,193,14,254,172,4,0,183,140,20,343,153,3,0,153,188,17,354,30,3,0,35,293,12,342,4,43,0,41,285,23,353,0,7,0,7,184,17,209,0,0,0,0,59,15,77,406,73,7,483,1541,120,2147,0,3,0,3,123,10,134,0,0,0,0,96,3,103,75,9,0,82,187,19,290,245,5,0,251,122,24,400,152,7,0,164,239,11,407,11,34,0,44,324,8,378,0,44,0,51,323,25,396,0,17,0,18,201,29,247,0,5,0,5,91,39,136,488,118,6,609,1711,163,2486,0,9,0,9,222,11,244,0,4,0,4,196,10,203,124,12,0,134,372,34,543,421,3,5,430,265,41,740,302,12,5,316,426,25,763,40,42,0,80,619,25,720,3,84,0,93,607,52,751,0,28,0,28,388,40,455,0,5,0,5
SAL10004,0,0,0,0,39,0,41,4,0,0,5,26,3,30,15,0,0,23,34,0,56,48,3,0,50,10,3,64,38,0,0,39,42,0,84,3,12,0,10,58,3,76,0,10,0,10,36,0,47,0,0,0,0,23,0,32,0,0,0,0,0,0,0,108,37,4,143,266,14,423,0,0,0,0,46,0,46,4,0,0,3,15,5,25,28,4,3,29,21,0,51,63,4,0,68,9,5,82,30,5,0,36,48,0,90,7,25,0,29,61,6,90,0,16,0,16,38,0,48,0,0,0,0,28,0,25,0,0,0,0,3,0,3,120,55,5,184,259,12,460,0,4,0,4,79,0,87,3,4,0,6,37,4,52,38,5,5,53,51,0,104,104,9,4,118,19,3,139,64,8,0,80,91,4,167,6,34,0,40,120,6,164,0,28,0,28,69,0,94,0,3,0,3,53,0,57,0,0,0,0
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0,0
SAL10006,0,5,0,5,78,6,87,11,4,0,12,71,4,80,71,6,3,74,103,0,183,67,6,5,71,49,9,136,38,8,0,51,102,0,163,4,19,0,25,116,7,148,0,13,0,13,99,0,113,0,4,0,4,53,0,59,0,0,0,0,13,0,13,179,59,10,256,686,34,975,0,5,0,4,77,6,84,24,7,0,32,50,9,77,98,8,4,106,74,7,187,89,8,8,97,45,5,146,37,20,3,61,96,6,159,4,42,0,45,120,3,173,0,18,0,23,104,3,128,0,3,0,4,63,4,68,0,0,0,0,17,3,15,247,107,14,367,631,41,1044,0,5,0,9,151,7,174,27,9,0,41,113,11,161,163,15,5,184,175,10,370,152,14,11,169,99,15,284,73,27,8,112,195,5,313,5,65,0,71,233,12,318,0,30,0,33,205,9,246,0,8,0,6,116,4,123,0,0,0,0
SAL10007,0,0,0,0,73,0,72,11,4,0,11,45,3,58,40,3,0,47,54,7,102,65,8,0,69,47,6,120,33,3,0,35,96,8,139,3,7,0,9,124,15,147,0,13,0,13,95,7,114,0,0,0,0,53,7,61,0,0,0,0,17,0,13,154,36,0,194,597,56,843,0,4,0,6,46,4,56,8,3,0,11,39,6,58,75,4,0,77,53,11,136,69,3,0,76,34,5,115,20,12,0,36,77,8,125,0,13,0,18,114,14,145,0,14,0,13,98,8,113,0,3,0,4,51,0,54,0,0,0,0,18,4,22,170,63,7,243,526,56,823,0,8,0,10,112,10,132,18,9,0,24,82,6,113,115,7,0,124,102,15,241,134,6,0,143,81,13,236,52,18,4,80,175,14,264,3,19,0,23,242,25,291,0,25,0,26,193,12,232,0,3,0,3,100,13,120,0,0,0,0
SAL10008,0,0,0,0,4,0,4,0,0,0,0,5,0,3,3,0,0,3,5,0,3,0,0,0,6,0,0,7,8,0,0,8,0,0,8,0,0,0,0,3,0,7,0,0,0,0,8,0,7,0,0,0,0,6,0,7,0,0,0,0,0,0,0,11,0,0,16,31,0,43,0,0,0,0,9,0,9,0,0,0,0,4,0,4,6,0,0,6,3,0,10,5,0,0,5,0,0,6,5,0,0,5,8,0,14,0,0,0,0,4,0,3,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,16,29,0,45,0,0,0,0,5,0,5,0,0,0,0,7,3,8,3,0,0,3,9,4,10,11,0,0,12,3,0,13,7,0,0,7,7,0,17,0,0,0,0,5,0,14,4,0,0,0,16,0,22,0,0,0,0,6,0,7,0,0,0,0
SAL10009,0,5,0,10,194,4,204,14,3,0,25,175,10,199,204,11,8,221,247,21,489,316,13,7,339,134,19,491,114,20,0,135,207,10,351,11,38,0,53,235,12,301,0,25,0,28,167,0,197,0,0,0,0,71,0,82,0,0,0,0,6,0,9,658,122,18,797,1443,83,2326,0,24,0,24,194,0,225,27,8,0,40,175,8,217,291,19,15,331,193,16,542,349,16,13,379,117,14,516,111,39,6,159,258,19,432,9,79,0,89,232,6,329,0,38,0,41,171,3,217,0,6,0,6,75,0,73,0,0,0,0,24,0,22,789,232,39,1061,1438,71,2569,0,31,0,30,391,7,428,39,16,0,59,345,19,415,493,27,26,549,446,37,1034,669,29,22,719,249,35,1003,227,57,6,287,461,27,781,24,121,0,139,468,21,627,4,70,0,66,336,5,414,0,7,0,7,144,9,161,0,0,0,0
SAL10010,0,0,0,0,78,5,84,6,3,0,10,66,0,82,71,3,8,86,74,7,163,87,3,5,95,45,5,148,41,0,0,47,123,8,172,5,20,0,32,139,11,179,0,9,0,12,89,11,108,0,3,0,3,50,4,58,0,0,0,0,6,0,8,217,50,9,282,672,55,1007,3,4,0,4,55,0,60,14,0,0,17,53,4,71,90,13,14,118,53,6,179,111,4,8,123,30,6,162,31,12,0,43,80,6,129,0,41,0,47,123,8,177,0,23,0,22,82,6,110,0,0,0,3,58,0,66,0,0,0,0,20,0,20,253,106,25,382,550,31,962,3,7,0,9,134,3,146,15,3,0,21,120,5,149,168,15,23,200,126,8,341,201,10,9,222,77,11,312,73,18,0,87,202,9,304,13,67,0,77,256,22,355,0,29,0,31,174,17,222,0,8,0,8,111,5,121,0,0,0,0
