SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10001,33662,35646,69309,14661,8366,23032,4131,9423,13552,1047,1361,2409,960,764,1726,20803,19913,40714,10573,13485,24058,4.6,3.8,4.2,61.8,55.9,58.7,58.9,53.7,56.3,900,1165,2066,448,995,1436,2946,5057,8007,2309,3651,5959,9300,5273,14570,329,618,941,461,817,1280,10088,6714,16797,32337,33756,66089,5829,6235,12066,21051,21742,42798,14959,16187,31151
SED10002,51488,46221,97708,14171,10258,24426,6849,7429,14275,4498,3207,7702,2582,1698,4280,28099,22587,50686,19347,20414,39761,9.2,7.5,8.4,54.6,48.9,51.9,49.6,45.2,47.5,4724,4463,9182,498,825,1324,9679,9908,19584,4449,4749,9198,4381,2441,6822,261,410,674,570,727,1297,5213,3582,8798,44049,41294,85342,11773,10509,22281,24894,24697,49592,27530,24174,51700
SED10003,32722,36335,69054,10695,6847,17548,6501,10679,17176,1264,1511,2776,854,788,1644,19315,19831,39143,10858,13788,24646,4.4,4,4.2,59,54.6,56.7,56.4,52.4,54.3,1451,2041,3496,583,1183,1765,5193,7546,12739,2822,4538,7359,7805,3937,11744,257,504,760,570,999,1572,8631,5442,14072,30135,32125,62260,6062,7027,13092,19232,20145,39379,15204,17399,32600
SED10004,33882,36952,70834,16250,13998,30248,4650,7183,11830,1716,2348,4061,1165,1075,2243,23780,24595,48375,8157,10493,18653,4.9,4.4,4.6,70.2,66.6,68.3,66.7,63.7,65.1,5427,6596,12026,988,1671,2663,10565,12313,22879,2815,3505,6320,3119,1599,4716,188,281,465,431,583,1015,3739,2455,6201,29072,31362,60425,8522,9161,17682,16956,18680,35636,18795,20150,38942
SED10005,36840,37363,74197,8522,6015,14530,4022,4808,8829,3493,2527,6023,1697,1232,2930,17735,14585,32318,15840,19489,35336,9.6,8.5,9.1,48.1,39,43.6,43.5,35.7,39.6,1858,1606,3468,278,428,703,4927,5400,10325,2628,3543,6169,4673,2631,7300,267,474,743,513,760,1271,5449,3861,9312,36949,37555,74509,5523,5438,10962,24483,25122,49600,15058,14997,30056
SED10006,29688,30242,59934,12003,7402,19403,2662,5931,8594,1024,1111,2127,912,682,1587,16594,15119,31709,9282,11227,20512,5.5,4.5,5,55.9,50,52.9,52.8,47.7,50.3,381,537,912,179,527,705,1445,3178,4631,1288,2326,3612,6850,3897,10746,300,561,866,392,633,1025,7546,5092,12637,27444,27278,54724,3981,4341,8321,20284,19911,40192,9281,10003,19285
SED10007,33124,32851,65979,13281,8127,21411,3857,7940,11793,1169,1319,2489,953,720,1670,19261,18109,37363,11637,12680,24321,5,4,4.5,58.1,55.1,56.6,55.3,52.9,54.1,959,1090,2051,390,842,1236,2664,4591,7254,1993,3256,5248,9321,4876,14195,377,686,1065,533,923,1462,10238,6484,16719,30839,31201,62039,5282,5645,10931,20682,20725,41406,13531,14406,27941
SED10008,34506,36350,70857,15736,10804,26538,4592,7698,12291,2096,2375,4474,1026,862,1886,23453,21736,45192,10155,13596,23755,4.4,4,4.2,68,59.8,63.8,65,57.4,61.1,5003,4534,9533,768,1128,1896,9123,10087,19214,3222,4199,7421,4752,2192,6948,184,354,536,596,985,1574,5527,3528,9057,36788,37798,74586,5506,5757,11263,25267,26051,51315,14950,15465,30417
SED10009,31831,33650,65484,9280,5832,15114,4593,8003,12596,1127,1244,2362,704,491,1196,15695,15571,31268,13776,15701,29474,4.5,3.2,3.8,49.3,46.3,47.7,47.1,44.8,45.9,1015,1269,2278,528,1106,1639,3033,4596,7631,2282,3725,6007,9109,4672,13785,319,613,930,592,969,1561,10013,6261,16272,29489,30604,60093,4735,5159,9897,19654,20268,39922,13123,14154,27280
SED10010,37176,37048,74230,13031,9300,22327,5041,6426,11464,3338,2486,5824,1544,1310,2859,22958,19511,42475,11712,15203,26917,6.7,6.7,6.7,61.8,52.7,57.2,57.6,49.1,53.4,2630,2900,5525,374,655,1033,6168,7292,13460,3376,3458,6834,5955,3448,9402,292,509,806,531,789,1324,6785,4748,11529,36842,36598,73441,6121,5931,12055,23698,23993,47693,16594,15982,32582
