SED_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
SED10001,109,0,0,0,109,10,0,122,3257,331,60,4,3658,47,10,61,3716,170,3,3895,4842,560,84,39,5528,35,3,39,5561,157,8,5730,539,51,48,4,641,11,0,11,648,26,0,674,50,0,6,28,78,0,0,0,78,11,7,94,8690,941,201,74,9906,92,12,104,10011,359,20,10394,27,8,5,3,38,7,0,7,46,12,0,57,81,17,3,0,103,6,6,7,113,13,0,124,109,22,4,3,142,11,6,19,160,20,0,179,8797,972,206,78,10050,102,18,121,10170,384,20,10578,1569,282,54,47,1952,34,14,52,2006,329,7,2345,10,0,0,12,23,0,0,0,23,0,32,59,10374,1259,258,140,12028,138,32,172,12199,714,66,12975
SED10002,529,36,9,41,574,292,9,874,2371,362,234,20,2991,82,24,110,3099,414,5,3526,1796,721,283,27,2832,84,7,94,2925,517,0,3442,463,217,430,17,1129,8,3,9,1143,132,4,1277,58,10,23,74,158,4,0,7,165,29,15,211,4690,1316,968,132,7110,177,37,218,7326,1092,26,8456,127,44,24,3,206,62,3,66,273,40,0,314,156,56,48,12,269,44,35,80,349,71,3,419,287,101,72,17,475,111,38,143,619,113,3,733,4976,1419,1041,148,7583,287,74,361,7950,1206,31,9186,2982,1347,866,218,5402,452,112,573,5974,4676,53,10705,26,12,17,61,116,6,0,6,117,34,207,363,7986,2781,1919,420,13107,744,196,935,14044,5922,294,20256
SED10003,88,0,0,0,85,11,0,100,2168,473,68,25,2732,28,10,42,2772,190,12,2975,3577,1135,105,53,4864,20,12,38,4901,250,6,5158,388,98,70,10,568,0,0,5,572,51,0,621,50,4,0,49,112,0,0,0,110,3,15,135,6181,1713,252,132,8276,55,26,83,8361,496,33,8883,13,24,0,0,34,7,0,7,46,3,0,44,76,21,3,3,103,5,5,11,117,14,0,128,95,46,3,3,142,14,5,16,163,12,0,175,6277,1762,251,137,8414,66,37,100,8519,509,33,9062,1136,413,85,35,1665,35,12,49,1706,281,9,2004,16,10,0,7,31,0,0,0,31,3,37,74,7420,2175,337,174,10110,100,44,147,10255,799,76,11131
SED10004,220,5,3,9,230,41,0,267,4408,525,127,7,5068,100,27,130,5197,238,3,5432,2937,448,86,10,3474,26,3,36,3508,135,4,3651,789,92,100,7,980,9,3,7,996,28,0,1023,19,3,0,25,44,0,0,0,44,4,0,50,8154,1063,305,46,9568,132,36,170,9744,403,8,10154,114,13,0,0,132,11,0,11,147,0,0,147,77,17,0,0,90,3,0,6,100,3,0,101,188,29,0,0,224,20,0,21,240,5,0,246,8339,1099,311,46,9798,149,36,189,9984,406,8,10399,1335,204,60,14,1608,25,6,35,1641,207,5,1858,4,0,4,4,14,0,0,0,14,0,18,24,9677,1301,373,63,11414,177,45,222,11635,619,27,12280
SED10005,479,21,11,30,507,251,15,775,1761,278,266,20,2331,66,28,91,2423,477,10,2907,1576,631,311,38,2551,56,17,75,2629,416,11,3050,459,172,404,7,1044,26,0,26,1069,145,13,1227,43,24,12,78,155,6,5,7,164,34,24,217,3842,1113,994,133,6084,160,46,207,6288,1067,54,7405,92,33,20,7,143,52,9,59,198,31,0,230,96,74,24,4,191,58,12,73,262,79,3,342,186,99,41,5,332,110,21,124,458,110,3,572,4031,1209,1032,141,6416,265,65,334,6744,1174,57,7976,2749,1389,1060,256,5458,420,127,544,6002,4792,91,10885,24,18,4,59,104,3,0,3,110,38,216,371,6805,2616,2098,458,11978,693,196,883,12860,6011,361,19228
SED10006,38,0,0,0,38,4,0,43,2680,218,67,24,2993,18,12,33,3024,124,0,3150,2820,270,60,30,3175,23,5,28,3207,132,5,3345,376,46,52,5,472,0,0,0,473,18,0,493,74,0,0,62,143,0,0,0,143,3,6,152,5941,532,181,124,6775,50,18,63,6846,285,16,7141,31,10,4,7,47,12,3,15,67,0,0,66,77,21,0,0,96,7,16,22,120,21,0,140,103,31,7,7,144,23,18,45,188,23,0,205,6049,560,187,126,6925,75,37,104,7033,300,16,7347,1136,174,61,61,1429,68,20,82,1509,443,12,1963,4,0,0,8,11,0,0,0,16,0,45,61,7189,734,251,198,8363,143,53,193,8563,747,65,9368
SED10007,104,0,0,0,104,11,0,114,3326,344,63,16,3752,38,5,43,3795,151,0,3947,3820,430,106,31,4389,33,5,41,4429,174,5,4606,550,51,71,5,677,4,4,7,683,20,0,709,43,14,0,36,97,0,0,0,96,0,14,112,7737,842,242,92,8909,81,17,97,9010,350,17,9375,39,14,0,0,50,18,0,20,66,0,0,70,68,13,5,7,85,11,0,19,101,11,0,118,105,25,5,7,132,30,9,37,172,9,0,185,7845,865,244,96,9047,108,20,133,9178,366,17,9557,1350,313,51,49,1757,42,12,52,1810,383,6,2202,13,4,0,10,30,0,0,0,30,0,34,68,9204,1182,292,159,10838,150,33,185,11020,744,55,11822
SED10008,882,25,0,30,911,126,3,1037,6752,718,299,30,7801,152,6,161,7961,419,11,8391,4617,961,230,35,5845,85,15,99,5944,261,8,6219,964,218,229,4,1418,21,6,25,1443,64,0,1503,54,11,0,65,136,0,0,5,140,4,8,149,12390,1910,762,135,15199,259,34,288,15490,752,24,16267,204,19,4,0,230,30,0,37,261,14,0,274,167,37,14,4,219,18,4,21,242,16,0,259,371,56,19,4,447,47,10,56,498,30,0,533,12757,1963,779,141,15646,304,40,343,15994,782,24,16800,2699,438,195,51,3384,69,8,82,3463,668,9,4148,35,0,5,31,69,0,0,0,69,0,46,117,15495,2399,981,224,19099,372,50,427,19528,1454,86,21061
SED10009,49,0,0,0,49,0,0,46,2054,384,46,22,2503,28,7,33,2542,152,3,2696,2748,614,82,40,3494,23,7,28,3521,206,8,3731,315,63,53,3,436,4,0,4,441,35,0,473,33,9,3,81,122,0,0,0,122,7,0,131,5148,1084,176,150,6556,52,17,66,6627,404,10,7037,14,9,0,0,16,3,5,4,20,3,0,25,29,7,0,0,34,5,5,5,44,14,0,50,37,12,0,0,47,8,8,13,63,17,0,75,5185,1089,179,150,6604,59,22,86,6689,416,10,7114,787,249,51,41,1136,24,5,27,1161,378,0,1545,11,0,0,12,26,0,0,0,26,4,25,62,5987,1336,236,207,7765,83,28,115,7878,800,41,8719
SED10010,459,24,6,29,486,125,9,621,3806,572,356,29,4763,98,38,138,4902,451,12,5360,2486,723,352,38,3599,79,19,97,3696,401,3,4102,723,145,323,16,1208,24,0,24,1228,64,0,1295,46,16,8,73,142,0,4,3,147,20,22,188,7055,1451,1040,155,9705,205,62,267,9974,940,36,10950,180,46,7,0,236,54,8,64,297,18,0,314,174,57,23,3,256,23,12,33,288,43,0,331,350,103,34,0,488,71,22,99,585,59,0,647,7407,1557,1073,164,10193,276,86,366,10559,1003,36,11598,2463,734,471,109,3774,196,25,222,3993,1461,16,5471,36,3,4,56,103,0,0,0,101,11,59,170,9907,2293,1550,325,14074,474,112,586,14655,2472,111,17245
