SED_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
SED10001,22,73,73,59,70,19,4,319,7,18,23,7,10,0,0,72,0,7,4,0,0,0,0,12,0,3,0,0,4,0,0,5,31,96,96,70,92,25,5,412,0,3,0,0,7,0,0,16,0,4,0,0,4,0,0,11,0,8,0,4,7,6,0,30,34,106,98,73,103,23,5,446,23,30,27,20,33,0,3,128,0,3,4,0,0,0,0,12,53,135,127,100,132,27,7,587,77,203,150,126,184,60,7,803,200,333,217,128,146,27,7,1061,42,39,13,9,9,0,0,115,11,9,8,9,0,0,0,41,330,583,390,275,337,87,14,2012,3,25,9,7,8,0,0,54,32,29,20,14,13,0,0,113,35,55,34,21,23,0,0,171,360,640,420,288,365,88,18,2183,408,314,184,133,135,25,9,1213,14,7,4,3,3,0,0,34,785,961,609,427,497,119,30,3427,98,274,223,189,259,75,20,1127
SED10002,21,33,22,19,28,15,10,139,13,9,8,11,8,12,12,71,3,4,3,0,13,3,0,27,4,0,0,0,0,0,0,9,44,47,38,30,38,26,29,251,0,5,4,7,8,3,4,34,0,0,0,0,0,0,4,4,7,5,4,7,8,3,3,39,49,47,45,35,47,32,34,291,34,39,19,15,29,14,11,163,0,0,0,0,0,0,0,3,87,87,62,54,81,45,44,460,74,101,76,55,88,68,32,499,72,117,105,63,83,51,24,521,21,42,28,24,29,5,16,159,8,5,9,3,5,4,5,42,171,269,218,148,202,132,76,1216,8,18,4,7,21,12,3,73,8,14,12,12,9,4,4,65,13,31,17,17,27,18,10,143,184,304,240,161,231,148,90,1358,396,489,271,166,259,150,96,1822,13,14,11,8,0,6,0,44,594,802,515,333,488,307,184,3225,92,132,94,79,118,82,49,642
SED10003,20,48,57,52,60,11,0,246,8,32,43,31,30,0,0,151,4,5,7,0,0,0,0,20,0,0,0,3,4,0,0,8,37,80,106,89,95,13,9,416,7,9,8,0,0,0,0,16,0,7,0,3,0,0,0,8,8,6,6,3,0,0,0,29,44,87,111,93,97,11,9,443,12,30,20,23,20,3,3,110,0,0,0,0,4,0,0,5,55,116,136,112,114,17,10,560,39,114,140,115,149,37,11,611,127,296,228,177,204,44,5,1084,23,23,22,9,13,0,4,87,3,8,6,0,9,0,0,26,193,438,392,304,372,84,24,1805,3,5,4,4,5,0,0,19,10,19,14,9,8,8,0,64,13,26,17,12,10,8,0,91,207,463,409,323,387,84,27,1896,207,230,141,100,106,17,8,811,8,10,9,9,0,0,0,23,416,703,557,424,500,102,30,2734,60,156,195,165,212,43,18,850
SED10004,11,40,39,28,41,25,3,191,4,10,11,9,5,0,0,46,0,4,3,4,8,0,0,12,0,0,0,0,0,0,0,3,21,53,54,40,52,35,5,254,3,0,0,0,0,5,0,14,0,4,0,0,0,0,0,7,7,3,7,0,5,4,0,20,21,56,57,39,59,36,5,275,3,9,3,5,8,12,7,49,0,0,0,0,0,0,0,0,28,71,62,46,64,48,14,329,69,200,157,98,118,86,42,774,52,98,64,40,76,36,20,388,16,8,11,9,9,6,3,66,7,3,4,3,0,3,0,22,138,318,236,144,208,133,66,1248,0,10,14,7,11,9,5,58,5,7,6,0,3,0,5,23,5,19,16,11,15,11,9,73,147,333,257,154,223,142,75,1326,112,112,72,59,78,42,27,502,4,0,0,0,0,5,0,9,257,445,330,215,296,190,104,1838,79,241,197,122,162,113,45,966
SED10005,17,29,19,16,19,12,15,120,8,14,8,7,20,6,7,62,7,9,4,4,6,6,11,58,0,4,0,0,0,0,0,3,27,50,35,31,42,26,29,247,0,5,6,0,0,5,4,28,0,0,0,0,9,8,4,20,3,5,6,3,5,6,8,44,31,57,41,34,51,34,40,291,22,54,41,31,46,25,10,236,6,4,0,0,0,0,4,17,56,122,79,71,100,57,50,543,60,135,83,70,121,59,36,570,108,170,109,91,125,62,31,702,41,38,27,31,39,26,17,223,11,10,14,3,10,7,3,59,218,354,233,196,296,163,97,1557,3,15,8,8,22,10,14,73,25,36,19,17,21,13,0,124,27,43,31,21,42,22,13,199,245,401,267,217,332,184,111,1750,679,712,468,263,347,182,105,2759,13,19,22,9,7,3,3,78,935,1134,754,489,693,370,219,4595,79,160,106,89,140,76,48,696
SED10006,27,37,48,34,45,6,0,202,3,13,15,9,13,0,0,52,0,0,0,3,0,0,0,3,0,5,8,6,0,0,0,9,32,55,63,44,57,6,0,267,0,6,4,0,9,0,0,22,0,4,0,0,0,0,0,8,3,10,3,0,9,0,0,23,34,65,72,44,68,6,0,292,35,59,40,38,15,0,0,192,3,0,0,0,0,0,0,9,74,132,114,86,82,10,0,496,63,216,152,116,123,17,8,694,165,272,176,120,98,7,0,839,33,30,11,3,6,3,0,87,14,15,13,11,7,0,0,55,268,533,353,254,234,25,6,1678,11,26,10,8,11,0,0,66,23,34,16,15,11,0,0,93,32,55,24,21,25,4,0,156,296,588,372,275,259,33,6,1834,550,450,230,130,126,12,0,1497,22,25,13,11,7,0,0,75,863,1062,620,418,392,44,8,3408,86,253,201,150,166,28,7,890
SED10007,19,68,56,47,64,19,0,275,9,25,5,8,24,0,0,73,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,11,29,95,66,61,91,19,3,362,0,3,3,3,11,0,0,23,3,0,0,0,0,3,0,11,3,4,9,3,10,3,0,36,38,97,69,72,103,23,3,398,12,40,33,28,24,0,4,136,0,5,0,0,0,0,0,5,44,137,107,95,128,25,7,536,80,204,176,136,171,46,14,831,149,314,201,152,173,31,6,1026,29,25,19,12,10,0,0,103,11,9,7,6,6,4,0,41,267,556,402,312,363,89,16,2006,15,33,11,8,11,3,0,77,39,33,18,11,12,0,0,107,54,65,28,19,16,3,0,188,323,622,432,328,380,88,16,2196,379,378,188,128,93,13,5,1177,13,6,12,6,3,0,0,41,719,1001,629,462,477,95,26,3412,100,273,235,185,237,61,14,1106
SED10008,24,31,39,36,47,33,24,223,6,6,6,4,10,7,4,41,0,3,3,3,0,0,0,18,0,0,0,0,0,0,3,9,28,39,51,45,53,47,27,284,4,0,0,0,0,3,0,8,0,0,0,0,0,0,0,7,7,0,3,0,0,3,0,17,31,37,57,46,56,48,29,296,5,7,3,5,6,7,4,41,0,0,0,0,0,0,0,0,37,47,57,53,63,53,33,336,42,147,129,106,140,88,65,715,37,110,100,62,87,52,26,486,12,21,14,5,11,9,0,82,0,0,6,0,6,0,0,9,96,286,245,175,246,153,95,1295,0,0,5,8,6,0,0,20,11,6,3,0,3,4,5,32,11,11,7,10,14,3,3,57,106,294,250,184,258,157,101,1351,74,108,69,52,74,49,32,459,0,0,0,0,0,0,0,0,179,405,315,233,333,205,137,1806,70,180,167,135,187,121,86,939
SED10009,13,38,54,32,42,3,4,187,11,23,27,29,27,4,0,113,6,5,3,0,4,0,0,18,0,0,0,0,0,0,0,3,25,69,84,62,76,13,8,323,0,0,5,0,3,0,0,17,0,5,4,3,3,0,0,11,0,10,5,3,3,0,0,27,26,76,91,62,81,12,8,350,12,23,20,17,22,3,0,102,0,4,3,0,0,0,0,9,41,100,115,85,102,14,7,464,47,131,142,115,133,31,0,594,131,288,213,123,132,18,8,910,24,16,17,19,14,0,0,96,0,10,7,7,4,0,0,27,204,440,377,259,290,47,11,1626,3,8,6,10,4,4,0,32,8,9,3,0,6,0,0,31,13,17,15,11,10,4,0,71,218,457,387,267,296,55,11,1696,275,226,126,102,84,11,3,833,8,12,5,6,0,0,0,39,505,696,524,376,385,69,14,2565,57,170,194,147,175,37,3,783
SED10010,26,30,30,31,31,15,10,164,4,15,13,3,4,3,5,54,0,9,12,4,10,3,0,48,8,0,0,0,0,0,0,10,43,52,56,40,45,23,21,275,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,12,41,47,54,42,50,23,18,289,25,37,31,26,21,5,6,150,0,0,0,0,0,0,0,3,66,86,87,68,74,32,26,440,77,170,129,106,154,88,53,772,88,176,129,83,107,36,17,635,37,50,34,28,40,22,9,213,11,0,3,9,4,0,0,32,212,394,305,219,301,146,80,1657,8,11,15,8,14,4,3,76,27,25,10,11,17,6,0,93,37,31,21,30,35,10,9,165,244,426,325,245,337,159,87,1823,426,436,240,207,208,63,48,1622,4,7,6,3,0,0,0,29,677,867,576,452,547,228,133,3473,94,195,159,139,187,101,61,941
