SED_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED10001,342,1392,396,559,34,3170,483,336,1735,985,1597,137,5271,9,13,51,39,87,5,208,26,10,75,171,754,27,1063,36,9,104,119,441,147,856,1654,1088,6303,4166,11849,837,25893
SED10002,164,1098,249,202,49,2566,1148,243,2498,875,637,151,5548,53,9,144,84,55,12,363,117,22,264,201,282,28,912,383,44,758,375,300,420,2278,7147,979,14221,5565,4762,1417,34084
SED10003,348,1545,403,449,65,3396,796,321,2077,944,1165,149,5447,56,24,209,89,126,21,521,41,26,189,188,601,28,1069,68,30,410,187,346,172,1208,2559,1148,8925,4503,9149,1011,27288
SED10004,343,1562,278,183,31,4268,1513,322,2163,468,306,96,4870,221,44,542,128,114,18,1068,189,37,360,150,259,19,1019,291,40,691,170,140,116,1450,9646,2062,18284,4403,3989,718,39099
SED10005,110,746,241,223,35,1872,426,119,1289,555,646,109,3144,10,0,60,31,39,8,149,44,14,142,155,380,20,746,115,9,323,174,285,211,1116,2519,474,7123,3412,4664,860,19049
SED10006,215,1138,304,513,73,2518,201,152,886,624,1099,101,3061,7,3,33,27,86,0,156,8,13,50,68,541,31,716,16,5,64,49,285,159,568,791,584,3875,2735,9090,917,17996
SED10007,281,1290,356,595,33,3026,374,249,1305,755,1408,131,4227,28,10,88,38,127,11,297,22,15,101,114,689,15,954,27,4,96,79,398,136,744,1539,863,5457,3480,11725,852,23904
SED10008,280,1547,332,275,57,3443,1277,293,2332,702,585,116,5304,28,11,137,46,59,10,291,118,19,272,195,375,25,1003,328,22,528,199,256,118,1451,7861,1375,14537,4673,5558,856,34851
SED10009,292,869,262,362,43,2174,406,244,1256,727,1292,131,4057,24,8,105,47,120,7,310,30,17,60,129,632,12,888,24,6,114,89,348,128,710,1328,878,4471,3169,9689,820,20356
SED10010,171,823,265,304,42,2200,743,210,2173,825,1082,180,5215,25,4,84,41,66,3,221,72,10,182,151,495,22,926,204,14,455,203,400,241,1517,4377,782,10026,4567,7178,1155,28087
