SED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED10001,53,33,436,443,100,848,56,585,55,2606,177,327,784,729,283,403,176,483,56,3427,769,1716,1453,1083,693,524,548,750,118,7661,1275,1778,1044,867,897,421,527,677,117,7607,1357,1441,927,953,1128,524,607,780,132,7848,1264,1142,785,720,1071,463,691,839,123,7089,573,371,201,180,341,157,224,259,46,2345,162,43,13,7,35,13,21,39,25,358,20,0,0,0,0,4,0,0,13,40,5641,6849,5641,4987,4541,3357,2851,4430,682,38988
SED10002,17,76,86,108,95,370,52,176,42,1021,217,948,582,957,594,807,350,948,200,5597,1547,5425,1676,1762,1885,1218,911,1564,578,16566,1631,3144,1215,816,1436,601,625,733,336,10541,990,1382,833,647,889,340,547,712,196,6527,630,740,638,404,704,252,599,777,129,4875,143,217,120,110,192,72,136,184,26,1204,6,14,4,16,17,11,0,4,7,68,0,0,0,0,0,0,0,0,0,8,5171,11955,5152,4826,5803,3666,3218,5102,1515,46402
SED10003,39,44,254,410,55,791,64,536,47,2232,130,221,468,544,188,366,114,354,36,2426,768,1639,1336,1033,505,505,205,659,120,6767,1425,2281,1122,907,749,503,190,531,165,7883,1507,2404,961,978,947,531,278,566,153,8332,1186,1785,748,837,869,487,349,678,98,7049,533,642,255,187,287,185,113,209,51,2457,141,55,14,14,29,24,16,22,21,328,18,7,0,0,0,0,0,0,8,34,5747,9078,5161,4914,3634,3385,1328,3557,696,37501
SED10004,14,88,74,239,63,366,23,144,7,1016,209,1021,283,708,523,473,74,190,50,3535,1912,5904,887,830,1225,653,200,352,180,12137,3245,5325,610,505,1065,491,131,206,176,11762,2840,3877,484,386,1005,437,121,191,144,9489,1388,2538,335,268,727,244,119,170,75,5859,371,991,113,88,248,91,44,73,35,2052,53,133,6,5,30,10,10,15,11,269,0,3,0,0,0,0,0,0,3,9,10030,19888,2802,3026,4887,2766,719,1335,673,46136
SED10005,11,60,135,126,87,414,48,200,28,1107,139,651,332,455,527,537,215,313,108,3275,696,2381,838,790,1139,558,573,536,246,7762,774,1482,779,680,966,379,551,541,173,6318,588,887,689,629,898,326,665,701,145,5525,373,522,550,433,647,265,690,719,99,4302,92,168,112,83,182,54,119,157,37,1016,12,15,13,3,17,4,4,16,3,81,0,0,0,0,0,0,0,0,3,5,2681,6162,3453,3197,4456,2539,2875,3183,842,29388
SED10006,40,19,278,275,43,427,76,398,44,1601,121,223,438,425,165,193,232,374,40,2210,703,1236,848,882,555,328,696,666,104,6025,1038,867,729,675,552,267,570,538,105,5336,1331,844,637,743,616,302,633,655,118,5874,1550,751,629,666,666,344,682,746,130,6165,942,210,174,153,237,98,232,253,45,2345,288,27,12,9,39,16,30,42,31,491,55,3,0,0,0,6,0,4,10,80,6061,4178,3748,3814,2880,1975,3154,3682,630,30126
SED10007,31,45,370,439,104,696,78,568,36,2351,128,295,674,802,263,404,198,424,62,3240,672,1364,1306,1079,710,494,515,689,108,6935,898,1325,1013,819,843,388,590,565,150,6600,1127,1357,1000,925,1062,362,753,753,154,7503,1004,1145,766,712,933,359,706,813,79,6514,551,368,189,202,247,115,216,200,47,2131,188,47,19,9,27,13,25,37,23,385,17,4,5,0,0,0,0,0,7,36,4618,5948,5320,4992,4182,2834,3081,4047,663,35693
SED10008,30,164,208,285,162,640,49,311,27,1876,187,1009,452,505,582,562,130,261,58,3738,915,3101,607,442,931,397,149,214,120,6879,2501,4914,776,517,1560,554,226,229,191,11483,2330,3328,800,644,1545,484,277,313,155,9872,1427,2037,645,437,1300,411,274,314,72,6908,364,732,176,111,465,143,92,121,34,2235,50,90,21,6,52,25,8,20,11,290,10,6,0,0,0,0,0,0,4,25,7812,15383,3692,2957,6593,3216,1206,1786,666,43303
SED10009,37,26,327,341,54,590,31,430,48,1882,83,105,473,338,134,258,77,338,36,1850,421,833,1007,674,456,366,227,544,104,4626,757,1088,836,694,598,355,266,586,93,5273,1028,1182,966,909,863,532,415,700,97,6697,996,1350,858,975,897,594,453,844,121,7085,479,470,231,211,329,194,153,224,58,2333,122,44,23,10,17,19,20,20,21,296,16,4,0,0,3,0,0,0,5,31,3949,5100,4708,4162,3351,2907,1643,3679,579,30069
SED10010,12,59,157,141,87,524,107,316,21,1421,151,526,481,595,518,598,672,483,112,4141,799,2611,1164,1096,1319,655,1528,885,279,10335,1215,2589,1086,980,1590,574,1139,793,250,10219,745,1353,850,758,1195,362,937,767,146,7113,439,787,589,556,896,283,770,647,119,5091,83,191,152,117,241,61,171,171,22,1214,4,19,12,4,9,7,7,9,0,77,0,0,0,0,5,0,0,0,0,8,3461,8136,4485,4243,5859,3061,5332,4079,958,39615
