SOS_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOS10,2838701,2915129,5753827,175676,165648,341327,365300,345292,710601,166619,156776,323396,195022,185044,380065,438180,447933,886113,418163,426387,844555,356701,372072,728772,311794,328291,640078,233418,258614,492032,130878,153451,284326,46944,75619,122562,2761010,2839247,5600258,77690,75883,153570,54891,56074,110963,1316,1249,2566,1179,1270,2451,57385,58592,115981,1684116,1700821,3384937,1022206,1084908,2107117,1712517,1722612,3435127,973276,1042992,2016273,2311557,2382440,4694001,52857,49749,102607,342864,324760,667624,134038,131982,266022,89028,91491,180525,112123,158807,270931,1443604,1528271,2971870,125493,113775,239263,380352,385716,766067,103641,109923,213558,76339,89120,165457,28310,37656,65968,2664830,2743866,5408697,161850,158970,320821
SOS11,768642,815241,1583879,46825,44532,91361,100932,96813,197746,45826,43386,89210,41981,40991,82964,92366,96855,189220,86705,92164,178869,88784,95246,184025,95651,105625,201269,94358,102377,196736,56413,66075,122487,18800,31185,49987,734564,784119,1518679,34082,31119,65196,58194,59979,118169,943,900,1843,1289,1287,2580,60428,62168,122593,629056,667214,1296268,88779,96323,185103,668262,714830,1383090,46207,50536,96748,680588,729572,1410156,14048,13362,27414,92590,88936,181529,30135,30428,60566,9252,12758,22006,17667,34654,52327,241301,291297,532598,50419,50193,100615,186911,192967,379880,54744,56592,111336,32131,29710,61837,2954,2900,5859,700963,749944,1450906,73378,68610,141987
SOS12,74329,74475,148805,3902,3730,7635,9683,9079,18762,4275,4052,8333,3333,3043,6375,6832,7190,14020,7612,8140,15750,9386,9922,19306,11562,11906,23458,11057,10562,21622,5379,5084,10458,1306,1773,3080,70479,71360,141839,3850,3112,6961,5428,5611,11043,108,83,192,115,119,230,5654,5810,11464,61559,61347,122903,7006,7587,14589,66692,66761,133456,2318,2700,5017,67030,67178,134213,1202,1159,2357,8846,8293,17143,2860,2866,5720,713,847,1561,1243,2858,4103,21421,26129,47551,4696,4555,9255,20039,18256,38293,5598,5109,10708,3430,2489,5914,236,155,391,67770,68668,136441,8231,7425,15656
SOS13,296123,278147,574269,14047,13225,27273,38580,35471,74053,19179,17250,36426,14066,11874,25946,25644,24836,50478,30595,31539,62140,41279,41886,83164,48733,46587,95316,41527,35755,77284,18477,15494,33967,4005,4215,8221,281670,266886,548555,14457,11258,25711,13440,12272,25707,276,227,504,292,260,549,14006,12759,26772,242069,225493,467555,28613,29618,58228,256950,242939,499886,13164,13743,26901,262750,248346,511098,4089,4043,8130,35093,32255,67346,13028,12776,25810,3414,4118,7531,4095,9506,13597,91640,110063,201705,17251,15816,33065,77303,61330,138630,20010,14636,34645,11678,7022,18702,899,644,1542,265236,255150,520384,32087,25512,57596
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
SOS19,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
SOS20,2441753,2530013,4971771,149590,141774,291365,308908,292563,601471,141691,135024,276713,171827,164449,336276,397885,404599,802484,365252,374061,739313,306744,324269,631012,257175,275902,533084,192208,219376,411584,110073,132756,242825,40398,65245,105646,2375510,2462339,4837844,66251,67680,133933,16516,16484,32998,649,570,1217,480,464,954,17650,17519,35169,1484529,1522011,3006540,848499,901675,1750172,1511306,1549406,3060711,810422,863889,1674310,1980271,2059350,4039621,45002,42428,87428,290749,275835,566594,117452,116453,233904,81670,85336,167010,99200,140597,239795,1254883,1366413,2621286,197796,188527,386324,221322,201405,422723,93493,90979,184471,80156,102534,182689,25980,34304,60286,2295107,2379967,4675071,134707,135581,270293
SOS21,484834,514183,999013,30671,29423,60097,65309,61577,126891,28423,26444,54868,25924,24480,50407,60410,63972,124388,58034,62512,120541,57277,62187,119458,58832,65674,124510,56871,62767,119641,32359,37403,69758,10722,17740,28468,464070,494787,958858,20759,19395,40157,10222,10735,20953,324,313,639,259,288,550,10802,11332,22139,384078,407922,792003,70296,75279,145571,409340,435557,844895,45652,48749,94398,426870,454423,881292,8665,8413,17083,60278,56935,117214,20186,20220,40405,6320,7750,14078,10117,20585,30702,160211,200532,360742,62431,62884,125315,78541,71529,150068,33763,31203,64968,22320,23244,45562,2795,2846,5638,445928,473780,919707,35258,36856,72119
SOS22,47368,47303,94668,2366,2314,4677,5776,5423,11200,2422,2365,4788,1990,1790,3776,4494,4639,9144,4987,5302,10289,5995,6247,12240,7590,7792,15387,7353,6668,14017,3432,3349,6783,950,1415,2369,44705,44979,89688,2656,2326,4983,769,780,1549,33,23,61,24,22,48,822,832,1652,38442,38481,76929,5056,5227,10284,42261,42260,84522,1704,1894,3597,42430,42491,84927,660,654,1313,5326,4975,10304,1659,1748,3410,426,541,969,712,1647,2361,14471,18484,32954,6563,6165,12721,8529,6769,15299,3857,2870,6732,2185,1881,4073,127,113,240,42531,42820,85348,6200,6105,12308
SOS23,221807,207104,428903,9827,9524,19348,27628,25643,53269,13752,12624,26374,10442,8759,19202,19262,18401,37655,23421,23422,46846,31393,31378,62773,36977,35508,72485,32210,27492,59700,13965,11317,25286,2926,3033,5963,211307,198418,409722,10496,8682,19182,3161,2755,5915,105,67,165,75,68,141,3341,2885,6228,180744,168187,348928,22437,21977,44415,192589,182593,375179,9185,9307,18488,194890,184388,379277,2849,2698,5544,25088,23382,48473,9808,9648,19463,2532,3050,5580,2781,6730,9512,67735,86738,154470,31446,26976,58421,41627,26348,67977,16613,10696,27309,9412,6227,15637,683,521,1204,197193,189230,386425,21683,16479,38166
