SOS_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOS10,37,2383,869,455,2343,0.9,2027,2.7
SOS11,42,1600,702,320,1749,0.7,1347,2.4
SOS12,47,1563,676,300,1714,0.8,1359,2.4
SOS13,46,1900,753,300,1996,0.8,1704,2.7
SOS17,56,0,1649,0,0,0,0,0
SOS19,39,0,487,0,0,0,0,0
SOS20,37,2000,835,383,2229,0.9,1868,2.6
SOS21,41,1500,711,300,1800,0.7,1384,2.4
SOS22,48,1300,671,250,1689,0.7,1284,2.3
SOS23,47,1603,752,250,1978,0.8,1659,2.6
SOS27,50,0,2200,0,0,0,0,0
SOS29,37,0,464,0,0,0,0,0
SOS30,37,1842,833,390,2128,0.8,1787,2.6
SOS31,40,1517,699,295,1732,0.8,1386,2.5
SOS32,45,1400,618,200,1497,0.8,1242,2.4
SOS33,46,1712,707,277,1839,0.8,1557,2.7
SOS37,39,0,1196,0,2750,1,1749,1.5
SOS39,43,0,471,0,0,0,0,0
SOS40,39,1552,757,320,1972,0.8,1527,2.4
SOS41,44,1300,676,240,1659,0.7,1259,2.3
SOS42,49,1100,613,200,1477,0.7,1144,2.2
SOS43,47,1400,734,200,1841,0.8,1491,2.5
SOS47,48,0,1812,0,0,0,0,0
SOS49,39,0,437,0,0,0,0,0
SOS50,37,1900,862,350,2262,0.8,1863,2.6
SOS51,38,1600,828,290,2095,0.7,1674,2.5
SOS52,42,0,619,0,1488,0.8,1240,2.4
SOS53,45,0,838,0,2042,0.8,1725,2.6
SOS57,40,0,2123,0,1375,0.7,2250,1.7
SOS59,40,0,420,0,0,0,0,0
SOS60,38,1517,779,350,1923,0.8,1534,2.4
SOS61,42,1278,652,260,1564,0.8,1214,2.3
SOS62,49,1236,634,250,1547,0.8,1188,2.3
SOS63,46,1350,690,250,1736,0.8,1426,2.5
SOS67,43,0,2249,0,0,0,0,0
SOS69,41,0,431,0,0,0,0,0
SOS70,33,2006,1121,380,2459,0.9,2187,2.6
SOS71,32,1733,842,260,2028,1.1,1986,2.9
SOS72,29,2000,337,80,871,1.4,1389,3.6
SOS73,36,2167,817,235,2121,1.1,1960,3
SOS77,40,0,1478,0,0,0.7,4150,2.3
SOS79,41,0,441,0,0,0,0,0
SOS80,35,2080,1204,450,2871,0.8,2372,2.5
SOS82,41,2441,1319,380,3524,0.8,3183,3
SOS83,30,1800,1129,380,2697,1,2562,3
SOS87,0,0,0,0,0,0,0,0
SOS89,35,0,537,0,0,0,0,0
SOS91,39,1300,1251,150,2656,1,2113,2.5
SOS92,47,1300,760,240,1670,0.8,1325,2.3
SOS93,43,1250,662,129,1447,0.8,1142,2.5
SOS97,0,0,0,0,0,0,0,0
SOS99,62,0,710,0,0,0,0,0
