SOS_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOS10,34730,32609,67335,34835,33090,67929,35199,32996,68192,35110,32950,68061,35802,34005,69808,175676,165648,341327,36751,34741,71497,36488,34398,70888,36804,35036,71843,37371,35167,72538,37328,35207,72535,184744,174553,359302,36672,34451,71127,36762,34651,71409,35877,34089,69964,35835,34227,70062,35416,33321,68737,180561,170736,351301,34348,32225,66576,33560,31192,64753,32816,30595,63409,32680,31078,63759,33209,31686,64896,166619,156776,323396,36521,34004,70527,38907,36582,75488,39018,36880,75895,39659,37914,77577,40921,39662,80583,195022,185044,380065,42140,40750,82890,43108,42331,85436,43268,43218,86484,43828,43889,87724,43633,45149,88782,215976,215333,431307,44825,46551,91378,45169,46869,92037,44901,46625,91526,43716,46263,89980,43591,46294,89891,222202,232606,454807,44293,45974,90263,44566,45907,90480,44378,45730,90107,44513,45643,90159,43426,44077,87509,221179,227337,448510,42760,42650,85414,40469,40558,81023,39117,39863,78982,37576,38237,75815,37066,37740,74809,196986,199050,396039,36633,37471,74106,36444,37463,73901,36655,37989,74640,37229,38681,75914,38085,39717,77795,185041,191312,376358,37926,40274,78203,34925,36506,71428,34223,36103,70325,32605,34622,67232,31979,33249,65232,171666,180756,352422,32363,32914
SOS11,9050,8675,17722,9264,8989,18254,9548,8817,18370,9354,8907,18263,9613,9145,18754,46825,44532,91361,9864,9509,19370,9797,9420,19217,9940,9583,19519,10211,9656,19863,10220,9983,20205,50023,48157,98176,10026,9616,19641,10149,9901,20050,10201,9764,19968,10159,9646,19807,10368,9729,20103,50906,48658,99568,9800,9362,19157,9492,9032,18527,9146,8724,17873,8981,8386,17365,8406,7884,16293,45826,43386,89210,8379,7941,16318,8417,8011,16426,8255,8238,16497,8251,8337,16590,8676,8460,17140,41981,40991,82964,8494,8799,17289,9098,9292,18394,9140,9365,18504,9356,9731,19094,9693,9882,19577,45782,47068,92854,9485,10244,19723,9607,10177,19787,9240,9850,19093,9144,9755,18895,9111,9760,18873,46582,49784,96370,9332,9718,19049,9094,9696,18791,8937,9582,18517,8941,9697,18646,8863,9285,18151,45164,47978,93147,8713,9308,18015,8384,8733,17116,8235,8679,16912,8057,8778,16836,8152,8683,16835,41537,44187,85723,8266,8739,17001,8552,8919,17469,8749,9308,18059,8974,9701,18674,9593,10246,19844,44134,46912,91046,9699,10527,20225,8948,9591,18539,8885,9678,18561,8504,9260,17759,8611,9277,17887,44644,48330,92975,8466,9245
SOS12,702,672,1375,763,781,1542,814,752,1562,797,762,1564,817,768,1586,3902,3730,7635,927,848,1777,948,869,1815,924,831,1754,922,886,1810,958,853,1812,4682,4286,8972,976,934,1908,978,982,1960,1001,944,1941,999,983,1983,1046,941,1993,5000,4787,9789,974,914,1886,902,861,1759,873,843,1712,807,755,1565,722,688,1403,4275,4052,8333,732,620,1348,655,590,1244,669,622,1290,653,596,1247,627,619,1245,3333,3043,6375,611,637,1249,651,659,1305,666,639,1306,693,700,1393,662,668,1327,3279,3297,6575,673,751,1427,749,766,1515,655,781,1437,702,798,1503,770,794,1566,3557,3893,7449,729,828,1554,736,787,1522,767,778,1545,818,793,1615,703,785,1493,3750,3975,7722,762,903,1666,775,740,1511,761,843,1601,787,846,1635,782,836,1622,3863,4163,8022,820,870,1688,837,868,1704,881,904,1784,946,997,1941,1023,1115,2138,4498,4755,9254,1076,1091,2166,983,1060,2041,944,999,1937,933,995,1930,949,1024,1971,4887,5159,10051,945,1023
SOS13,2529,2464,4989,2863,2548,5407,2800,2570,5368,2901,2748,5651,2949,2907,5854,14047,13225,27273,3358,3062,6419,3416,3000,6416,3435,3232,6670,3742,3343,7089,3835,3515,7347,17787,16152,33938,3971,3686,7659,4102,3866,7961,4295,3844,8139,4129,3864,7990,4305,4057,8365,20793,19320,40115,4105,3866,7972,4074,3709,7786,3935,3583,7517,3697,3208,6907,3362,2891,6253,19179,17250,36426,3098,2684,5784,2973,2463,5437,2807,2270,5075,2620,2273,4895,2564,2189,4754,14066,11874,25946,2492,2124,4618,2504,2296,4798,2550,2326,4880,2442,2387,4830,2533,2458,4989,12519,11600,24119,2559,2588,5148,2617,2592,5210,2613,2643,5256,2639,2665,5312,2692,2748,5443,13125,13237,26363,2871,2787,5657,2840,2946,5779,2820,3100,5917,3050,3173,6227,3092,3163,6254,14674,15167,29844,3114,3248,6365,3148,3118,6271,3133,3217,6349,3212,3362,6576,3317,3423,6740,15925,16371,32295,3423,3577,7000,3637,3672,7310,3933,4038,7969,3997,4156,8150,4385,4560,8948,19376,20007,39379,4655,4562,9215,4192,4323,8508,4423,4477,8902,4230,4153,8382,4408,4365,8774,21900,21882,43783,4396,4321
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,51,33,89,55,46,101,50,37,95,48,50,102,45,38,82,258,203,460,39,44,86,44,45,89,34,46,78,49,45,98,42,50,84,199,227,428,28,44,73,41,41,77,28,33,60,48,43,93,34,26,59,185,185,369,33,50,83,47,49,96,51,60,114,58,67,121,62,60,123,253,279,532,60,70,135,75,87,158,91,77,169,89,90,171,91,99,189,411,418,829,115,106,223,122,103,220,101,117,219,120,123,242,127,82,211,586,533,1118,117,109,229,111,99,211,143,99,245,103,87,190,102,98,201,574,495,1068,124,77,203,90,79,177,129,87,212,117,68,185,103,78,176,562,392,954,111,79,189,101,61,161,134,79,214,94,72,166,105,62,168,542,357,902,101,63,160,104,76,177,130,68,192,117,65,183,97,64,161,540,332,877,106,75,185,78,66,145,113,69,182,84,49,136,82,72,153,473,333,801,103,62
SOS20,28979,27829,56806,29823,28124,57952,29592,28143,57737,30113,28442,58551,31079,29236,60319,149590,141774,291365,31863,30076,61944,31399,29934,61332,31736,29702,61436,31765,30353,62111,31121,29672,60794,157880,149738,307618,30317,28571,58883,30476,29361,59843,30116,28314,58428,30068,28437,58505,30050,28143,58193,151026,142821,293849,28804,27298,56102,28216,26447,54669,27919,26360,54279,27989,26729,54717,28754,28193,56943,141691,135024,276713,31755,30271,62035,33655,32530,66185,33888,32677,66561,35012,33581,68598,37515,35390,72899,171827,164449,336276,39301,36695,75998,40421,38397,78818,39994,38888,78880,39546,39846,79398,39011,40546,79560,198284,194372,392652,39929,41848,81777,40128,42670,82798,39734,42236,81968,39791,42072,81867,40019,41399,81423,199601,210230,409834,39669,41733,81403,39670,41514,81185,39091,40239,79326,39266,40183,79449,38107,38704,76808,195800,202372,398176,36813,37180,73989,34847,35192,70039,33664,34170,67830,32439,32961,65397,31693,32187,63881,169457,171684,341136,31382,31961,63352,31323,32513,63831,31075,32994,64070,31310,33032,64336,32000,34388,66385,157085,164882,321970,32295,35348,67647,30659,32507,63168,30143,32003,62153,28988,30441,59428,27577,29081,56658,149661,159381,309044,27253,28901
SOS21,5952,5750,11705,6014,5669,11688,6197,6019,12211,6343,5955,12294,6167,6032,12201,30671,29423,60097,6675,6245,12916,6647,6137,12788,6547,6293,12842,6689,6141,12830,6588,6258,12844,33143,31074,64221,6460,6103,12563,6441,6197,12640,6376,6103,12475,6421,6014,12434,6470,6093,12560,32169,30501,62669,6102,5870,11971,5669,5308,10979,5805,5462,11264,5592,5159,10749,5253,4649,9906,28423,26444,54868,5166,4669,9832,5040,4730,9768,5262,4859,10120,5202,4849,10049,5255,5373,10634,25924,24480,50407,5415,5551,10963,5845,5910,11755,6074,6123,12193,5944,6410,12357,6107,6468,12577,29382,30466,59848,6287,6683,12966,6217,6949,13166,6143,6587,12730,6266,6696,12964,6114,6592,12709,31026,33508,64536,6206,6797,13003,6242,6723,12974,6044,6529,12572,6014,6434,12438,5753,6375,12130,30256,32859,63110,5876,6230,12105,5463,5873,11334,5494,5874,11367,5571,5720,11298,5375,5946,11319,27775,29651,57424,5466,5811,11276,5451,5989,11445,5695,6237,11932,5883,6111,11986,6013,6520,12528,28504,30660,59168,6224,6798,13016,5768,6292,12064,5764,6358,12125,5603,6032,11627,5415,6045,11462,28767,31524,60291,5440,5925
SOS22,450,427,872,466,471,939,456,482,942,500,441,946,495,482,984,2366,2314,4677,540,512,1049,513,537,1054,578,545,1128,579,524,1103,556,536,1095,2771,2655,5428,596,537,1135,615,540,1154,608,575,1181,603,563,1166,591,555,1149,3007,2771,5775,558,553,1113,495,466,958,495,454,951,433,477,913,436,412,847,2422,2365,4788,434,368,804,389,360,750,404,328,734,383,358,740,375,366,748,1990,1790,3776,418,378,798,424,370,795,425,422,846,432,478,913,424,456,879,2120,2104,4224,471,519,995,504,468,974,496,498,994,429,507,935,470,549,1022,2380,2539,4919,509,509,1020,454,523,978,487,564,1051,535,577,1110,493,513,1008,2480,2686,5170,507,541,1045,473,519,987,470,501,975,531,511,1040,521,546,1072,2506,2616,5119,543,524,1068,545,567,1104,520,541,1062,584,636,1217,593,699,1296,2785,2959,5746,679,643,1326,597,657,1256,672,645,1323,635,685,1324,619,650,1269,3214,3282,6499,659,662
SOS23,1806,1796,3610,1857,1782,3638,1915,1971,3884,2154,1937,4096,2092,2038,4121,9827,9524,19348,2386,2232,4616,2379,2269,4643,2451,2358,4817,2744,2417,5159,2782,2502,5279,12737,11776,24517,2718,2656,5372,2931,2749,5678,3054,2711,5766,3042,2734,5777,3145,3024,6165,14889,13863,28752,3057,2830,5881,2875,2703,5581,2741,2620,5359,2618,2396,5011,2462,2079,4542,13752,12624,26374,2310,1974,4286,2150,1898,4049,2067,1717,3785,2017,1599,3619,1897,1569,3464,10442,8759,19202,1864,1675,3540,1785,1693,3478,1793,1735,3532,1869,1702,3574,1909,1848,3754,9232,8653,17880,1986,1777,3763,1931,1924,3854,2028,1886,3907,1958,2094,4054,2126,2065,4197,10032,9745,19780,2225,2135,4361,2209,2285,4495,2238,2268,4504,2360,2284,4643,2186,2344,4530,11216,11318,22536,2287,2394,4679,2401,2358,4758,2400,2316,4717,2517,2488,5001,2590,2551,5144,12197,12112,24312,2616,2526,5145,2739,2791,5530,2909,2918,5831,2832,2938,5768,3339,3311,6644,14434,14484,28923,3447,3494,6940,3326,3254,6581,3429,3579,7010,3362,3314,6676,3391,3252,6647,16957,16892,33853,3419,3437
