SOS_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOS10,6280,6017,12299,162579,153055,315637,6821,6577,13398,175676,165648,341327,6452,5842,12295,170341,161212,331549,7955,7501,15451,184744,174553,359302,6392,6054,12444,166794,157879,324669,7377,6807,14180,180561,170736,351301,6041,5537,11578,153852,145183,299037,6723,6055,12778,166619,156776,323396,5473,5464,10935,180189,171360,351551,9356,8224,17583,195022,185044,380065,4790,4883,9671,199875,199761,399632,11308,10692,21999,215976,215333,431307,3765,3935,7704,207518,218153,425668,10919,10513,21428,222202,232606,454807,3063,3384,6456,207924,214170,422086,10190,9777,19970,221179,227337,448510,2676,2995,5666,185710,188163,373874,8603,7897,16500,196986,199050,396039,2803,3138,5946,174657,181171,355827,7579,7008,14584,185041,191312,376358,2586,2991,5581,162271,171835,334103,6810,5923,12735,171666,180756,352422,2160,2507,4664,155526,161535,317059,6470,5740,12211,164154,169782,333936,1778,2021,3799,140439,151458,291897,5417,5033,10453,147641,158505,306145,3128,3825,6952,390128,460661,850784,17989,23201,41187,411244,487687,898930,57385,58592,115981,2657790,2735592,5393377,123525,120942,244465,2838701,2915129,5753827
SOS11,7367,6865,14224,36923,35241,72163,2544,2430,4975,46825,44532,91361,7548,7047,14597,39288,37988,77276,3188,3120,6305,50023,48157,98176,7138,6947,14088,40514,38684,79199,3260,3029,6282,50906,48658,99568,6106,5954,12058,36827,34835,71667,2886,2597,5488,45826,43386,89210,5095,5083,10179,34050,33363,67417,2828,2539,5368,41981,40991,82964,4400,4538,8938,38460,39625,78086,2924,2909,5829,45782,47068,92854,3709,3958,7661,39982,43003,82987,2896,2826,5719,46582,49784,96370,3140,3336,6474,39236,41805,81041,2795,2842,5635,45164,47978,93147,2618,2861,5481,36383,38795,75180,2539,2522,5062,41537,44187,85723,2695,3085,5774,38748,41361,80110,2694,2472,5164,44134,46912,91046,2572,3043,5613,39551,42975,82522,2524,2314,4841,44644,48330,92975,2303,2735,5033,41513,45477,86989,2537,2403,4943,46351,50610,96960,2043,2367,4412,44764,50301,95062,2490,2345,4837,49299,55012,104308,3703,4344,8052,156943,184554,341499,8927,10729,19658,169572,199636,369205,60428,62168,122593,663193,708002,1371197,45025,45070,90093,768642,815241,1583879
SOS12,585,572,1155,3085,2921,6001,235,244,479,3902,3730,7635,676,608,1288,3675,3386,7059,330,294,623,4682,4286,8972,693,689,1382,3988,3787,7771,320,312,633,5000,4787,9789,537,557,1094,3436,3207,6642,299,292,594,4275,4052,8333,391,394,780,2714,2442,5153,234,214,445,3333,3043,6375,325,343,671,2698,2720,5417,255,231,487,3279,3297,6575,279,348,624,3007,3256,6263,270,288,559,3557,3893,7449,257,304,560,3197,3406,6596,295,271,567,3750,3975,7722,255,274,526,3339,3614,6953,267,282,547,3863,4163,8022,272,323,594,3898,4171,8070,325,264,591,4498,4755,9254,316,361,676,4238,4500,8737,335,305,641,4887,5159,10051,295,293,591,4846,5069,9912,348,303,658,5490,5672,11154,278,282,561,5425,5626,11051,369,323,696,6074,6233,12306,505,467,971,16072,15874,31946,1172,1073,2247,17746,17420,35164,5654,5810,11464,63610,63960,127575,5069,4701,9761,74329,74475,148805
SOS13,1284,1167,2444,11769,11128,22900,990,927,1925,14047,13225,27273,1531,1323,2854,14857,13589,28446,1391,1242,2640,17787,16152,33938,1677,1557,3237,17574,16254,33828,1544,1505,3042,20793,19320,40115,1388,1300,2684,16339,14683,31017,1449,1271,2724,19179,17250,36426,1080,894,1973,11841,10071,21911,1148,918,2062,14066,11874,25946,908,749,1658,10595,9970,20562,1016,883,1898,12519,11600,24119,791,650,1437,11273,11592,22866,1061,999,2062,13125,13237,26363,749,705,1452,12781,13306,26087,1143,1160,2302,14674,15167,29844,666,669,1336,13918,14426,28346,1339,1276,2617,15925,16371,32295,731,785,1519,17195,17718,34916,1451,1501,2953,19376,20007,39379,780,780,1567,19400,19589,38986,1722,1513,3233,21900,21882,43783,722,697,1416,21197,20985,42179,1949,1709,3659,23871,23387,47257,649,594,1240,22322,21037,43360,1889,1568,3459,24859,23200,48059,1049,903,1952,58155,50417,108574,4803,4145,8951,64006,55467,119473,14006,12759,26772,259210,244769,503985,22902,20612,43516,296123,278147,574269
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,66,50,119,131,97,230,59,60,118,258,203,460,41,44,82,96,98,195,70,86,155,199,227,428,32,25,57,86,91,178,63,70,136,185,185,369,50,49,94,152,183,334,57,51,106,253,279,532,56,56,116,296,314,612,56,43,101,411,418,829,67,67,129,436,400,832,87,68,152,586,533,1118,67,50,121,448,387,829,62,58,123,574,495,1068,66,51,117,424,288,710,67,54,125,562,392,954,55,43,97,422,266,689,66,53,111,542,357,902,65,40,99,411,237,648,72,60,125,540,332,877,50,21,66,348,275,627,77,33,107,473,333,801,37,14,46,378,289,662,74,61,129,480,359,844,25,10,32,369,295,664,73,37,114,470,339,808,28,23,49,704,449,1153,106,66,176,842,535,1373,712,527,1236,4689,3676,8364,980,800,1771,6375,4997,11371
SOS20,1841,1744,3589,142391,134853,277243,5360,5176,10536,149590,141774,291365,1753,1692,3444,149985,142230,292215,6142,5820,11959,157880,149738,307618,1703,1667,3375,143608,135838,279445,5714,5318,11032,151026,142821,293849,1616,1562,3182,134871,128621,263493,5202,4843,10044,141691,135024,276713,1807,1844,3653,162406,155919,318326,7614,6695,14304,171827,164449,336276,1765,1647,3411,186508,183616,370126,10008,9106,19113,198284,194372,392652,1345,1317,2656,189284,200099,389379,8977,8816,17795,199601,210230,409834,1065,1033,2101,186526,193337,379860,8213,8007,16211,195800,202372,398176,888,923,1811,161627,164512,326137,6938,6249,13188,169457,171684,341136,896,934,1828,149970,158219,308192,6216,5731,11949,157085,164882,321970,905,849,1751,143049,153418,296463,5711,5119,10829,149661,159381,309044,620,743,1360,129999,138117,268116,5146,4574,9716,135762,143434,279194,536,507,1043,116588,127846,244436,4293,4119,8411,121415,132474,253885,909,1067,1972,327568,398884,726455,14199,17423,31627,342676,417374,760050,17650,17519,35169,2324377,2415512,4739888,99735,96986,196722,2441753,2530013,4971771
SOS21,1329,1316,2645,27839,26701,54537,1503,1411,2914,30671,29423,60097,1435,1344,2780,29794,27918,57711,1915,1810,3725,33143,31074,64221,1378,1279,2654,28919,27421,56333,1878,1805,3681,32169,30501,62669,1086,1010,2101,25803,23948,49750,1533,1483,3011,28423,26444,54868,859,872,1727,23615,22322,45941,1447,1287,2741,25924,24480,50407,765,822,1584,26956,27957,54917,1666,1690,3355,29382,30466,59848,681,789,1472,28671,31014,59681,1673,1708,3382,31026,33508,64536,542,600,1145,28009,30438,58452,1700,1814,3517,30256,32859,63110,451,538,991,25708,27581,53292,1610,1527,3144,27775,29651,57424,468,542,1007,26446,28591,55035,1600,1524,3123,28504,30660,59168,462,559,1025,26779,29511,56294,1524,1446,2972,28767,31524,60291,421,483,904,27001,30305,57307,1519,1402,2914,28942,32188,61125,329,431,765,28058,31611,59669,1502,1450,2952,29893,33489,63382,589,747,1333,93733,110591,204322,5634,6575,12205,99956,117909,217869,10802,11332,22139,447329,475906,923237,26700,26940,53643,484834,514183,999013
SOS22,90,98,189,2121,2112,4233,150,100,256,2366,2314,4677,95,92,191,2510,2388,4896,161,175,332,2771,2655,5428,95,85,185,2707,2492,5198,203,195,398,3007,2771,5775,80,67,144,2165,2132,4300,171,172,342,2422,2365,4788,40,54,97,1788,1601,3393,159,131,287,1990,1790,3776,50,41,86,1917,1940,3859,151,124,277,2120,2104,4224,42,55,94,2197,2338,4531,141,148,289,2380,2539,4919,42,44,86,2267,2466,4732,178,182,357,2480,2686,5170,38,47,82,2294,2399,4692,169,178,346,2506,2616,5119,41,30,73,2536,2737,5274,201,193,394,2785,2959,5746,47,63,107,2914,3043,5964,251,173,430,3214,3282,6499,44,51,87,3270,3403,6674,264,234,496,3571,3685,7257,47,39,83,3727,3827,7551,249,243,494,4019,4109,8129,77,73,147,10849,10613,21460,812,747,1561,11740,11426,23172,822,832,1652,43281,43485,86759,3264,2991,6249,47368,47303,94668
SOS23,287,277,560,8903,8622,17523,636,624,1259,9827,9524,19348,321,313,631,11421,10577,21993,995,889,1885,12737,11776,24517,383,364,747,13355,12433,25787,1151,1065,2223,14889,13863,28752,258,305,563,12473,11347,23817,1019,970,1989,13752,12624,26374,234,185,420,9449,7942,17393,752,636,1388,10442,8759,19202,222,143,359,8322,7862,16189,687,646,1333,9232,8653,17880,217,148,361,9058,8909,17963,757,697,1450,10032,9745,19780,219,149,366,10138,10332,20476,861,837,1694,11216,11318,22536,174,161,333,11110,11037,22147,923,907,1828,12197,12112,24312,172,147,318,13167,13296,26463,1095,1039,2138,14434,14484,28923,200,198,398,15489,15542,31030,1275,1151,2427,16957,16892,33853,202,154,356,16496,16427,32923,1303,1181,2484,18007,17764,35770,167,155,323,17442,16382,33822,1368,1208,2572,18974,17743,36717,279,196,479,45131,38572,83701,3692,3077,6767,49104,41842,90947,3341,2885,6228,201957,189277,391234,16505,14938,31443,221807,207104,428903
