SOS_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOS10,93165,182420,137906,941211,10681,1365379,1619,7200,3720,96447,1328,110312,518146,9086,15936,14176,3300,560648,28757,4610,2724,10522,310,46922,25165,8645,5331,16964,235,56355,349064,145361,104997,843731,11684,1454836,118286,3710,11107,2687,501,136287,21835,3212,2544,9261,160,37009,49623,13178,9655,71466,962,144886,70078,13443,7159,39155,720,130543,12596,2648,1408,4335,102,21088,233497,4239,3346,2365,501,243945,88778,36009,24717,307124,2428,459060,111259,29126,13631,84721,1354,240092,66612,723,2164,655,278,70440,105538,24547,10966,28693,748,170496,28696,3714,2157,7004,248,41815,24751,7722,4206,22297,336,59312,21137,4698,2885,2482,260,31461,20491,8175,5815,4249,210,38938,28606,4592,3687,9939,225,47048,22360,1954,2163,3975,182,30633,25114,3646,1489,1026,315,31582,76459,34491,25025,236499,1819,374293,25210,2597,1737,3324,171,33043,24765,3825,2823,1240,115,32762,34801,2346,2108,4352,261,43873,16612,1110,861,776,58,19415,111941,2177,3759,2184,683,120745,12348,3620,2431,12487,98,30988,901438,66052,53585,72469,6039,1099584,47657,3329,2491,15964,267239,336682,2851317,377972,275402,1944052,305091,5753827
SOS11,7570,48781,35368,542749,7181,641650,276,3276,1641,107057,1733,113980,9981,641,935,3280,127,14964,2323,630,259,1576,67,4855,8379,3026,1958,6914,121,20394,74282,45858,32591,493237,7834,653801,10146,382,2189,641,109,13468,2968,661,509,3746,52,7931,11760,4363,3009,46461,549,66146,2637,924,402,3243,59,7262,1848,509,235,1048,27,3672,12530,618,419,693,62,14327,15700,10013,6567,155355,1601,189242,10823,4611,1672,21661,276,39038,1281,76,141,60,10,1563,1255,550,214,1474,27,3517,652,175,70,352,5,1257,2911,1168,676,4103,58,8921,3040,1201,697,1202,48,6183,3671,2353,1566,1699,82,9378,4028,1020,625,3126,72,8865,1644,345,305,967,43,3299,1229,412,146,160,24,1972,19359,11837,8360,125390,1187,166134,1136,231,90,407,18,1880,3095,656,505,384,21,4660,2661,362,256,1357,32,4673,889,146,138,148,7,1324,2170,99,229,60,16,2574,3022,1180,655,4693,64,9613,59361,10509,7857,20406,884,99015,3035,667,488,11974,94201,110363,230315,90328,63418,1087834,111991,1583879
SOS12,620,4779,3425,52655,601,62073,19,314,165,9983,197,10677,515,72,75,318,8,994,192,51,41,140,3,430,879,370,220,587,19,2069,7760,4395,3287,46511,768,62715,541,34,166,69,12,821,304,67,65,330,0,772,1239,491,294,4283,72,6385,276,108,37,324,7,750,193,71,30,84,3,382,386,56,31,57,0,528,1628,933,657,14321,149,17690,965,441,209,1927,13,3563,57,3,23,8,7,93,125,65,28,126,0,344,59,13,5,36,0,115,397,166,82,465,3,1113,227,111,71,79,4,486,358,220,149,179,6,917,400,99,65,263,0,832,175,39,29,103,6,349,49,18,4,0,0,78,1996,1174,803,12206,149,16319,104,15,10,31,0,163,271,44,42,37,0,399,196,26,29,154,0,409,42,20,10,17,0,93,89,0,19,7,0,113,339,85,71,450,9,949,3453,911,753,1938,72,7137,174,49,49,1163,9379,10806,18778,8805,6248,103953,11024,148805
SOS13,2740,16855,13249,200518,2201,235560,60,702,462,22422,315,23964,3157,200,311,1059,41,4774,1245,291,166,776,28,2506,3685,1224,868,2315,58,8151,27445,15638,11953,173445,2449,230922,1434,93,439,143,27,2138,1096,247,187,1284,19,2831,5334,1638,1370,16242,234,24815,1175,404,169,1219,26,2991,690,192,94,288,6,1275,1631,201,151,209,14,2214,5950,3630,2487,55879,589,68524,6401,2189,818,9373,124,18909,304,13,41,26,0,380,2012,529,246,1061,15,3862,308,65,28,155,5,562,4002,950,561,3987,51,9558,738,299,209,266,10,1520,1383,719,624,541,25,3299,1413,375,231,914,34,2964,661,132,113,319,11,1237,224,82,51,41,8,405,6837,4036,3119,48392,466,62850,594,101,60,189,9,951,1165,227,159,129,6,1693,766,114,76,459,13,1428,160,49,38,37,0,286,413,21,70,28,4,546,1038,352,228,1640,12,3268,14718,3432,2891,6745,279,28063,757,223,182,4127,44323,49616,79248,32173,24056,388982,49811,574269
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
SOS20,75257,151536,115341,824793,9385,1176314,1199,2414,1351,28775,483,34231,383133,5808,11280,10268,2033,412529,28001,4299,2326,9118,296,44037,31332,11250,7054,24737,316,74692,282453,126224,93446,777513,10328,1289968,71231,1762,7041,1507,264,81807,16017,2527,1885,8070,134,28631,43574,13757,9629,76814,954,144728,99670,16143,8494,44660,1034,170005,11908,2475,1433,4593,136,20553,248263,4612,3259,2533,512,259177,67496,32169,22120,302098,2317,426200,147405,35901,16985,118139,1863,320304,18467,228,785,244,51,19785,30121,6866,3205,6423,236,46850,31166,4260,2417,8140,262,46246,30919,7489,4426,20214,360,63405,15673,2331,1701,1217,160,21075,17904,6216,4609,2620,153,31496,30674,5391,4115,11912,271,52362,18167,1653,1760,2995,147,24726,17133,1490,680,290,209,19798,67108,31283,23773,239448,1877,363489,20817,2187,1341,2520,217,27080,16403,2766,2206,1046,79,22499,18576,1557,1349,3269,129,24888,40932,2848,1998,2212,161,48154,109432,1905,3654,1787,525,117305,8781,2672,1880,10157,84,23565,750657,51132,42631,60914,5202,910535,40605,2543,1994,14860,206121,266129,2406820,319305,234098,1772588,238958,4971771
SOS21,7565,32470,22852,313585,4807,381275,147,847,443,19183,360,20981,8249,359,585,1839,81,11115,2647,625,298,1347,50,4968,8558,3092,1952,7643,161,21405,50885,29268,21396,288144,5022,394716,8823,256,1345,304,86,10809,1486,338,251,2036,33,4139,8441,3181,2272,29276,417,43585,3295,966,421,2809,63,7553,1506,373,172,772,33,2856,14415,543,252,376,41,15638,10760,6836,4342,95755,1119,118817,13680,4731,2007,22459,355,43235,485,12,54,21,0,582,683,202,77,474,6,1437,1199,284,124,637,16,2257,5306,1685,952,5087,85,13124,2190,514,432,428,32,3599,2599,1388,1006,797,35,5821,3299,823,430,2381,53,6979,873,179,135,512,16,1711,2495,252,123,75,25,2965,13416,7630,5508,80743,906,108204,1432,232,126,381,17,2198,1641,355,213,198,20,2420,1527,241,158,831,23,2774,1476,234,134,199,7,2050,2750,79,215,75,24,3137,1853,597,383,2636,29,5496,55418,6572,4789,11831,692,79299,3188,530,397,7684,53015,64818,200041,60948,42429,630940,64663,999013
SOS22,473,3119,2208,32133,558,38492,15,52,35,1420,31,1551,373,20,49,224,5,670,188,49,19,146,0,403,952,346,222,780,15,2311,5502,3009,2226,28896,606,40240,422,14,81,15,13,541,161,39,31,189,5,426,910,318,194,2873,55,4360,240,76,34,174,3,524,149,37,13,53,0,258,331,38,24,37,0,432,1156,708,476,9867,150,12350,870,325,137,1723,34,3093,21,0,6,0,0,23,28,12,5,35,0,86,66,11,4,40,0,119,365,129,61,301,13,870,149,45,27,25,0,248,231,97,69,59,8,457,285,70,60,180,6,598,81,24,12,39,0,165,25,10,0,0,0,43,1337,828,527,8623,124,11448,77,9,8,22,0,120,138,28,24,13,0,203,129,19,13,91,0,258,43,26,15,20,0,101,78,0,11,8,0,94,199,57,57,275,3,583,2366,537,408,1112,51,4475,143,44,37,867,5844,6935,13970,5846,4078,63604,7175,94668
SOS23,2107,12916,9905,145935,1904,172765,42,201,137,5060,87,5530,1805,115,186,812,30,2946,1022,211,94,465,22,1811,4602,1616,1012,3411,86,10727,21316,11982,9312,128444,2157,173210,1488,22,372,72,26,1976,672,126,131,955,17,1908,4151,1345,1057,13220,204,19982,1470,370,148,1007,31,3024,617,162,81,246,10,1118,1093,100,91,126,8,1417,4474,2857,2003,43863,599,53793,6149,1953,766,8801,172,17834,92,7,15,6,0,124,351,117,69,155,4,693,470,80,24,191,15,786,1912,516,305,1329,23,4094,549,128,115,112,10,902,1147,498,425,287,22,2378,1269,319,208,760,21,2576,442,71,51,206,7,779,202,20,13,10,3,251,5444,3129,2513,39219,445,50749,481,75,36,111,3,708,623,109,129,74,4,939,450,65,62,325,11,917,240,88,46,69,5,452,434,34,59,13,14,551,771,227,159,1172,16,2347,10406,2176,1766,4676,226,19247,650,197,163,3524,32595,37136,61884,24325,18115,287216,37363,428903
