SOS_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
SOS10,5,9,20,140,182,748,2089,1662,615,5469,0,20,111,665,341,642,564,304,171,2810,7,50,267,1232,626,496,381,149,68,3267,46,328,7737,17550,685,436,168,35,0,26977,24,134,178,862,486,495,1109,1010,526,4824,314,2264,4899,14830,8373,7165,4478,1981,603,44900,9,45,112,1250,1188,1997,2351,1251,453,8652,177,1636,1300,7574,1482,795,429,105,29,13518,4,25,88,381,656,489,285,131,56,2116,157,1734,3726,23036,9610,9480,6589,1679,556,56563,11,63,101,2197,916,1095,1492,669,544,7088,7,222,466,1223,1115,1005,549,179,33,4798,14,154,301,1680,1385,2015,2032,1520,627,9733,124,894,917,2137,1033,930,840,291,95,7256,106,980,1645,6727,4402,3131,2317,1216,418,20939,51,446,855,5142,2528,2597,1700,845,348,14512,51,226,351,4137,1061,748,790,116,23,7497,63,499,1178,11557,3021,1586,765,160,24,18857,21,182,180,1834,1713,1462,1027,562,123,7098,464,1631,1702,5779,1812,1426,979,390,99,14286
SOS11,0,0,4,18,25,85,244,151,41,562,0,4,9,41,16,52,40,11,5,186,0,21,53,267,66,30,18,6,3,473,7,83,243,1626,34,27,14,3,0,2032,0,9,33,170,119,223,736,584,223,2094,36,330,460,2109,1637,1936,1703,793,240,9249,0,0,0,20,17,36,26,10,3,116,16,61,52,352,34,26,22,9,0,561,0,13,32,108,183,144,89,16,7,592,48,371,443,2686,1037,1045,705,165,30,6527,3,7,9,129,72,98,147,63,70,588,0,22,35,74,51,33,21,7,0,247,8,46,53,245,243,555,774,642,223,2784,3,42,30,90,84,74,78,30,3,427,16,164,248,878,573,356,396,234,59,2922,4,79,46,376,117,76,66,28,10,813,0,12,27,475,37,25,9,4,0,597,20,111,158,991,526,270,105,10,0,2190,13,7,7,53,40,25,24,4,0,173,33,185,195,804,344,344,409,154,36,2503
SOS12,0,0,0,3,0,8,35,14,0,63,0,0,0,5,4,9,3,0,0,17,0,0,0,3,0,0,0,0,0,9,0,0,7,18,0,0,0,0,0,26,3,4,4,24,17,26,73,41,14,205,6,21,28,161,163,223,194,72,8,870,0,0,0,0,6,4,4,0,0,12,0,4,0,6,3,3,0,0,0,16,0,4,3,12,27,10,8,0,0,69,5,13,15,143,61,88,69,17,4,410,0,0,0,13,9,10,14,3,3,46,0,0,0,6,0,0,0,0,0,15,0,0,3,17,31,65,82,47,15,252,0,3,0,0,12,8,10,0,0,31,0,5,20,65,58,40,48,14,0,247,0,0,0,13,0,9,4,0,0,26,0,4,0,46,0,3,0,0,0,53,0,6,10,57,41,20,10,0,0,145,0,0,0,0,3,0,0,0,0,7,4,5,15,80,43,55,60,9,3,285
SOS13,0,0,3,24,35,143,265,150,21,643,0,0,0,4,6,10,13,7,0,38,0,0,0,10,8,6,8,4,0,32,0,0,6,20,4,0,0,0,0,30,0,4,21,89,90,128,289,138,32,781,10,68,121,606,697,868,645,186,29,3225,0,0,0,12,8,16,8,8,3,56,0,3,0,34,9,16,7,0,0,67,0,0,8,23,88,94,25,3,0,245,7,45,41,390,208,224,129,18,4,1075,0,0,0,43,27,46,54,14,5,188,0,0,10,13,8,8,3,0,0,37,0,8,18,63,100,218,221,113,23,760,0,21,12,26,38,48,25,7,0,171,4,43,66,269,254,186,147,47,7,1037,0,0,0,32,23,13,22,15,0,105,0,8,5,88,21,15,19,3,0,161,3,27,31,227,115,72,24,4,0,506,0,0,0,15,17,6,3,3,0,44,13,61,74,296,151,232,211,54,12,1102
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,7,0,3,5,0,0,17,0,0,3,29,16,29,15,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,3,19,0,5,3,0,0,32,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,5,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,3,10,4,5,3,0,0,28,0,0,0,8,0,0,0,0,0,7,0,0,0,30,0,0,0,0,0,34,0,0,0,6,6,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,5,0,0,16,5,0,0,0,0,30
SOS20,0,9,30,213,289,1034,2751,2050,766,7135,10,57,361,1983,746,1149,944,469,247,5948,8,227,936,3315,956,537,313,138,52,6482,25,177,2166,5737,226,147,67,16,0,8556,12,117,179,635,409,541,1729,1541,790,5951,458,3362,5041,15945,6267,5028,2808,1065,358,40330,4,50,129,1586,1430,2111,2437,1172,421,9327,202,1644,1379,6917,871,442,291,62,16,11831,5,23,59,311,426,221,88,16,5,1156,125,1348,2949,15400,5994,4984,3079,815,224,34915,3,29,77,1560,909,1335,1897,916,828,7552,7,177,424,963,748,602,266,81,24,3291,19,156,346,1734,1211,1942,2064,1673,767,9912,88,902,1359,3367,1420,1074,821,239,64,9336,91,662,1228,4566,2918,1915,1442,719,278,13813,101,1190,2597,13304,4976,4233,3119,1446,597,31566,29,156,313,3529,662,466,414,46,10,5635,79,806,1551,6885,1843,822,307,77,19,12383,26,164,224,2075,2311,1969,1230,611,156,8765,299,1182,1331,4346,1333,1027,765,271,51,10604
SOS21,0,8,13,59,54,179,443,231,52,1043,0,7,21,127,46,61,33,11,0,308,4,22,50,294,54,31,19,8,5,480,0,20,92,391,15,5,3,0,0,527,0,10,19,102,123,184,820,616,249,2138,50,482,552,1843,1130,1088,815,316,83,6349,0,0,9,58,39,60,60,28,7,259,18,135,79,451,42,26,19,3,0,776,0,10,10,58,88,51,37,10,0,259,34,264,433,2254,888,725,473,102,19,5198,0,0,5,94,59,76,120,44,59,457,3,48,84,180,100,50,34,16,0,523,4,19,40,200,194,465,622,515,160,2220,3,32,25,109,82,58,29,10,5,353,8,77,151,446,273,216,147,78,23,1415,12,63,67,567,174,93,93,35,15,1110,3,12,25,526,23,15,9,4,0,614,17,86,137,661,289,127,47,6,0,1370,0,8,9,85,108,90,46,23,8,381,26,86,93,392,165,166,223,48,10,1211
SOS22,0,0,0,0,0,8,14,17,3,50,0,0,0,3,0,4,10,0,0,22,0,0,0,4,0,3,3,0,0,15,0,0,0,18,0,0,0,0,0,18,0,0,0,10,9,25,85,54,10,198,0,13,14,105,91,142,117,40,3,528,0,0,0,0,0,3,0,6,0,9,0,0,0,5,0,0,0,0,0,10,0,0,0,3,14,3,4,0,0,26,0,24,25,108,55,59,31,0,0,303,0,0,0,8,5,8,6,3,9,38,0,0,0,0,0,0,0,0,0,3,0,0,0,18,15,51,74,38,16,223,0,0,0,5,7,3,0,0,0,22,0,6,7,30,32,26,24,9,0,131,0,4,0,15,5,6,7,4,3,45,0,0,0,26,0,0,0,0,0,34,0,4,12,47,28,18,9,0,0,114,0,0,0,3,0,5,0,0,0,13,0,11,9,31,31,29,27,3,0,141
SOS23,0,0,0,15,19,71,142,54,15,318,0,0,5,15,7,32,12,5,4,69,0,0,0,13,0,6,5,0,0,22,0,0,0,7,0,0,0,0,0,9,0,0,10,85,97,150,352,173,46,914,11,95,140,545,570,601,350,107,13,2431,0,0,0,6,10,35,35,7,3,100,0,0,0,17,0,10,3,0,0,42,0,0,3,10,43,29,8,0,0,90,6,63,53,412,161,152,92,17,0,959,0,0,4,31,27,19,34,14,9,151,0,0,3,20,7,5,0,0,0,32,0,8,12,84,89,224,213,104,21,753,0,4,15,22,32,22,9,0,0,110,7,25,53,184,148,114,59,15,0,602,0,0,0,37,18,30,24,16,0,135,0,0,14,107,7,13,3,0,0,152,3,18,33,249,90,46,14,3,0,466,0,0,0,11,25,19,7,11,0,74,8,25,33,137,102,124,138,35,4,604
