SOS_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
SOS10,132,1039,3793,17170,11879,10202,6374,1928,978,53493,7,53,78,667,464,476,381,308,128,2561,3,79,374,1157,586,425,180,67,18,2884,726,5543,7278,42215,18372,16526,14541,9402,4379,118975,6513,14150,14534,41203,13920,12183,11023,9167,6702,129398,165648,345292,341820,874328,372072,328291,258614,153451,75619,2915129,73,706,1631,7240,2116,1442,759,251,56,14291,316408,595562,512921,839981,379241,312755,234303,134275,59493,3384937,159,1337,2255,17655,3930,2207,868,126,11,28551,4,40,88,2298,1213,1797,1127,591,164,7323,68,480,1115,14843,1547,724,291,108,37,19211,36,215,696,4003,2835,2709,1869,701,260,13328,155,578,788,4999,2262,1551,851,375,81,11643,30,167,312,3562,2374,2347,2345,1492,268,12886,653,6714,18576,99484,34109,40030,25585,10435,5568,241146,3,45,67,1650,1388,2760,3390,3368,1214,13890,113,1136,1013,5121,2078,3134,3794,2584,1032,20005,864,7049,8925,41470,28395,30748,24911,18695,6862,167921,37,513,1502,11851,7325,7048,4152,1779,402,34626,73,525,689,6009,1646,986,691,377,176,11166
SOS11,7,92,83,649,190,95,50,8,4,1185,0,17,24,85,80,128,166,130,57,686,7,33,63,240,144,99,79,18,6,685,85,442,544,3018,1377,1386,1491,1115,460,9910,2330,5879,5171,11851,5416,5918,6175,5515,3450,51702,44532,96813,84373,189022,95246,105625,102377,66075,31185,815241,0,17,46,136,50,19,6,0,0,287,85397,177677,151517,290279,148532,161751,153147,90933,37047,1296268,13,82,39,674,90,29,20,5,0,956,0,0,0,59,19,51,40,27,8,205,4,34,47,656,96,54,26,5,0,921,0,34,19,190,57,30,14,6,0,342,28,118,128,831,449,354,327,151,40,2420,4,6,10,279,141,139,166,76,13,841,31,210,272,2011,786,635,412,162,61,4589,0,8,3,49,73,221,284,292,84,1014,5,64,39,244,62,88,185,117,37,835,93,834,1052,4562,5003,8812,10766,8759,3051,42935,12,72,142,916,359,296,199,86,23,2110,11,34,71,502,185,222,202,113,42,1385
SOS12,0,0,5,25,19,0,0,0,0,49,0,0,0,9,15,13,17,10,3,72,0,0,0,6,12,3,6,0,0,32,3,15,23,173,115,181,142,84,23,766,226,576,502,1199,658,825,804,485,271,5546,3730,9079,7098,15329,9922,11906,10562,5084,1773,74475,0,0,0,0,0,0,0,0,0,0,7132,17227,13261,24683,15804,18556,16485,7566,2188,122903,0,0,0,9,0,0,0,0,0,8,0,0,0,6,0,0,0,3,0,12,0,0,4,48,4,7,6,7,0,73,0,0,5,0,3,0,0,0,0,11,4,12,4,81,47,53,34,11,0,245,0,0,0,20,12,13,13,10,4,66,0,15,6,61,41,31,35,6,3,196,0,0,0,3,6,28,16,10,6,68,0,0,0,0,3,9,14,6,4,40,6,75,97,406,558,1195,1277,839,208,4654,0,3,3,34,21,20,23,6,0,103,0,0,8,44,19,27,33,8,5,145
SOS13,0,3,12,88,63,38,15,3,0,235,0,0,0,25,46,67,49,33,3,223,0,3,5,49,40,49,20,7,0,182,19,75,110,750,506,710,643,327,87,3220,838,2568,2127,4695,3423,4000,3218,1646,523,23036,13225,35471,29127,56381,41886,46587,35755,15494,4215,278147,0,0,0,28,7,5,7,0,0,42,25315,67423,55732,92519,66987,73485,56850,23613,5635,467555,3,3,6,31,14,13,4,5,0,78,0,0,6,31,17,24,16,13,0,100,3,0,8,117,24,16,10,8,0,190,0,0,0,58,36,13,16,0,0,137,7,30,29,233,165,198,154,53,4,878,0,0,8,66,58,53,55,16,0,257,4,43,60,482,333,361,203,70,16,1573,0,0,0,21,41,126,168,104,34,498,0,3,3,36,23,57,70,46,5,244,23,240,422,1442,2232,4237,4142,2341,483,15558,0,7,17,128,138,104,60,27,5,496,5,15,33,179,69,107,82,35,7,523
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,3,9,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,8,16,62,19,11,8,5,0,133,92,183,205,568,186,144,55,21,4,1460,203,412,703,1772,666,698,404,104,32,4997,0,0,0,7,0,0,0,0,0,7,266,402,764,1804,880,940,674,162,30,5912,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,21,0,0,0,0,0,3,0,0,0,5,0,0,7,13,3,6,0,0,0,26,0,0,0,9,0,0,0,0,0,17,0,4,4,49,12,12,5,0,0,86,0,0,0,0,0,0,3,0,0,8,0,0,7,5,5,0,0,0,0,13,3,3,20,94,28,86,53,19,0,318,0,0,3,12,7,0,3,0,0,23,0,0,9,31,9,4,0,0,0,56
SOS20,135,1003,3677,17894,11224,9135,5461,1608,770,50898,4,37,77,393,277,332,291,214,97,1712,9,73,333,1317,460,248,129,43,9,2619,618,4347,7472,35769,14948,13090,11360,7644,3777,99038,5235,11054,11788,34084,11938,10085,9377,7681,5085,106329,141774,292563,299474,778659,324269,275902,219376,132756,65245,2530013,129,1725,4015,12329,3349,1647,660,198,47,24089,270763,498211,431640,782993,365915,293021,205033,110812,48151,3006540,44,596,836,5804,1218,569,324,49,8,9443,6,33,151,2892,1431,2097,1210,682,173,8677,33,213,354,3881,603,272,118,44,6,5519,57,399,1544,5785,3190,2634,1796,652,196,16255,129,566,587,3896,1600,997,553,220,47,8587,19,127,167,2282,1575,1360,1274,732,121,7657,599,7378,20628,74758,22417,21342,13430,4768,2300,167614,6,34,70,1502,1356,2925,3325,3271,1106,13589,65,684,1078,3058,1219,2027,2610,1830,697,13264,605,5425,7711,28177,20727,24432,21215,16100,6341,130723,19,195,618,4210,2323,2030,1124,450,119,11082,48,295,466,3482,1023,728,606,293,171,7116
SOS21,11,80,92,798,229,159,74,10,7,1460,0,11,7,47,54,89,94,69,19,393,0,11,33,178,73,51,31,8,6,388,57,476,678,2611,1191,1098,1064,753,337,8271,1311,3453,2716,7340,3466,3684,3894,3137,1980,30985,29423,61577,50925,126482,62187,65674,62767,37403,17740,514183,3,92,243,544,216,128,46,7,0,1281,56506,112988,90177,183811,94156,97004,88814,48700,19857,792003,8,75,60,501,99,34,20,3,0,787,0,0,5,154,60,98,68,31,9,424,0,12,13,186,36,11,7,3,0,273,3,31,25,165,53,34,16,10,0,342,19,73,53,445,213,200,140,53,11,1195,0,4,11,112,99,74,78,57,0,441,11,139,275,1405,440,373,208,71,20,2951,0,0,6,97,110,246,288,270,97,1108,4,51,86,156,40,67,153,81,29,669,61,561,771,3004,3207,6007,7065,5431,1871,27979,4,31,74,480,251,146,64,24,11,1085,0,17,29,208,90,117,88,49,16,605
SOS22,0,0,0,20,11,0,0,0,0,36,0,0,0,3,4,16,10,6,0,47,0,0,4,8,10,3,0,0,0,26,0,11,14,120,71,92,87,51,26,462,91,339,295,741,452,624,516,335,200,3598,2314,5423,4156,9945,6247,7792,6668,3349,1415,47303,0,0,0,0,0,0,0,0,0,0,4427,10243,7630,15971,9911,11900,10353,4805,1679,76929,0,0,0,14,5,0,0,0,0,23,0,0,0,5,0,6,0,0,0,12,0,0,3,8,3,0,0,0,0,18,0,5,0,11,3,0,3,0,0,24,0,0,3,30,13,31,17,4,4,103,0,0,0,10,13,15,3,4,0,42,3,9,3,61,10,22,10,6,0,129,0,0,0,4,12,16,16,13,0,65,0,0,3,3,0,12,10,4,0,30,3,63,47,302,380,889,958,561,153,3352,0,0,6,17,11,17,10,0,0,57,0,7,0,27,11,11,16,3,0,66
SOS23,0,3,16,90,48,33,12,3,5,205,0,0,3,19,23,44,43,20,6,157,0,3,9,35,16,33,15,3,0,114,12,53,61,461,360,429,395,277,67,2103,550,1792,1550,3397,2584,3029,2399,1260,378,16936,9524,25643,21383,41823,31378,35508,27492,11317,3033,207104,0,0,3,28,7,3,6,0,0,51,18061,48396,40639,68999,50770,56558,44157,17407,3940,348928,0,0,4,17,9,3,4,0,0,37,0,0,0,18,8,11,16,13,5,75,0,3,0,28,8,6,7,0,0,54,0,10,16,51,26,16,8,0,0,129,10,20,22,145,113,115,72,19,3,530,0,4,6,44,38,30,19,0,0,135,3,35,56,236,145,135,62,24,7,705,0,0,0,27,36,115,158,116,31,484,0,0,3,21,7,21,48,19,0,120,24,217,346,1113,1783,3414,3393,1671,372,12330,0,5,9,45,47,38,40,7,0,198,0,10,18,100,38,42,42,18,0,271
