SOS_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
SOS10,933,1050,850,1122,466,201,482,26575,13,15,663,997,1091,10214,13938,10618,4543,3158,1828,4086,924,103,814,53007,75,363,1536,1668,2953,2356,4943,4485,654,846,1046,1272,507,102,404,23208,1178,11533,13464,3390,1258,1034,1815,3127,576,569,514,637,214,48,1973,41342,26,94,152,475,1547,2648,3536,1877,468,479,566,709,361,209,316,13464,9,9,58,2022,7521,9696,17238,7230,1524,1341,1400,1561,619,160,1185,51572,222,1372,7915,14344,11571,8414,8080,3573,741,842,769,862,444,212,2173,61525,54,260,1485,3625,7880,3812,6687,4087,1558,1826,1704,1565,562,144,810,36078,0,0,4,14,87,1328,12609,8744,3823,7565,12452,10262,2499,138,1082,60591,504,3324,1050,628,652,619,1085,687,204,175,210,233,102,38,309,9818,376,815,4126,10086,15225,18431,19845,10616,1858,1869,1931,1961,995,891,2884,91913,30,363,5152,4981,2172,1707,1107,438,111,105,71,87,29,17,494,16855,4,19,89,401,1680,3177,6653,8682,2220,2369,2483,2364,1190,399,496,32231
SOS11,33,25,28,28,24,5,35,625,0,3,32,17,8,56,103,103,139,223,474,753,129,4,44,2081,18,127,386,357,368,243,472,355,17,33,14,38,21,3,86,2540,259,1172,852,184,107,64,137,213,37,42,66,81,25,11,230,3481,9,23,13,42,77,155,317,148,27,35,42,69,20,18,39,1026,0,0,3,34,128,102,330,243,40,51,65,80,25,3,50,1146,11,41,133,116,67,63,77,43,14,3,3,8,0,0,73,655,22,57,210,310,237,129,300,251,166,213,242,240,67,18,90,2533,0,0,0,3,13,30,740,927,512,729,651,446,86,5,55,4207,255,1976,516,264,238,140,212,96,15,29,28,31,21,0,133,3958,152,342,1655,3444,3765,2680,2812,1433,200,160,212,246,128,88,866,18190,0,15,100,68,36,32,12,3,0,0,0,0,0,0,15,286,4,0,16,20,27,50,251,490,116,95,124,151,66,21,35,1478
SOS12,0,0,0,5,0,0,0,29,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,22,6,6,31,38,40,20,38,30,0,0,0,0,0,0,5,221,12,87,96,21,8,4,15,3,3,5,0,4,5,0,13,271,0,3,0,0,8,11,27,12,0,0,4,4,0,0,3,76,0,0,0,0,6,14,17,7,4,0,0,0,0,0,4,58,0,5,9,12,6,10,3,0,0,0,0,0,0,0,0,54,0,3,28,27,27,8,12,17,7,15,16,12,4,0,9,191,0,0,0,0,0,0,0,5,4,6,9,15,5,0,0,49,22,156,62,34,30,15,24,18,4,0,5,6,0,0,10,388,14,32,164,417,416,251,221,87,14,16,8,8,4,3,95,1750,0,0,6,7,0,0,3,0,0,0,0,0,0,0,0,17,0,3,0,0,0,4,5,3,0,0,3,0,5,0,4,31
SOS13,0,3,3,0,0,0,27,256,0,0,26,25,19,72,32,22,5,0,3,4,0,0,19,229,4,36,130,156,186,118,156,102,8,16,13,23,12,0,35,1007,114,779,690,160,70,40,44,31,3,5,0,15,3,0,118,2069,4,11,8,19,35,40,91,35,7,6,12,15,7,5,17,314,0,0,0,24,43,69,55,13,5,8,8,17,3,0,14,256,9,41,176,236,216,120,111,32,9,12,4,6,5,0,66,1038,5,25,97,109,107,32,53,41,36,40,41,38,12,0,49,694,0,0,0,0,0,7,11,17,5,3,8,14,3,0,7,73,71,616,244,142,144,95,132,39,8,8,6,18,5,0,44,1568,38,120,578,1420,1514,941,859,318,53,37,39,47,19,33,444,6484,0,0,51,31,26,7,7,0,3,0,0,0,0,0,12,135,0,4,9,24,18,24,32,22,4,9,3,8,0,0,12,154
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,4,3,28,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,10,0,0,0,5,4,0,5,5,0,0,0,4,3,0,0,29,0,8,3,3,0,0,0,0,0,0,8,0,4,0,0,31,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,14,0,0,0,0,0,0,10,0,0,0,3,6,0,0,0,21,0,0,7,3,3,3,0,0,4,0,0,0,0,0,0,20,0,0,4,3,6,0,0,9,4,10,12,9,7,3,4,67,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,17,0,9,3,0,5,0,0,4,0,0,3,0,0,5,0,37,0,4,8,22,52,42,17,16,0,0,5,0,0,5,8,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,14
SOS20,1082,1070,988,1089,365,303,290,21338,0,3,57,169,348,4711,6497,4694,2544,1946,941,2112,580,65,348,25024,76,514,1271,1260,1980,953,2950,2774,423,460,607,801,298,69,267,14688,1783,20594,21111,3677,1268,907,1570,2567,484,425,425,405,130,34,2302,57684,20,69,80,241,617,1393,2683,1304,332,335,423,503,271,102,197,8569,0,0,15,185,800,1489,6307,3095,609,633,612,591,254,58,227,14884,32,224,1802,4423,3184,2256,2802,1363,298,308,286,288,141,90,601,18097,39,217,1351,3791,9669,5342,13782,9044,3198,3352,3245,2642,1037,176,890,57775,0,0,4,11,42,392,4409,3260,1242,2175,3089,3160,828,48,305,18960,435,5775,1291,683,730,493,924,478,129,144,147,142,57,27,321,11766,220,502,2200,6073,10097,11917,20149,14876,2481,2490,2662,2771,1109,1091,2046,80690,56,441,4447,5270,2917,2003,1426,649,126,119,130,102,33,26,461,18194,8,21,62,190,666,1479,6182,9471,1966,2371,2436,2334,1042,430,450,29113
SOS21,23,24,19,18,5,0,17,458,0,0,4,3,8,233,273,223,62,54,38,34,6,6,29,966,25,119,285,236,318,120,336,253,17,17,21,30,23,5,53,1859,273,2007,1449,295,87,70,101,134,25,10,11,22,19,0,296,4808,0,4,7,15,25,68,158,81,11,23,12,27,17,3,21,485,0,0,0,4,37,37,170,78,25,16,18,35,9,0,11,440,0,10,44,65,45,41,70,29,15,7,7,3,3,0,19,346,3,22,91,158,195,108,425,630,430,521,442,417,91,10,182,3721,0,0,0,0,0,16,262,286,129,152,136,85,28,6,14,1117,151,2603,455,235,245,103,156,76,16,9,15,27,3,0,131,4239,53,120,615,1532,2037,2009,2695,1751,282,241,266,217,85,89,465,12455,10,22,144,121,84,62,58,18,9,7,5,0,3,0,10,546,0,8,0,8,31,65,402,596,125,147,115,95,52,31,24,1688
SOS22,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,31,26,36,14,33,21,0,5,0,3,3,0,7,192,12,95,78,19,6,6,9,6,0,0,3,0,3,0,9,247,0,0,0,4,4,5,13,4,0,0,4,0,0,0,4,36,3,0,0,0,3,0,6,0,4,0,8,0,0,0,0,21,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,15,26,7,22,21,6,12,17,5,0,0,8,158,0,0,0,0,0,0,6,10,3,10,4,5,0,0,0,38,25,238,61,21,34,17,16,8,0,0,0,7,0,0,10,432,9,18,87,213,240,175,173,80,17,4,11,10,4,4,42,1069,0,0,8,6,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,13,5,0,0,0,3,0,0,0,23
SOS23,4,0,0,4,0,0,15,87,0,0,4,5,0,34,7,6,0,0,0,0,0,0,20,77,6,55,117,95,115,51,124,68,4,4,11,11,4,3,25,687,119,923,622,96,30,19,22,30,0,3,5,7,3,0,155,2039,0,4,8,12,13,29,50,17,3,4,0,10,0,0,8,154,0,0,0,0,12,11,26,11,3,0,0,8,0,0,7,73,0,4,32,62,33,21,36,12,0,5,0,0,0,0,28,224,4,18,56,65,78,29,75,129,91,90,105,84,26,13,73,939,0,0,0,0,0,0,13,3,0,0,3,4,0,0,0,34,63,999,245,144,210,83,123,46,10,4,10,14,0,5,61,2014,22,54,282,782,979,819,1026,412,54,38,46,47,26,24,370,4974,0,17,83,68,22,19,10,3,0,5,0,4,0,0,20,254,0,0,4,9,0,3,38,21,0,5,3,4,0,4,10,97
