SOS_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
SOS10,313,11735,102,11835,..,13010,1260,14270,149,14414,..,19213,605,19813,157,19969,..,3650,405,4058,43,4107,..,47293,2586,49882,452,50327,..,27630,3157,30789,324,31112,..,17827,1071,18901,214,19116,..,6152,2397,8545,79,8628,..,9587,1884,11474,87,11562,..,37929,14597,52527,400,52930,..,88279,16883,105166,2321,107486,..,816144,147615,963758,9515,973276,..,13105,2894,15998,136908,152906,1712517,829246,150510,979752,146427,2838701,1722612,..,..,..,..,1722612,..,3204,37,3244,25,3272,..,90193,19329,109527,728,110254,..,1046,17,1064,15,1078,..,55641,21598,77235,432,77664,..,98854,41006,139859,1048,140905,..,5704,2397,8095,34,8134,..,160192,64999,225193,1512,226702,..,8424,1382,9803,63,9864,..,10039,358,10394,120,10518,..,7677,218,7898,93,7992,..,32735,6904,39638,218,39853,..,16327,1765,18087,157,18244,..,10812,1093,11906,101,12003,..,36247,1996,38248,239,38484,..,26412,1718,28128,241,28367,..,18729,2024,20755,190,20942,..,5990,288,6279,41,6317,..,17752,1795,19548,213,19762,..,7340,404,7745
SOS11,28,1078,14,1095,..,302,21,315,4,319,..,1356,60,1418,6,1425,..,439,103,541,3,550,..,3145,210,3358,34,3391,..,1740,155,1896,25,1917,..,442,38,479,8,487,..,611,163,775,6,776,..,192,46,238,3,240,..,789,258,1048,7,1053,..,8248,1657,9902,261,10170,..,39529,5989,45521,685,46207,..,2239,255,2492,51683,54171,668262,41772,6247,48015,52368,768642,714830,..,..,..,..,714830,..,866,17,883,3,884,..,1130,149,1281,10,1295,..,1422,38,1459,22,1477,..,923,373,1296,13,1312,..,1999,864,2862,29,2891,..,108,39,153,4,155,..,3034,1276,4309,42,4356,..,448,50,498,3,503,..,1174,34,1203,15,1223,..,1790,56,1844,28,1870,..,890,100,987,11,998,..,484,49,526,7,537,..,661,213,873,7,884,..,905,75,978,7,980,..,1988,287,2278,24,2298,..,2696,461,3158,38,3190,..,446,27,478,4,483,..,588,64,648,7,655,..,164,12,176
SOS12,0,33,0,33,..,22,3,26,0,26,..,35,0,35,0,35,..,25,6,36,0,36,..,121,13,135,0,135,..,161,13,178,0,178,..,14,0,14,0,14,..,30,9,35,0,40,..,14,0,14,0,14,..,32,0,33,0,33,..,493,70,555,16,575,..,2047,239,2281,38,2318,..,180,9,191,5128,5316,66692,2227,249,2477,5161,74329,66761,..,..,..,..,66761,..,67,0,71,0,68,..,69,3,67,0,67,..,116,5,129,3,131,..,38,4,42,0,42,..,118,35,158,0,155,..,3,4,7,0,7,..,160,48,209,0,207,..,33,0,41,0,41,..,115,3,116,0,115,..,157,8,164,3,169,..,76,6,80,0,83,..,6,0,6,0,6,..,9,0,9,0,9,..,23,3,29,0,29,..,21,0,22,0,22,..,73,16,86,0,86,..,7,0,7,0,7,..,14,0,16,0,16,..,11,0,10
SOS13,5,81,4,83,..,79,6,91,0,91,..,107,6,115,0,117,..,70,27,93,0,100,..,341,45,380,12,394,..,535,49,576,5,588,..,46,8,56,0,56,..,128,48,181,0,181,..,92,10,104,0,104,..,136,34,167,3,172,..,2564,270,2838,45,2880,..,11472,1532,13001,159,13164,..,579,48,630,25389,26015,256950,12056,1577,13632,25545,296123,242939,..,..,..,..,242939,..,322,5,330,3,336,..,1092,150,1242,9,1252,..,245,6,253,15,263,..,323,208,535,3,540,..,537,238,777,15,792,..,34,12,44,0,44,..,894,462,1356,25,1375,..,298,32,333,8,337,..,396,8,405,8,414,..,851,9,866,7,871,..,361,53,408,6,415,..,37,7,41,0,41,..,24,12,29,0,29,..,172,8,181,0,181,..,23,8,31,0,33,..,360,58,416,5,420,..,34,0,32,0,32,..,92,5,101,0,97,..,34,3,41
SOS17,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
SOS19,0,6,0,6,..,12,0,18,0,18,..,7,0,7,0,7,..,16,0,16,0,16,..,44,0,45,0,45,..,32,6,36,0,36,..,3,0,3,0,4,..,6,0,8,0,8,..,3,3,5,0,5,..,13,9,18,0,18,..,88,17,103,3,103,..,483,74,564,11,576,..,21,3,23,2245,2269,3530,502,79,584,2261,6375,2889,..,..,..,..,2889,..,5,0,5,0,5,..,33,4,39,0,37,..,7,0,7,0,14,..,22,4,26,0,26,..,69,27,96,0,99,..,8,0,8,0,8,..,101,30,131,0,131,..,4,0,5,0,5,..,32,0,27,0,27,..,12,0,12,0,12,..,13,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,11,0,11,0,11,..,5,0,5,0,5,..,3,0,9,0,9,..,0,0,4,0,4,..,6,0,8,0,8,..,8,0,8
SOS20,215,8515,90,8600,..,7012,490,7499,89,7580,..,10341,266,10606,96,10703,..,4259,587,4846,48,4888,..,29901,1557,31464,316,31779,..,17112,1730,18836,192,19029,..,15734,988,16724,198,16917,..,3221,695,3912,39,3954,..,13320,2664,15990,119,16106,..,38898,13470,52367,411,52782,..,98066,19065,117132,2216,119344,..,688717,113224,801939,8482,810422,..,11119,2269,13385,106643,120026,1511306,699838,115490,815325,115130,2441753,1549406,..,..,..,..,1549406,..,2375,29,2402,17,2418,..,36029,7122,43151,289,43439,..,372,12,381,7,391,..,32702,10257,42958,272,43235,..,85311,29762,115071,909,115978,..,5989,2171,8161,40,8202,..,124007,42189,166195,1217,167415,..,7862,1423,9285,66,9347,..,8450,309,8761,95,8856,..,6934,165,7095,92,7189,..,43664,10440,54103,331,54433,..,6292,486,6775,61,6836,..,9872,911,10788,104,10889,..,28719,1662,30380,239,30619,..,8542,731,9274,73,9349,..,38028,4110,42140,509,42647,..,21483,1463,22947,182,23120,..,14033,1500,15533,234,15765,..,5614,278,5893
SOS21,47,1095,14,1109,..,275,35,312,6,319,..,1220,37,1253,11,1267,..,634,213,842,19,860,..,3175,333,3501,52,3553,..,948,96,1048,13,1056,..,564,57,624,7,634,..,350,114,466,9,468,..,667,162,825,11,840,..,919,497,1417,25,1440,..,7987,1863,9851,245,10097,..,38318,6601,44919,729,45652,..,1543,232,1775,28064,29844,409340,39864,6835,46699,28797,484834,435557,..,..,..,..,435557,..,465,9,470,4,476,..,1344,353,1695,20,1721,..,195,7,204,6,213,..,481,146,626,7,632,..,1829,1007,2835,34,2868,..,133,53,186,0,186,..,2438,1205,3643,43,3691,..,576,83,660,5,668,..,607,24,635,8,639,..,1091,30,1123,13,1133,..,1185,197,1379,19,1398,..,469,66,534,3,543,..,358,48,405,0,409,..,1301,101,1394,14,1414,..,549,121,666,11,681,..,4495,619,5114,84,5201,..,791,45,843,7,847,..,897,115,1010,17,1023,..,180,4,179
SOS22,0,41,0,42,..,11,0,11,0,11,..,38,0,33,0,33,..,38,16,49,0,49,..,125,19,141,0,141,..,91,8,101,0,103,..,5,0,5,0,5,..,28,9,37,3,41,..,15,3,22,0,22,..,29,10,40,0,44,..,338,65,409,5,418,..,1476,201,1679,23,1704,..,128,12,136,3269,3405,42261,1604,212,1814,3298,47368,42260,..,..,..,..,42260,..,22,0,22,0,22,..,19,3,25,0,25,..,13,0,13,0,13,..,20,7,25,0,24,..,96,33,133,0,134,..,6,0,6,0,6,..,125,35,161,3,167,..,25,0,26,0,26,..,48,0,48,4,47,..,106,3,108,4,112,..,73,4,79,0,79,..,4,0,4,0,4,..,5,0,5,0,5,..,32,0,34,0,34,..,18,0,18,0,21,..,28,8,34,0,34,..,19,0,19,0,22,..,12,0,12,0,12,..,3,0,0
SOS23,4,181,0,182,..,51,14,64,6,68,..,148,10,157,3,159,..,149,63,206,6,208,..,526,82,607,15,619,..,273,16,291,3,294,..,37,8,45,0,47,..,107,74,182,8,187,..,152,18,175,0,175,..,141,56,194,0,192,..,1646,227,1875,37,1913,..,7899,1154,9054,129,9185,..,459,43,504,19535,20039,192589,8365,1200,9558,19655,221807,182593,..,..,..,..,182593,..,191,0,187,0,192,..,279,25,306,6,307,..,31,0,31,0,31,..,98,27,123,0,123,..,434,215,643,6,653,..,20,11,32,0,32,..,554,244,801,6,805,..,193,23,225,0,224,..,241,17,257,0,256,..,577,12,587,5,595,..,408,62,471,7,482,..,18,0,20,0,20,..,16,0,18,0,18,..,67,6,71,0,71,..,12,0,10,0,10,..,223,45,266,0,270,..,49,0,52,0,52,..,39,3,43,0,43,..,3,0,3
