SOS_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOS10,41907,153591,335274,317167,232207,170214,118930,51127,14012,1434422,6684,10914,18827,16937,16507,13885,8465,4614,1315,98152,12266,14608,41523,43753,68486,81341,51747,29332,8690,351737,2313,2301,6108,7626,10294,13482,17828,13185,4806,77950,523,767,3555,5124,6929,11252,16987,16059,7898,69093,149,740,3420,3471,3944,5459,5091,3864,2152,28280,7176,11488,28865,23663,17881,15741,14024,12539,8011,139382,71010,194415,437569,417744,356250,311371,233061,130709,46887,2199026,45811,156252,369447,345633,256190,176964,108642,44753,14832,1518525,4496,7463,14541,13927,15831,13512,8984,5359,1955,86059,6746,9102,28332,32308,63242,87266,72163,42594,16270,358025,1315,1307,4473,6039,9183,14859,23034,17062,9100,86373,312,492,2417,4110,6722,13308,22286,20867,13314,83821,104,480,2746,3199,4866,7306,7603,6705,4626,37638,6448,9496,25551,20768,15594,14550,15442,15890,15437,139179,65236,184587,447504,425968,371624,327765,258166,153232,75534,2309612,87719,309844,704715,662800,488403,347177,227572,95872,28844,2952942,11180,18376,33362,30861,32339,27395,17450,9972,3272,184211,19011,23708,69849,76057,131727,168606,123907,71928,24960,709756,3634,3614,10578,13665,19477,28336,40862,30242,13911,164317
SOS11,7193,23422,49415,45232,36857,28437,30610,14586,3977,239725,3379,5154,7952,7270,6999,6094,4888,2584,733,45054,6516,7820,21710,21111,30167,41530,30754,16517,4233,180350,1680,1414,3171,3623,5066,8025,12293,9135,2877,47283,402,341,1169,1580,2294,4491,8368,7255,3651,29552,39,86,370,370,432,487,536,427,203,2945,3003,3691,8519,7478,6897,6523,6869,5876,3124,51981,22209,41916,92307,86654,88709,95591,94320,56387,18791,596887,8811,27677,63554,59021,47572,36046,28284,13927,4567,289455,2388,3899,6974,6677,7369,7266,5362,3189,1020,44143,4375,5336,16000,16305,28422,44006,39887,23575,8217,186124,1061,863,2663,2864,4468,8197,13888,10307,5371,49682,260,237,805,1065,1539,3742,7296,6944,5752,27637,44,82,326,348,400,471,498,418,305,2892,2689,2821,6478,5838,5417,5849,7111,7677,5936,49809,19613,40909,96805,92114,95187,105578,102326,66035,31172,649743,16001,51100,112971,104248,84433,64478,58896,28510,8540,529175,5771,9051,14928,13943,14374,13367,10244,5773,1750,89204,10886,13153,37714,37414,58588,85537,70646,40088,12450,366472,2741,2272,5837,6487,9534,16227,26182,19440,8243,96965
SOS12,598,1793,3294,3654,3624,3322,3409,1336,241,21276,295,405,622,643,737,667,550,231,48,4198,610,726,1913,2197,3460,5061,3651,1561,285,19458,147,110,281,334,561,984,1423,833,205,4877,49,37,99,142,241,588,989,746,291,3188,9,10,16,19,31,41,45,56,13,236,317,254,603,618,730,897,981,617,226,5247,2025,3331,6832,7610,9382,11553,11058,5381,1306,58478,763,2011,4559,5203,4908,4129,3063,1064,232,25926,238,299,499,552,754,810,517,235,66,3969,346,410,1290,1462,3039,4900,3988,1736,430,17600,103,72,212,241,434,928,1376,802,309,4472,18,5,47,59,137,368,725,576,382,2319,9,0,11,15,22,16,33,31,13,155,284,235,561,600,627,751,860,640,345,4903,1759,3039,7183,8135,9914,11901,10557,5084,1773,59341,1364,3805,7851,8861,8528,7448,6469,2402,476,47203,534,709,1120,1196,1490,1475,1061,467,114,8166,963,1136,3200,3656,6494,9960,7646,3298,717,37062,245,178,492,580,999,1907,2808,1634,508,9349
SOS13,2990,7877,12209,14284,16812,15863,14884,5163,893,90968,1211,1442,1996,2270,2596,2674,1925,765,133,15016,2922,2752,6929,8820,14933,20170,12325,4913,856,74619,622,420,827,1233,2177,3540,4867,2824,533,17043,121,69,341,470,832,1917,3495,2453,908,10610,14,18,85,93,100,157,177,170,74,897,1442,1469,3237,3419,3799,4389,3836,2190,607,24386,9320,14054,25627,30579,41255,48716,41512,18471,4001,233544,3606,8534,16605,21041,22835,19082,12543,4222,776,109247,745,822,1506,1854,2690,2908,1799,725,129,13177,1312,1323,3856,5021,11284,17208,12522,4903,1098,58533,265,143,478,659,1367,2558,3685,2081,615,11847,47,24,133,206,403,1086,1964,1575,800,6231,6,10,38,45,66,100,148,135,97,640,1227,1010,2218,2705,3216,3636,3075,1843,710,19634,7203,11863,24828,31529,41867,46573,35738,15488,4212,219307,6593,16413,28814,35323,39653,34948,27428,9385,1666,200215,1956,2267,3504,4122,5288,5579,3723,1488,268,28196,4229,4077,10792,13842,26218,37378,24849,9813,1954,133145,894,560,1304,1890,3548,6098,8559,4903,1140,28890
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,38,163,445,306,253,207,183,36,4,1641,13,30,56,38,47,44,37,10,0,278,35,45,155,167,162,276,168,44,4,1064,12,9,51,54,53,60,68,13,0,332,5,10,27,34,39,33,56,19,0,220,0,0,7,11,3,10,3,3,0,41,89,140,414,489,449,313,141,44,10,2093,198,407,1164,1108,1009,947,648,166,19,5674,50,203,504,286,247,230,115,27,4,1665,14,30,35,37,37,46,14,3,0,220,37,42,92,84,123,216,128,28,12,771,22,10,35,26,25,40,42,5,0,208,6,0,8,12,21,11,24,11,0,103,0,0,4,3,9,3,7,0,4,28,88,129,337,295,206,153,72,22,14,1314,213,417,1025,748,666,698,404,104,32,4305,81,369,954,594,503,437,296,65,11,3309,30,58,91,81,78,92,49,16,0,503,74,90,252,254,284,493,298,79,14,1835,32,19,87,81,83,101,110,21,0,542
SOS20,34365,139541,311912,282687,198236,134978,94692,40598,11351,1248368,5417,10115,22938,20938,37974,41802,23027,8938,2470,173612,5994,8712,25237,26738,35424,41035,29872,17344,5260,195621,1848,1911,6371,7442,10594,13600,14136,10499,3539,69943,867,1111,3943,5364,6069,9035,15197,19298,10193,71064,186,875,3472,3604,3807,4394,4104,3597,1914,25950,5558,9153,23561,18109,14321,12089,10956,9697,5641,109084,54240,171416,397446,364882,306426,256920,191979,109970,40365,1893641,37613,142395,342086,312146,231382,151733,92763,36539,13024,1359685,3294,6404,15635,14605,33167,44491,28780,12920,4267,163570,3166,5060,15600,16807,26759,37586,38854,23550,9045,176420,995,1151,3824,5107,8380,13329,17440,12698,6401,69329,464,713,3013,4692,6618,10887,22545,28503,17635,95074,123,584,2880,3745,4708,5982,6113,6066,4084,34277,5071,7758,21234,16635,12936,11568,12619,12374,10747,110948,50734,164069,404280,373737,323948,275575,219116,132642,65202,2009309,71974,281938,654000,594832,429616,286716,187451,77138,24376,2608050,8716,16518,38576,35540,71146,86288,51808,21859,6738,337187,9163,13777,40838,43545,62184,78621,68723,40891,14302,372042,2852,3063,10198,12548,18982,26929,31575,23194,9936,139267
SOS21,4727,16073,35166,33413,24764,17499,17862,7721,1950,159174,2183,3762,7853,7094,11246,13546,9248,3033,700,58666,2468,3178,9294,9203,11865,15571,13684,6951,1673,73895,791,768,2548,2800,3695,5469,6794,4832,1362,29077,347,298,1118,1272,1417,2352,4619,5829,2966,20224,35,113,409,428,502,476,368,301,157,2786,1609,1657,3962,3773,3739,3881,4274,3661,1912,28473,12160,25856,60360,57992,57229,58792,56851,32340,10720,372292,5429,17946,45886,44226,33993,24296,17956,7335,2399,199464,1186,2280,5682,5431,11039,15741,11437,4488,1233,58518,1324,2037,6001,6304,9288,13974,15867,8963,3062,66827,450,422,1529,1609,2795,5234,7365,5041,2255,26705,185,203,686,803,1127,2201,5013,6438,4891,21552,22,97,332,410,471,454,413,407,230,2833,1469,1431,3825,3684,3426,3739,4699,4707,3661,30634,10067,24422,63945,62470,62142,65639,62745,37380,17729,406539,10153,34020,81052,77648,58761,41794,35814,15056,4349,358638,3365,6044,13531,12529,22284,29286,20685,7522,1933,117185,3795,5215,15298,15512,21152,29545,29553,15915,4738,140723,1241,1193,4077,4412,6496,10709,14157,9876,3616,55783
SOS22,369,1196,2353,2619,2376,2081,2360,837,193,14393,170,289,706,691,1197,1635,1190,344,59,6285,224,259,776,906,1321,2148,1697,710,121,8170,85,61,214,275,449,825,864,522,136,3433,19,14,89,85,142,275,530,579,253,1998,6,0,10,15,12,22,28,19,0,128,164,162,342,384,490,599,691,410,193,3438,1050,1984,4495,4986,5992,7589,7354,3437,950,37834,472,1301,3324,3718,3444,2968,2219,750,212,18403,114,166,418,492,1085,1876,1129,409,100,5784,101,145,444,510,951,1618,1606,764,225,6355,36,26,104,139,261,571,763,434,157,2483,18,8,35,46,81,194,421,534,380,1716,0,5,20,11,14,12,20,21,10,113,164,136,305,394,406,553,519,435,328,3237,907,1784,4643,5303,6241,7786,6665,3345,1415,38088,845,2501,5677,6333,5823,5054,4575,1587,406,32800,286,453,1128,1178,2278,3516,2315,751,158,12067,326,400,1221,1414,2275,3763,3300,1476,343,14514,117,86,316,416,709,1396,1624,955,294,5914
SOS23,2236,6397,9518,11281,12155,11008,10623,3570,532,67324,1016,1430,2648,3082,6511,8290,5241,1360,203,29763,1247,1374,3972,5123,7095,9825,7408,2913,455,39417,361,307,912,1280,2174,3374,3648,1986,365,14406,134,93,321,425,652,1230,2238,2371,853,8323,20,33,68,74,90,87,104,148,61,676,968,804,1809,2139,2711,3146,2937,1617,456,16594,5977,10432,19242,23411,31380,36966,32203,13963,2927,176509,2572,6719,13313,16894,18063,15289,10017,2792,559,86212,455,662,1555,1900,5486,8101,5078,1499,253,24993,510,531,1561,2099,4091,6449,5856,2496,543,24142,161,116,327,491,1050,2217,2541,1302,385,8583,69,30,142,155,292,676,1540,1685,721,5316,12,15,52,38,60,76,90,104,74,522,913,671,1454,1843,2318,2692,2356,1435,493,14179,4693,8745,18397,23417,31363,35498,27479,11316,3029,163934,4808,13116,22828,28175,30218,26300,20642,6359,1095,153539,1475,2089,4197,4982,11996,16389,10309,2870,451,54762,1761,1910,5536,7222,11182,16273,13268,5410,998,63555,518,424,1235,1776,3227,5591,6187,3282,748,22989
SOS27,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,30,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,32,135,358,251,199,119,102,19,4,1217,9,32,63,55,76,76,32,0,0,352,34,29,78,108,89,97,65,17,0,516,11,14,37,38,55,38,29,9,0,224,13,12,17,19,27,17,25,13,3,143,0,4,3,3,7,5,3,0,0,37,91,118,390,525,458,289,130,25,6,2043,189,346,939,1008,912,644,392,90,15,4534,44,164,419,238,166,144,42,18,0,1228,12,25,53,39,46,53,27,9,0,266,26,26,65,63,58,84,44,12,0,370,15,16,20,30,14,23,17,7,5,142,3,5,12,13,9,10,16,11,9,83,3,0,5,4,4,4,0,0,0,18,84,89,306,347,180,117,69,7,10,1202,177,321,878,727,479,429,224,58,19,3317,75,301,773,489,364,261,147,38,4,2446,22,64,123,94,120,128,66,10,5,618,54,57,142,171,145,179,113,28,3,883,26,23,56,69,71,61,47,21,5,368
SOS30,33089,99781,192172,178166,141839,91085,67157,30338,7271,840908,3765,5751,14766,14985,17649,16413,9677,4211,984,88196,6163,7114,25366,28744,44411,57744,45306,21794,5552,242183,1869,1333,4150,5272,6879,8998,8936,5816,1991,45238,600,522,1809,2518,3330,4917,9065,12140,5269,40170,118,315,1377,1336,1410,1487,1164,769,412,8383,5061,7943,17848,14508,12859,10409,9146,7354,4164,89287,50663,122747,257477,245531,228386,191050,150447,82409,25650,1354363,35285,104764,215950,205575,163288,100779,62010,26702,8144,922489,2728,4314,12492,12962,17394,16654,10904,5041,1418,83906,4249,5519,19147,22006,41020,65094,62231,31099,10590,260960,1206,909,3080,3887,5683,8484,10471,7215,3254,44184,365,390,1450,2156,3000,4734,10814,15264,9666,47840,91,277,1251,1577,1784,1763,1498,1098,762,10099,4772,6977,16101,12897,10665,9459,9413,9513,8266,88065,48701,123144,269477,261056,242833,206966,167350,95935,42091,1457548,68379,204546,408126,383743,305128,191863,129170,57034,15418,1763398,6493,10061,27261,27948,35044,33067,20583,9244,2402,172104,10413,12624,44514,50747,85434,122835,107542,52898,16142,503144,3073,2240,7231,9158,12563,17476,19408,13032,5243,89423
SOS31,6360,17264,33133,29723,24040,15658,14048,6744,1521,148486,1535,1922,4719,4621,5387,5183,3227,1327,270,28197,2744,2965,10092,10797,16428,24280,20172,8273,1671,97429,850,565,1656,2227,3094,4498,4781,2583,728,20983,287,230,632,907,1347,2466,5457,6822,2774,20926,39,74,264,200,269,287,299,262,133,1832,1893,2476,6245,5658,5425,5083,4125,3168,1538,35603,13705,25498,56745,54133,55997,57459,52108,29181,8630,353461,6396,18604,40891,38181,30682,19552,13141,6084,1643,175172,1052,1460,4061,4352,5506,5583,3306,1462,338,27124,1942,2293,7505,8655,15028,25761,23496,10405,3008,98104,577,415,1234,1632,2303,4003,4723,2900,1111,18904,140,119,376,563,993,1782,4957,7141,4306,20381,29,54,191,172,211,273,273,239,171,1607,1708,1972,4762,4036,3952,3766,3922,3840,2686,30641,11842,24919,59027,57593,58680,60719,53820,32074,13261,371933,12753,35871,74028,67908,54720,35207,27189,12828,3159,323668,2586,3380,8781,8977,10890,10767,6537,2786,610,55318,4689,5258,17604,19456,31454,50046,43666,18677,4678,195530,1427,980,2890,3856,5404,8502,9503,5489,1835,39885
