SOS_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOS10,351,1007,3720,7947,16374,31248,41190,31227,12497,145554,37956,28054,28399,26961,21400,17938,14115,7852,2584,185255,496,664,1488,2670,5100,12276,20319,16884,6081,65989,32,52,63,95,288,862,2693,6650,6279,17007,706,1614,3490,10175,19446,34542,40884,25896,7257,144006,844,819,1309,3307,9761,23869,37429,31357,13076,121766,613,480,799,1436,2386,4126,6382,6089,3109,25424,498,382,631,1154,2762,6552,10492,9638,3883,35991,8991,22003,28005,26208,26419,22978,14437,7138,2985,159162,136,150,285,678,1783,4222,7058,7143,3429,24885,22829,15029,16951,21824,27013,33301,29273,16686,7665,190572,435403,272489,331672,304015,230892,162066,86249,33956,8424,1865179,40058,28928,35605,31339,27072,22152,15025,9810,5682,215666,540978,361641,438180,418163,356701,311794,233418,130878,46944,2838701,466,1629,5171,11650,28255,54349,72912,58931,30343,263699,24595,26691,34500,32995,30067,27230,23667,14055,5585,219388,417,595,1770,4687,10747,17057,20657,15218,6492,77629,29,30,45,83,252,744,2604,8175,12666,24622,702,1717,3952,8079,15151,26871,33065,23116,9140,121792,671,697,1114,1970,4603,11137,20233,22178,15690,78282
SOS11,153,427,1466,3116,6756,15310,22995,16678,5944,72845,14650,8414,8388,8007,7036,7564,7548,4100,1287,66985,130,197,406,769,1704,4867,10042,8112,2782,29002,14,14,27,32,103,365,1227,2941,2415,7150,287,549,1031,2211,5178,10214,15572,10387,2757,48195,294,299,483,977,2959,8388,16122,14053,5679,49255,188,170,258,405,755,1548,2815,2954,1346,10452,231,163,270,568,1457,4038,6867,5590,1903,21093,4904,9080,10186,10362,11129,10965,8186,3830,1411,70055,55,50,115,251,661,1719,3258,3373,1511,10990,8364,4580,4559,5625,7607,10700,10446,5962,2628,60470,107127,58096,60116,52739,48695,41626,29991,13187,3210,414797,15545,10082,10733,9796,9330,8366,6914,4515,2086,77370,147761,87800,92366,86705,88784,95651,94358,56413,18800,768642,172,617,2019,4707,11085,23920,35152,28178,14015,119868,10658,9609,12159,11836,11718,13048,13175,7876,2864,92944,144,175,531,1237,3064,6023,8946,6873,2878,29869,0,8,30,44,92,295,1103,3356,5131,10056,276,640,1334,2370,4772,8584,11705,8820,3294,41802,236,262,465,724,1810,4849,9155,10252,7171,34922
SOS12,13,47,111,268,692,1961,2632,1541,385,7655,1216,704,588,675,731,876,880,372,116,6169,14,18,22,71,161,538,1136,749,178,2879,4,6,4,7,14,34,103,212,121,495,33,37,67,170,442,1064,1571,967,194,4545,28,24,41,76,303,949,1748,1256,373,4786,16,15,23,41,91,162,283,254,101,981,10,13,35,38,133,468,796,489,157,2143,391,671,706,829,1021,1236,884,295,61,6089,7,6,6,18,55,190,340,294,95,1019,645,346,345,435,732,1281,1178,510,141,5615,10149,5176,4542,4794,5371,5140,3637,1314,257,40375,1396,850,765,819,967,1073,972,497,168,7509,13582,7611,6832,7612,9386,11562,11057,5379,1306,74329,19,43,165,397,1136,2662,3420,2128,785,10747,957,720,851,978,1142,1359,1271,643,159,8073,15,18,36,126,302,691,866,533,155,2750,0,0,0,3,3,28,88,198,233,556,16,43,97,185,442,835,1132,687,207,3653,28,18,42,52,170,470,912,749,411,2846
SOS13,47,132,356,977,2735,6596,8868,4722,1198,25628,4118,2439,1931,2452,2871,3186,2846,1116,245,21200,59,59,89,243,711,2189,3968,2513,566,10395,8,0,4,8,35,93,329,615,334,1427,96,174,233,481,1674,3598,5079,2795,533,14660,102,90,107,253,1093,3597,5997,4061,1088,16391,78,60,54,105,255,533,913,746,251,2997,82,45,62,151,441,1450,2335,1445,370,6374,1194,2041,1945,2557,3415,3873,2585,898,179,18683,17,11,35,75,198,592,1049,848,276,3103,2136,1320,1109,1586,2866,4341,3987,1601,425,19382,40018,23637,16915,19480,24563,23818,15161,5079,828,169493,5644,4137,3857,4202,4856,5400,4058,1968,481,34606,52626,33245,25644,30595,41279,48733,41527,18477,4005,296123,52,172,477,1361,3864,8751,10353,5725,1792,32553,2837,2416,2478,3157,4033,4655,3631,1461,359,25032,47,42,118,423,1318,2508,2927,1457,356,9194,0,0,0,5,24,70,229,539,503,1371,73,146,236,465,1203,2457,2958,1768,423,9735,71,91,101,182,583,1570,2646,2041,923,8204
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,15,23,53,134,131,35,5,389,27,41,61,52,47,55,40,12,3,333,0,0,3,6,9,47,43,28,0,140,0,0,0,0,3,0,4,3,0,16,0,0,3,21,36,79,75,20,4,240,5,3,4,5,30,69,108,39,3,265,0,0,0,5,12,10,16,6,0,48,0,3,8,14,16,58,55,16,0,164,10,94,132,145,167,137,58,5,0,755,0,0,0,0,4,23,17,4,0,54,25,31,39,72,77,111,75,19,7,461,314,289,527,365,281,261,189,44,0,2264,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,3,3,17,29,70,136,107,42,6,422,32,67,79,60,68,72,56,13,0,448,0,0,7,10,14,44,38,5,0,122,0,0,0,0,0,0,0,0,6,13,0,6,4,9,13,33,38,10,4,122,3,5,8,8,12,30,37,15,6,120
SOS20,280,913,3534,6991,13759,24794,32254,25811,11102,119442,32589,25606,30849,28248,21557,16975,13326,7747,2695,179582,464,590,1382,2324,4645,10570,17786,14988,5789,58537,46,46,63,83,210,585,1980,5170,5174,13372,700,1497,3368,9410,17206,27784,32960,21612,6629,121172,884,672,1197,2812,8249,19627,30605,25891,11623,101548,582,407,757,1254,2015,3374,5067,5118,2671,21252,409,337,601,1014,2304,5152,8189,7741,3371,29124,8297,20724,30852,27739,25491,20782,13085,6959,3399,157334,197,147,292,649,1719,3679,6208,6402,3308,22596,20244,14046,16597,20216,23902,27866,23559,14206,6918,167561,368898,234500,293110,259158,194449,132509,71236,28423,7296,1589589,32331,23782,30974,25621,22486,17716,11948,7727,3762,176341,458500,313517,397885,365252,306744,257175,192208,110073,40398,2441753,314,1515,4907,10403,24818,46772,63474,52315,27652,232171,20542,25785,37636,34026,29935,25590,22962,13952,5706,216136,353,503,1592,3994,9122,14344,17983,13183,5983,67060,24,22,55,66,188,546,2140,6923,11263,21221,596,1425,3629,7322,13006,21500,26849,19832,8693,102855,653,611,1126,1665,3932,8954,16695,19227,14307,67158
SOS21,82,232,952,1938,3968,8197,12454,9186,3264,40277,8945,5436,6007,5818,4854,4695,4433,2570,766,43534,110,110,239,528,1060,2926,5783,4822,1513,17089,4,15,17,22,59,208,671,1480,1235,3721,150,360,731,1551,3361,6232,9474,6161,1613,29626,224,168,302,610,1917,5226,9839,8163,3099,29544,134,103,154,246,436,862,1512,1548,706,5694,157,90,154,292,790,2191,3786,3156,1087,11707,2797,5187,6348,6475,6871,6452,4951,2333,856,42276,49,52,65,163,466,1042,2025,2023,842,6731,5208,2997,3042,3754,4842,6337,6318,3564,1550,37611,71285,36947,40586,36473,32363,26813,18540,7332,1831,272177,9193,5316,5484,5355,5228,4918,4264,2755,1280,43795,95983,54351,60410,58034,57277,58832,56871,32359,10722,484834,92,359,1377,3063,7167,14435,20999,15647,7654,70798,6183,5737,8239,8115,7682,7962,7818,4439,1583,57763,78,104,319,830,1933,3853,5534,3953,1643,18238,4,18,16,16,53,192,626,1723,2579,5237,171,344,834,1629,3090,5377,7283,5080,2014,25824,172,143,266,448,1187,2930,5600,6016,4098,20859
SOS22,16,20,83,186,454,1095,1666,960,287,4767,779,394,402,527,514,570,612,241,64,4107,15,7,9,38,103,363,736,461,131,1868,5,0,0,0,5,21,48,105,114,301,22,34,42,93,308,697,1081,565,119,2960,16,7,17,53,185,668,1241,785,279,3247,19,7,4,21,38,83,188,136,58,541,13,12,11,39,95,301,541,333,88,1445,237,388,478,570,697,841,664,206,53,4128,10,0,3,21,48,137,226,178,67,686,411,230,210,267,518,806,721,335,113,3610,6051,3023,3043,3157,3340,3464,2390,852,159,25472,761,487,424,475,592,720,647,327,135,4568,8147,4412,4494,4987,5995,7590,7353,3432,950,47368,8,40,92,273,777,1727,2240,1361,591,7109,499,419,586,661,738,938,833,386,114,5195,8,7,28,66,188,408,539,336,115,1685,0,0,0,0,4,6,43,127,184,375,10,34,46,117,231,528,675,386,150,2180,4,15,23,37,103,311,531,464,331,1820
SOS23,39,80,273,689,1982,4782,6380,3545,787,18554,2852,2007,1482,2008,2251,2509,2214,974,179,16476,32,54,87,187,554,1580,3053,1875,381,7802,0,0,6,4,24,70,197,348,181,828,63,139,178,385,1217,2746,3962,2071,399,11163,70,76,72,204,845,2685,4879,3070,792,12689,46,35,34,57,172,382,659,453,140,1986,39,23,53,129,319,1022,1657,1068,231,4531,809,1557,1559,1908,2755,2898,2014,640,114,14252,3,13,19,56,189,470,852,692,177,2463,1426,1032,802,1200,2175,3410,2953,1208,328,14536,28814,17177,12460,14647,18597,18305,11987,3899,655,126553,3855,2741,3043,3395,3827,3966,3212,1527,369,25946,37453,24196,19262,23421,31393,36977,32210,13965,2926,221807,41,119,382,1030,3074,6847,8122,4224,1197,25023,1986,1855,2127,2604,3201,3504,2889,1164,221,19565,45,53,91,307,962,1870,2194,1123,265,6907,0,11,4,3,15,42,145,340,301,864,73,118,188,380,900,1836,2258,1280,328,7364,60,64,85,130,405,1203,2025,1461,592,6027
