SOS_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOS10,452770,282723,343012,318794,247757,179968,98909,39359,10355,1973638,45885,45272,52016,57608,63981,75848,70555,40862,13680,465708,2151,4398,6753,8722,13642,23353,31012,23323,9080,122430,108,325,795,1697,4250,10482,17920,17516,8148,61253,48151,49995,59560,68032,81876,109678,119488,81709,30913,649392,40058,28928,35605,31339,27072,22152,15025,9810,5682,215666,540978,361641,438180,418163,356701,311794,233418,130878,46944,2838701,440005,252352,334374,315411,249565,185439,110597,44388,14225,1946356,31829,55498,66994,65461,71300,79843,78295,49648,22545,521409,1621,8442,12753,13331,19135,27827,33928,27748,15203,160004,69,529,1541,3263,7386,13996,19625,19788,13446,79644,33522,64472,81289,82051,97821,121670,131854,97184,51198,761062,37416,24998,32272,28922,24685,21181,16161,11883,10197,207713,510944,341820,447933,426387,372072,328291,258614,153451,75619,2915129,892780,535077,677387,634199,497321,365405,209510,83749,24580,3920000,77716,100775,119006,123070,135286,155687,148850,90517,36227,987120,3778,12834,19508,22049,32775,51182,64942,51070,24285,282430,179,855,2343,4967,11632,24479,37545,37303,21594,140899,81675,114462,140853,150081,179693,231345,251341,178892,82105,1410452,77473,53924,67875,60266,51754,43330,31183,21695,15879,423379
SOS11,112847,60811,62784,55830,52525,46210,33634,14693,3695,443028,17928,14686,15662,16651,19245,25487,28701,17197,5309,160866,1376,2052,2757,3554,5453,10005,14878,10849,3871,54793,64,169,435,871,2228,5571,10234,9165,3841,32581,19364,16908,18848,21074,26926,41069,53811,37212,13017,248235,15545,10082,10733,9796,9330,8366,6914,4515,2086,77370,147761,87800,92366,86705,88784,95651,94358,56413,18800,768642,111977,52797,60220,55324,52692,49677,37141,16711,5242,441788,13526,18905,21631,20772,22559,27941,31285,21065,9340,187032,1081,3934,5636,6055,8050,12274,16045,12629,6586,72297,62,306,874,1829,4095,7900,10858,10092,6352,42361,14672,23148,28139,28663,34702,48110,58191,43781,22274,301693,14697,8429,8493,8186,7846,7832,7041,5577,3665,71761,141347,84373,96855,92164,95246,105625,102377,66075,31185,815241,224821,113612,123004,111151,105219,95888,70779,31403,8944,884820,31453,33585,37292,37426,41806,53435,59987,38262,14656,347890,2460,5988,8393,9611,13501,22275,30923,23477,10455,127091,130,481,1304,2700,6322,13472,21093,19255,10184,74940,34042,40055,46991,49742,61629,89182,112002,80991,35292,549932,30246,18514,19226,17980,17179,16200,13950,10084,5747,149131
SOS12,10578,5409,4741,5048,5754,5665,4064,1439,292,42989,1498,1190,1093,1393,1972,3049,3318,1685,367,15567,111,157,189,281,508,1150,1597,960,226,5181,0,12,42,77,190,616,1105,796,254,3088,1610,1358,1320,1745,2672,4817,6018,3446,845,23836,1396,850,765,819,967,1073,972,497,168,7509,13582,7611,6832,7612,9386,11562,11057,5379,1306,74329,10161,4618,4524,4983,5633,5782,3978,1283,329,41289,1188,1389,1525,1756,2212,3064,3113,1649,521,16415,86,265,388,472,821,1295,1573,950,327,6188,0,20,76,140,367,787,997,726,345,3461,1274,1677,1987,2369,3402,5149,5685,3328,1199,26066,1382,802,678,786,877,967,899,474,252,7120,12814,7098,7190,8140,9922,11906,10562,5084,1773,74475,20736,10026,9266,10031,11385,11455,8044,2713,614,84274,2678,2583,2620,3145,4183,6118,6429,3335,883,31985,197,424,570,752,1334,2449,3171,1917,558,11365,8,33,118,219,553,1403,2101,1525,595,6551,2884,3032,3310,4113,6074,9968,11701,6773,2041,49898,2774,1651,1444,1602,1843,2047,1871,969,419,14632
SOS13,41564,24534,17609,20435,26195,25903,16742,5583,927,179499,5099,4125,3608,4914,7865,11726,12122,5619,1182,56256,295,418,510,836,1742,3908,5472,3002,766,16962,25,24,49,213,619,1791,3134,2306,647,8806,5414,4573,4177,5963,10226,17421,20724,10924,2593,82024,5644,4137,3857,4202,4856,5400,4058,1968,481,34606,52626,33245,25644,30595,41279,48733,41527,18477,4005,296123,39536,20332,16388,20376,25532,24388,14807,4831,903,167092,3668,4824,4594,5921,8641,11358,10328,4738,1285,55357,198,745,994,1411,2472,4262,4601,2543,830,18068,4,58,130,371,981,2081,2541,1683,680,8530,3874,5622,5722,7703,12092,17702,17469,8971,2800,81953,5289,3170,2729,3464,4262,4494,3484,1692,512,29106,48701,29127,24836,31539,41886,46587,35755,15494,4215,278147,81106,44866,33997,40809,51731,50294,31545,10414,1831,346587,8762,8949,8202,10835,16504,23088,22448,10359,2467,111613,499,1165,1509,2245,4220,8171,10075,5546,1603,35026,30,85,186,581,1601,3869,5673,3993,1327,17337,9289,10200,9895,13664,22322,35129,38194,19893,5395,163979,10930,7302,6588,7670,9114,9902,7544,3664,999,63710
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,332,298,549,403,317,286,211,47,3,2443,36,100,168,154,165,184,159,43,9,1008,7,18,17,43,53,86,89,30,3,343,0,0,5,9,29,74,52,17,3,203,44,123,191,206,244,348,303,88,12,1552,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,276,284,470,269,247,261,144,31,7,1986,50,143,154,127,122,155,96,21,4,870,5,47,53,43,56,79,50,19,8,347,0,5,15,19,36,55,44,12,4,196,57,192,223,186,204,284,190,56,16,1408,285,220,335,292,212,157,68,19,7,1605,616,703,1022,749,666,698,404,104,32,4997,610,587,1016,670,557,546,356,76,7,4427,89,244,317,279,285,344,254,66,12,1883,9,67,72,88,99,159,139,48,5,690,0,4,21,33,68,124,102,33,10,394,97,311,408,394,453,632,494,148,27,2966,555,462,763,794,661,469,210,54,14,3980
SOS20,384150,243759,303728,272143,209091,147348,81481,33059,9017,1683772,39842,41454,54557,56688,58617,63686,58324,34582,11857,419605,2057,4228,7793,9121,12599,19574,25568,19745,8081,108763,117,298,840,1675,3953,8851,14891,14961,7684,53272,42018,45981,63185,67490,75173,92114,98777,69292,27618,581646,32331,23782,30974,25621,22486,17716,11948,7727,3762,176341,458500,313517,397885,365252,306744,257175,192208,110073,40398,2441753,374714,216196,289245,268140,211736,152475,91331,37568,12103,1653499,27452,52825,71011,64857,66374,69449,67124,43526,19653,482283,1501,8933,14980,14224,18496,24814,30229,24686,14007,151881,69,500,1657,3021,6688,12000,17269,17727,13037,71968,29027,62265,87646,82099,91562,106261,114628,85944,46701,706128,30595,21021,27707,23820,20971,17167,13421,9242,6445,170382,434336,299474,404599,374061,324269,275902,219376,132756,65245,2530013,758863,459949,592974,540287,420826,299824,172812,70620,21119,3337276,67297,94276,125571,121545,124995,133138,125444,78111,31513,901885,3564,13168,22774,23350,31097,44385,55798,44434,22089,260642,191,797,2492,4697,10640,20849,32164,32696,20721,125242,71047,108245,150831,149593,166731,198373,213410,155233,74314,1287777,62924,44796,58679,49435,43459,34887,25368,16966,10209,346725
SOS21,75009,38781,42359,38587,34881,29641,20893,8277,2183,290610,10925,8913,10530,11262,12404,15295,17413,9799,3029,99570,813,1241,1777,2265,3468,5803,8542,6226,2078,32207,34,94,269,561,1305,3174,5759,5300,2144,18650,11776,10256,12577,14082,17170,24274,31714,21323,7257,150425,9193,5316,5484,5355,5228,4918,4264,2755,1280,43795,95983,54351,60410,58034,57277,58832,56871,32359,10722,484834,73558,32916,40396,38355,34701,31277,22805,9437,3111,286558,8012,10999,14205,13828,14669,17358,19076,11912,5257,115315,654,2264,3737,4045,5370,7572,9723,7172,3645,44190,26,172,571,1193,2528,4737,6583,5594,3501,24918,8700,13436,18511,19068,22563,29677,35381,24680,12409,184424,8747,4574,5070,5084,4920,4729,4579,3282,2224,43205,91003,50925,63972,62512,62187,65674,62767,37403,17740,514183,148573,71697,82750,76941,69578,60924,43700,17712,5293,577170,18939,19912,24736,25088,27069,32651,36493,21712,8289,214888,1474,3511,5510,6311,8829,13376,18261,13394,5730,76395,60,270,838,1754,3830,7915,12338,10902,5649,43562,20471,23691,31083,33153,39733,53943,67099,46006,19666,334841,17946,9889,10551,10440,10145,9644,8842,6042,3506,86999
SOS22,6352,3183,3172,3301,3611,3810,2660,947,198,27235,964,626,774,940,1289,1927,2238,1107,263,10121,66,105,108,211,379,725,1055,589,188,3427,4,12,19,58,122,409,752,467,165,2018,1029,740,902,1207,1789,3062,4049,2164,622,15569,761,487,424,475,592,720,647,327,135,4568,8147,4412,4494,4987,5995,7590,7353,3432,950,47368,6300,2690,2977,3193,3505,3744,2514,882,249,26055,657,845,1030,1174,1463,2007,1965,1110,426,10676,48,168,258,353,536,876,1024,583,262,4110,0,13,35,97,220,519,628,433,265,2206,707,1029,1317,1623,2225,3393,3614,2132,953,16995,724,435,345,487,524,655,540,331,216,4259,7733,4156,4639,5302,6247,7792,6668,3349,1415,47303,12654,5871,6149,6501,7113,7552,5167,1830,445,53286,1623,1475,1804,2111,2753,3927,4198,2220,692,20798,111,269,366,560,918,1602,2085,1170,446,7536,6,28,55,149,344,925,1381,903,437,4224,1736,1768,2223,2828,4010,6455,7661,4296,1573,32558,1486,923,768,963,1114,1377,1186,659,351,8824
SOS23,29854,17854,12972,15375,19781,19972,13184,4315,760,134063,3536,3244,2813,3842,5921,8815,9337,4184,858,42541,195,336,357,675,1378,2926,4120,2238,532,12762,8,22,70,135,482,1296,2364,1707,404,6486,3741,3595,3240,4652,7784,13043,15818,8124,1799,61788,3855,2741,3043,3395,3827,3966,3212,1527,369,25946,37453,24196,19262,23421,31393,36977,32210,13965,2926,221807,28720,14858,11837,14877,18998,18614,11374,3371,726,123380,2659,3706,3767,4824,6557,8780,8077,3662,891,42931,151,553,837,1138,2093,3297,3499,1810,597,13963,10,47,151,275,753,1563,1988,1220,425,6427,2822,4295,4756,6235,9398,13639,13567,6690,1912,63314,3626,2229,1803,2320,2977,3253,2550,1253,391,20401,35171,21383,18401,23422,31378,35508,27492,11317,3033,207104,58576,32708,24815,30246,38780,38586,24557,7691,1485,257447,6195,6950,6576,8669,12480,17594,17412,7847,1755,85474,351,882,1196,1811,3468,6220,7616,4049,1125,26726,16,68,219,407,1234,2860,4350,2932,832,12909,6564,7898,7995,10884,17179,26677,29379,14816,3712,125111,7484,4975,4847,5718,6814,7225,5760,2781,763,46350
