SOS_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS10,1051917,703460,886113,844555,728772,640078,492032,284326,122562,5753827
SOS11,289109,172175,189220,178869,184025,201269,196736,122487,49987,1583879
SOS12,26393,14708,14020,15750,19306,23458,21622,10458,3080,148805
SOS13,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,1260,1357,2187,1859,1678,1648,1055,277,49,11371
SOS20,892833,612989,802484,739313,631012,533084,411584,242825,105646,4971771
SOS21,186984,105274,124388,120541,119458,124510,119641,69758,28468,999013
SOS22,15880,8567,9144,10289,12240,15387,14017,6783,2369,94668
SOS23,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
SOS27,0,0,6,16,3,14,4,0,0,38
SOS29,1143,1131,1819,1736,1393,1074,613,152,29,9089
SOS30,677723,469163,527278,506832,471471,398262,318021,178459,67791,3614998
SOS31,181271,105966,115851,111813,114752,118238,105974,61295,21899,937057
SOS32,25874,13832,14159,15279,18350,22201,19263,9429,2259,140652
SOS33,78009,46780,41750,51750,67583,74122,58073,25367,5145,448574
SOS37,0,16,49,64,45,5,3,0,0,183
SOS39,1437,1495,2649,2077,1929,2468,2124,444,44,14670
SOS40,211465,152601,178542,167621,155078,148698,124690,73023,33293,1245011
SOS41,58166,35551,38345,37268,41370,44540,43474,27229,10681,336623
SOS42,8132,4664,4998,5150,6274,8260,7919,4099,1592,51089
SOS43,24978,15122,12777,16088,21437,25136,19900,8239,1738,145402
SOS47,0,0,0,3,5,0,0,0,0,12
SOS49,409,394,627,534,478,513,359,64,11,3377
SOS50,387885,246891,295897,297929,263686,229678,182320,99540,39936,2043762
SOS51,79234,41628,50560,52149,50132,46811,36993,19669,7350,384526
SOS52,11299,6047,6906,6899,7596,8621,7322,3685,1134,59508
SOS53,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
SOS57,0,42,116,170,109,62,18,0,0,514
SOS59,772,820,1512,1543,1313,1144,758,155,30,8055
SOS60,32321,22907,34039,25323,23007,22706,20305,11961,4881,197451
SOS61,37367,24686,29031,24774,26444,28412,26785,16431,6236,220162
SOS62,4825,2699,3096,3281,3990,5201,4914,2475,703,31196
SOS63,17987,10581,10269,12366,15552,18867,14821,5751,1169,107361
SOS67,0,0,4,4,7,0,0,0,0,19
SOS69,129,215,228,198,203,199,163,31,3,1377
SOS70,24754,14774,23991,19618,15409,12042,7784,3088,749,122207
SOS71,11003,6360,9148,7503,5898,4924,2535,852,231,48456
SOS72,5977,3995,4211,3334,2892,2248,1152,311,48,24165
SOS73,6715,4556,4862,4771,5154,4426,2704,856,123,34172
SOS77,0,15,23,22,19,17,0,0,0,99
SOS79,446,276,661,573,591,579,318,49,7,3500
SOS80,82666,60266,77465,69135,55949,45186,35529,19303,7174,452670
SOS82,130,75,49,96,100,73,58,30,6,615
SOS83,90,121,115,61,75,72,52,9,5,605
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,50,148,108,104,77,78,34,10,4,605
SOS91,273,99,202,206,209,181,150,26,4,1355
SOS92,428,223,202,311,296,471,314,162,48,2450
SOS93,114,87,173,125,158,119,119,66,15,976
SOS97,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,4,0,0,3,0,0,0,11
