SOS_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
SOS10,85786,45564,10635,12945,192822,6857,172716,1916769,74006,2674698,5741,10689,1613,85,5391,2527,662,970,17117,480,9991,98577,3996,142917,281512,128413,94827,35763,169055,145945,34990,59322,176677,36491,208739,794102,52471,1632178,7578,2715,2212,5065,4159,4511,1335,1699,5479,1552,5957,16713,215432,252112,408448,342091,142704,41581,264385,198546,47620,74938,392098,45379,397408,2826162,345909,4701906,27901,29975,10771,3985,25520,14720,4034,5157,36250,4177,37639,319863,14512,472625,34887,28228,11624,3046,22649,16996,4098,6830,38520,4145,36520,202426,10372,345704,173196,83221,52348,19476,102122,84125,21698,38100,122649,21698,125403,452765,26395,953562,54771,47907,19134,2953,33783,25097,5352,9076,54355,5008,49798,431899,18999,658296,58993,74715,22798,1670,41088,26819,5608,7880,73621,4320,69843,706674,27759,1018802,30165,48458,13727,523,21821,13972,2975,3207,40737,2043,44299,445762,15305,631543,14821,23921,7990,422,9645,8748,1577,1620,14874,1181,20886,226419,7680,316795,13709,5671,4300,9495,7763,8069,2268,3055,11088,2817,13020,40357,224884,304586,408448,342091,142704,41581,264385,198546,47620,74938,392098,45379,397408,2826162,345909,4701906,95006,36731,30039,33117,58313,54620,17648,25516
SOS11,24278,15278,3603,6704,76796,2648,47243,423326,24466,671681,2560,4109,521,33,1524,905,225,618,7911,169,3056,18322,1344,34225,138472,59573,42771,15332,61862,65426,16762,35420,81591,17115,72726,164088,22117,504679,3820,1499,1042,1555,1770,2036,579,986,2078,657,1858,4427,70962,84187,192384,134623,58601,17183,89428,83649,21165,43727,168379,20590,124879,610159,118888,1294773,8984,8667,3035,1032,4995,3866,1059,2041,11984,1047,8515,46911,3681,85700,15716,11928,4844,1195,7114,6717,1702,3714,17138,1702,11875,50587,3990,104652,95789,45965,27551,9351,42620,43349,11564,25495,64081,11434,50805,129554,11966,366699,28203,23631,8779,1412,12755,11554,2667,5458,28508,2487,18356,120237,7784,219549,24418,26278,8006,612,12232,9470,2035,3767,28685,1690,19771,156718,8831,260318,8712,11819,3091,111,4541,3381,733,956,10914,553,8869,74424,3715,117643,2783,2985,1160,86,1519,1288,304,416,2251,253,2408,20568,1140,32643,7780,3349,2145,3384,3652,4022,1099,1877,4816,1418,4291,11165,77779,107560,192384,134623,58601,17183,89428,83649,21165,43727,168379,20590,124879,610159,118888,1294773,41519,19375,12864,14159,19451,22569,7484,13928
SOS12,2361,1554,356,720,6335,279,4205,39826,2206,62678,271,341,57,0,149,93,15,71,557,21,259,1620,119,2956,12666,5466,3973,976,5508,5791,1391,3273,6999,1427,6458,17076,1675,47782,304,142,82,33,136,142,49,101,137,39,96,476,7857,8997,18372,12074,5602,1044,8152,7581,1812,4160,14027,1774,11020,58995,11851,122413,975,929,320,56,492,384,101,231,1084,105,842,4845,421,8845,1680,1106,525,87,715,650,159,377,1537,162,1097,5100,351,10271,8900,4183,2525,648,3826,3872,926,2371,5366,980,4477,13361,1135,35013,2664,1955,830,92,1158,1054,255,481,2188,220,1559,11028,696,19632,2373,2258,798,48,1084,911,188,372,2373,160,1735,14284,759,23497,900,1018,311,6,428,298,73,101,975,48,802,6957,369,11033,279,307,115,7,143,129,24,43,208,18,264,2127,108,3316,590,320,174,107,312,284,86,180,301,81,249,1296,8011,10794,18372,12074,5602,1044,8152,7581,1812,4160,14027,1774,11020,58995,11851,122413,3491,1614,1113,806,1656,1793,584,1241
SOS13,9326,7913,1609,2856,21176,1202,17314,178483,9484,272591,752,923,179,11,353,260,51,183,1581,42,759,5339,340,9103,34194,14590,11491,2440,14205,15901,3404,8196,18843,3771,18915,62355,8381,153135,724,322,211,147,331,345,94,160,296,90,269,1783,34577,38114,58075,39282,19491,2791,24224,24422,5155,11396,41901,5103,37261,247959,52780,472950,3909,3201,1408,324,1869,1651,375,766,3772,396,3168,22784,1549,38141,5671,3795,1777,273,2160,2347,500,1153,4724,522,3978,21741,1463,40116,23488,11254,7434,1357,9571,10417,2324,5831,14130,2398,12909,49119,3626,110116,8671,6396,2848,243,3423,3313,651,1439,6620,630,5338,43880,2578,73112,8878,7946,3174,156,3834,3539,666,1222,7356,594,6383,59874,3117,94091,3975,4141,1538,41,1751,1529,301,418,3407,236,3365,31447,1430,48339,1771,1660,812,34,835,858,160,209,1051,115,1344,13388,620,20588,1704,894,500,360,784,774,182,349,839,215,767,5721,38393,48443,58075,39282,19491,2791,24224,24422,5155,11396,41901,5103,37261,247959,52780,472950,9074,3892,3033,2171,4085,4761,1417,2978
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,58,60,19,36,348,5,196,1673,78,2511,41,73,17,4,30,17,0,17,194,4,62,337,18,647,636,429,200,16,262,292,57,208,992,71,586,1451,103,3630,18,9,0,0,12,7,0,9,13,6,12,47,3226,3319,812,722,260,24,363,382,84,264,1546,79,856,3507,3425,10112,53,54,22,0,31,36,5,18,126,3,69,418,41,733,87,125,25,0,45,40,12,27,265,6,126,379,82,915,431,288,138,16,181,194,45,156,729,48,427,883,207,2527,100,110,30,0,39,42,7,28,178,7,93,643,35,1081,81,93,21,0,36,32,10,16,128,6,91,639,27,1010,27,31,10,0,13,8,4,3,41,3,34,285,15,429,6,13,0,0,4,9,3,0,18,0,12,145,3,191,24,21,4,3,10,15,7,7,59,4,18,110,3007,3230,812,722,260,24,363,382,84,264,1546,79,856,3507,3425,10112,165,107,46,13,78,81,21,79
SOS20,77495,40417,9652,11411,210264,6622,163729,1727564,69936,2469590,4983,11923,1380,77,4828,2188,614,869,18972,451,10307,92923,3847,138333,236526,115722,81449,31480,137330,121488,29053,47081,166489,33325,179616,568591,41647,1274146,5663,2308,1624,2410,3067,3069,841,1142,3807,1106,3777,13919,168370,196865,351021,342596,124782,34527,222725,167165,40157,60494,399537,41502,357429,2403001,283801,4078935,23930,28455,8975,3315,21542,12322,3377,4042,35442,3667,33554,273216,12619,407799,30534,29944,10463,2731,19606,14461,3718,5437,40899,3987,34991,198097,10224,335118,149835,83149,46613,17070,85642,71682,18046,30676,125720,20031,114269,390694,23749,844646,49283,50263,17911,2654,29745,22319,4825,7716,58604,4714,47196,381054,17513,597157,50293,79439,19800,1270,34890,22417,4750,6481,78880,3990,64805,614152,24462,908595,23623,46324,10949,383,17179,10737,2345,2430,37468,1666,36564,352168,12351,510955,11185,19254,6062,307,7363,6016,1192,1169,11981,925,15299,157349,5881,225800,12338,5766,4012,6808,6762,7200,1906,2543,10539,2516,10747,36265,177001,248864,351021,342596,124782,34527,222725,167165,40157,60494,399537,41502,357429,2403001,283801,4078935,84508,36397,27197,29185,50347,48314,15075,21192
SOS21,16360,9762,2164,3855,48593,1780,31154,279427,15171,439658,1429,2676,300,14,884,524,155,365,4455,104,1910,11590,774,20948,78051,36079,25185,8170,36834,38610,8863,19803,50269,10346,45663,101929,10934,301128,2251,935,586,605,1050,1120,295,583,1160,377,1058,2941,42184,50301,110904,86169,35136,8948,55132,50014,11471,24602,104477,12599,79785,395892,69057,812034,5616,6027,1960,505,3344,2538,629,1237,8019,724,5908,34391,2440,60428,9165,7883,2922,561,4525,3998,946,2212,10929,1096,7643,33526,2530,67310,54829,28058,16434,4981,25499,25732,6020,14047,38956,6871,31830,79180,7026,219784,16189,14711,5297,693,7966,6851,1484,3002,17645,1538,11788,76181,4703,137082,13893,18052,4632,270,7736,5603,1174,2056,18081,1044,12861,105485,5622,171313,4838,7320,1847,68,2792,1915,398,539,6159,342,5234,46029,2131,71616,1666,1915,705,49,928,799,143,266,1401,159,1425,13136,657,20605,4690,2202,1349,1825,2348,2577,677,1245,3283,832,3090,7964,43952,63891,110904,86169,35136,8948,55132,50014,11471,24602,104477,12599,79785,395892,69057,812034,24585,12277,7805,7408,12145,13826,4219,8188
SOS22,1500,1138,192,457,4319,188,2833,25936,1232,41112,163,204,28,0,83,55,21,46,378,9,152,900,59,1664,8108,3507,2481,617,3423,3748,724,2121,4872,955,4285,10399,1024,30170,219,112,52,36,102,100,32,54,92,27,72,319,5029,5846,11854,8016,3536,666,5111,5038,969,2674,9657,1184,7343,37561,7341,78795,695,559,197,45,344,268,49,148,779,80,567,3116,231,5714,1050,744,285,45,472,394,79,243,1102,103,732,3259,233,6634,5744,2782,1625,354,2406,2557,501,1530,3780,618,3069,8358,667,22542,1721,1330,545,38,640,671,121,307,1471,136,1066,7167,385,12853,1519,1559,480,22,696,612,104,232,1610,116,1116,9416,451,15510,467,639,195,6,251,194,40,64,531,20,473,4021,172,6336,173,182,60,8,89,105,11,21,128,17,130,1236,54,1954,476,230,142,143,221,248,55,121,257,99,192,980,5130,7244,11854,8016,3536,666,5111,5038,969,2674,9657,1184,7343,37561,7341,78795,2212,1033,696,556,992,1244,300,768
SOS23,7300,6286,1138,2124,17458,1063,13782,136560,6924,210724,522,664,125,8,268,206,45,123,1130,43,561,3507,252,6227,24972,11190,8441,1418,10526,11787,2281,5871,14078,2893,14209,43931,7111,111759,574,300,171,109,299,306,61,132,283,101,295,1424,24583,27568,43507,31204,14634,1693,18391,18588,3523,8252,32944,4091,28844,185424,38871,356286,2880,2624,984,150,1261,1167,252,531,3035,331,2466,16580,1195,28153,4191,3138,1446,164,1716,1746,323,853,3897,419,3099,16882,1108,31215,17513,8803,5423,838,7337,7792,1524,4119,10850,1886,9983,35931,2736,82016,6718,5112,2314,158,2748,2746,496,1075,5373,516,4265,32970,1839,56163,6847,6531,2416,96,2899,2726,478,916,5986,481,5038,46708,2200,73549,2686,2986,1037,36,1130,1076,194,264,2337,167,2219,21913,977,33480,1267,1203,560,37,617,657,104,146,712,97,1018,9484,453,14615,1401,813,460,216,681,673,143,349,762,206,752,4961,28356,37086,43507,31204,14634,1693,18391,18588,3523,8252,32944,4091,28844,185424,38871,356286,6628,3116,2206,1233,3026,3440,973,2127
