SOS_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS10,57643,20795,122562,902366,1236911,555132,397517,1327989,281989,4701906
SOS11,24909,7335,49987,233990,349014,167079,119305,327989,97393,1294773
SOS12,1352,498,3080,21342,33295,17820,13442,26746,9779,122413
SOS13,3337,1114,8221,85047,127993,70757,57770,86886,44501,472950
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,23,19,49,1561,1512,614,402,2643,3376,10112
SOS20,53653,12619,105646,835226,1108068,460271,314082,1136625,224678,4078935
SOS21,14541,4212,28468,148311,217413,104400,78100,207791,56018,812034
SOS22,1119,391,2369,13882,21826,11276,8973,16375,6461,78795
SOS23,2306,903,5963,65495,96696,53383,42734,64628,33347,356286
SOS27,0,0,0,0,3,0,0,8,27,38
SOS29,12,17,29,1148,1118,391,326,1694,3270,7946
SOS30,33887,9728,67791,620091,838214,348698,229514,718251,182499,2937275
SOS31,11044,3327,21899,137271,195839,91211,71710,193142,66619,755788
SOS32,1049,326,2259,20027,28851,15192,12747,26271,11694,114777
SOS33,2090,646,5145,65401,96411,51736,44695,71866,40453,370559
SOS37,0,0,0,6,6,3,0,34,135,183
SOS39,24,11,44,2216,2411,933,689,3525,3463,13234
SOS40,17612,2780,33293,217673,296726,127078,81365,265306,45398,1033551
SOS41,5505,1169,10681,51840,78164,38194,26945,65554,17764,278457
SOS42,783,230,1592,7742,11855,6143,4743,8825,3651,42961
SOS43,638,220,1738,22983,34105,18496,13839,20751,10254,120427
SOS47,0,0,0,0,0,0,0,4,5,12
SOS49,4,0,11,491,536,178,137,868,763,2975
SOS50,18854,5466,39936,355602,455374,186237,138256,424023,96390,1655875
SOS51,3259,1182,7350,57537,81245,35635,28688,71110,31086,305293
SOS52,493,199,1134,8777,11856,5811,5139,10754,5871,48211
SOS53,618,172,1649,24533,34068,17355,15033,26461,19615,137066
SOS57,0,0,0,33,21,10,15,214,222,516
SOS59,10,23,30,870,963,339,278,1476,3362,7285
SOS60,2422,454,4881,35221,48501,19870,11997,40903,8636,165131
SOS61,3286,755,6236,34144,49092,22688,16469,49579,10819,182793
SOS62,337,127,703,4588,7267,3798,2952,5879,1887,26369
SOS63,468,147,1169,16279,25766,13703,10430,17033,6157,89376
SOS67,0,0,0,0,0,0,0,13,8,19
SOS69,0,0,3,216,217,80,47,353,324,1248
SOS70,371,124,749,20075,26591,9607,6184,24565,10428,97454
SOS71,126,30,231,8617,9952,3690,2336,9149,3704,37454
SOS72,26,3,48,4710,4568,2352,1396,3509,1650,18192
SOS73,52,16,123,5086,7139,3261,2275,4900,4796,27458
SOS77,0,0,0,9,14,6,4,47,25,94
SOS79,4,0,7,480,399,152,120,687,1217,3052
SOS80,2980,743,7174,85277,122524,46846,24525,73493,17348,370000
SOS82,0,0,6,117,164,72,35,65,22,481
SOS83,4,0,5,105,118,62,33,116,84,519
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,4,123,123,39,17,138,126,560
SOS91,0,0,4,181,236,106,73,268,208,1074
SOS92,17,6,48,327,553,261,178,437,273,2017
SOS93,0,0,15,118,170,69,67,108,327,859
SOS97,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,6,3,0,0,0,8,11
