SOS_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS10,6960,150462,9200,166619,9469,172258,13294,195022,23189,382574,32419,438180,36653,354988,26521,418163,44532,292835,19338,356701,43924,252070,15800,311794,26055,195248,12118,233418,13420,107477,9977,130878,4225,35714,7007,46944,208436,1943622,145666,2297716,7702,140837,8232,156776,11295,162886,10864,185044,33709,385747,28471,447933,55559,347658,23170,426387,70104,285242,16725,372072,67617,246661,14011,328291,38334,207497,12784,258614,15838,124715,12902,153451,3268,58405,13944,75619,303420,1959650,141116,2404189,14661,291303,17434,323396,20762,335147,24160,380065,56899,768321,60890,886113,92216,702643,49693,844555,114641,578074,36063,728772,111543,498729,29807,640078,64386,402742,24904,492032,29256,232187,22881,284326,7497,94119,20952,122562,511854,3903268,286781,4701906
SOS11,2112,39765,3947,45826,2198,35747,4036,41981,6050,77346,8965,92366,8949,69937,7817,86705,11829,69978,6969,88784,14299,75190,6160,95651,11203,77280,5876,94358,6289,45408,4710,56413,1796,14466,2536,18800,64731,505127,51018,620876,2431,37402,3548,43386,3070,34849,3071,40991,10575,79301,6972,96855,15937,70005,6222,92164,20440,69288,5517,95246,24135,76025,5463,105625,16546,79973,5857,102377,7335,52526,6205,66075,1430,24863,4892,31185,101915,524233,47757,673895,4548,77175,7489,89210,5268,70591,7106,82964,16628,156649,15945,189220,24887,139941,14043,178869,32278,139268,12486,184025,38431,151219,11621,201269,27752,157251,11729,196736,13627,97938,10923,122487,3226,39326,7434,49987,166639,1029357,98776,1294773
SOS12,210,3607,460,4275,175,2890,272,3333,487,5700,642,6832,815,6159,641,7612,1261,7391,733,9386,1710,9020,827,11562,1278,8946,837,11057,578,4290,506,5379,145,971,192,1306,6659,48972,5117,60750,223,3418,420,4052,246,2538,251,3043,808,5778,606,7190,1378,6155,604,8140,2123,7162,632,9922,2740,8442,716,11906,1749,8074,735,10562,587,3969,529,5084,85,1384,301,1773,9945,46929,4794,61664,428,7023,877,8333,427,5433,523,6375,1295,11484,1248,14020,2192,12317,1246,15750,3388,14554,1366,19306,4451,17461,1550,23458,3025,17019,1576,21622,1166,8263,1030,10458,234,2349,494,3080,16602,95904,9913,122413
SOS13,852,16235,2091,19179,754,11729,1585,14066,1754,20522,3366,25644,3042,23995,3558,30595,5433,31958,3891,41279,7138,37280,4312,48733,4622,33369,3531,41527,1878,14684,1912,18477,388,3099,518,4005,25856,192878,24772,243500,1013,14510,1728,17250,913,9877,1089,11874,2756,19753,2328,24836,5215,23460,2867,31539,8791,29753,3351,41886,10825,32204,3558,46587,5931,26929,2892,35755,1926,11904,1662,15494,272,3315,625,4215,37638,171710,20104,229449,1861,30744,3817,36426,1661,21604,2678,25946,4514,40275,5697,50478,8257,47462,6431,62140,14224,61707,7238,83164,17969,69480,7864,95316,10549,60302,6426,77284,3807,26591,3575,33967,661,6416,1144,8221,63500,364578,44867,472950
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,11,151,97,253,20,255,135,411,51,689,423,1164,72,541,491,1108,67,500,442,1010,84,544,317,949,54,465,138,648,15,122,40,166,0,11,4,19,372,3273,2085,5734,17,172,90,279,18,265,132,418,76,616,339,1022,70,392,285,749,93,365,210,666,95,464,147,698,41,301,59,404,8,77,22,104,0,19,12,32,417,2663,1300,4381,28,326,184,532,34,518,274,829,124,1303,757,2187,143,933,782,1859,156,872,646,1678,181,1005,463,1648,92,760,194,1055,19,193,58,277,3,25,16,49,787,5945,3382,10112
SOS20,5943,128454,7294,141691,8858,151979,10984,171827,23447,346320,28120,397885,35258,308614,21385,365252,44734,246362,15646,306744,43335,201866,11978,257175,26003,156933,9275,192208,13322,89182,7576,110073,4284,31696,4417,40398,205184,1661396,116682,1983259,6763,121531,6727,135024,11425,143935,9093,164449,34991,345545,24064,404599,53585,301927,18548,374061,72464,238016,13788,324269,69444,195342,11117,275902,39917,168928,10531,219376,16038,107199,9517,132756,3069,53853,8317,65245,307702,1676275,111704,2095680,12707,249977,14024,276713,20283,295917,20077,336276,58440,691863,52186,802484,88841,610540,39930,739313,117200,484378,29435,631012,112775,397204,23094,533084,65919,325856,19808,411584,29354,196374,17090,242825,7360,85551,12735,105646,512880,3337674,228390,4078935
SOS21,1295,24921,2209,28423,1510,22541,1879,25924,4285,51647,4482,60410,6406,47465,4156,58034,8033,45435,3810,57277,9364,45896,3572,58832,7343,45919,3616,56871,3803,25671,2882,32359,954,8236,1538,10722,42986,317727,28143,388853,1623,22807,2005,26444,2015,20873,1589,24480,7281,52463,4228,63972,11190,47371,3949,62512,14453,44292,3443,62187,16310,46001,3366,65674,10988,47982,3795,62767,4437,29314,3649,37403,694,14304,2746,17740,68992,325417,28772,423180,2920,47728,4221,54868,3528,43412,3466,50407,11565,104111,8712,124388,17598,94832,8105,120541,22482,89725,7251,119458,25671,91902,6941,124510,18324,93907,7411,119641,8237,54993,6532,69758,1648,22540,4284,28468,111974,643144,56913,812034
SOS22,116,2023,276,2422,140,1679,176,1990,348,3792,361,4494,583,4012,390,4987,880,4641,478,5995,1177,5853,564,7590,901,5856,600,7353,369,2714,354,3432,88,710,159,950,4595,31275,3353,39223,156,1955,257,2365,148,1475,158,1790,559,3759,321,4639,972,3920,405,5302,1423,4414,405,6247,1916,5353,523,7792,1153,5071,442,6668,455,2525,360,3349,68,1089,255,1415,6854,29579,3132,39569,274,3980,529,4788,290,3155,330,3776,911,7554,680,9144,1554,7936,798,10289,2301,9055,885,12240,3087,11212,1088,15387,2057,10924,1037,14017,822,5241,718,6783,160,1805,413,2369,11449,60855,6486,78795
SOS23,708,11585,1461,13752,675,8733,1039,10442,1391,15145,2726,19262,2474,17980,2969,23421,4418,23871,3098,31393,5861,27993,3124,36977,3968,25435,2808,32210,1465,11018,1491,13965,285,2211,433,2926,21245,143971,19141,184354,761,10523,1336,12624,771,7266,720,8759,2192,14655,1550,18401,4090,17375,1959,23422,7371,21639,2370,31378,9123,23781,2597,35508,4989,20349,2150,27492,1459,8553,1308,11317,179,2376,482,3033,30945,126519,14469,171931,1467,22106,2799,26374,1450,15997,1758,19202,3587,29799,4274,37655,6568,35348,4927,46846,11791,45513,5470,62773,14984,51778,5720,72485,8957,45787,4959,59700,2922,19571,2792,25286,463,4585,914,5963,52188,270484,33608,356286
