SOS_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOS10,144045,524,87,7,5,8,17,12088,156776,160972,6518,2288,441,101,8,38,14676,185044,157600,23128,13027,3981,1037,248,115,16190,215333,109302,49363,41143,13274,3926,1003,495,14093,232606,58091,46686,73590,25930,7523,2210,1254,12048,227337,36004,33052,74468,31335,9697,2950,1919,9640,199050,31358,29307,72533,33496,10628,3255,2120,8621,191312,28139,27785,67689,33156,10852,3366,2158,7618,180756,24834,25743,63001,32390,10853,3401,2212,7344,169782,21411,24056,56728,31965,11527,3589,2316,6928,158505,16624,19847,48891,29136,11036,3398,2347,6804,138073,12502,13605,44403,27064,10405,3202,2274,7082,120536,7999,8019,30810,20847,8803,2971,2248,6912,88609,4870,4953,19327,15312,7592,3023,2801,6966,64847,5361,5924,17996,15097,8702,4095,4618,13825,75619,819089,318509,625970,313433,112704,36729,26917,150834,2404189
SOS11,38367,455,58,8,4,0,3,4484,43386,30970,4037,1756,400,66,10,15,3736,40991,24947,8301,6587,2506,736,198,80,3718,47068,14908,9824,13006,5904,1853,545,351,3395,49784,8538,7193,15755,8596,3060,938,679,3224,47978,6167,5705,14945,8905,3524,1194,897,2850,44187,6089,5761,15905,9955,4024,1288,989,2902,46912,6611,5608,16606,10396,4075,1329,895,2801,48330,6754,5539,17390,11326,4509,1308,868,2910,50610,6879,5415,18845,13212,5349,1484,810,3027,55012,5867,4740,17904,13225,5318,1370,769,3120,52310,4900,4088,17528,12413,5247,1515,845,3529,50066,3401,2699,11910,9635,4623,1522,974,3524,38283,2094,1518,6778,6848,4249,1700,1319,3280,27784,2239,1943,6349,6632,4766,2257,2116,4881,31185,168728,72811,181326,119971,51392,16661,11624,51375,673895
SOS12,3538,33,5,0,0,0,0,480,4052,2295,288,115,28,5,0,5,311,3043,1634,580,516,203,43,12,9,294,3297,1065,687,1036,528,175,51,20,325,3893,609,558,1323,781,257,77,49,319,3975,540,474,1446,888,320,106,84,317,4163,590,550,1612,1043,419,145,95,308,4755,694,554,1709,1199,408,145,98,358,5159,768,623,1875,1249,522,163,111,360,5672,740,620,2048,1474,651,182,105,407,6233,652,505,1925,1411,579,187,66,418,5743,424,395,1608,1188,569,159,62,411,4820,237,211,977,803,417,122,82,316,3172,134,84,424,448,321,156,97,245,1907,104,84,329,353,302,143,145,310,1773,14021,6260,16933,11597,4977,1654,1038,5182,61664
SOS13,15063,72,8,4,0,0,3,2104,17250,9520,727,289,48,8,0,5,1283,11874,6302,1866,1544,579,132,22,8,1151,11600,3643,2180,3458,1907,585,155,66,1244,13237,2237,1778,4873,3224,1202,311,177,1367,15167,1940,1519,5392,3945,1515,381,259,1433,16371,2239,1852,6719,4784,1885,534,303,1689,20007,2696,2087,7343,5049,2106,587,322,1699,21882,2881,2186,7597,5579,2245,641,357,1898,23387,2706,1991,7273,5776,2587,728,356,1777,23200,2061,1645,6148,4947,2282,649,312,1610,19650,1400,1207,5108,4162,1941,580,289,1417,16102,750,622,2802,2610,1365,440,304,1022,9916,373,312,1253,1370,913,348,304,695,5571,230,240,825,912,678,337,383,600,4215,54052,20276,60632,44898,19432,5713,3451,20995,229449
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,171,8,0,0,0,0,0,93,279,219,27,21,4,0,0,0,147,418,277,43,21,14,6,0,0,170,533,184,51,46,17,12,5,0,175,495,104,37,45,27,5,4,9,153,392,87,19,48,16,12,9,9,149,357,59,39,54,24,20,10,9,121,332,68,33,59,44,14,10,10,91,333,65,34,87,44,22,4,0,96,359,46,28,110,57,24,7,3,64,339,24,29,61,44,17,5,7,53,236,14,10,60,42,11,12,3,18,163,3,4,22,15,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
SOS20,124072,358,35,5,6,4,15,10530,135024,145401,4460,1528,260,41,14,33,12712,164449,147316,18984,9745,2886,717,181,92,14447,194372,103492,45169,35726,9974,2599,749,369,12156,210230,54456,41895,67092,20807,5451,1562,1010,10104,202372,33439,28733,66237,25188,6836,2079,1468,7693,171684,28872,25808,63239,27663,7933,2435,1826,7109,164882,25970,23495,62112,28632,8420,2400,1754,6600,159381,21602,20429,54612,28141,8777,2347,1637,5890,143434,18015,18020,49305,28072,9364,2502,1673,5520,132474,13773,14995,42928,25312,8929,2503,1596,5412,115457,9948,10571,39354,24856,9049,2636,1724,5791,103927,6091,6238,26821,19052,8024,2605,1943,5231,76002,3856,3989,16982,14200,7338,2767,2545,5074,56749,4375,5059,16499,14398,8395,3829,4289,8406,65245,740670,268206,552216,269448,91883,28611,21971,122686,2095680
SOS21,23610,188,24,0,4,0,11,2611,26444,19608,1918,753,147,21,9,13,2016,24480,17416,5268,3795,1282,341,75,32,2252,30466,10415,7344,8617,3562,996,322,157,2102,33508,6143,5119,11359,5519,1764,517,326,2112,32859,4401,4041,10424,5855,2061,600,498,1771,29651,4358,3802,10651,6470,2280,779,559,1764,30660,4276,3652,11035,6848,2584,791,560,1775,31524,4196,3211,11225,7534,2865,837,528,1802,32188,4068,3075,11369,8200,3422,894,528,1937,33489,3228,2690,11442,8427,3429,924,455,2055,32648,2477,2138,10273,7916,3423,1001,568,2322,30122,1564,1266,6387,5843,2958,1062,723,2085,21883,945,721,3276,3866,2537,1184,973,2016,15514,971,1009,3247,3718,2876,1466,1516,2943,17740,107667,45432,113877,75188,31554,10462,7451,31557,423180
SOS22,2064,3,0,0,0,0,0,295,2365,1406,124,50,12,0,0,0,195,1790,1212,355,259,85,23,4,0,155,2104,774,502,677,297,81,19,7,176,2539,466,378,912,515,156,44,19,195,2686,383,305,927,533,199,35,25,205,2616,478,363,923,634,222,67,43,225,2959,505,340,1093,741,285,62,39,206,3282,543,368,1227,817,311,100,50,267,3685,510,409,1352,987,379,107,55,305,4109,422,308,1230,860,361,112,60,258,3611,291,217,985,790,360,111,63,233,3055,142,134,584,487,307,96,69,218,2046,95,57,262,307,219,117,71,175,1299,84,76,219,296,240,109,138,260,1415,9382,3965,10694,7367,3149,986,651,3383,39569
SOS23,11023,42,3,0,0,0,4,1555,12624,7288,415,129,26,5,0,0,895,8759,5174,1298,958,342,64,5,11,797,8653,2948,1815,2509,1235,334,54,37,817,9745,1863,1419,3721,2386,727,179,92,926,11318,1596,1246,4176,2745,959,272,133,988,12112,2000,1466,4939,3295,1174,302,178,1121,14484,2228,1642,5704,4008,1444,359,233,1283,16892,2316,1577,5934,4188,1661,464,260,1365,17764,2082,1423,5676,4492,1900,504,263,1397,17743,1578,1168,4833,3970,1731,476,262,1290,15311,1030,845,3806,3213,1536,463,217,1070,12180,510,398,2062,1856,1036,368,269,826,7320,232,204,838,1030,655,298,257,489,3998,145,139,568,616,561,251,305,441,3033,42010,15093,45848,33412,13781,4001,2527,15252,171931
