SOS_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS10,22297,3823,5164,72,30,31384,5788,1008,1228,16,4,8040,4984,937,1187,19,5,7124,8262,1466,2121,27,4,11879,11521,1964,3097,37,11,16639,34778,6087,10260,86,32,51248,44034,8517,14521,110,55,67232,85166,14966,28484,203,124,128938,65877,10093,18722,114,127,94938,74593,11959,16735,118,105,103508,81700,14801,12456,144,100,109198,31222,4878,6867,73,48,43087,470221,80503,120849,1005,643,673217
SOS11,7277,446,164,29,23,7937,3870,267,106,17,5,4268,3711,308,94,10,3,4127,7587,457,163,35,6,8254,11155,616,235,17,13,12035,31439,1560,598,62,24,33681,32987,1439,399,54,27,34909,35283,1100,357,47,41,36823,15131,365,135,18,18,15656,10737,265,115,18,14,11141,5831,147,67,27,18,6090,9308,451,140,34,18,9948,174316,7419,2573,358,207,184871
SOS12,945,14,4,7,0,969,620,6,4,0,4,638,579,6,5,4,0,594,1069,13,7,8,6,1087,1279,12,0,6,0,1300,3197,49,16,10,0,3271,2955,33,10,7,11,3016,3412,42,11,8,9,3481,1699,5,11,9,3,1728,1422,15,4,0,8,1450,831,0,7,3,3,847,1129,12,3,4,0,1152,19132,205,80,60,39,19527
SOS13,4427,27,10,26,20,4508,1406,5,3,6,4,1432,1294,6,4,8,3,1316,2332,9,8,24,9,2377,3002,14,5,22,22,3066,7971,34,14,46,19,8081,8060,53,7,31,15,8161,11156,53,13,33,28,11280,6413,30,9,19,16,6487,6900,22,3,13,13,6953,6714,29,17,17,18,6796,4672,28,6,22,12,4737,64348,296,113,263,172,65193
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,25290,4114,2229,28,15,31681,8207,1309,663,7,3,10186,7067,1131,661,4,4,8864,12326,2019,1208,20,11,15582,16951,2862,2089,21,9,21940,54660,9553,8686,106,48,73052,73171,12656,11509,106,68,97518,117690,18048,13619,146,72,149586,59764,10014,5599,68,44,75483,54189,10261,4485,66,45,69041,49122,9563,3182,52,34,61957,34257,5278,2803,43,27,42405,512701,86804,56744,677,382,657308
SOS21,5444,229,47,12,16,5742,3338,149,32,4,3,3531,3191,127,30,3,5,3356,6833,309,67,11,3,7232,9903,405,112,9,6,10435,26440,888,214,25,11,27576,26298,618,134,20,22,27097,24929,372,69,14,35,25424,8383,110,11,10,5,8520,5780,83,15,3,7,5888,3401,49,5,9,9,3478,7783,222,57,11,0,8080,131725,3559,794,136,126,136343
SOS22,665,8,4,5,0,684,641,4,0,7,0,656,621,3,7,4,0,629,1030,11,3,5,0,1052,1280,13,0,8,0,1295,2755,21,7,13,0,2799,2308,21,11,9,0,2341,1876,15,8,5,3,1904,690,3,3,0,0,696,537,7,4,6,0,548,324,3,4,6,0,336,792,4,8,0,0,808,13512,111,58,56,9,13744
SOS23,3433,12,3,12,11,3465,1488,0,0,5,0,1499,1457,0,0,11,0,1471,2576,7,4,12,7,2598,3351,12,3,14,6,3387,8587,23,3,18,10,8645,8354,16,6,13,9,8397,9366,30,3,23,14,9438,4491,10,3,12,9,4516,4142,7,0,6,6,4172,3750,13,0,4,7,3781,3862,8,0,10,4,3889,54863,149,29,137,82,55254
