SOS_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOS10,455,2092,304,386,112,25,3370,112,4434,512,216,81,38,5395,939,26915,2313,1646,643,197,32645,2177,12706,4516,2983,910,168,23466,2960,5572,1776,3394,609,97,14407,9861,6120,2406,4929,2199,142,25653,39094,4802,2273,9957,1985,206,58321,129383,4891,2197,19806,3270,400,159952,133305,1767,774,16801,2393,271,155310,88180,457,265,9656,1168,138,99869,47606,155,109,5518,531,80,53995,24521,91,57,3302,300,39,28309,13473,36,21,1883,120,11,15550,24521,37,21,4032,263,47,28918,8710,4373,982,6030,1728,1640,23460,525308,74441,18521,90537,16310,3500,728624
SOS11,159,408,199,241,319,19,1342,141,676,232,172,195,21,1439,1179,3875,1114,1444,636,116,8364,5228,4352,2726,2858,966,175,16303,5318,1725,905,3190,568,95,11793,13135,2454,1267,4691,1522,156,23224,26772,1801,946,7250,1085,129,37985,35654,969,656,7013,887,132,45310,16040,147,128,2483,249,24,19074,4985,42,21,913,80,18,6056,1824,17,26,358,30,4,2254,629,8,10,200,29,5,878,275,9,5,86,8,4,383,394,3,5,209,72,4,687,1887,1169,436,1602,760,484,6334,113612,17655,8666,32708,7407,1379,181423
SOS12,15,51,14,38,128,0,254,10,23,34,36,24,3,136,94,79,74,259,103,19,625,233,162,165,415,121,17,1108,221,43,57,412,69,6,804,493,50,36,424,106,7,1113,868,17,16,540,60,5,1517,1325,15,11,519,51,9,1925,654,3,6,227,13,4,911,299,0,0,91,7,0,407,134,0,0,32,3,0,168,46,0,0,21,0,0,69,23,0,0,11,0,0,32,35,0,0,22,16,0,72,71,27,51,205,73,38,465,4518,464,467,3260,777,116,9605
SOS13,28,24,19,336,261,3,670,11,3,10,162,55,0,246,130,36,54,1032,305,23,1588,346,33,162,1219,327,20,2104,356,15,41,1205,268,11,1904,791,23,31,1392,305,23,2567,1525,3,20,1684,256,11,3497,2425,9,10,1560,227,20,4247,1533,5,4,827,110,6,2481,831,3,0,362,37,5,1237,547,4,0,190,13,3,754,294,0,3,121,16,3,433,144,0,0,42,4,3,199,248,0,0,121,23,3,392,211,22,44,1155,1111,87,2627,9423,172,400,11400,3326,216,24935
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,489,1714,207,517,99,22,3052,266,2322,272,405,108,20,3384,1311,14322,1179,2667,519,156,20161,3406,5840,2129,4358,739,130,16599,4121,2895,1219,3762,530,72,12596,16656,3070,1357,6798,1416,148,29446,78299,2520,1071,16457,2245,289,100880,170874,1869,622,19218,2626,326,195531,75086,430,174,8885,790,120,85488,31852,112,51,3775,230,45,36069,15773,65,26,1932,125,24,17946,8604,46,27,1198,62,11,9936,4643,31,12,594,45,8,5339,8506,21,5,1303,167,24,10029,7720,2932,570,5766,1415,1202,19601,427605,38181,8905,77638,11119,2600,566049
SOS21,90,519,82,173,61,9,939,71,636,103,139,64,18,1025,787,4168,428,1129,299,80,6894,3374,1986,654,2116,400,92,8624,3590,938,229,2376,242,46,7428,9266,982,337,3297,553,68,14509,17738,425,293,4266,541,105,23370,18445,142,104,2764,298,74,21822,4230,43,13,727,92,12,5112,1021,11,13,169,27,0,1234,306,7,3,76,17,0,410,120,4,0,34,16,0,175,54,0,0,24,5,0,82,153,4,0,88,13,4,265,1077,807,153,953,364,265,3620,60326,10675,2424,18336,2978,774,95519
SOS22,7,31,8,45,54,0,149,8,42,13,30,17,5,111,85,123,20,216,102,3,563,193,21,41,351,58,8,671,176,11,16,298,23,5,533,433,3,10,310,34,7,793,690,0,0,353,34,4,1085,556,0,0,179,13,0,760,141,0,0,42,0,3,190,36,0,0,17,4,0,54,15,0,0,7,0,0,19,4,0,0,0,0,0,14,7,0,0,4,0,0,10,16,0,0,10,7,0,41,53,17,8,143,48,15,290,2419,254,121,2015,403,58,5270
SOS23,13,6,5,236,176,12,451,14,23,10,168,75,0,294,142,25,27,920,378,29,1511,305,16,19,1057,274,11,1672,347,5,3,931,271,9,1569,663,11,7,876,328,10,1895,986,10,6,949,204,12,2178,1015,3,3,657,123,5,1817,529,0,0,221,33,0,786,230,0,4,71,16,0,322,157,0,0,43,3,0,205,60,0,0,22,7,0,93,30,0,0,10,0,0,46,45,0,0,81,17,0,145,123,11,13,797,612,53,1612,4660,115,99,7041,2518,157,14585
