SOS_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOS10,2228119,2301285,4529398,82236,83329,165562,298580,306083,604662,7051,6527,13576,6541,6949,13492,1417,1409,2829,1567,1547,3118,629,661,1291,594,591,1181,2460,2502,4961,41,23,68,318884,326296,645183,24309,25686,49991,6794,5420,12210,432209,440734,872941,143636,140507,284143,2803962,2882525,5686487
SOS11,591859,632438,1224295,36690,40585,77275,57180,62539,119715,4252,4507,8756,3985,4315,8296,553,535,1086,561,577,1132,310,326,634,408,422,834,1471,1552,3021,17,11,23,68734,74769,143508,3056,3033,6086,2184,1990,4179,110666,120374,231042,57064,53755,110821,759587,806571,1566158
SOS12,59286,59355,118642,2334,2457,4794,5058,5276,10339,238,248,483,306,364,669,33,27,61,68,80,152,20,22,48,22,22,43,152,168,315,0,3,4,5909,6211,12114,197,178,376,155,137,294,8589,8991,17582,5750,5453,11208,73624,73805,147430
SOS13,237378,224292,461664,6587,6526,13110,17447,17566,35013,954,876,1830,1437,1373,2814,154,122,275,210,154,361,84,79,157,117,78,202,685,649,1332,11,5,14,21087,20909,41993,767,736,1502,538,459,991,28979,28630,57604,27242,22766,50011,293594,275683,569283
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
SOS20,1936149,2017740,3953890,57328,59224,116555,7232,7711,14940,263553,271299,534848,4680,5007,9692,1949,2059,4004,1874,2004,3875,1359,1424,2777,752,825,1574,1021,1084,2108,7,3,10,282417,291419,573837,19052,20395,39446,5089,4183,9276,363888,375221,739113,112737,109227,221964,2412782,2502191,4914969
SOS21,384788,408410,793198,20302,22757,43057,2144,2336,4478,35284,37877,73165,1135,1171,2309,451,463,915,356,308,661,215,245,460,229,235,460,154,143,294,4,0,3,39966,42789,82752,1651,1683,3335,1047,914,1957,62956,68143,131101,31132,31886,63017,478880,508432,987313
SOS22,37988,38013,76002,1309,1349,2658,181,191,371,3221,3342,6559,122,138,260,42,40,84,34,22,59,39,23,60,22,31,58,20,19,45,0,0,0,3677,3807,7493,121,97,216,79,96,179,5187,5356,10545,3743,3509,7248,46917,46876,93794
SOS23,180010,170168,350178,4250,4299,8550,743,765,1514,12037,12181,24219,490,446,938,200,172,371,161,113,271,68,73,142,99,100,201,86,51,140,0,0,0,13884,13906,27787,552,506,1063,335,258,592,19020,18968,37989,20966,16162,37134,219996,205299,425293
SOS27,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
SOS29,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
SOS30,1341606,1408685,2750292,43171,47256,90429,16071,17174,33245,10813,11669,22481,207602,224542,432145,1989,2135,4126,1834,1948,3787,1125,1294,2421,1621,1602,3227,1502,1505,3003,19,24,42,242569,261898,504466,14007,14615,28624,6246,5493,11736,305996,329263,635257,98091,90968,189061,1745694,1828912,3574613
SOS31,342508,356837,699347,20976,23162,44137,3350,3579,6932,2144,2257,4400,41905,46210,88116,449,492,944,582,637,1218,355,364,724,476,517,1000,194,202,391,13,9,17,49465,54275,103738,2078,1936,4013,1630,1393,3018,74146,80770,154913,39826,32807,72636,456482,470412,926898
SOS32,54015,53374,107384,2535,2666,5203,456,482,933,262,255,512,5264,5710,10974,69,70,142,69,73,148,43,35,80,68,79,145,25,22,45,0,0,0,6256,6732,12990,194,188,387,197,157,357,9184,9745,18931,7175,5809,12985,70376,68931,139302
SOS33,180169,169440,349605,5062,5178,10244,1458,1400,2857,694,643,1337,15941,16555,32490,135,141,276,201,210,409,94,88,187,249,236,489,60,63,124,3,0,4,18842,19332,38170,781,629,1413,568,485,1049,25252,25625,50875,25718,18462,44173,231135,213523,444654
SOS37,39,5,47,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,109,24,130,149,28,183
SOS39,1455,1091,2545,722,578,1295,431,462,889,277,302,586,2200,2296,4494,80,73,160,117,139,261,44,47,95,39,59,96,24,25,51,0,0,0,3220,3403,6627,166,178,343,60,50,111,4166,4209,8378,2204,1478,3681,7825,6776,14601
SOS40,499551,522848,1022394,11366,11953,23315,2837,2507,5344,3281,2934,6212,1377,1446,2819,53662,56371,110032,602,612,1217,258,280,540,571,628,1198,283,270,555,3,0,3,62880,65050,127925,3731,3903,7634,1374,1153,2529,79345,82060,161409,24495,23505,48002,603396,628410,1231800
SOS41,131085,138114,269200,7530,8385,15918,501,463,968,851,794,1649,462,505,965,9974,10928,20902,217,217,437,69,94,167,237,253,490,36,38,71,3,0,3,12354,13302,25654,581,533,1110,394,345,733,20852,22567,43422,10862,9663,20522,162799,170341,333145
SOS42,20520,20469,40989,935,994,1928,68,64,134,113,125,234,69,77,146,1336,1414,2751,29,38,65,17,14,34,51,46,95,0,0,5,0,0,0,1672,1779,3457,55,41,103,42,32,71,2707,2847,5554,2094,1993,4090,25331,25314,50640
SOS43,62765,57419,120189,1581,1526,3100,178,135,308,307,281,582,177,165,336,3565,3616,7181,98,106,203,31,21,54,89,98,191,16,9,24,0,0,0,4449,4426,8876,170,162,331,119,68,184,6316,6178,12488,6669,4797,11463,75747,68399,144142
SOS47,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
